sample1,,
Wavelength (nm),Abs,
800.0111694,0.6588642597,
799.0076904,0.6590820551,
798.0038452,0.65783149,
796.9995117,0.6588611007,
795.9949341,0.658329308,
794.9899292,0.6579858065,
793.984375,0.65658319,
793.0132446,0.6563298702,
792.006897,0.655215919,
791.0003052,0.6547100544,
789.9932861,0.6557502151,
788.9857788,0.6542691588,
788.0126953,0.6551330686,
787.0044556,0.653716445,
785.9958496,0.6519873738,
784.9868164,0.6498413086,
784.012146,0.6509293914,
783.0023804,0.6524834037,
781.9921875,0.6501235962,
781.0164185,0.6499838233,
780.0053711,0.6507287025,
778.9940186,0.6493154168,
778.0170898,0.6488106251,
777.0049438,0.6490394473,
775.9924316,0.6493287086,
775.0144043,0.6479831934,
774.0010376,0.6477147937,
772.9873657,0.6477966905,
772.0081787,0.6465383768,
770.9937134,0.6451596618,
770.013855,0.6455782652,
768.9985962,0.6454213858,
767.9829102,0.6432748437,
767.0019531,0.6420487165,
765.9855347,0.641168952,
765.0037842,0.6420159936,
763.9865723,0.6404597759,
763.0040894,0.6392951608,
761.986145,0.6384632587,
761.0029297,0.6378124356,
759.9842529,0.6378205419,
759.0003052,0.6360484362,
758.0159912,0.6360250711,
756.9962158,0.6352248788,
756.0111084,0.6348563433,
754.9905396,0.6334086657,
754.0048218,0.6331506968,
752.9834595,0.6339993477,
751.9970093,0.6315165162,
751.0101929,0.6327787042,
749.9877319,0.6313479543,
749.0001221,0.6306889653,
748.0123291,0.6300406456,
746.9887085,0.629619956,
746.0001221,0.628621459,
745.0111084,0.6292346716,
743.9864502,0.627854228,
742.9967651,0.6269754171,
742.0066528,0.6269574165,
741.0162354,0.6263359189,
739.9901733,0.6261325479,
738.9990234,0.6248084903,
738.0075684,0.6253443956,
737.0157471,0.6241397262,
735.9881592,0.6242676377,
734.9956665,0.6230127811,
734.0028076,0.6216244102,
733.0095825,0.6228187084,
732.0159912,0.6213080883,
730.9865723,0.6222288013,
729.9923096,0.6205309033,
728.9977417,0.6208406091,
728.0027466,0.6201978922,
