time /s	I /nA	E /V
0.100	11.213	0.100
0.200	-6.888	0.100
0.300	-0.154	0.100
0.400	7.487	0.100
0.500	5.683	0.100
0.600	9.888	0.100
0.700	-0.836	0.100
0.800	-0.403	0.100
0.900	6.472	0.100
1.000	-0.897	0.100
1.100	12.485	0.100
1.200	-0.943	0.100
1.300	4.852	0.100
1.400	-3.060	0.100
1.500	16.660	0.100
1.600	-9.507	0.100
1.700	-5.706	0.100
1.800	7.489	0.100
1.900	15.288	0.100
2.000	15.632	0.100
2.100	-7.003	0.100
2.200	15.612	0.100
2.300	-2.456	0.100
2.400	7.388	0.100
2.500	12.015	0.100
2.600	1.309	0.100
2.700	1.119	0.100
2.800	1.548	0.100
2.900	15.626	0.100
3.000	-0.573	0.100
3.100	0.382	0.100
3.200	3.145	0.100
3.300	6.027	0.100
3.400	7.430	0.100
3.500	0.846	0.100
3.600	15.391	0.100
3.700	8.763	0.100
3.800	-2.706	0.100
3.900	2.129	0.100
4.000	5.273	0.100
4.100	3.569	0.100
4.200	8.274	0.100
4.300	-6.499	0.100
4.400	2.764	0.100
4.500	10.935	0.100
4.600	4.483	0.100
4.700	5.412	0.100
4.800	7.627	0.100
4.900	8.660	0.100
5.000	-8.198	0.100
5.100	0.811	0.100
5.200	5.466	0.100
5.300	21.261	0.100
5.400	1.398	0.100
5.500	14.163	0.100
5.600	13.688	0.100
5.700	-0.747	0.100
5.800	5.868	0.100
5.900	-1.605	0.100
6.000	3.235	0.100
6.100	6.421	0.100
6.200	8.837	0.100
6.300	12.827	0.100
6.400	-8.163	0.100
6.500	5.113	0.100
6.600	13.252	0.100
6.700	20.183	0.100
6.800	0.420	0.100
6.900	6.588	0.100
7.000	2.683	0.100
7.100	20.216	0.100
7.200	-1.029	0.100
7.300	-15.083	0.100
7.400	0.576	0.100
7.500	5.741	0.100
7.600	19.977	0.100
7.700	5.489	0.100
7.800	1.591	0.100
7.900	0.375	0.100
8.000	1.188	0.100
8.100	-1.575	0.100
8.200	10.681	0.100
8.300	5.627	0.100
8.400	7.160	0.100
8.500	10.202	0.100
8.600	-9.689	0.100
8.700	5.758	0.100
8.800	9.403	0.100
8.900	0.827	0.100
9.000	0.160	0.100
9.100	16.580	0.100
9.200	7.804	0.100
9.300	-11.463	0.100
9.400	12.641	0.100
9.500	4.734	0.100
9.600	12.327	0.100
9.700	-0.426	0.100
9.800	11.389	0.100
9.900	-8.019	0.100
10.000	13.082	0.100
10.100	-7.819	0.100
10.200	4.896	0.100
10.300	5.999	0.100
10.400	-2.691	0.100
10.500	5.697	0.100
10.600	5.999	0.100
10.700	-1.113	0.100
10.800	7.730	0.100
10.900	4.611	0.100
11.000	20.904	0.100
11.100	19.921	0.100
11.200	1.574	0.100
11.300	-18.836	0.100
11.400	9.261	0.100
11.500	14.990	0.100
11.600	2.479	0.100
11.700	-5.233	0.100
11.800	-6.764	0.100
11.900	8.945	0.100
12.000	10.030	0.100
12.100	3.694	0.100
12.200	-8.922	0.100
12.300	12.013	0.100
12.400	5.628	0.100
12.500	-17.444	0.100
12.600	13.640	0.100
12.700	-2.434	0.100
12.800	7.368	0.100
12.900	15.407	0.100
13.000	3.450	0.100
13.100	-6.692	0.100
13.200	6.748	0.100
13.300	1.192	0.100
13.400	10.034	0.100
13.500	3.913	0.100
13.600	0.268	0.100
13.700	14.243	0.100
13.800	7.096	0.100
13.900	1.405	0.100
14.000	11.334	0.100
14.100	3.831	0.100
14.200	-9.264	0.100
14.300	6.367	0.100
14.400	4.660	0.100
14.500	5.173	0.100
14.600	-4.344	0.100
14.700	4.260	0.100
14.800	5.531	0.100
14.900	4.621	0.100
15.000	3.476	0.100
15.100	-3.140	0.100
15.200	6.275	0.100
15.300	0.319	0.100
15.400	-9.060	0.100
15.500	-0.278	0.100
15.600	3.246	0.100
15.700	11.515	0.100
15.800	24.491	0.100
15.900	3.658	0.100
16.000	10.455	0.100
16.100	-3.791	0.100
16.200	15.508	0.100
16.300	10.115	0.100
16.400	0.339	0.100
16.500	-4.860	0.100
16.600	11.340	0.100
16.700	-0.924	0.100
16.800	5.374	0.100
16.900	11.095	0.100
17.000	-4.683	0.100
17.100	10.091	0.100
17.200	4.753	0.100
17.300	5.275	0.100
17.400	3.066	0.100
17.500	6.799	0.100
17.600	2.808	0.100
17.700	-5.973	0.100
17.800	-1.637	0.100
17.900	-0.062	0.100
18.000	-0.605	0.100
18.100	0.724	0.100
18.200	2.846	0.100
18.300	3.952	0.100
18.400	3.855	0.100
18.500	6.968	0.100
18.600	5.341	0.100
18.700	7.595	0.100
18.800	15.925	0.100
18.900	-1.672	0.100
19.000	9.774	0.100
19.100	15.178	0.100
19.200	10.634	0.100
19.300	7.327	0.100
19.400	9.757	0.100
19.500	-3.571	0.100
19.600	10.447	0.100
19.700	0.954	0.100
19.800	7.770	0.100
19.900	-5.202	0.100
20.000	-11.512	0.100
20.100	7.603	0.100
20.200	-12.712	0.100
20.300	14.432	0.100
20.400	-10.092	0.100
20.500	-11.589	0.100
20.600	2.015	0.100
20.700	-0.341	0.100
20.800	14.644	0.100
20.900	6.185	0.100
21.000	6.959	0.100
21.100	10.675	0.100
21.200	9.461	0.100
21.300	-2.854	0.100
21.400	3.614	0.100
21.500	13.777	0.100
21.600	3.216	0.100
21.700	-6.421	0.100
21.800	13.000	0.100
21.900	4.885	0.100
22.000	3.548	0.100
22.100	-1.665	0.100
22.200	1.566	0.100
22.300	4.425	0.100
22.400	7.093	0.100
22.500	4.712	0.100
22.600	0.150	0.100
22.700	10.432	0.100
22.800	7.295	0.100
22.900	5.870	0.100
23.000	5.284	0.100
23.100	10.826	0.100
23.200	13.284	0.100
23.300	11.134	0.100
23.400	8.068	0.100
23.500	-16.508	0.100
23.600	4.761	0.100
23.700	-8.057	0.100
23.800	17.683	0.100
23.900	21.343	0.100
24.000	-4.739	0.100
24.100	-10.167	0.100
24.200	7.563	0.100
24.300	-12.406	0.100
24.400	2.115	0.100
24.500	-10.334	0.100
24.600	12.467	0.100
24.700	7.015	0.100
24.800	9.834	0.100
24.900	1.744	0.100
25.000	4.719	0.100
25.100	11.731	0.100
25.200	5.446	0.100
25.300	3.165	0.100
25.400	6.558	0.100
25.500	8.693	0.100
25.600	-13.889	0.100
25.700	9.746	0.100
25.800	-6.133	0.100
25.900	1.304	0.100
26.000	4.049	0.100
26.100	-7.461	0.100
26.200	-4.642	0.100
26.300	-12.198	0.100
26.400	7.478	0.100
26.500	4.732	0.100
26.600	8.022	0.100
26.700	7.775	0.100
26.800	2.027	0.100
26.900	10.227	0.100
27.000	4.569	0.100
27.100	-9.625	0.100
27.200	10.073	0.100
27.300	1.252	0.100
27.400	0.059	0.100
27.500	12.615	0.100
27.600	5.390	0.100
27.700	3.688	0.100
27.800	-1.711	0.100
27.900	-1.551	0.100
28.000	0.742	0.100
28.100	8.931	0.100
28.200	4.193	0.100
28.300	5.442	0.100
28.400	9.964	0.100
28.500	1.653	0.100
28.600	-1.349	0.100
28.700	-4.431	0.100
28.800	-0.209	0.100
28.900	0.800	0.100
29.000	11.125	0.100
29.100	13.152	0.100
29.200	-2.513	0.100
29.300	1.591	0.100
29.400	10.500	0.100
