time /s	I /nA	E /V
0.100	-0.549	0.099
0.200	4.299	0.099
0.300	5.088	0.099
0.400	-11.685	0.099
0.500	-10.205	0.099
0.600	2.386	0.099
0.700	-3.762	0.099
0.800	-0.835	0.099
0.900	0.329	0.099
1.000	-4.431	0.099
1.100	-19.684	0.099
1.200	2.954	0.099
1.300	8.579	0.099
1.400	-6.122	0.099
1.500	6.735	0.099
1.600	-2.935	0.099
1.700	-8.826	0.099
1.800	-0.829	0.099
1.900	-17.346	0.099
2.000	0.033	0.099
2.100	-15.563	0.099
2.200	0.276	0.099
2.300	-5.740	0.099
2.400	-14.724	0.099
2.500	-2.826	0.099
2.600	4.136	0.099
2.700	0.924	0.099
2.800	-0.967	0.099
2.900	0.602	0.099
3.000	-2.183	0.099
3.100	-5.350	0.099
3.200	-6.405	0.099
3.300	11.978	0.099
3.400	-8.262	0.099
3.500	-15.590	0.099
3.600	0.895	0.099
3.700	3.857	0.099
3.800	-10.939	0.099
3.900	0.574	0.099
4.000	-13.687	0.099
4.100	-5.340	0.099
4.200	4.465	0.099
4.300	0.089	0.099
4.400	-5.328	0.099
4.500	-9.842	0.099
4.600	-0.472	0.099
4.700	-0.077	0.099
4.800	0.050	0.099
4.900	2.230	0.099
5.000	-4.433	0.099
5.100	-15.071	0.099
5.200	-4.548	0.099
5.300	4.670	0.099
5.400	1.405	0.099
5.500	-12.194	0.099
5.600	-2.331	0.099
5.700	1.861	0.099
5.800	6.923	0.099
5.900	3.909	0.099
6.000	2.957	0.099
6.100	-5.555	0.099
6.200	3.635	0.099
6.300	-3.958	0.099
6.400	13.248	0.099
6.500	-0.560	0.099
6.600	-5.066	0.099
6.700	-7.876	0.099
6.800	-12.858	0.099
6.900	12.171	0.099
7.000	11.814	0.099
7.100	-9.786	0.099
7.200	-15.669	0.099
7.300	-2.362	0.099
7.400	-14.208	0.099
7.500	-5.861	0.099
7.600	12.501	0.099
7.700	6.928	0.099
7.800	8.136	0.099
7.900	-2.963	0.099
8.000	3.124	0.099
8.100	-10.967	0.099
8.200	9.833	0.099
8.300	-3.815	0.099
8.400	-0.904	0.099
8.500	-2.511	0.099
8.600	1.599	0.099
8.700	17.399	0.099
8.800	-5.346	0.099
8.900	7.338	0.099
9.000	11.624	0.099
9.100	7.739	0.099
9.200	6.913	0.099
9.300	9.986	0.099
9.400	0.155	0.099
9.500	-4.554	0.099
9.600	-3.418	0.099
9.700	-3.952	0.099
9.800	2.784	0.099
9.900	-9.096	0.099
10.000	8.589	0.099
10.100	-0.541	0.099
10.200	-10.203	0.099
10.300	-14.684	0.099
10.400	-3.911	0.099
10.500	3.327	0.099
10.600	-1.502	0.099
10.700	-3.685	0.099
10.800	-4.202	0.099
10.900	-12.943	0.099
11.000	5.136	0.099
11.100	-5.393	0.099
11.200	-9.006	0.099
11.300	6.375	0.099
11.400	7.647	0.099
11.500	-2.534	0.099
11.600	-4.968	0.099
11.700	-5.180	0.099
11.800	6.192	0.099
11.900	-4.631	0.099
12.000	-1.746	0.099
12.100	-5.869	0.099
12.200	-6.232	0.099
12.300	9.207	0.099
12.400	-3.142	0.099
12.500	6.847	0.099
12.600	-10.596	0.099
12.700	-13.544	0.099
12.800	-5.743	0.099
12.900	-8.674	0.099
13.000	7.192	0.099
13.100	8.204	0.099
13.200	-3.968	0.099
13.300	12.094	0.099
13.400	-4.171	0.099
13.500	3.554	0.099
13.600	1.891	0.099
13.700	-0.328	0.099
13.800	-0.046	0.099
13.900	14.380	0.099
14.000	-0.993	0.099
14.100	-4.315	0.099
14.200	-5.985	0.099
14.300	-6.828	0.099
14.400	-3.648	0.099
14.500	-13.039	0.099
14.600	6.241	0.099
14.700	3.134	0.099
14.800	-13.749	0.099
14.900	6.152	0.099
15.000	5.560	0.099
15.100	-2.463	0.099
15.200	-3.441	0.099
15.300	0.120	0.099
15.400	2.886	0.099
15.500	-11.147	0.099
15.600	-10.554	0.099
15.700	-1.350	0.099
15.800	-4.508	0.099
15.900	0.961	0.099
16.000	1.430	0.099
16.100	-15.019	0.099
16.200	-5.941	0.099
16.300	2.950	0.099
16.400	7.158	0.099
16.500	7.383	0.099
16.600	12.896	0.099
16.700	-7.389	0.099
16.800	6.848	0.099
16.900	-10.546	0.099
17.000	8.077	0.099
17.100	-17.658	0.099
17.200	7.835	0.099
17.300	3.208	0.099
17.400	-11.478	0.099
17.500	1.610	0.099
17.600	-6.821	0.099
17.700	-25.023	0.099
17.800	1.850	0.099
17.900	7.947	0.099
18.000	-1.860	0.099
18.100	9.133	0.099
18.200	4.872	0.099
18.300	4.323	0.099
18.400	2.014	0.099
18.500	-10.877	0.099
18.600	6.779	0.099
18.700	-10.296	0.099
18.800	-2.269	0.099
18.900	2.689	0.099
19.000	-5.338	0.099
19.100	-3.652	0.099
19.200	-3.828	0.099
19.300	-15.642	0.099
19.400	-4.847	0.099
19.500	-9.363	0.099
19.600	-10.893	0.099
19.700	12.679	0.099
19.800	-2.864	0.099
19.900	1.613	0.099
20.000	-1.009	0.099
20.100	-1.522	0.099
20.200	-22.241	0.099
20.300	-4.076	0.099
20.400	-3.615	0.099
20.500	-10.718	0.099
20.600	-1.096	0.099
20.700	4.529	0.099
20.800	-3.982	0.099
20.900	-0.751	0.099
21.000	-15.710	0.099
21.100	4.654	0.099
21.200	6.105	0.099
21.300	3.187	0.099
21.400	2.158	0.099
21.500	-8.901	0.099
21.600	-9.940	0.099
21.700	-9.238	0.099
21.800	7.742	0.099
21.900	5.237	0.099
22.000	-2.115	0.099
22.100	-0.743	0.099
22.200	-0.847	0.099
22.300	11.016	0.099
22.400	-4.983	0.099
22.500	4.853	0.099
22.600	-0.312	0.099
22.700	-1.565	0.099
22.800	-12.213	0.099
22.900	6.162	0.099
23.000	-8.481	0.099
23.100	-12.632	0.099
23.200	-1.643	0.099
23.300	-5.868	0.099
23.400	4.672	0.099
23.500	-5.956	0.099
23.600	-18.336	0.099
