time /s	I /nA	E /V
0.100	-13.605	0.099
0.200	-21.061	0.099
0.300	4.458	0.099
0.400	11.033	0.099
0.500	-14.657	0.099
0.600	-5.063	0.099
0.700	1.267	0.099
0.800	-6.745	0.099
0.900	-0.230	0.099
1.000	-5.891	0.099
1.100	-5.157	0.099
1.200	14.811	0.099
1.300	-4.453	0.099
1.400	-8.963	0.099
1.500	5.883	0.099
1.600	0.809	0.099
1.700	-3.390	0.099
1.800	-4.842	0.099
1.900	-2.744	0.099
2.000	-5.787	0.099
2.100	-4.375	0.099
2.200	24.684	0.099
2.300	-12.488	0.099
2.400	6.845	0.099
2.500	-2.720	0.099
2.600	1.954	0.099
2.700	-4.916	0.099
2.800	3.281	0.099
2.900	-12.440	0.099
3.000	-8.194	0.099
3.100	-14.504	0.099
3.200	6.438	0.099
3.300	-15.139	0.099
3.400	-9.012	0.099
3.500	13.734	0.099
3.600	-6.353	0.099
3.700	7.126	0.099
3.800	-7.322	0.099
3.900	-4.390	0.099
4.000	-4.515	0.099
4.100	-10.301	0.099
4.200	-12.495	0.099
4.300	3.631	0.099
4.400	-15.587	0.099
4.500	0.949	0.099
4.600	-13.133	0.099
4.700	-5.328	0.099
4.800	-1.597	0.099
4.900	-14.300	0.099
5.000	9.716	0.099
5.100	6.767	0.099
5.200	-8.923	0.099
5.300	3.664	0.099
5.400	-9.350	0.099
5.500	-6.164	0.099
5.600	-18.139	0.099
5.700	-22.029	0.099
5.800	-7.230	0.099
5.900	-0.064	0.099
6.000	-3.546	0.099
6.100	-4.497	0.099
6.200	-3.337	0.099
6.300	4.797	0.099
6.400	-2.655	0.099
6.500	-1.267	0.099
6.600	2.338	0.099
6.700	-9.649	0.099
6.800	-8.130	0.099
6.900	-3.846	0.099
7.000	-10.640	0.099
7.100	3.130	0.099
7.200	-3.706	0.099
7.300	-1.880	0.099
7.400	-1.544	0.099
7.500	-16.855	0.099
7.600	0.611	0.099
7.700	-3.547	0.099
7.800	-2.683	0.099
7.900	-4.879	0.099
8.000	-6.749	0.099
8.100	-9.132	0.099
8.200	7.298	0.099
8.300	-7.546	0.099
8.400	-5.338	0.099
8.500	-5.360	0.099
8.600	-4.286	0.099
8.700	-8.899	0.099
8.800	-6.361	0.099
8.900	3.901	0.099
9.000	-0.559	0.099
9.100	-4.264	0.099
9.200	6.798	0.099
9.300	-10.874	0.099
9.400	6.943	0.099
9.500	-1.158	0.099
9.600	-4.885	0.099
9.700	-0.803	0.099
9.800	-7.375	0.099
9.900	6.106	0.099
10.000	-6.378	0.099
10.100	-12.712	0.099
10.200	7.633	0.099
10.300	-11.574	0.099
10.400	-6.103	0.099
10.500	-4.746	0.099
10.600	-4.058	0.099
10.700	3.864	0.099
10.800	-1.193	0.099
10.900	-18.047	0.099
11.000	-10.540	0.099
11.100	-16.134	0.099
11.200	-18.799	0.099
11.300	6.428	0.099
11.400	-1.064	0.099
11.500	-22.815	0.099
11.600	-3.725	0.099
11.700	-2.121	0.099
11.800	-4.861	0.099
11.900	-4.387	0.099
12.000	-13.488	0.099
12.100	-10.211	0.099
12.200	7.842	0.099
12.300	0.769	0.099
12.400	3.240	0.099
12.500	1.578	0.099
12.600	3.978	0.099
12.700	-3.898	0.099
12.800	-7.063	0.099
12.900	-10.370	0.099
13.000	9.503	0.099
13.100	3.069	0.099
13.200	7.804	0.099
13.300	2.183	0.099
13.400	2.452	0.099
13.500	-18.799	0.099
13.600	12.600	0.099
13.700	-3.876	0.099
13.800	-14.251	0.099
13.900	6.862	0.099
14.000	1.079	0.099
14.100	-1.278	0.099
14.200	9.933	0.099
14.300	-7.888	0.099
14.400	-6.280	0.099
14.500	-12.873	0.099
14.600	-1.003	0.099
14.700	7.154	0.099
14.800	-2.900	0.099
14.900	-5.036	0.099
15.000	-1.651	0.099
15.100	-5.712	0.099
15.200	-1.792	0.099
15.300	0.181	0.099
15.400	-11.312	0.099
15.500	-1.098	0.099
15.600	-11.041	0.099
