time /s	I /nA	E /V
0.100	-9.040	0.101
0.200	-4.119	0.101
0.300	-5.809	0.101
0.400	-7.187	0.101
0.500	-7.051	0.101
0.600	-0.808	0.101
0.700	2.488	0.101
0.800	1.370	0.101
0.900	-17.543	0.101
1.000	-1.736	0.101
1.100	-1.437	0.101
1.200	-8.957	0.101
1.300	-6.889	0.101
1.400	1.704	0.101
1.500	3.408	0.101
1.600	-6.572	0.101
1.700	-8.464	0.101
1.800	-3.866	0.101
1.900	-1.567	0.101
2.000	-4.853	0.101
2.100	-4.809	0.101
2.200	-5.480	0.101
2.300	5.844	0.101
2.400	4.287	0.101
2.500	3.122	0.101
2.600	-4.758	0.101
2.700	10.012	0.101
2.800	-7.011	0.101
2.900	-2.172	0.101
3.000	-1.840	0.101
3.100	-1.238	0.101
3.200	-12.859	0.101
3.300	0.210	0.101
3.400	-1.142	0.101
3.500	11.437	0.101
3.600	9.392	0.101
3.700	-7.675	0.101
3.800	-4.684	0.101
3.900	-7.696	0.101
4.000	-1.018	0.101
4.100	7.727	0.101
4.200	-2.141	0.101
4.300	0.044	0.101
4.400	-12.224	0.101
4.500	-8.197	0.101
4.600	-2.452	0.101
4.700	2.835	0.101
4.800	3.182	0.101
4.900	4.722	0.101
5.000	3.201	0.101
5.100	2.934	0.101
5.200	-3.960	0.101
5.300	-8.920	0.101
5.400	-4.981	0.101
5.500	3.604	0.101
5.600	-2.598	0.101
5.700	-10.492	0.101
5.800	-6.319	0.101
5.900	-4.957	0.101
6.000	-4.598	0.101
6.100	-2.822	0.101
6.200	8.089	0.101
6.300	-0.887	0.101
6.400	-2.041	0.101
6.500	4.922	0.101
6.600	2.503	0.101
6.700	-6.840	0.101
6.800	-7.411	0.101
6.900	7.002	0.101
7.000	-3.116	0.101
7.100	2.901	0.101
7.200	-5.584	0.101
7.300	-7.204	0.101
7.400	4.345	0.101
7.500	-0.108	0.101
7.600	-0.236	0.101
7.700	0.109	0.101
7.800	-9.528	0.101
7.900	6.440	0.101
8.000	-9.067	0.101
8.100	-4.452	0.101
8.200	10.967	0.101
8.300	2.131	0.101
8.400	-1.347	0.101
8.500	2.819	0.101
8.600	-13.546	0.101
8.700	-3.550	0.101
8.800	-3.040	0.101
8.900	-10.470	0.101
9.000	-4.545	0.101
9.100	-4.945	0.101
9.200	-3.576	0.101
9.300	-5.464	0.101
9.400	1.442	0.101
9.500	-0.078	0.101
9.600	1.404	0.101
9.700	-8.817	0.101
9.800	2.653	0.101
9.900	-2.059	0.101
10.000	1.017	0.101
10.100	-5.718	0.101
10.200	12.514	0.101
10.300	2.010	0.101
10.400	4.518	0.101
10.500	-6.091	0.101
10.600	-9.639	0.101
10.700	-5.592	0.101
10.800	-4.877	0.101
10.900	-9.866	0.101
11.000	-5.918	0.101
11.100	5.696	0.101
11.200	-1.351	0.101
11.300	-3.562	0.101
11.400	-3.903	0.101
11.500	-3.132	0.101
11.600	-3.241	0.101
11.700	7.550	0.101
11.800	-6.764	0.101
11.900	-4.268	0.101
12.000	0.234	0.101
12.100	-4.373	0.101
12.200	-5.333	0.101
12.300	-1.010	0.101
12.400	0.994	0.101
12.500	1.758	0.101
12.600	2.625	0.101
12.700	6.183	0.101
12.800	-10.953	0.101
12.900	9.222	0.101
13.000	-6.867	0.101
13.100	13.598	0.101
13.200	2.586	0.101
13.300	-1.712	0.101
13.400	1.833	0.101
13.500	-1.836	0.101
13.600	-8.745	0.101
13.700	-0.817	0.101
13.800	-5.814	0.101
13.900	-8.135	0.101
14.000	-4.734	0.101
14.100	2.639	0.101
14.200	-4.802	0.101
14.300	-1.286	0.101
14.400	1.596	0.101
14.500	-2.805	0.101
14.600	-2.223	0.101
14.700	-3.889	0.101
14.800	-7.805	0.101
14.900	-8.118	0.101
15.000	4.933	0.101
15.100	-7.457	0.101
15.200	0.599	0.101
15.300	0.704	0.101
15.400	-6.286	0.101
15.500	0.370	0.101
15.600	-11.505	0.101
15.700	-2.038	0.101
15.800	-1.618	0.101
15.900	-3.562	0.101
16.000	-4.746	0.101
16.100	3.861	0.101
16.200	5.472	0.101
16.300	3.403	0.101
16.400	-7.143	0.101
16.500	-4.879	0.101
16.600	-4.570	0.101
16.700	-7.504	0.101
16.800	-4.569	0.101
16.900	3.952	0.101
17.000	-5.067	0.101
17.100	-1.154	0.101
17.200	8.362	0.101
17.300	10.876	0.101
17.400	8.248	0.101
17.500	-1.637	0.101
17.600	-9.841	0.101
17.700	-5.402	0.101
17.800	-0.023	0.101
17.900	-0.292	0.101
18.000	0.363	0.101
18.100	2.867	0.101
18.200	5.645	0.101
18.300	15.619	0.101
18.400	-9.806	0.101
18.500	3.106	0.101
18.600	-4.093	0.101
18.700	-4.300	0.101
18.800	-12.313	0.101
18.900	6.328	0.101
19.000	0.158	0.101
19.100	-1.482	0.101
19.200	-2.290	0.101
19.300	3.751	0.101
19.400	-4.469	0.101
19.500	-4.866	0.101
19.600	-0.726	0.101
19.700	-2.996	0.101
19.800	-0.837	0.101
19.900	-4.222	0.101
20.000	2.534	0.101
20.100	-0.792	0.101
20.200	-4.797	0.101
20.300	-7.247	0.101
20.400	-1.695	0.101
20.500	-2.383	0.101
20.600	-1.948	0.101
20.700	1.292	0.101
20.800	-1.647	0.101
20.900	-2.437	0.101
21.000	-8.583	0.101
21.100	-0.498	0.101
21.200	2.595	0.101
21.300	-5.458	0.101
21.400	-1.164	0.101
21.500	0.367	0.101
21.600	8.010	0.101
21.700	-4.125	0.101
21.800	-5.484	0.101
21.900	-12.355	0.101
22.000	-0.813	0.101
22.100	1.396	0.101
22.200	-6.162	0.101
22.300	-7.822	0.101
22.400	-5.243	0.101
22.500	-1.413	0.101
22.600	-1.177	0.101
22.700	7.042	0.101
22.800	0.632	0.101
22.900	-1.721	0.101
23.000	-4.850	0.101
23.100	1.042	0.101
23.200	-4.244	0.101
23.300	5.999	0.101
23.400	-5.644	0.101
23.500	-1.486	0.101
23.600	-7.572	0.101
23.700	11.768	0.101
23.800	2.381	0.101
23.900	-2.205	0.101
24.000	-9.246	0.101
24.100	5.401	0.101
24.200	-1.797	0.101
24.300	-1.401	0.101
24.400	-2.554	0.101
24.500	-3.865	0.101
24.600	-11.596	0.101
24.700	5.450	0.101
24.800	2.118	0.101
24.900	-5.079	0.101
25.000	-4.701	0.101
25.100	6.623	0.101
25.200	-5.632	0.101
25.300	-6.927	0.101
25.400	-4.207	0.101
25.500	-2.673	0.101
25.600	-7.948	0.101
25.700	2.772	0.101
25.800	18.860	0.101
25.900	7.981	0.101
26.000	-8.134	0.101
26.100	-9.387	0.101
26.200	-14.038	0.101
26.300	6.873	0.101
26.400	2.577	0.101
26.500	-3.840	0.101
26.600	-0.924	0.101
26.700	-5.862	0.101
26.800	-11.311	0.101
26.900	-7.709	0.101
27.000	-7.217	0.101
27.100	2.012	0.101
27.200	0.255	0.101
27.300	-2.509	0.101
27.400	-6.269	0.101
27.500	4.472	0.101
27.600	-5.448	0.101
27.700	-6.428	0.101
27.800	-10.691	0.101
27.900	-1.591	0.101
28.000	-3.922	0.101
28.100	2.996	0.101
28.200	2.470	0.101
28.300	-1.155	0.101
28.400	-5.436	0.101
28.500	-1.567	0.101
28.600	-14.531	0.101
28.700	-4.211	0.101
28.800	-0.951	0.101
28.900	-6.090	0.101
29.000	-1.936	0.101
29.100	6.990	0.101
29.200	0.493	0.101
29.300	3.467	0.101
29.400	-6.753	0.101
29.500	-4.293	0.101
29.600	5.141	0.101
29.700	-5.292	0.101
29.800	4.276	0.101
29.900	-1.956	0.101
30.000	-1.418	0.101
30.100	-11.063	0.101
30.200	8.074	0.101
30.300	5.374	0.101
30.400	-4.928	0.101
30.500	3.580	0.101
30.600	5.546	0.101
30.700	7.979	0.101
30.800	3.758	0.101
30.900	6.771	0.101
31.000	12.577	0.101
31.100	9.261	0.101
31.200	4.184	0.101
31.300	17.322	0.101
31.400	9.501	0.101
31.500	20.927	0.101
31.600	12.698	0.101
31.700	18.922	0.101
31.800	14.876	0.101
31.900	10.220	0.101
32.000	9.890	0.101
32.100	11.241	0.101
32.200	20.947	0.101
32.300	20.849	0.101
32.400	16.001	0.101
32.500	20.240	0.101
32.600	12.897	0.101
32.700	5.031	0.101
32.800	10.979	0.101
32.900	8.655	0.101
33.000	6.389	0.101
33.100	28.887	0.101
33.200	18.921	0.101
33.300	19.709	0.101
33.400	22.901	0.101
33.500	18.407	0.101
33.600	12.021	0.101
33.700	21.005	0.101
33.800	13.593	0.101
33.900	19.132	0.101
34.000	22.628	0.101
34.100	11.032	0.101
34.200	10.845	0.101
34.300	31.866	0.101
34.400	20.824	0.101
34.500	23.714	0.101
34.600	22.666	0.101
34.700	21.346	0.101
34.800	21.805	0.101
34.900	6.853	0.101
35.000	29.650	0.101
35.100	34.339	0.101
35.200	20.325	0.101
35.300	18.644	0.101
35.400	24.792	0.101
35.500	29.359	0.101
35.600	24.047	0.101
35.700	25.884	0.101
35.800	23.712	0.101
35.900	25.050	0.101
36.000	24.003	0.101
36.100	28.107	0.101
36.200	16.111	0.101
36.300	30.879	0.101
36.400	28.526	0.101
36.500	23.656	0.101
36.600	27.333	0.101
36.700	33.399	0.101
36.800	30.709	0.101
36.900	26.092	0.101
37.000	28.325	0.101
37.100	27.397	0.101
37.200	21.839	0.101
37.300	33.720	0.101
37.400	21.963	0.101
37.500	37.533	0.101
37.600	26.151	0.101
37.700	36.416	0.101
37.800	27.728	0.101
37.900	31.781	0.101
38.000	14.126	0.101
38.100	21.403	0.101
38.200	30.246	0.101
38.300	25.598	0.101
38.400	26.927	0.101
38.500	30.157	0.101
38.600	28.983	0.101
38.700	23.286	0.101
38.800	22.022	0.101
38.900	33.029	0.101
39.000	36.799	0.101
39.100	36.810	0.101
39.200	26.190	0.101
39.300	29.910	0.101
39.400	42.135	0.101
39.500	22.518	0.101
39.600	35.905	0.101
39.700	34.262	0.101
39.800	35.357	0.101
39.900	31.486	0.101
40.000	24.576	0.101
40.100	28.867	0.101
40.200	28.617	0.101
40.300	25.629	0.101
40.400	30.066	0.101
40.500	27.429	0.101
40.600	27.758	0.101
40.700	34.506	0.101
40.800	29.287	0.101
40.900	30.009	0.101
41.000	32.579	0.101
41.100	25.347	0.101
41.200	28.576	0.101
41.300	32.752	0.101
41.400	30.542	0.101
41.500	35.574	0.101
41.600	29.829	0.101
41.700	34.707	0.101
41.800	30.247	0.101
41.900	31.395	0.101
42.000	25.034	0.101
42.100	19.286	0.101
42.200	32.700	0.101
42.300	30.596	0.101
42.400	28.807	0.101
42.500	25.910	0.101
42.600	22.042	0.101
42.700	36.851	0.101
42.800	27.210	0.101
42.900	19.254	0.101
43.000	17.749	0.101
43.100	32.428	0.101
43.200	25.840	0.101
43.300	21.591	0.101
43.400	28.588	0.101
43.500	30.736	0.101
43.600	36.411	0.101
43.700	32.518	0.101
43.800	25.306	0.101
43.900	20.607	0.101
44.000	17.980	0.101
44.100	29.716	0.101
44.200	19.267	0.101
44.300	37.485	0.101
44.400	24.904	0.101
44.500	17.533	0.101
44.600	25.728	0.101
44.700	27.118	0.101
44.800	22.684	0.101
44.900	29.059	0.101
45.000	22.490	0.101
45.100	18.362	0.101
45.200	19.924	0.101
45.300	18.905	0.101
45.400	23.164	0.101
45.500	37.239	0.101
45.600	19.215	0.101
45.700	24.409	0.101
45.800	26.422	0.101
45.900	18.727	0.101
46.000	17.011	0.101
46.100	21.477	0.101
46.200	25.650	0.101
46.300	12.620	0.101
46.400	22.759	0.101
46.500	15.860	0.101
46.600	31.093	0.101
46.700	28.625	0.101
46.800	7.696	0.101
46.900	21.465	0.101
47.000	23.266	0.101
47.100	6.171	0.101
47.200	24.491	0.101
47.300	23.190	0.101
47.400	21.087	0.101
47.500	13.708	0.101
47.600	22.636	0.101
47.700	24.287	0.101
47.800	24.928	0.101
47.900	12.618	0.101
48.000	18.896	0.101
48.100	27.726	0.101
48.200	22.503	0.101
48.300	9.366	0.101
48.400	13.675	0.101
48.500	27.064	0.101
48.600	23.898	0.101
48.700	27.230	0.101
48.800	14.945	0.101
48.900	11.487	0.101
49.000	20.289	0.101
49.100	21.726	0.101
49.200	23.715	0.101
49.300	25.843	0.101
49.400	25.378	0.101
49.500	13.803	0.101
49.600	18.280	0.101
49.700	20.340	0.101
49.800	22.881	0.101
49.900	21.152	0.101
50.000	17.421	0.101
50.100	15.186	0.101
50.200	23.469	0.101
50.300	-1.728	0.101
50.400	14.482	0.101
50.500	20.378	0.101
50.600	17.404	0.101
50.700	16.080	0.101
50.800	23.616	0.101
50.900	20.056	0.101
51.000	27.396	0.101
51.100	24.433	0.101
51.200	13.510	0.101
51.300	7.184	0.101
51.400	11.046	0.101
51.500	16.774	0.101
51.600	17.851	0.101
51.700	19.724	0.101
51.800	34.724	0.101
51.900	11.220	0.101
52.000	16.742	0.101
52.100	15.221	0.101
52.200	23.088	0.101
52.300	11.293	0.101
52.400	18.024	0.101
52.500	16.945	0.101
52.600	11.200	0.101
52.700	16.754	0.101
52.800	31.676	0.101
52.900	15.846	0.101
53.000	19.891	0.101
53.100	6.666	0.101
53.200	21.935	0.101
53.300	20.904	0.101
53.400	23.285	0.101
53.500	7.849	0.101
53.600	17.601	0.101
53.700	17.294	0.101
53.800	18.927	0.101
53.900	17.030	0.101
54.000	19.274	0.101
54.100	15.680	0.101
54.200	21.887	0.101
54.300	12.640	0.101
54.400	21.784	0.101
54.500	17.599	0.101
54.600	19.890	0.101
54.700	18.857	0.101
54.800	17.209	0.101
54.900	17.546	0.101
55.000	20.571	0.101
55.100	15.958	0.101
55.200	22.182	0.101
55.300	21.846	0.101
55.400	25.408	0.101
55.500	11.677	0.101
55.600	18.550	0.101
55.700	15.749	0.101
55.800	19.271	0.101
55.900	26.899	0.101
56.000	20.207	0.101
56.100	4.714	0.101
56.200	10.231	0.101
56.300	3.740	0.101
56.400	16.274	0.101
56.500	18.108	0.101
56.600	27.512	0.101
56.700	19.136	0.101
56.800	20.091	0.101
