time /s	I /nA	E /V
0.100	-9.615	0.101
0.200	-13.134	0.101
0.300	-11.440	0.101
0.400	-5.754	0.101
0.500	-16.328	0.101
0.600	-9.115	0.101
0.700	-0.733	0.101
0.800	-4.314	0.101
0.900	-4.981	0.101
1.000	-11.729	0.101
1.100	-11.657	0.101
1.200	-12.155	0.101
1.300	-14.379	0.101
1.400	-0.051	0.101
1.500	-4.979	0.101
1.600	-15.336	0.101
1.700	-10.213	0.101
1.800	-2.618	0.101
1.900	-6.908	0.101
2.000	-15.679	0.101
2.100	-1.481	0.101
2.200	-6.648	0.101
2.300	-7.357	0.101
2.400	-14.942	0.101
2.500	-7.676	0.101
2.600	-10.561	0.101
2.700	3.775	0.101
2.800	-14.496	0.101
2.900	-16.043	0.101
3.000	-7.551	0.101
3.100	-0.413	0.101
3.200	-10.257	0.101
3.300	-5.869	0.101
3.400	-8.493	0.101
3.500	-10.607	0.101
3.600	-5.826	0.101
3.700	-9.805	0.101
3.800	-12.236	0.101
3.900	-9.061	0.101
4.000	-14.856	0.101
4.100	-16.511	0.101
4.200	-10.519	0.101
4.300	-2.241	0.101
4.400	-8.305	0.101
4.500	-11.759	0.101
4.600	-10.084	0.101
4.700	-1.385	0.101
4.800	-12.670	0.101
4.900	-8.324	0.101
5.000	-8.214	0.101
5.100	-1.950	0.101
5.200	-9.469	0.101
5.300	6.561	0.101
5.400	-11.380	0.101
5.500	-13.544	0.101
5.600	-15.708	0.101
5.700	-6.792	0.101
5.800	-14.279	0.101
5.900	-7.526	0.101
6.000	-9.199	0.101
6.100	-13.416	0.101
6.200	-20.408	0.101
6.300	-16.631	0.101
6.400	-8.825	0.101
6.500	1.010	0.101
6.600	-1.306	0.101
6.700	-3.238	0.101
6.800	-10.042	0.101
6.900	-16.521	0.101
7.000	-13.644	0.101
7.100	-9.482	0.101
7.200	-13.336	0.101
7.300	2.716	0.101
7.400	-10.490	0.101
7.500	-0.979	0.101
7.600	-20.350	0.101
7.700	-2.169	0.101
7.800	-2.136	0.101
7.900	-8.470	0.101
8.000	-15.875	0.101
8.100	-9.001	0.101
8.200	-13.363	0.101
8.300	-8.921	0.101
8.400	-3.204	0.101
8.500	-13.904	0.101
8.600	-12.131	0.101
8.700	-6.548	0.101
8.800	-12.442	0.101
8.900	-5.930	0.101
9.000	-4.245	0.101
9.100	-15.726	0.101
9.200	-9.097	0.101
9.300	-8.070	0.101
9.400	-12.110	0.101
9.500	-7.456	0.101
9.600	-4.196	0.101
9.700	-8.586	0.101
9.800	-13.795	0.101
9.900	-5.158	0.101
10.000	-8.457	0.101
10.100	0.366	0.101
10.200	-15.704	0.101
10.300	-15.084	0.101
10.400	-11.272	0.101
10.500	3.394	0.101
10.600	-9.014	0.101
10.700	-11.557	0.101
10.800	-10.039	0.101
10.900	-12.355	0.101
11.000	-10.798	0.101
11.100	-5.475	0.101
11.200	-9.070	0.101
11.300	-6.153	0.101
11.400	-7.000	0.101
11.500	-3.587	0.101
11.600	-15.920	0.101
11.700	-6.601	0.101
11.800	-20.579	0.101
11.900	-3.310	0.101
12.000	-11.110	0.101
12.100	2.041	0.101
12.200	-9.182	0.101
12.300	-2.548	0.101
12.400	-13.042	0.101
12.500	-15.395	0.101
12.600	-10.499	0.101
12.700	-13.664	0.101
12.800	-8.930	0.101
12.900	-0.208	0.101
13.000	-11.031	0.101
13.100	-6.532	0.101
13.200	-10.991	0.101
13.300	-12.575	0.101
13.400	-13.081	0.101
13.500	-6.755	0.101
13.600	-8.998	0.101
13.700	-4.751	0.101
13.800	-9.157	0.101
13.900	-0.487	0.101
14.000	-12.730	0.101
14.100	-3.494	0.101
14.200	-10.144	0.101
14.300	-9.162	0.101
14.400	2.495	0.101
14.500	-14.238	0.101
14.600	-6.591	0.101
14.700	-6.933	0.101
14.800	-4.403	0.101
14.900	-6.472	0.101
15.000	-2.174	0.101
15.100	1.436	0.101
15.200	-4.765	0.101
15.300	-14.865	0.101
15.400	-10.996	0.101
15.500	-10.207	0.101
15.600	-10.582	0.101
15.700	-11.392	0.101
15.800	-1.728	0.101
15.900	-7.445	0.101
16.000	-10.650	0.101
16.100	-8.539	0.101
16.200	-12.875	0.101
16.300	-4.947	0.101
16.400	-13.423	0.101
16.500	-3.754	0.101
16.600	0.671	0.101
16.700	-3.127	0.101
16.800	-3.855	0.101
16.900	-9.057	0.101
17.000	-15.119	0.101
17.100	-2.878	0.101
17.200	-1.851	0.101
17.300	-11.560	0.101
17.400	-9.798	0.101
17.500	-2.157	0.101
17.600	-6.353	0.101
17.700	-1.784	0.101
17.800	-7.891	0.101
17.900	-9.392	0.101
18.000	-9.386	0.101
18.100	-3.395	0.101
18.200	-0.311	0.101
18.300	-3.611	0.101
18.400	-4.908	0.101
18.500	-10.445	0.101
18.600	-8.416	0.101
18.700	-7.202	0.101
18.800	-9.162	0.101
18.900	-7.814	0.101
19.000	-3.449	0.101
19.100	-15.643	0.101
19.200	-7.975	0.101
19.300	-12.756	0.101
19.400	-0.160	0.101
19.500	-1.469	0.101
19.600	-13.627	0.101
19.700	-13.039	0.101
19.800	-10.351	0.101
19.900	-7.517	0.101
20.000	-2.326	0.101
20.100	-14.816	0.101
20.200	-15.766	0.101
20.300	-4.897	0.101
20.400	-7.122	0.101
20.500	-2.124	0.101
20.600	-13.143	0.101
20.700	-7.852	0.101
20.800	3.855	0.101
20.900	-8.845	0.101
21.000	-5.758	0.101
21.100	-0.186	0.101
21.200	-9.802	0.101
21.300	-20.901	0.101
21.400	-7.990	0.101
21.500	-13.353	0.101
21.600	-13.878	0.101
21.700	1.482	0.101
21.800	-2.223	0.101
21.900	-17.411	0.101
22.000	-1.341	0.101
22.100	-8.347	0.101
22.200	-2.048	0.101
22.300	-14.359	0.101
22.400	-15.044	0.101
22.500	-11.370	0.101
22.600	-10.964	0.101
22.700	-8.277	0.101
22.800	-4.505	0.101
22.900	-11.382	0.101
23.000	-3.852	0.101
23.100	3.510	0.101
23.200	-6.749	0.101
23.300	-20.644	0.101
23.400	-11.245	0.101
23.500	-6.926	0.101
23.600	-17.528	0.101
23.700	-4.196	0.101
23.800	-10.722	0.101
23.900	-9.731	0.101
24.000	-12.721	0.101
24.100	-7.064	0.101
24.200	1.247	0.101
24.300	-5.077	0.101
24.400	-8.784	0.101
24.500	-6.178	0.101
24.600	-7.062	0.101
24.700	-9.606	0.101
24.800	-9.462	0.101
24.900	-6.376	0.101
25.000	0.249	0.101
25.100	-11.494	0.101
25.200	-4.064	0.101
25.300	-1.979	0.101
25.400	-2.462	0.101
25.500	-7.829	0.101
25.600	-12.144	0.101
25.700	-13.647	0.101
25.800	-3.060	0.101
25.900	4.115	0.101
26.000	-3.680	0.101
26.100	-16.043	0.101
26.200	-20.845	0.101
26.300	-10.564	0.101
26.400	-7.355	0.101
26.500	-4.686	0.101
26.600	-9.790	0.101
26.700	-9.965	0.101
26.800	-8.999	0.101
26.900	-10.757	0.101
27.000	-1.819	0.101
27.100	-7.774	0.101
27.200	-16.491	0.101
27.300	-9.278	0.101
27.400	-15.006	0.101
27.500	-7.983	0.101
27.600	-13.436	0.101
27.700	0.730	0.101
27.800	3.721	0.101
27.900	-16.645	0.101
28.000	-13.780	0.101
28.100	-9.518	0.101
28.200	-8.366	0.101
28.300	-5.130	0.101
28.400	-3.989	0.101
28.500	-5.837	0.101
28.600	-10.531	0.101
28.700	-17.756	0.101
28.800	-6.712	0.101
28.900	-9.889	0.101
29.000	1.673	0.101
29.100	-6.693	0.101
29.200	-5.005	0.101
29.300	-10.399	0.101
29.400	-0.540	0.101
29.500	-3.950	0.101
29.600	-9.802	0.101
29.700	-10.161	0.101
29.800	-7.953	0.101
29.900	-4.821	0.101
30.000	-10.096	0.101
30.100	-10.543	0.101
30.200	-1.057	0.101
30.300	-15.189	0.101
30.400	-3.877	0.101
30.500	-3.888	0.101
30.600	13.427	0.101
30.700	1.463	0.101
30.800	3.081	0.101
30.900	-5.116	0.101
31.000	9.041	0.101
31.100	7.021	0.101
31.200	16.840	0.101
31.300	8.524	0.101
31.400	10.095	0.101
31.500	10.714	0.101
31.600	21.363	0.101
31.700	23.959	0.101
31.800	36.362	0.101
31.900	14.714	0.101
32.000	21.322	0.101
32.100	21.798	0.101
32.200	23.055	0.101
32.300	20.197	0.101
