time /s	I /nA	E /V
0.100	-25.709	0.101
0.200	-6.913	0.101
0.300	-4.608	0.101
0.400	-9.181	0.101
0.500	-14.636	0.101
0.600	-10.844	0.101
0.700	-11.142	0.101
0.800	-20.026	0.101
0.900	-17.059	0.101
1.000	-19.906	0.101
1.100	-6.990	0.101
1.200	-11.488	0.101
1.300	-8.365	0.101
1.400	-15.646	0.101
1.500	-16.553	0.101
1.600	-13.949	0.101
1.700	-11.535	0.101
1.800	-12.112	0.101
1.900	1.394	0.101
2.000	-20.286	0.101
2.100	-21.053	0.101
2.200	-13.135	0.101
2.300	-16.907	0.101
2.400	-4.247	0.101
2.500	-11.515	0.101
2.600	-20.746	0.101
2.700	-10.869	0.101
2.800	-12.515	0.101
2.900	-21.184	0.101
3.000	0.024	0.101
3.100	-6.039	0.101
3.200	-1.081	0.101
3.300	-11.973	0.101
3.400	-14.447	0.101
3.500	-9.172	0.101
3.600	-18.021	0.101
3.700	-3.708	0.101
3.800	-2.309	0.101
3.900	-3.851	0.101
4.000	-13.400	0.101
4.100	-16.062	0.101
4.200	-9.048	0.101
4.300	-17.815	0.101
4.400	-14.806	0.101
4.500	-9.603	0.101
4.600	-11.351	0.101
4.700	-7.658	0.101
4.800	-5.528	0.101
4.900	-15.269	0.101
5.000	-15.854	0.101
5.100	-6.196	0.101
5.200	-5.605	0.101
5.300	-22.061	0.101
5.400	-14.085	0.101
5.500	-8.719	0.101
5.600	-19.875	0.101
5.700	-11.411	0.101
5.800	-7.920	0.101
5.900	-7.097	0.101
6.000	-11.206	0.101
6.100	-7.215	0.101
6.200	-11.586	0.101
6.300	-20.114	0.101
6.400	-15.042	0.101
6.500	1.118	0.101
6.600	-2.385	0.101
6.700	-18.380	0.101
6.800	-18.740	0.101
6.900	-12.711	0.101
7.000	-6.976	0.101
7.100	-18.934	0.101
7.200	-11.028	0.101
7.300	-11.315	0.101
7.400	-10.658	0.101
7.500	-5.731	0.101
7.600	-7.872	0.101
7.700	-14.053	0.101
7.800	-17.079	0.101
7.900	-6.296	0.101
8.000	-6.897	0.101
8.100	-21.408	0.101
8.200	-14.591	0.101
8.300	-11.973	0.101
8.400	-10.583	0.101
8.500	-13.011	0.101
8.600	-10.384	0.101
8.700	-14.914	0.101
8.800	-25.509	0.101
8.900	-6.205	0.101
9.000	-9.394	0.101
9.100	-3.458	0.101
9.200	-5.400	0.101
9.300	-14.620	0.101
9.400	-15.931	0.101
9.500	-12.178	0.101
9.600	-2.783	0.101
9.700	-12.044	0.101
9.800	-16.495	0.101
9.900	-7.896	0.101
10.000	-2.150	0.101
10.100	-15.181	0.101
10.200	-14.631	0.101
10.300	-18.213	0.101
10.400	-6.506	0.101
10.500	-2.859	0.101
10.600	-8.473	0.101
10.700	-0.045	0.101
10.800	-1.452	0.101
10.900	-15.693	0.101
11.000	-3.516	0.101
11.100	-4.731	0.101
11.200	-16.968	0.101
11.300	-12.429	0.101
11.400	-8.228	0.101
11.500	-6.155	0.101
11.600	-17.173	0.101
11.700	-20.134	0.101
11.800	-12.775	0.101
11.900	-2.648	0.101
12.000	-2.474	0.101
12.100	-12.212	0.101
12.200	-13.114	0.101
12.300	-15.911	0.101
12.400	-21.531	0.101
12.500	-9.698	0.101
12.600	-0.561	0.101
12.700	-5.146	0.101
12.800	-3.292	0.101
12.900	-9.114	0.101
13.000	-12.539	0.101
13.100	-5.502	0.101
13.200	1.314	0.101
13.300	-10.090	0.101
13.400	-14.222	0.101
13.500	-8.181	0.101
13.600	-11.531	0.101
13.700	-9.888	0.101
13.800	-16.340	0.101
13.900	-16.767	0.101
14.000	-3.912	0.101
14.100	-6.093	0.101
14.200	-7.270	0.101
14.300	-15.965	0.101
14.400	-11.881	0.101
14.500	0.820	0.101
14.600	-20.319	0.101
14.700	-17.447	0.101
14.800	-16.575	0.101
14.900	-13.582	0.101
15.000	-9.944	0.101
15.100	-7.771	0.101
15.200	-6.815	0.101
15.300	-3.624	0.101
15.400	-9.504	0.101
15.500	-6.953	0.101
15.600	-0.550	0.101
15.700	-15.412	0.101
15.800	-1.263	0.101
15.900	-12.476	0.101
16.000	-8.200	0.101
16.100	-27.195	0.101
16.200	-11.097	0.101
16.300	-19.125	0.101
16.400	-3.815	0.101
16.500	-9.440	0.101
16.600	-6.535	0.101
16.700	-0.062	0.101
16.800	-7.085	0.101
16.900	-8.664	0.101
17.000	-10.358	0.101
17.100	-3.667	0.101
17.200	-6.600	0.101
17.300	-16.868	0.101
17.400	-7.583	0.101
17.500	-27.141	0.101
17.600	-14.835	0.101
17.700	-4.977	0.101
17.800	-13.147	0.101
17.900	-12.942	0.101
18.000	-8.027	0.101
18.100	-6.112	0.101
18.200	-9.460	0.101
18.300	-2.934	0.101
18.400	-11.157	0.101
18.500	-2.360	0.101
18.600	-9.800	0.101
18.700	-10.322	0.101
18.800	-8.574	0.101
18.900	-15.927	0.101
19.000	-14.994	0.101
19.100	-11.919	0.101
19.200	-10.436	0.101
19.300	-20.246	0.101
19.400	-5.750	0.101
19.500	2.294	0.101
19.600	5.293	0.101
19.700	-12.698	0.101
19.800	-22.243	0.101
19.900	-9.435	0.101
20.000	-0.318	0.101
20.100	-12.867	0.101
20.200	-9.637	0.101
20.300	-13.339	0.101
20.400	-29.346	0.101
20.500	-6.726	0.101
20.600	-4.630	0.101
20.700	12.583	0.101
20.800	-2.632	0.101
20.900	-5.095	0.101
21.000	-15.810	0.101
21.100	-21.300	0.101
21.200	-3.409	0.101
21.300	-0.043	0.101
21.400	-15.639	0.101
21.500	-7.155	0.101
21.600	-7.110	0.101
21.700	-6.042	0.101
21.800	-6.502	0.101
21.900	-6.765	0.101
22.000	-22.000	0.101
22.100	-8.530	0.101
22.200	-16.510	0.101
22.300	-8.277	0.101
22.400	2.718	0.101
22.500	-3.224	0.101
22.600	-6.780	0.101
22.700	-7.367	0.101
22.800	-10.995	0.101
22.900	-5.711	0.101
23.000	-16.539	0.101
23.100	-22.007	0.101
23.200	-9.116	0.101
23.300	10.924	0.101
23.400	-11.599	0.101
23.500	-10.408	0.101
23.600	-17.105	0.101
23.700	-5.261	0.101
23.800	-5.458	0.101
23.900	-6.151	0.101
24.000	-18.653	0.101
24.100	2.581	0.101
24.200	-11.607	0.101
24.300	-14.336	0.101
24.400	-3.983	0.101
24.500	-12.414	0.101
24.600	-16.166	0.101
24.700	-1.361	0.101
24.800	-17.155	0.101
24.900	-21.323	0.101
25.000	-6.255	0.101
25.100	-5.161	0.101
25.200	-0.222	0.101
25.300	-9.962	0.101
25.400	-13.562	0.101
25.500	-9.949	0.101
25.600	-17.034	0.101
25.700	-8.938	0.101
25.800	-7.741	0.101
25.900	-12.754	0.101
26.000	5.229	0.101
26.100	-2.407	0.101
26.200	-15.594	0.101
26.300	-19.418	0.101
26.400	-17.450	0.101
26.500	-17.443	0.101
26.600	-16.269	0.101
26.700	-6.470	0.101
26.800	-17.217	0.101
26.900	-3.993	0.101
27.000	-4.138	0.101
27.100	-13.075	0.101
27.200	-6.369	0.101
27.300	-12.070	0.101
27.400	-24.094	0.101
27.500	-13.376	0.101
27.600	-7.848	0.101
27.700	-14.079	0.101
27.800	-12.778	0.101
27.900	-25.873	0.101
28.000	-11.968	0.101
28.100	0.394	0.101
28.200	-2.467	0.101
28.300	-7.107	0.101
28.400	-14.997	0.101
28.500	-9.332	0.101
28.600	-12.928	0.101
28.700	-11.904	0.101
28.800	-3.345	0.101
28.900	-13.244	0.101
29.000	-19.017	0.101
29.100	-10.645	0.101
29.200	-1.365	0.101
29.300	-3.261	0.101
29.400	-18.747	0.101
29.500	-4.649	0.101
29.600	0.039	0.101
29.700	-10.706	0.101
29.800	-16.402	0.101
29.900	-20.001	0.101
30.000	-9.742	0.101
30.100	-8.204	0.101
30.200	-12.338	0.101
30.300	-3.570	0.101
30.400	-5.023	0.101
30.500	-5.980	0.101
30.600	-0.732	0.101
30.700	-13.826	0.101
30.800	0.494	0.101
30.900	10.389	0.101
31.000	9.612	0.101
31.100	9.762	0.101
31.200	9.157	0.101
31.300	-5.587	0.101
31.400	15.354	0.101
31.500	8.068	0.101
31.600	5.761	0.101
31.700	10.661	0.101
31.800	12.626	0.101
31.900	13.882	0.101
32.000	15.947	0.101
32.100	5.913	0.101
32.200	7.939	0.101
32.300	6.461	0.101
32.400	16.197	0.101
32.500	16.947	0.101
32.600	12.090	0.101
32.700	13.205	0.101
32.800	14.849	0.101
32.900	14.852	0.101
33.000	16.149	0.101
33.100	5.149	0.101
33.200	12.338	0.101
33.300	12.959	0.101
33.400	14.663	0.101
33.500	7.450	0.101
33.600	25.204	0.101
33.700	14.475	0.101
33.800	22.344	0.101
33.900	30.753	0.101
34.000	23.698	0.101
34.100	9.165	0.101
34.200	24.093	0.101
34.300	24.279	0.101
34.400	25.264	0.101
34.500	18.423	0.101
34.600	28.037	0.101
34.700	19.147	0.101
34.800	27.950	0.101
34.900	16.905	0.101
35.000	20.120	0.101
35.100	23.906	0.101
35.200	24.169	0.101
35.300	15.123	0.101
35.400	18.346	0.101
35.500	25.457	0.101
35.600	24.845	0.101
35.700	27.086	0.101
35.800	25.985	0.101
35.900	29.568	0.101
36.000	25.958	0.101
36.100	28.235	0.101
36.200	31.411	0.101
36.300	31.195	0.101
36.400	26.154	0.101
36.500	29.695	0.101
36.600	24.045	0.101
36.700	31.103	0.101
36.800	22.151	0.101
36.900	32.187	0.101
37.000	34.252	0.101
37.100	30.642	0.101
37.200	32.166	0.101
37.300	45.139	0.101
37.400	34.471	0.101
37.500	31.058	0.101
37.600	42.638	0.101
37.700	29.170	0.101
37.800	38.159	0.101
37.900	40.235	0.101
38.000	40.129	0.101
38.100	37.832	0.101
38.200	39.698	0.101
38.300	33.784	0.101
38.400	42.043	0.101
38.500	30.948	0.101
38.600	47.887	0.101
38.700	50.071	0.101
38.800	41.649	0.101
38.900	56.688	0.101
39.000	45.617	0.101
39.100	44.357	0.101
39.200	44.517	0.101
39.300	59.559	0.101
39.400	34.323	0.101
39.500	39.486	0.101
39.600	41.192	0.101
39.700	36.830	0.101
39.800	43.441	0.101
39.900	40.123	0.101
40.000	39.450	0.101
40.100	50.594	0.101
40.200	39.917	0.101
40.300	45.064	0.101
40.400	49.223	0.101
40.500	50.819	0.101
40.600	44.769	0.101
40.700	46.601	0.101
40.800	48.153	0.101
40.900	40.534	0.101
41.000	44.562	0.101
41.100	45.601	0.101
41.200	40.780	0.101
41.300	50.838	0.101
41.400	50.086	0.101
41.500	47.216	0.101
41.600	30.565	0.101
41.700	32.041	0.101
41.800	35.107	0.101
41.900	30.032	0.101
42.000	39.692	0.101
42.100	44.693	0.101
42.200	42.602	0.101
42.300	39.074	0.101
42.400	46.218	0.101
42.500	47.583	0.101
42.600	40.743	0.101
42.700	44.199	0.101
42.800	35.559	0.101
42.900	27.346	0.101
43.000	27.773	0.101
43.100	42.250	0.101
43.200	40.093	0.101
43.300	41.377	0.101
43.400	31.894	0.101
43.500	34.886	0.101
43.600	46.069	0.101
43.700	37.492	0.101
43.800	33.289	0.101
43.900	36.301	0.101
44.000	48.121	0.101
44.100	31.199	0.101
44.200	42.122	0.101
44.300	30.640	0.101
44.400	35.497	0.101
44.500	33.050	0.101
44.600	33.102	0.101
44.700	24.205	0.101
44.800	27.036	0.101
44.900	27.096	0.101
45.000	40.379	0.101
45.100	27.509	0.101
45.200	28.049	0.101
45.300	33.113	0.101
45.400	22.191	0.101
45.500	25.195	0.101
45.600	26.896	0.101
45.700	25.088	0.101
45.800	31.490	0.101
45.900	34.738	0.101
46.000	20.227	0.101
46.100	20.124	0.101
46.200	28.353	0.101
46.300	43.592	0.101
46.400	31.749	0.101
46.500	28.443	0.101
46.600	27.340	0.101
46.700	21.837	0.101
46.800	28.263	0.101
46.900	34.585	0.101
47.000	22.918	0.101
47.100	22.325	0.101
47.200	27.202	0.101
47.300	20.500	0.101
47.400	16.099	0.101
47.500	31.401	0.101
47.600	22.381	0.101
47.700	25.062	0.101
47.800	31.028	0.101
47.900	21.192	0.101
48.000	21.936	0.101
48.100	19.641	0.101
48.200	15.968	0.101
48.300	37.511	0.101
48.400	11.934	0.101
48.500	19.829	0.101
48.600	33.208	0.101
48.700	13.599	0.101
48.800	15.518	0.101
48.900	13.065	0.101
49.000	27.107	0.101
49.100	18.464	0.101
49.200	21.856	0.101
49.300	19.392	0.101
49.400	18.212	0.101
49.500	26.638	0.101
49.600	23.271	0.101
49.700	21.753	0.101
49.800	10.596	0.101
49.900	16.478	0.101
50.000	5.667	0.101
50.100	24.630	0.101
50.200	13.806	0.101
50.300	15.965	0.101
50.400	17.183	0.101
50.500	23.066	0.101
50.600	22.779	0.101
50.700	12.027	0.101
50.800	13.831	0.101
50.900	20.799	0.101
51.000	19.110	0.101
51.100	25.234	0.101
51.200	19.988	0.101
51.300	18.789	0.101
51.400	15.179	0.101
51.500	10.170	0.101
51.600	12.649	0.101
51.700	16.194	0.101
51.800	5.761	0.101
51.900	13.458	0.101
52.000	16.498	0.101
52.100	22.544	0.101
52.200	11.231	0.101
52.300	22.202	0.101
52.400	13.523	0.101
52.500	15.272	0.101
52.600	26.694	0.101
52.700	18.423	0.101
52.800	12.241	0.101
52.900	9.606	0.101
53.000	17.848	0.101
53.100	6.765	0.101
