time /s	I /nA	E /V
0.100	-13.385	0.101
0.200	-24.154	0.101
0.300	-9.555	0.101
0.400	-11.189	0.101
0.500	-5.669	0.101
0.600	-14.121	0.101
0.700	-8.527	0.101
0.800	-5.791	0.101
0.900	-15.162	0.101
1.000	-16.333	0.101
1.100	-12.000	0.101
1.200	-11.329	0.101
1.300	-17.709	0.101
1.400	-24.860	0.101
1.500	-11.471	0.101
1.600	-8.022	0.101
1.700	-17.017	0.101
1.800	-17.915	0.101
1.900	0.119	0.101
2.000	-14.003	0.101
2.100	-17.807	0.101
2.200	-14.677	0.101
2.300	-8.411	0.101
2.400	-17.477	0.101
2.500	-5.140	0.101
2.600	-6.916	0.101
2.700	-11.630	0.101
2.800	-15.836	0.101
2.900	-6.122	0.101
3.000	-6.316	0.101
3.100	-12.207	0.101
3.200	-4.033	0.101
3.300	-16.073	0.101
3.400	-13.681	0.101
3.500	-9.730	0.101
3.600	-2.816	0.101
3.700	-15.333	0.101
3.800	-7.744	0.101
3.900	-7.965	0.101
4.000	-14.219	0.101
4.100	-14.555	0.101
4.200	-18.379	0.101
4.300	-26.529	0.101
4.400	-2.363	0.101
4.500	-2.473	0.101
4.600	-9.783	0.101
4.700	-15.552	0.101
4.800	-10.564	0.101
4.900	-16.208	0.101
5.000	-13.460	0.101
5.100	-14.440	0.101
5.200	-18.195	0.101
5.300	-14.613	0.101
5.400	-12.979	0.101
5.500	-11.731	0.101
5.600	-10.424	0.101
5.700	-11.910	0.101
5.800	-6.101	0.101
5.900	-14.917	0.101
6.000	-17.160	0.101
6.100	-7.773	0.101
6.200	-15.062	0.101
6.300	5.983	0.101
6.400	0.007	0.101
6.500	-16.000	0.101
6.600	-15.469	0.101
6.700	-13.930	0.101
6.800	-18.025	0.101
6.900	-16.795	0.101
7.000	-21.791	0.101
7.100	-11.982	0.101
7.200	-7.880	0.101
7.300	-22.634	0.101
7.400	-16.025	0.101
7.500	-15.065	0.101
7.600	-15.921	0.101
7.700	-2.201	0.101
7.800	1.133	0.101
7.900	-4.977	0.101
8.000	-10.213	0.101
8.100	-15.337	0.101
8.200	-19.465	0.101
8.300	-21.431	0.101
8.400	-7.844	0.101
8.500	-11.779	0.101
8.600	-19.536	0.101
8.700	-1.482	0.101
8.800	-11.415	0.101
8.900	-16.924	0.101
9.000	-7.894	0.101
9.100	-17.669	0.101
9.200	-15.061	0.101
9.300	-7.053	0.101
9.400	-0.658	0.101
9.500	-2.831	0.101
9.600	-17.676	0.101
9.700	-6.141	0.101
9.800	-9.365	0.101
9.900	-13.429	0.101
10.000	-13.226	0.101
10.100	-5.632	0.101
10.200	-8.206	0.101
10.300	-22.778	0.101
10.400	-9.948	0.101
10.500	-11.234	0.101
10.600	-9.384	0.101
10.700	-9.232	0.101
10.800	-11.642	0.101
10.900	-13.941	0.101
11.000	-13.881	0.101
11.100	-22.080	0.101
11.200	-12.988	0.101
11.300	-17.220	0.101
11.400	-5.141	0.101
11.500	-3.748	0.101
11.600	-7.516	0.101
11.700	-13.122	0.101
11.800	-9.970	0.101
11.900	-16.184	0.101
12.000	-13.802	0.101
12.100	-14.223	0.101
12.200	-6.980	0.101
12.300	-7.744	0.101
12.400	-6.521	0.101
12.500	-17.682	0.101
12.600	-15.789	0.101
12.700	-10.735	0.101
12.800	-1.520	0.101
12.900	-8.177	0.101
13.000	-6.406	0.101
13.100	-14.971	0.101
13.200	-18.067	0.101
13.300	-11.224	0.101
13.400	-22.653	0.101
13.500	-20.375	0.101
13.600	-14.201	0.101
13.700	-2.696	0.101
13.800	-6.871	0.101
13.900	-14.610	0.101
14.000	-15.113	0.101
14.100	-14.259	0.101
14.200	-17.514	0.101
14.300	-17.585	0.101
14.400	-4.843	0.101
14.500	-13.099	0.101
14.600	-2.948	0.101
14.700	-19.256	0.101
14.800	-19.631	0.101
14.900	-5.566	0.101
15.000	-2.693	0.101
15.100	-13.695	0.101
15.200	-11.864	0.101
15.300	-18.072	0.101
15.400	-12.089	0.101
15.500	-13.560	0.101
15.600	-9.169	0.101
15.700	-14.801	0.101
15.800	-15.534	0.101
15.900	-11.160	0.101
16.000	-12.270	0.101
16.100	-15.434	0.101
16.200	-23.615	0.101
16.300	-16.909	0.101
16.400	-3.088	0.101
16.500	-17.499	0.101
16.600	-0.848	0.101
16.700	-9.127	0.101
16.800	-11.123	0.101
16.900	-14.313	0.101
17.000	-20.650	0.101
17.100	-13.981	0.101
17.200	-11.033	0.101
17.300	-18.867	0.101
17.400	-9.560	0.101
17.500	-5.847	0.101
17.600	-12.187	0.101
17.700	-15.907	0.101
17.800	-19.404	0.101
17.900	-19.998	0.101
18.000	-6.127	0.101
18.100	-0.462	0.101
18.200	-0.537	0.101
18.300	-12.858	0.101
18.400	-8.569	0.101
18.500	-17.309	0.101
18.600	-14.825	0.101
18.700	-0.854	0.101
18.800	-3.416	0.101
18.900	-8.451	0.101
19.000	-25.168	0.101
19.100	-8.293	0.101
19.200	-5.884	0.101
19.300	-6.871	0.101
19.400	-9.846	0.101
19.500	-20.869	0.101
19.600	-13.312	0.101
19.700	-10.239	0.101
19.800	-3.277	0.101
19.900	-7.716	0.101
20.000	-12.843	0.101
20.100	-13.287	0.101
20.200	-15.300	0.101
20.300	-20.680	0.101
20.400	-2.970	0.101
20.500	-15.047	0.101
20.600	-6.375	0.101
20.700	-11.788	0.101
20.800	-5.572	0.101
20.900	-23.255	0.101
21.000	-8.731	0.101
21.100	2.428	0.101
21.200	-16.721	0.101
21.300	-13.873	0.101
21.400	-6.435	0.101
21.500	-1.217	0.101
21.600	-11.401	0.101
21.700	-12.671	0.101
21.800	-15.022	0.101
21.900	-26.934	0.101
22.000	-8.184	0.101
22.100	-11.263	0.101
22.200	-10.118	0.101
22.300	-4.006	0.101
22.400	-6.388	0.101
22.500	-6.372	0.101
22.600	-15.835	0.101
22.700	-24.034	0.101
22.800	-8.626	0.101
22.900	-15.635	0.101
23.000	-17.426	0.101
23.100	-3.489	0.101
23.200	-9.458	0.101
23.300	-9.943	0.101
23.400	-22.284	0.101
23.500	-7.980	0.101
23.600	-10.444	0.101
23.700	-6.894	0.101
23.800	-10.768	0.101
23.900	-0.321	0.101
24.000	-5.767	0.101
24.100	-13.296	0.101
24.200	-10.364	0.101
24.300	-12.684	0.101
24.400	-11.037	0.101
24.500	-7.166	0.101
24.600	-12.085	0.101
24.700	-8.322	0.101
24.800	-16.226	0.101
24.900	-4.504	0.101
25.000	-14.231	0.101
25.100	-15.756	0.101
25.200	-10.516	0.101
25.300	-18.319	0.101
25.400	-19.478	0.101
25.500	-6.330	0.101
25.600	-13.360	0.101
25.700	-19.139	0.101
25.800	-5.326	0.101
25.900	-5.899	0.101
26.000	-12.712	0.101
26.100	-19.194	0.101
26.200	4.325	0.101
26.300	-8.326	0.101
26.400	-17.194	0.101
26.500	-9.204	0.101
26.600	-8.461	0.101
26.700	-7.145	0.101
26.800	-4.834	0.101
26.900	-14.962	0.101
27.000	-18.982	0.101
27.100	-10.694	0.101
27.200	-3.082	0.101
27.300	-8.670	0.101
27.400	-15.379	0.101
27.500	-18.354	0.101
27.600	-28.937	0.101
27.700	-8.930	0.101
27.800	-5.216	0.101
27.900	-5.047	0.101
28.000	-11.048	0.101
28.100	-6.802	0.101
28.200	-12.842	0.101
28.300	-9.955	0.101
28.400	-6.843	0.101
28.500	-3.787	0.101
28.600	-18.440	0.101
28.700	-20.588	0.101
28.800	-9.682	0.101
28.900	-9.332	0.101
29.000	-16.171	0.101
29.100	-12.320	0.101
29.200	-12.861	0.101
29.300	-16.410	0.101
29.400	-14.815	0.101
29.500	-2.806	0.101
29.600	-4.471	0.101
29.700	-13.235	0.101
29.800	-20.121	0.101
29.900	-15.458	0.101
30.000	-7.225	0.101
30.100	-5.182	0.101
30.200	-5.145	0.101
30.300	-13.359	0.101
30.400	-7.383	0.101
30.500	-12.238	0.101
30.600	-2.381	0.101
30.700	0.832	0.101
30.800	5.638	0.101
30.900	1.304	0.101
31.000	-2.086	0.101
31.100	14.766	0.101
31.200	3.328	0.101
31.300	16.333	0.101
31.400	6.104	0.101
31.500	3.811	0.101
31.600	7.164	0.101
31.700	8.998	0.101
31.800	2.144	0.101
31.900	17.563	0.101
32.000	3.769	0.101
32.100	10.105	0.101
32.200	23.969	0.101
32.300	19.629	0.101
32.400	17.114	0.101
32.500	19.560	0.101
32.600	18.271	0.101
32.700	28.734	0.101
32.800	13.162	0.101
32.900	20.119	0.101
33.000	15.353	0.101
33.100	9.747	0.101
33.200	15.298	0.101
33.300	27.878	0.101
33.400	25.074	0.101
33.500	20.385	0.101
33.600	13.291	0.101
33.700	21.959	0.101
33.800	17.343	0.101
33.900	27.773	0.101
34.000	16.634	0.101
34.100	17.419	0.101
34.200	25.324	0.101
34.300	24.416	0.101
34.400	15.112	0.101
34.500	22.111	0.101
34.600	12.190	0.101
34.700	14.069	0.101
34.800	5.292	0.101
34.900	19.894	0.101
35.000	21.734	0.101
35.100	32.653	0.101
35.200	19.230	0.101
35.300	11.536	0.101
35.400	14.554	0.101
35.500	17.919	0.101
35.600	6.373	0.101
35.700	26.640	0.101
35.800	15.543	0.101
35.900	17.264	0.101
36.000	12.140	0.101
36.100	8.818	0.101
36.200	7.992	0.101
36.300	4.405	0.101
36.400	15.634	0.101
36.500	4.479	0.101
36.600	7.367	0.101
36.700	13.165	0.101
36.800	2.944	0.101
36.900	2.483	0.101
37.000	20.490	0.101
37.100	10.967	0.101
37.200	19.854	0.101
37.300	8.861	0.101
37.400	8.141	0.101
37.500	13.992	0.101
37.600	10.750	0.101
37.700	8.094	0.101
37.800	11.856	0.101
37.900	13.548	0.101
38.000	14.108	0.101
38.100	-9.261	0.101
38.200	-2.196	0.101
38.300	4.731	0.101
38.400	22.410	0.101
38.500	19.204	0.101
38.600	10.032	0.101
38.700	11.625	0.101
38.800	9.369	0.101
38.900	8.099	0.101
39.000	7.882	0.101
39.100	12.343	0.101
39.200	1.749	0.101
39.300	11.941	0.101
39.400	27.216	0.101
39.500	12.496	0.101
39.600	10.040	0.101
39.700	2.617	0.101
39.800	11.122	0.101
39.900	3.014	0.101
40.000	11.165	0.101
40.100	8.188	0.101
40.200	15.076	0.101
40.300	9.108	0.101
40.400	9.091	0.101
40.500	14.013	0.101
40.600	6.755	0.101
40.700	10.845	0.101
40.800	5.278	0.101
40.900	18.470	0.101
41.000	22.521	0.101
41.100	14.548	0.101
41.200	8.163	0.101
41.300	7.357	0.101
41.400	6.513	0.101
41.500	26.131	0.101
41.600	13.498	0.101
41.700	12.254	0.101
41.800	13.176	0.101
41.900	1.512	0.101
42.000	8.496	0.101
42.100	10.261	0.101
42.200	18.176	0.101
42.300	18.861	0.101
42.400	10.732	0.101
42.500	9.228	0.101
42.600	15.875	0.101
42.700	12.671	0.101
42.800	10.303	0.101
42.900	4.994	0.101
43.000	19.675	0.101
43.100	23.369	0.101
43.200	12.568	0.101
43.300	5.429	0.101
43.400	16.095	0.101
43.500	1.582	0.101
