time /s	I /nA	E /V
0.100	34.882	0.099
0.200	43.515	0.099
0.300	45.149	0.099
0.400	49.690	0.099
0.500	31.427	0.099
0.600	36.761	0.099
0.700	34.587	0.099
0.800	22.195	0.099
0.900	51.665	0.099
1.000	42.750	0.099
1.100	42.723	0.099
1.200	40.532	0.099
1.300	38.085	0.099
1.400	33.970	0.099
1.500	43.855	0.099
1.600	37.727	0.099
1.700	41.209	0.099
1.800	36.250	0.099
1.900	39.235	0.099
2.000	46.254	0.099
2.100	36.738	0.099
2.200	48.440	0.099
2.300	32.400	0.099
2.400	25.057	0.099
2.500	39.016	0.099
2.600	46.203	0.099
2.700	52.680	0.099
2.800	26.354	0.099
2.900	50.676	0.099
3.000	31.027	0.099
3.100	46.162	0.099
3.200	50.358	0.099
3.300	40.394	0.099
3.400	49.399	0.099
3.500	39.832	0.099
3.600	51.515	0.099
3.700	48.657	0.099
3.800	44.988	0.099
3.900	36.048	0.099
4.000	38.952	0.099
4.100	34.115	0.099
4.200	46.774	0.099
4.300	54.681	0.099
4.400	46.869	0.099
4.500	41.205	0.099
4.600	35.988	0.099
4.700	27.381	0.099
4.800	43.990	0.099
4.900	45.126	0.099
5.000	46.416	0.099
5.100	39.101	0.099
5.200	36.471	0.099
5.300	60.584	0.099
5.400	42.145	0.099
5.500	40.078	0.099
5.600	47.798	0.099
5.700	40.584	0.099
5.800	50.372	0.099
5.900	31.714	0.099
6.000	48.591	0.099
6.100	39.275	0.099
6.200	37.099	0.099
6.300	42.668	0.099
6.400	42.337	0.099
6.500	47.378	0.099
6.600	48.079	0.099
6.700	48.883	0.099
6.800	41.927	0.099
6.900	33.944	0.099
7.000	39.406	0.099
7.100	42.900	0.099
7.200	41.591	0.099
7.300	50.744	0.099
7.400	49.969	0.099
7.500	40.061	0.099
7.600	48.152	0.099
7.700	48.246	0.099
7.800	38.678	0.099
7.900	37.837	0.099
8.000	45.397	0.099
8.100	41.920	0.099
8.200	43.342	0.099
8.300	44.859	0.099
8.400	53.572	0.099
8.500	41.265	0.099
8.600	46.990	0.099
8.700	40.210	0.099
8.800	49.508	0.099
8.900	43.647	0.099
9.000	38.338	0.099
9.100	46.935	0.099
9.200	39.685	0.099
9.300	50.840	0.099
9.400	43.548	0.099
9.500	42.289	0.099
9.600	45.311	0.099
9.700	39.323	0.099
9.800	49.621	0.099
9.900	42.297	0.099
10.000	59.383	0.099
10.100	42.120	0.099
10.200	57.218	0.099
10.300	36.198	0.099
10.400	39.929	0.099
10.500	45.438	0.099
10.600	52.257	0.099
10.700	32.528	0.099
10.800	48.250	0.099
10.900	47.004	0.099
11.000	39.891	0.099
11.100	52.196	0.099
11.200	32.032	0.099
11.300	41.496	0.099
11.400	53.265	0.099
11.500	42.546	0.099
11.600	39.612	0.099
11.700	39.980	0.099
11.800	38.082	0.099
11.900	60.230	0.099
12.000	49.289	0.099
12.100	37.607	0.099
12.200	49.112	0.099
12.300	49.643	0.099
12.400	48.970	0.099
12.500	51.114	0.099
12.600	49.544	0.099
12.700	40.239	0.099
12.800	44.840	0.099
12.900	64.721	0.099
13.000	49.100	0.099
13.100	47.062	0.099
13.200	32.511	0.099
13.300	44.886	0.099
13.400	24.844	0.099
13.500	52.898	0.099
13.600	45.561	0.099
13.700	40.963	0.099
13.800	42.524	0.099
13.900	34.631	0.099
14.000	56.650	0.099
14.100	51.223	0.099
14.200	40.845	0.099
14.300	40.783	0.099
14.400	35.381	0.099
14.500	43.678	0.099
14.600	50.667	0.099
14.700	46.722	0.099
14.800	37.647	0.099
14.900	48.935	0.099
15.000	39.874	0.099
15.100	52.429	0.099
15.200	37.739	0.099
15.300	51.931	0.099
15.400	26.893	0.099
15.500	44.130	0.099
15.600	40.867	0.099
15.700	31.307	0.099
15.800	37.323	0.099
15.900	55.249	0.099
16.000	42.079	0.099
16.100	35.183	0.099
16.200	47.036	0.099
16.300	48.956	0.099
16.400	42.668	0.099
16.500	49.340	0.099
16.600	43.930	0.099
16.700	55.242	0.099
16.800	61.359	0.099
16.900	30.447	0.099
17.000	40.804	0.099
17.100	40.152	0.099
17.200	42.053	0.099
17.300	47.000	0.099
17.400	32.058	0.099
17.500	50.099	0.099
17.600	49.325	0.099
17.700	35.654	0.099
17.800	39.107	0.099
17.900	50.302	0.099
18.000	29.819	0.099
18.100	44.937	0.099
18.200	45.261	0.099
18.300	53.064	0.099
18.400	48.404	0.099
18.500	31.412	0.099
18.600	47.844	0.099
18.700	41.031	0.099
18.800	26.458	0.099
18.900	29.396	0.099
19.000	53.999	0.099
19.100	52.617	0.099
19.200	56.550	0.099
19.300	46.116	0.099
19.400	32.698	0.099
19.500	43.127	0.099
19.600	46.681	0.099
19.700	45.685	0.099
19.800	28.603	0.099
19.900	43.980	0.099
20.000	29.661	0.099
20.100	45.591	0.099
20.200	57.596	0.099
