time /s	I /nA	E /V
0.100	-1.020	0.099
0.200	5.092	0.099
0.300	-10.673	0.099
0.400	-28.834	0.099
0.500	-0.628	0.099
0.600	-4.623	0.099
0.700	-2.607	0.099
0.800	-2.275	0.099
0.900	8.765	0.100
1.000	24.105	0.099
1.100	-5.051	0.099
1.200	6.919	0.099
1.300	-10.910	0.099
1.400	-16.612	0.099
1.500	-3.858	0.099
1.600	3.425	0.099
1.700	-0.288	0.099
1.800	3.490	0.099
1.900	-1.920	0.100
2.000	-10.213	0.099
2.100	13.992	0.099
2.200	1.481	0.099
2.300	-10.903	0.099
2.400	-5.795	0.099
2.500	2.978	0.100
2.600	-5.182	0.099
2.700	-3.125	0.099
2.800	-1.885	0.099
2.900	-0.992	0.099
3.000	-3.286	0.100
3.100	-10.805	0.099
3.200	1.227	0.100
3.300	-4.822	0.099
3.400	-6.761	0.099
3.500	-8.386	0.099
3.600	9.254	0.099
3.700	-6.337	0.099
3.800	-8.530	0.099
3.900	-4.345	0.099
4.000	-3.667	0.100
4.100	-25.036	0.099
4.200	14.856	0.099
4.300	2.101	0.100
4.400	-4.312	0.099
4.500	-3.036	0.100
4.600	-7.382	0.099
4.700	-6.078	0.099
4.800	-9.390	0.100
4.900	-2.584	0.099
5.000	-11.613	0.099
5.100	6.573	0.100
5.200	-10.929	0.099
5.300	2.013	0.099
5.400	0.840	0.099
5.500	-2.554	0.100
5.600	0.776	0.099
5.700	-4.443	0.099
5.800	-1.301	0.099
5.900	-8.320	0.099
6.000	3.152	0.099
6.100	-14.864	0.099
6.200	6.793	0.099
6.300	3.422	0.100
6.400	0.379	0.099
6.500	-5.318	0.099
6.600	-13.854	0.099
6.700	-3.060	0.099
6.800	-3.124	0.100
6.900	-8.908	0.100
7.000	-0.416	0.099
7.100	-12.888	0.099
7.200	-7.043	0.099
7.300	-3.600	0.099
7.400	10.007	0.099
7.500	-0.279	0.099
7.600	0.931	0.099
7.700	-0.691	0.099
7.800	-7.863	0.099
7.900	3.621	0.100
8.000	-14.928	0.100
8.100	-1.500	0.099
8.200	-11.534	0.099
8.300	-11.823	0.099
8.400	8.390	0.099
8.500	-19.243	0.099
8.600	-6.564	0.100
8.700	-15.661	0.099
8.800	-4.982	0.099
8.900	-0.117	0.100
9.000	-9.238	0.099
9.100	-8.257	0.099
9.200	7.419	0.099
9.300	4.703	0.100
9.400	-5.258	0.099
9.500	-0.460	0.099
9.600	-0.613	0.099
9.700	-2.661	0.099
9.800	-0.157	0.099
9.900	0.194	0.099
10.000	-14.187	0.099
10.100	10.441	0.099
10.200	-3.336	0.099
10.300	-6.958	0.099
10.400	2.246	0.099
10.500	-11.424	0.099
10.600	-5.040	0.099
10.700	-4.295	0.099
10.800	3.829	0.099
10.900	0.116	0.099
11.000	-2.822	0.099
11.100	6.359	0.099
11.200	-6.426	0.099
11.300	0.000	0.099
11.400	-2.818	0.099
11.500	-3.536	0.100
11.600	-13.633	0.099
11.700	8.807	0.099
11.800	-8.860	0.099
11.900	-1.211	0.099
12.000	2.380	0.099
12.100	-2.378	0.099
12.200	-12.672	0.099
12.300	-5.535	0.099
12.400	-4.061	0.099
12.500	-6.353	0.099
12.600	-11.337	0.099
12.700	5.661	0.099
12.800	5.918	0.099
12.900	-13.406	0.099
13.000	-15.248	0.099
13.100	6.508	0.099
13.200	13.255	0.099
13.300	1.415	0.099
13.400	-4.525	0.099
13.500	-15.258	0.099
13.600	-1.985	0.099
13.700	-1.345	0.099
13.800	-9.377	0.099
13.900	7.468	0.099
14.000	3.842	0.099
14.100	0.214	0.099
14.200	-5.713	0.099
14.300	-13.421	0.099
14.400	-2.079	0.099
14.500	-5.812	0.099
14.600	6.112	0.099
14.700	-9.437	0.099
14.800	2.786	0.099
14.900	-16.484	0.099
15.000	-5.047	0.099
15.100	-4.822	0.099
15.200	-2.458	0.099
15.300	8.972	0.099
15.400	1.893	0.099
15.500	-5.713	0.099
15.600	1.089	0.099
15.700	-4.926	0.099
15.800	-3.057	0.099
15.900	-10.520	0.099
16.000	2.523	0.099
16.100	4.557	0.099
16.200	-4.633	0.099
16.300	-3.044	0.099
16.400	-3.304	0.099
16.500	-2.221	0.099
16.600	-5.307	0.099
16.700	-14.899	0.099
16.800	-6.211	0.099
16.900	-6.018	0.099
17.000	1.195	0.099
17.100	8.774	0.099
17.200	-2.768	0.099
17.300	1.176	0.099
17.400	-12.178	0.099
17.500	-3.282	0.099
17.600	3.436	0.099
17.700	-5.323	0.099
17.800	-0.278	0.099
17.900	6.995	0.099
18.000	6.262	0.099
18.100	-17.593	0.099
18.200	-13.385	0.099
18.300	8.805	0.099
18.400	-8.194	0.100
18.500	-0.081	0.100
18.600	4.943	0.099
18.700	-11.567	0.099
18.800	-5.925	0.099
18.900	-15.540	0.099
19.000	-13.011	0.099
19.100	10.041	0.099
19.200	0.756	0.099
19.300	-8.038	0.099
19.400	1.732	0.099
19.500	-0.304	0.099
19.600	-3.389	0.099
19.700	3.553	0.099
19.800	-9.669	0.099
19.900	-1.759	0.099
20.000	4.014	0.099
20.100	-14.764	0.099
20.200	4.229	0.099
20.300	-2.336	0.099
20.400	-3.033	0.099
20.500	-8.264	0.099
20.600	-8.809	0.099
20.700	-11.900	0.099
20.800	-3.092	0.099
20.900	2.150	0.099
21.000	-3.844	0.099
21.100	2.670	0.099
21.200	-5.829	0.099
21.300	-1.273	0.099
21.400	-3.945	0.099
21.500	-2.198	0.099
21.600	-7.708	0.099
21.700	-9.279	0.099
21.800	-7.362	0.099
21.900	-1.606	0.099
22.000	2.461	0.099
22.100	3.543	0.099
22.200	-4.516	0.099
22.300	-1.253	0.099
22.400	-5.417	0.099
22.500	-3.503	0.099
22.600	-11.512	0.099
22.700	-2.351	0.099
22.800	0.574	0.099
22.900	-1.176	0.100
23.000	-7.837	0.099
23.100	-11.133	0.099
23.200	-5.961	0.099
23.300	-4.023	0.099
23.400	-8.038	0.099
23.500	-4.859	0.099
23.600	-9.446	0.099
23.700	-10.679	0.099
23.800	-3.375	0.099
23.900	0.340	0.099
24.000	2.557	0.099
24.100	-7.178	0.099
24.200	0.055	0.099
24.300	-7.855	0.099
24.400	0.837	0.099
24.500	6.272	0.099
24.600	-10.074	0.099
24.700	4.754	0.099
24.800	-8.607	0.099
24.900	3.588	0.099
25.000	-12.651	0.099
25.100	-8.043	0.099
25.200	-2.589	0.099
25.300	-8.431	0.099
25.400	-1.799	0.099
25.500	-0.474	0.099
25.600	-27.245	0.099
25.700	-14.041	0.099
25.800	-8.292	0.099
25.900	0.989	0.099
26.000	-1.142	0.099
26.100	-2.428	0.099
26.200	-4.427	0.099
26.300	-8.270	0.099
26.400	15.814	0.099
26.500	-0.513	0.099
26.600	-10.531	0.099
26.700	5.454	0.099
26.800	-7.200	0.099
26.900	-3.230	0.099
27.000	-11.016	0.099
27.100	0.527	0.099
27.200	-2.348	0.099
27.300	3.129	0.099
27.400	-11.275	0.099
27.500	1.257	0.099
27.600	-3.694	0.099
27.700	5.421	0.099
27.800	6.116	0.099
27.900	-4.887	0.099
28.000	-6.257	0.099
28.100	-21.797	0.099
28.200	8.338	0.099
28.300	3.374	0.099
28.400	-8.330	0.099
28.500	-0.010	0.099
28.600	1.658	0.099
28.700	-10.794	0.099
28.800	-3.890	0.099
28.900	-10.140	0.099
29.000	-13.800	0.099
29.100	-7.071	0.100
29.200	6.699	0.099
29.300	-8.465	0.099
29.400	1.596	0.100
29.500	-15.251	0.099
29.600	5.405	0.099
29.700	-8.158	0.099
29.800	1.933	0.099
29.900	2.074	0.099
30.000	-6.415	0.099
30.100	-5.693	0.099
30.200	3.847	0.099
30.300	-4.664	0.099
30.400	-1.348	0.099
30.500	-1.480	0.099
30.600	-3.779	0.099
30.700	6.582	0.099
30.800	-4.203	0.099
30.900	-6.534	0.099
31.000	10.413	0.099
31.100	-6.871	0.099
31.200	11.351	0.099
31.300	5.232	0.099
31.400	7.423	0.099
31.500	14.435	0.099
31.600	4.326	0.099
31.700	-1.344	0.100
31.800	5.798	0.099
31.900	15.394	0.099
32.000	5.105	0.099
32.100	15.745	0.099
32.200	7.481	0.099
32.300	17.904	0.099
32.400	16.096	0.099
32.500	6.486	0.100
32.600	24.692	0.099
32.700	12.677	0.099
32.800	6.013	0.099
32.900	9.819	0.099
33.000	11.921	0.099
33.100	27.782	0.099
33.200	15.111	0.099
33.300	12.226	0.099
33.400	22.851	0.099
33.500	26.742	0.099
33.600	15.090	0.099
33.700	6.949	0.099
33.800	10.934	0.099
33.900	18.902	0.099
34.000	19.363	0.099
34.100	16.819	0.099
34.200	19.476	0.099
34.300	8.474	0.099
34.400	21.857	0.099
34.500	29.125	0.099
34.600	6.541	0.099
34.700	7.234	0.099
34.800	15.514	0.099
34.900	17.595	0.099
35.000	16.449	0.099
35.100	17.040	0.099
35.200	16.888	0.099
35.300	18.207	0.099
35.400	15.475	0.099
35.500	16.507	0.099
35.600	9.708	0.099
35.700	19.246	0.099
35.800	21.409	0.099
35.900	22.596	0.099
36.000	9.882	0.099
36.100	24.849	0.099
36.200	17.774	0.099
36.300	12.179	0.099
36.400	26.349	0.099
36.500	19.126	0.099
36.600	24.922	0.099
36.700	18.271	0.099
36.800	16.406	0.099
36.900	16.355	0.099
37.000	17.478	0.099
37.100	34.853	0.099
37.200	14.585	0.099
37.300	20.327	0.099
37.400	23.895	0.099
37.500	19.180	0.099
37.600	20.417	0.099
37.700	21.112	0.099
37.800	33.484	0.099
37.900	18.492	0.099
38.000	36.137	0.099
38.100	14.083	0.099
38.200	20.015	0.099
38.300	30.920	0.099
38.400	28.987	0.099
38.500	23.192	0.099
38.600	2.845	0.099
38.700	25.097	0.099
38.800	38.407	0.099
38.900	18.753	0.099
39.000	22.839	0.099
39.100	22.897	0.099
39.200	19.348	0.099
39.300	21.420	0.099
39.400	21.411	0.099
39.500	23.581	0.099
39.600	9.846	0.099
39.700	35.904	0.099
39.800	15.186	0.099
39.900	26.444	0.099
40.000	21.426	0.099
40.100	12.159	0.099
40.200	18.890	0.099
40.300	24.856	0.099
40.400	14.065	0.099
40.500	19.543	0.099
40.600	24.845	0.099
40.700	17.143	0.099
40.800	18.554	0.099
40.900	13.175	0.099
41.000	41.201	0.099
41.100	24.650	0.099
41.200	24.242	0.099
41.300	24.846	0.099
41.400	23.489	0.099
41.500	27.205	0.099
41.600	21.660	0.099
41.700	17.054	0.099
41.800	16.055	0.099
41.900	13.918	0.099
42.000	29.869	0.099
42.100	36.689	0.099
42.200	46.344	0.099
42.300	49.325	0.099
42.400	26.396	0.099
42.500	38.855	0.099
42.600	41.713	0.099
42.700	23.193	0.099
42.800	24.921	0.099
42.900	27.884	0.099
43.000	21.120	0.099
43.100	24.696	0.099
43.200	20.696	0.099
43.300	22.345	0.099
43.400	28.127	0.099
43.500	28.191	0.099
43.600	29.348	0.099
43.700	16.693	0.099
43.800	21.043	0.099
43.900	27.645	0.099
44.000	20.900	0.099
44.100	21.826	0.099
44.200	24.106	0.099
44.300	20.585	0.099
44.400	28.906	0.099
44.500	43.412	0.099
44.600	36.759	0.099
44.700	6.769	0.099
44.800	17.744	0.099
44.900	26.827	0.099
45.000	25.264	0.099
45.100	21.331	0.099
45.200	22.042	0.099
45.300	31.477	0.099
45.400	28.147	0.099
45.500	19.333	0.099
45.600	37.482	0.099
45.700	18.903	0.099
45.800	13.517	0.099
45.900	18.925	0.099
46.000	32.701	0.099
46.100	17.744	0.099
46.200	34.612	0.099
46.300	14.599	0.099
46.400	29.605	0.099
46.500	20.326	0.099
46.600	32.755	0.099
46.700	17.080	0.099
46.800	20.376	0.099
46.900	28.737	0.099
47.000	18.047	0.099
47.100	31.889	0.099
47.200	17.703	0.099
47.300	16.287	0.099
47.400	28.352	0.099
47.500	37.763	0.099
47.600	33.471	0.099
47.700	23.193	0.099
47.800	21.187	0.099
47.900	21.142	0.099
48.000	23.115	0.099
48.100	26.282	0.099
48.200	26.158	0.099
48.300	25.161	0.099
48.400	16.207	0.099
48.500	23.755	0.099
48.600	25.462	0.099
48.700	22.058	0.099
48.800	21.293	0.099
48.900	27.852	0.099
49.000	15.782	0.099
49.100	16.466	0.099
49.200	26.081	0.099
49.300	28.835	0.099
49.400	21.354	0.099
49.500	33.602	0.099
49.600	19.498	0.099
49.700	21.365	0.099
49.800	30.033	0.099
49.900	7.130	0.099
50.000	30.473	0.099
50.100	29.248	0.099
50.200	23.623	0.099
50.300	40.073	0.099
50.400	18.431	0.099
50.500	29.149	0.099
50.600	36.356	0.099
50.700	38.415	0.099
50.800	1.022	0.099
50.900	38.800	0.099
51.000	15.621	0.099
51.100	26.758	0.099
51.200	22.279	0.099
51.300	23.875	0.099
51.400	18.074	0.099
51.500	25.682	0.099
51.600	38.164	0.099
51.700	21.808	0.099
51.800	12.390	0.099
51.900	32.131	0.099
52.000	24.076	0.099
52.100	17.345	0.099
52.200	34.234	0.099
52.300	16.490	0.099
52.400	36.906	0.099
52.500	42.221	0.099
52.600	27.779	0.099
52.700	31.265	0.099
52.800	20.186	0.099
52.900	25.652	0.099
53.000	25.593	0.099
53.100	15.108	0.099
53.200	37.858	0.099
53.300	33.641	0.099
53.400	24.690	0.099
53.500	37.198	0.100
53.600	30.212	0.099
53.700	23.987	0.099
53.800	18.829	0.099
53.900	27.877	0.099
54.000	25.809	0.099
54.100	18.739	0.099
54.200	20.442	0.099
54.300	25.287	0.099
54.400	13.500	0.099
54.500	28.575	0.099
54.600	31.137	0.099
54.700	19.602	0.099
54.800	26.420	0.099
54.900	17.423	0.099
55.000	19.999	0.099
55.100	8.043	0.099
55.200	33.103	0.099
55.300	11.846	0.099
55.400	18.337	0.099
55.500	22.679	0.099
55.600	41.871	0.099
55.700	16.989	0.099
55.800	30.671	0.099
55.900	23.580	0.099
56.000	21.207	0.099
56.100	22.586	0.099
56.200	37.001	0.099
56.300	28.754	0.099
56.400	28.197	0.099
56.500	24.800	0.099
56.600	36.666	0.099
56.700	5.414	0.099
56.800	36.091	0.099
56.900	38.310	0.099
57.000	8.406	0.099
57.100	37.868	0.099
57.200	20.090	0.099
57.300	21.942	0.099
57.400	7.185	0.099
57.500	27.959	0.099
57.600	29.432	0.099
57.700	17.672	0.099
