time /s	I /nA	E /V
0.100	5.871	0.099
0.200	0.365	0.099
0.300	-11.393	0.099
0.400	3.210	0.099
0.500	-3.786	0.099
0.600	18.710	0.099
0.700	1.164	0.100
0.800	-13.563	0.099
0.900	-2.056	0.099
1.000	-6.652	0.099
1.100	-14.295	0.099
1.200	12.640	0.099
1.300	-1.002	0.100
1.400	-19.737	0.099
1.500	-5.471	0.099
1.600	1.694	0.100
1.700	-1.329	0.099
1.800	1.898	0.099
1.900	-13.618	0.099
2.000	-4.748	0.099
2.100	1.716	0.099
2.200	5.118	0.099
2.300	-13.346	0.099
2.400	0.175	0.100
2.500	-12.803	0.099
2.600	5.929	0.099
2.700	4.841	0.099
2.800	-5.329	0.099
2.900	-5.450	0.099
3.000	-5.473	0.099
3.100	-3.680	0.099
3.200	11.805	0.099
3.300	1.501	0.100
3.400	-9.493	0.099
3.500	0.830	0.099
3.600	-9.162	0.099
3.700	-4.139	0.100
3.800	-13.342	0.099
3.900	-3.536	0.099
4.000	-5.980	0.099
4.100	-13.990	0.100
4.200	8.118	0.099
4.300	-1.254	0.099
4.400	-24.199	0.099
4.500	-7.511	0.099
4.600	12.821	0.099
4.700	17.644	0.099
4.800	-4.276	0.100
4.900	0.049	0.100
5.000	-19.698	0.099
5.100	-15.149	0.099
5.200	-6.175	0.100
5.300	-8.175	0.099
5.400	0.855	0.100
5.500	-11.504	0.100
5.600	-6.002	0.099
5.700	-10.057	0.100
5.800	-0.696	0.099
5.900	-6.781	0.099
6.000	-1.654	0.099
6.100	-15.041	0.099
6.200	1.829	0.100
6.300	0.870	0.100
6.400	-8.027	0.099
6.500	-23.684	0.099
6.600	-11.123	0.100
6.700	4.746	0.099
6.800	-7.841	0.099
6.900	-3.879	0.099
7.000	12.532	0.099
7.100	9.221	0.099
7.200	-13.881	0.099
7.300	-5.437	0.100
7.400	-4.237	0.100
7.500	-9.506	0.100
7.600	-5.520	0.099
7.700	-8.607	0.100
7.800	-3.172	0.100
7.900	2.038	0.099
8.000	7.994	0.099
8.100	-12.554	0.099
8.200	-5.689	0.100
8.300	7.309	0.100
8.400	0.585	0.100
8.500	-2.554	0.099
8.600	-8.195	0.100
8.700	-9.860	0.099
8.800	6.276	0.099
8.900	-10.788	0.099
9.000	-16.071	0.099
9.100	-0.455	0.100
9.200	-6.002	0.099
9.300	-11.985	0.100
9.400	-20.674	0.100
9.500	5.015	0.100
9.600	0.258	0.099
9.700	2.107	0.099
9.800	-2.299	0.100
9.900	-6.238	0.100
10.000	15.195	0.099
10.100	-2.956	0.100
10.200	-11.051	0.100
10.300	-11.600	0.100
10.400	-4.091	0.099
10.500	6.641	0.099
10.600	-3.609	0.100
10.700	-9.876	0.099
10.800	4.312	0.100
10.900	-18.625	0.099
11.000	-4.552	0.100
11.100	-5.544	0.099
11.200	-2.455	0.100
11.300	-4.212	0.099
11.400	14.000	0.099
11.500	-3.368	0.099
11.600	-3.837	0.099
11.700	-4.320	0.099
11.800	8.849	0.099
11.900	-21.516	0.100
12.000	-10.334	0.099
12.100	-10.198	0.099
12.200	-10.230	0.100
12.300	-8.824	0.100
12.400	-7.690	0.099
12.500	-3.633	0.100
12.600	-11.345	0.099
12.700	9.216	0.099
12.800	0.036	0.099
12.900	-12.865	0.100
13.000	0.858	0.099
13.100	-3.146	0.100
13.200	-18.427	0.099
13.300	0.043	0.100
13.400	-1.478	0.100
13.500	-6.303	0.100
13.600	0.079	0.100
13.700	-2.429	0.099
13.800	-7.722	0.099
13.900	-8.031	0.099
14.000	-0.433	0.100
14.100	-3.881	0.100
14.200	0.412	0.100
14.300	1.876	0.100
14.400	3.143	0.100
14.500	-6.730	0.100
14.600	-20.510	0.100
14.700	0.848	0.100
14.800	10.766	0.100
14.900	-14.778	0.099
15.000	-1.776	0.099
15.100	1.403	0.100
15.200	-16.858	0.099
15.300	10.733	0.099
15.400	3.621	0.099
15.500	-7.892	0.099
15.600	3.783	0.099
15.700	-18.870	0.099
15.800	-13.940	0.100
15.900	0.123	0.100
16.000	-4.897	0.099
16.100	8.757	0.099
16.200	10.091	0.099
16.300	-7.736	0.100
16.400	-0.974	0.100
16.500	6.742	0.100
16.600	-25.113	0.099
16.700	3.262	0.100
16.800	-12.122	0.099
16.900	-14.255	0.099
17.000	3.063	0.099
17.100	0.626	0.099
17.200	8.564	0.099
17.300	-17.128	0.100
17.400	-14.229	0.099
17.500	3.692	0.099
17.600	-0.275	0.100
17.700	0.002	0.099
17.800	-0.705	0.100
17.900	-24.748	0.099
18.000	8.957	0.099
18.100	3.082	0.099
18.200	0.119	0.099
18.300	-13.246	0.099
18.400	-6.287	0.099
18.500	-4.268	0.099
18.600	10.714	0.100
18.700	-20.410	0.099
18.800	6.736	0.100
18.900	1.835	0.099
19.000	-0.314	0.099
19.100	-24.421	0.099
19.200	4.136	0.099
19.300	-11.126	0.099
19.400	-3.224	0.100
19.500	8.772	0.100
19.600	0.979	0.099
19.700	-20.858	0.100
19.800	10.175	0.099
19.900	-1.653	0.099
20.000	-12.643	0.099
20.100	-9.758	0.100
20.200	10.128	0.100
20.300	5.951	0.099
20.400	-11.908	0.099
20.500	-3.307	0.099
20.600	-4.526	0.099
20.700	-7.001	0.099
20.800	-5.616	0.100
20.900	-14.868	0.099
21.000	3.773	0.099
21.100	-3.795	0.099
21.200	-1.518	0.100
21.300	-8.134	0.099
21.400	-3.754	0.099
21.500	2.571	0.100
21.600	0.992	0.099
21.700	-7.266	0.099
21.800	0.945	0.100
21.900	-6.413	0.099
22.000	-3.070	0.099
22.100	-9.698	0.100
22.200	-7.020	0.099
22.300	12.530	0.099
22.400	-9.113	0.099
22.500	4.194	0.099
22.600	-0.154	0.099
22.700	6.146	0.100
22.800	8.668	0.099
22.900	-11.937	0.100
23.000	-8.950	0.099
23.100	-1.595	0.099
23.200	2.327	0.099
23.300	-7.097	0.100
23.400	-0.548	0.099
23.500	-5.673	0.100
23.600	-4.153	0.099
23.700	-1.196	0.100
23.800	-6.581	0.100
23.900	-0.657	0.099
24.000	-3.983	0.099
24.100	-9.541	0.099
24.200	-11.176	0.099
24.300	-0.908	0.099
24.400	-7.908	0.100
24.500	-3.113	0.100
24.600	-3.488	0.099
24.700	-14.902	0.099
24.800	10.567	0.099
24.900	6.591	0.100
25.000	3.367	0.100
25.100	-11.393	0.100
25.200	-9.094	0.099
25.300	-9.226	0.099
25.400	5.972	0.099
25.500	-4.471	0.099
25.600	-3.283	0.099
25.700	2.202	0.100
25.800	-14.761	0.099
25.900	-11.868	0.099
26.000	-4.418	0.099
26.100	4.641	0.099
26.200	-18.539	0.099
26.300	0.900	0.099
26.400	-5.403	0.099
26.500	6.735	0.100
26.600	-10.907	0.099
26.700	1.181	0.099
26.800	-8.570	0.100
26.900	-18.205	0.100
27.000	-3.203	0.099
27.100	3.432	0.099
27.200	0.035	0.099
27.300	19.615	0.099
27.400	-15.752	0.099
27.500	0.555	0.100
27.600	-22.240	0.099
27.700	14.399	0.099
27.800	-3.262	0.099
27.900	-1.884	0.099
28.000	-10.552	0.100
28.100	-6.545	0.099
28.200	-16.271	0.100
28.300	7.646	0.099
28.400	-1.531	0.100
28.500	-3.510	0.100
28.600	-0.409	0.099
28.700	2.449	0.099
28.800	-19.555	0.099
28.900	-7.049	0.099
29.000	5.666	0.099
29.100	7.143	0.100
29.200	0.040	0.100
29.300	-14.370	0.099
29.400	-2.943	0.100
29.500	10.382	0.100
29.600	-13.885	0.100
29.700	3.593	0.100
29.800	-6.645	0.099
29.900	-13.285	0.100
30.000	9.449	0.099
30.100	-8.159	0.099
30.200	-3.464	0.100
30.300	-4.831	0.099
30.400	-9.972	0.100
30.500	0.415	0.100
30.600	2.107	0.100
30.700	-16.017	0.099
30.800	22.098	0.099
30.900	10.010	0.100
31.000	-0.942	0.099
31.100	1.205	0.100
31.200	-2.425	0.099
31.300	2.254	0.099
31.400	10.291	0.099
31.500	-17.571	0.099
31.600	17.049	0.100
31.700	2.458	0.099
31.800	14.923	0.099
31.900	19.023	0.099
32.000	19.668	0.099
32.100	11.128	0.099
32.200	16.280	0.100
32.300	18.490	0.099
32.400	7.384	0.099
32.500	28.084	0.099
32.600	18.203	0.099
32.700	5.685	0.099
32.800	23.816	0.100
32.900	15.489	0.100
33.000	20.873	0.099
33.100	20.763	0.100
33.200	26.639	0.099
33.300	24.774	0.099
33.400	24.756	0.099
33.500	1.557	0.099
33.600	13.305	0.100
33.700	23.464	0.099
33.800	18.513	0.099
33.900	14.222	0.100
34.000	32.516	0.099
34.100	15.441	0.099
34.200	18.374	0.099
34.300	23.563	0.100
34.400	27.050	0.099
34.500	14.518	0.099
34.600	14.791	0.099
34.700	17.341	0.100
34.800	37.514	0.100
34.900	29.296	0.099
35.000	29.683	0.100
35.100	21.251	0.100
35.200	16.979	0.099
35.300	15.439	0.100
35.400	24.640	0.100
35.500	25.990	0.100
35.600	23.539	0.100
35.700	18.798	0.099
35.800	24.652	0.100
35.900	24.885	0.099
36.000	24.786	0.100
36.100	28.973	0.100
36.200	34.655	0.099
36.300	26.740	0.099
36.400	19.413	0.099
36.500	31.736	0.100
36.600	32.580	0.099
36.700	19.376	0.099
36.800	23.011	0.100
36.900	43.597	0.099
37.000	27.059	0.100
37.100	24.471	0.100
37.200	30.103	0.100
37.300	13.947	0.100
37.400	37.617	0.100
37.500	17.431	0.099
37.600	23.992	0.100
37.700	23.259	0.099
37.800	28.550	0.100
37.900	23.945	0.100
38.000	26.326	0.099
38.100	34.939	0.100
38.200	25.804	0.100
38.300	25.560	0.100
38.400	21.959	0.100
38.500	36.410	0.100
38.600	14.533	0.099
38.700	37.889	0.100
38.800	33.137	0.100
38.900	29.553	0.099
39.000	31.193	0.099
39.100	31.461	0.099
39.200	28.914	0.099
39.300	22.903	0.100
39.400	22.277	0.100
39.500	37.446	0.099
39.600	28.598	0.100
39.700	29.971	0.099
39.800	22.202	0.099
39.900	24.522	0.100
40.000	15.005	0.100
40.100	28.593	0.100
40.200	26.615	0.100
40.300	20.399	0.100
40.400	49.876	0.099
40.500	29.999	0.100
40.600	24.395	0.100
40.700	34.477	0.099
40.800	29.026	0.100
40.900	30.979	0.100
41.000	22.805	0.099
41.100	18.879	0.100
41.200	28.176	0.100
41.300	24.371	0.100
41.400	34.164	0.100
41.500	22.583	0.099
41.600	20.054	0.100
41.700	32.746	0.100
41.800	28.556	0.099
41.900	35.102	0.100
42.000	26.320	0.099
42.100	23.643	0.100
42.200	45.878	0.100
42.300	27.372	0.100
42.400	28.194	0.099
42.500	25.457	0.099
42.600	22.343	0.099
42.700	34.199	0.099
42.800	33.267	0.099
42.900	26.315	0.100
43.000	25.248	0.099
43.100	31.805	0.100
43.200	21.981	0.100
43.300	24.205	0.099
43.400	32.128	0.100
43.500	43.952	0.100
43.600	19.667	0.099
43.700	33.929	0.099
43.800	23.984	0.099
43.900	43.399	0.099
44.000	27.016	0.100
44.100	38.469	0.100
44.200	44.483	0.100
44.300	25.644	0.100
44.400	20.956	0.099
44.500	34.943	0.099
44.600	23.750	0.100
44.700	19.457	0.100
44.800	37.001	0.099
44.900	34.219	0.100
45.000	35.054	0.100
45.100	44.493	0.099
45.200	29.074	0.099
45.300	29.459	0.100
45.400	21.103	0.100
45.500	29.440	0.100
45.600	25.716	0.100
45.700	27.763	0.100
45.800	47.601	0.099
45.900	21.221	0.100
46.000	31.616	0.100
46.100	35.151	0.099
46.200	17.138	0.099
46.300	36.314	0.099
46.400	31.582	0.100
46.500	33.548	0.099
46.600	35.096	0.099
46.700	34.659	0.100
46.800	30.231	0.100
46.900	36.960	0.100
47.000	32.929	0.100
47.100	33.862	0.100
47.200	23.869	0.100
47.300	29.910	0.100
47.400	45.140	0.100
47.500	27.098	0.100
47.600	29.981	0.100
47.700	29.764	0.099
47.800	24.531	0.099
47.900	32.515	0.100
48.000	24.003	0.100
48.100	31.033	0.100
48.200	36.883	0.100
48.300	35.695	0.100
48.400	18.867	0.099
48.500	39.304	0.099
48.600	37.871	0.100
48.700	26.733	0.100
48.800	47.473	0.100
