time /s	I /nA	E /V
0.100	-18.703	0.100
0.200	-0.001	0.100
0.300	-7.020	0.100
0.400	-4.983	0.100
0.500	-16.608	0.100
0.600	-19.541	0.100
0.700	-10.767	0.100
0.800	-14.687	0.100
0.900	-19.901	0.100
1.000	-13.692	0.100
1.100	5.827	0.100
1.200	-10.462	0.100
1.300	-13.370	0.100
1.400	-12.081	0.100
1.500	-21.277	0.100
1.600	-27.157	0.100
1.700	-6.406	0.100
1.800	-9.839	0.100
1.900	-11.984	0.100
2.000	-8.177	0.100
2.100	-7.627	0.100
2.200	-18.450	0.100
2.300	-20.387	0.100
2.400	-28.043	0.100
2.500	-0.482	0.100
2.600	1.755	0.100
2.700	1.121	0.100
2.800	-8.635	0.100
2.900	-17.613	0.100
3.000	-9.076	0.100
3.100	-22.208	0.100
3.200	-30.502	0.100
3.300	5.301	0.100
3.400	-7.650	0.100
3.500	-14.209	0.100
3.600	-20.897	0.100
3.700	-20.849	0.100
3.800	-7.442	0.100
3.900	-7.766	0.100
4.000	-9.099	0.100
4.100	1.163	0.100
4.200	-15.404	0.100
4.300	-9.738	0.100
4.400	-28.292	0.100
4.500	-9.195	0.100
4.600	-0.339	0.100
4.700	-12.115	0.100
4.800	-24.777	0.100
4.900	-12.121	0.100
5.000	-20.752	0.100
5.100	-14.058	0.100
5.200	-16.536	0.100
5.300	-13.729	0.100
5.400	-9.574	0.100
5.500	-2.618	0.100
5.600	-17.236	0.100
5.700	-22.483	0.100
5.800	-13.856	0.100
5.900	-15.140	0.100
6.000	-17.770	0.100
6.100	-7.848	0.100
6.200	1.694	0.100
6.300	-22.990	0.100
6.400	-14.838	0.100
6.500	3.194	0.100
6.600	-6.191	0.100
6.700	-0.046	0.100
6.800	-24.968	0.100
6.900	-9.309	0.100
7.000	-9.389	0.100
7.100	-12.169	0.100
7.200	-23.416	0.100
7.300	-9.333	0.100
7.400	-14.299	0.100
7.500	-11.285	0.100
7.600	-9.975	0.100
7.700	-4.552	0.100
7.800	-8.722	0.100
7.900	-9.960	0.100
8.000	-16.589	0.100
8.100	-10.246	0.100
8.200	-4.908	0.100
8.300	-9.297	0.100
8.400	-15.255	0.100
8.500	-14.183	0.100
8.600	-7.644	0.100
8.700	-16.999	0.100
8.800	-14.963	0.100
8.900	-14.455	0.100
9.000	-14.087	0.100
9.100	4.303	0.100
9.200	-11.279	0.100
9.300	-16.941	0.100
9.400	-24.611	0.100
9.500	-4.659	0.100
9.600	-5.812	0.100
9.700	-1.891	0.100
9.800	-17.169	0.100
9.900	-21.015	0.100
10.000	-10.981	0.100
10.100	-17.352	0.100
10.200	-13.440	0.100
10.300	-5.619	0.100
10.400	-21.433	0.100
10.500	-11.023	0.100
10.600	-10.990	0.100
10.700	-7.824	0.100
10.800	-19.104	0.100
10.900	-37.641	0.100
11.000	-8.754	0.100
11.100	-0.852	0.100
11.200	-8.405	0.100
11.300	-0.163	0.100
11.400	-16.876	0.100
11.500	-4.026	0.100
11.600	-14.816	0.100
11.700	-25.801	0.100
11.800	-23.393	0.100
11.900	-1.119	0.100
12.000	10.920	0.100
12.100	-14.330	0.100
12.200	-8.223	0.100
12.300	-1.749	0.100
12.400	-12.372	0.100
12.500	-18.032	0.100
12.600	-16.640	0.100
12.700	-17.241	0.100
12.800	-10.879	0.100
12.900	-7.698	0.100
13.000	-7.506	0.100
13.100	-13.392	0.100
13.200	-8.999	0.100
13.300	-3.256	0.100
13.400	-20.648	0.100
13.500	-10.892	0.100
13.600	-14.107	0.100
13.700	2.006	0.100
13.800	-9.060	0.100
13.900	-5.784	0.100
14.000	10.657	0.100
14.100	-1.527	0.100
14.200	0.199	0.100
14.300	-25.549	0.100
14.400	-25.881	0.100
14.500	10.486	0.100
14.600	-24.589	0.100
14.700	-1.093	0.100
14.800	-8.979	0.100
14.900	-12.473	0.100
15.000	-11.719	0.100
15.100	-6.455	0.100
15.200	-7.239	0.100
15.300	-22.085	0.100
15.400	-9.241	0.100
15.500	-10.168	0.100
15.600	-12.561	0.100
15.700	-13.597	0.100
15.800	-8.373	0.100
15.900	10.937	0.100
16.000	1.390	0.100
16.100	-25.372	0.100
16.200	-11.366	0.100
16.300	-11.578	0.100
16.400	-11.979	0.100
16.500	-13.689	0.100
16.600	-22.795	0.100
16.700	-18.558	0.100
16.800	-11.468	0.100
16.900	-3.372	0.100
17.000	-3.773	0.100
17.100	-4.187	0.100
17.200	-13.894	0.100
17.300	-8.521	0.100
17.400	-13.527	0.100
17.500	-10.815	0.100
17.600	-21.712	0.100
17.700	-11.227	0.100
17.800	-8.103	0.100
17.900	-20.977	0.100
18.000	-19.827	0.100
18.100	-5.925	0.100
18.200	1.540	0.100
18.300	-9.219	0.100
18.400	-9.914	0.100
18.500	-7.183	0.100
18.600	-3.719	0.100
18.700	-15.040	0.100
18.800	-19.838	0.100
18.900	-10.779	0.100
19.000	-10.089	0.100
19.100	-7.005	0.100
19.200	-12.099	0.100
19.300	-14.491	0.100
19.400	-14.724	0.100
19.500	-3.878	0.100
19.600	-8.573	0.100
19.700	-15.846	0.100
19.800	-14.470	0.100
19.900	-14.662	0.100
20.000	-2.646	0.100
20.100	-13.980	0.100
20.200	-26.049	0.100
20.300	-15.132	0.100
20.400	-14.722	0.100
20.500	-9.684	0.100
20.600	-5.387	0.100
20.700	-9.756	0.100
20.800	-0.778	0.100
20.900	1.088	0.100
21.000	-12.118	0.100
21.100	-16.409	0.100
21.200	-1.305	0.100
21.300	8.900	0.100
21.400	-3.520	0.100
21.500	-9.539	0.100
21.600	-13.894	0.100
21.700	-11.360	0.100
21.800	-29.421	0.100
21.900	-11.020	0.100
22.000	-9.528	0.100
22.100	-0.757	0.100
22.200	-7.989	0.100
22.300	-20.618	0.100
22.400	-8.996	0.100
22.500	-8.134	0.100
22.600	-12.915	0.100
22.700	-15.415	0.100
22.800	-8.949	0.100
22.900	-12.032	0.100
23.000	-16.371	0.100
23.100	-11.815	0.100
23.200	-25.996	0.100
23.300	-4.102	0.100
23.400	2.065	0.100
23.500	-4.869	0.100
23.600	-13.772	0.100
23.700	-16.650	0.100
23.800	-4.963	0.100
23.900	-10.500	0.100
24.000	-7.936	0.100
24.100	-7.453	0.100
24.200	-6.417	0.100
24.300	-11.909	0.100
24.400	-0.224	0.100
24.500	-8.852	0.100
24.600	-13.579	0.100
24.700	-11.820	0.100
24.800	-6.234	0.100
24.900	-14.220	0.100
25.000	-4.443	0.100
25.100	0.509	0.100
25.200	-14.027	0.100
25.300	-22.367	0.100
25.400	-1.425	0.100
25.500	-10.542	0.100
25.600	-23.356	0.100
25.700	-11.527	0.100
25.800	-3.952	0.100
25.900	-4.937	0.100
26.000	-21.312	0.100
26.100	-20.756	0.100
26.200	-11.258	0.100
26.300	-8.720	0.100
26.400	-7.319	0.100
26.500	-2.058	0.100
26.600	-10.012	0.100
26.700	-3.376	0.100
26.800	-3.948	0.100
26.900	-35.118	0.100
27.000	-10.172	0.100
27.100	-10.988	0.100
27.200	-11.110	0.100
27.300	-22.401	0.100
27.400	0.654	0.100
27.500	0.320	0.100
27.600	-0.600	0.100
27.700	-4.259	0.100
27.800	-6.460	0.100
27.900	-10.439	0.100
28.000	-23.799	0.100
28.100	-10.440	0.100
28.200	-23.225	0.100
28.300	-14.757	0.100
28.400	-14.321	0.100
28.500	-6.211	0.100
28.600	-10.260	0.100
28.700	-6.385	0.100
28.800	-5.810	0.100
28.900	-2.573	0.100
29.000	-21.916	0.100
29.100	-12.098	0.100
29.200	-10.868	0.100
29.300	-20.003	0.100
29.400	-15.066	0.100
29.500	-2.087	0.100
29.600	0.385	0.100
29.700	4.297	0.100
29.800	-2.038	0.100
29.900	-17.250	0.100
30.000	-25.951	0.100
30.100	-9.117	0.100
30.200	-21.301	0.100
30.300	-5.132	0.100
30.400	-10.150	0.100
30.500	-22.779	0.100
30.600	-22.461	0.100
30.700	8.040	0.100
30.800	-10.294	0.100
30.900	0.585	0.100
31.000	-3.550	0.100
31.100	-5.062	0.100
31.200	-18.644	0.100
31.300	-6.095	0.100
31.400	-5.258	0.100
31.500	-3.345	0.100
31.600	11.648	0.100
31.700	12.567	0.100
31.800	10.651	0.100
31.900	14.217	0.100
32.000	7.576	0.100
32.100	12.527	0.100
32.200	8.311	0.100
32.300	21.836	0.100
32.400	12.622	0.100
32.500	13.588	0.100
32.600	5.168	0.100
32.700	11.154	0.100
32.800	-3.578	0.100
32.900	7.480	0.100
33.000	15.071	0.100
33.100	22.117	0.100
33.200	20.831	0.100
33.300	14.401	0.100
33.400	13.756	0.100
33.500	7.164	0.100
33.600	-2.044	0.100
33.700	16.652	0.100
33.800	9.192	0.100
33.900	14.369	0.100
34.000	32.540	0.100
34.100	14.461	0.100
34.200	19.082	0.100
34.300	21.083	0.100
34.400	9.709	0.100
34.500	5.494	0.100
34.600	20.773	0.100
34.700	7.519	0.100
34.800	6.011	0.100
34.900	9.010	0.100
35.000	7.919	0.100
35.100	17.380	0.100
35.200	17.979	0.100
35.300	16.448	0.100
35.400	6.171	0.100
35.500	18.429	0.100
35.600	9.737	0.100
35.700	-3.587	0.100
35.800	6.196	0.100
35.900	5.974	0.100
36.000	20.537	0.100
36.100	11.297	0.100
36.200	4.514	0.100
36.300	5.224	0.100
36.400	3.256	0.100
36.500	12.938	0.100
36.600	21.048	0.100
36.700	35.168	0.100
36.800	19.003	0.100
36.900	7.623	0.100
37.000	-4.101	0.100
37.100	12.508	0.100
37.200	9.547	0.100
37.300	4.145	0.100
37.400	14.908	0.100
37.500	13.284	0.100
37.600	16.094	0.100
37.700	11.923	0.100
37.800	10.168	0.100
37.900	16.668	0.100
38.000	11.949	0.100
38.100	11.879	0.100
38.200	8.987	0.100
38.300	-8.005	0.100
38.400	22.106	0.100
38.500	9.851	0.100
38.600	13.910	0.100
38.700	7.336	0.100
38.800	18.131	0.100
38.900	21.704	0.100
39.000	17.063	0.100
39.100	19.935	0.100
39.200	16.262	0.100
39.300	17.727	0.100
39.400	7.882	0.100
39.500	7.760	0.100
39.600	13.644	0.100
39.700	8.579	0.100
39.800	19.508	0.100
39.900	19.478	0.100
40.000	10.395	0.100
40.100	20.209	0.100
40.200	11.077	0.100
40.300	22.041	0.100
40.400	13.922	0.100
40.500	9.116	0.100
40.600	21.003	0.100
40.700	20.904	0.100
40.800	15.892	0.100
40.900	23.715	0.100
41.000	11.835	0.100
41.100	13.608	0.100
41.200	16.908	0.100
41.300	18.474	0.100
41.400	16.689	0.100
41.500	19.367	0.100
41.600	16.650	0.100
41.700	32.039	0.100
41.800	34.246	0.100
41.900	26.224	0.100
42.000	22.535	0.100
42.100	12.602	0.100
42.200	12.530	0.100
42.300	21.855	0.100
42.400	28.378	0.100
42.500	24.785	0.100
42.600	32.357	0.100
42.700	24.860	0.100
42.800	23.167	0.100
42.900	19.695	0.100
43.000	21.508	0.100
43.100	31.666	0.100
43.200	37.646	0.100
43.300	17.141	0.100
43.400	22.078	0.100
43.500	19.473	0.100
43.600	33.896	0.100
43.700	23.791	0.100
43.800	23.124	0.100
43.900	38.003	0.100
44.000	28.876	0.100
44.100	26.839	0.100
44.200	29.995	0.100
44.300	36.134	0.100
44.400	14.052	0.100
44.500	25.341	0.100
44.600	40.894	0.100
44.700	23.760	0.100
44.800	15.282	0.100
44.900	26.571	0.100
45.000	34.885	0.100
45.100	21.266	0.100
45.200	45.421	0.100
45.300	29.105	0.100
45.400	37.173	0.100
45.500	35.356	0.100
45.600	22.285	0.100
45.700	22.414	0.100
45.800	35.317	0.100
45.900	30.429	0.100
46.000	53.509	0.100
46.100	40.634	0.100
46.200	33.490	0.100
46.300	31.082	0.100
46.400	37.363	0.100
46.500	39.410	0.100
46.600	26.443	0.100
46.700	52.793	0.100
46.800	30.245	0.100
46.900	26.595	0.100
47.000	47.219	0.100
47.100	50.945	0.100
47.200	44.746	0.100
47.300	35.193	0.100
47.400	35.540	0.100
47.500	30.184	0.100
47.600	25.345	0.100
47.700	27.625	0.100
47.800	52.560	0.100
47.900	42.085	0.100
48.000	38.330	0.100
48.100	35.562	0.100
48.200	40.260	0.100
48.300	31.875	0.100
48.400	39.590	0.100
48.500	38.046	0.100
48.600	47.054	0.100
48.700	46.174	0.100
48.800	43.043	0.100
48.900	42.809	0.100
49.000	40.572	0.100
49.100	45.338	0.100
49.200	52.424	0.100
49.300	45.314	0.100
49.400	54.422	0.100
49.500	34.206	0.100
49.600	47.674	0.100
49.700	49.232	0.100
49.800	47.387	0.100
49.900	51.136	0.100
50.000	45.489	0.100
50.100	44.306	0.100
50.200	39.203	0.100
50.300	36.039	0.100
50.400	39.411	0.100
50.500	38.210	0.100
50.600	40.345	0.100
50.700	47.369	0.100
50.800	50.627	0.100
50.900	41.938	0.100
51.000	41.678	0.100
51.100	34.853	0.100
51.200	41.488	0.100
51.300	61.899	0.100
51.400	51.925	0.100
51.500	42.901	0.100
51.600	46.314	0.100
51.700	63.133	0.100
51.800	64.076	0.100
51.900	29.405	0.100
52.000	53.890	0.100
52.100	53.030	0.100
52.200	62.728	0.100
52.300	59.877	0.100
52.400	55.252	0.100
52.500	50.748	0.100
52.600	45.527	0.100
52.700	45.112	0.100
52.800	55.326	0.100
52.900	52.163	0.100
53.000	52.289	0.100
53.100	49.163	0.100
53.200	53.896	0.100
53.300	52.487	0.100
53.400	67.890	0.100
53.500	58.377	0.100
53.600	60.943	0.100
53.700	48.543	0.100
53.800	41.729	0.100
53.900	49.006	0.100
54.000	53.334	0.100
54.100	48.525	0.100
54.200	69.506	0.100
54.300	62.785	0.100
54.400	57.624	0.100
54.500	46.753	0.100
54.600	64.597	0.100
54.700	57.287	0.100
54.800	59.627	0.100
54.900	56.017	0.100
55.000	63.417	0.100
55.100	56.928	0.100
55.200	54.953	0.100
55.300	53.507	0.100
55.400	70.610	0.100
55.500	52.177	0.100
55.600	39.894	0.100
55.700	58.756	0.100
55.800	55.575	0.100
55.900	45.278	0.100
56.000	58.516	0.100
56.100	49.480	0.100
56.200	59.299	0.100
56.300	49.735	0.100
56.400	67.158	0.100
56.500	43.174	0.100
56.600	66.861	0.100
56.700	56.894	0.100
56.800	64.216	0.100
56.900	63.475	0.100
57.000	58.625	0.100
57.100	60.713	0.100
57.200	45.818	0.100
57.300	39.180	0.100
57.400	73.386	0.100
57.500	59.674	0.100
57.600	52.908	0.100
57.700	59.692	0.100
57.800	58.348	0.100
57.900	63.207	0.100
58.000	49.567	0.100
58.100	51.347	0.100
58.200	52.958	0.100
58.300	59.004	0.100
58.400	61.064	0.100
58.500	63.939	0.100
58.600	54.296	0.100
58.700	66.949	0.100
58.800	59.725	0.100
58.900	57.177	0.100
59.000	38.380	0.100
59.100	62.614	0.100
59.200	55.015	0.100
59.300	68.291	0.100
59.400	48.080	0.100
59.500	59.774	0.100
59.600	46.871	0.100
59.700	50.137	0.100
59.800	49.460	0.100
59.900	54.437	0.100
60.000	73.998	0.100
60.100	61.238	0.100
60.200	44.800	0.100
60.300	52.466	0.100
60.400	53.766	0.100
60.500	48.730	0.100
60.600	51.258	0.100
60.700	44.400	0.100
60.800	52.432	0.100
60.900	51.994	0.100
61.000	61.514	0.100
61.100	54.110	0.100
61.200	62.454	0.100
61.300	56.340	0.100
61.400	42.002	0.100
61.500	46.609	0.100
61.600	61.627	0.100
61.700	56.558	0.100
61.800	60.386	0.100
61.900	46.525	0.100
62.000	55.036	0.100
62.100	58.496	0.100
62.200	58.495	0.100
62.300	55.044	0.100
62.400	50.551	0.100
62.500	59.610	0.100
62.600	57.742	0.100
62.700	68.661	0.100
62.800	54.419	0.100
62.900	46.029	0.100
63.000	64.400	0.100
63.100	58.679	0.100
63.200	57.677	0.100
63.300	57.994	0.100
63.400	54.960	0.100
63.500	67.112	0.100
63.600	47.759	0.100
63.700	50.696	0.100
63.800	63.937	0.100
63.900	57.626	0.100
64.000	49.178	0.100
64.100	52.649	0.100
64.200	65.665	0.100
64.300	52.907	0.100
64.400	47.779	0.100
64.500	50.751	0.100
64.600	56.215	0.100
64.700	52.863	0.100
64.800	56.060	0.100
64.900	46.387	0.100
65.000	45.767	0.100
65.100	53.255	0.100
65.200	68.340	0.100
65.300	59.546	0.100
65.400	45.404	0.100
65.500	44.143	0.100
65.600	55.921	0.100
65.700	49.441	0.100
65.800	53.282	0.100
65.900	48.238	0.100
66.000	47.996	0.100
66.100	45.228	0.100
66.200	62.152	0.100
66.300	52.775	0.100
66.400	48.880	0.100
66.500	61.185	0.100
66.600	54.320	0.100
66.700	56.512	0.100
66.800	51.262	0.100
66.900	39.536	0.100
67.000	55.392	0.100
67.100	58.522	0.100
67.200	58.120	0.100
67.300	59.367	0.100
67.400	38.144	0.100
67.500	50.906	0.100
67.600	58.977	0.100
67.700	61.229	0.100
67.800	57.782	0.100
67.900	51.023	0.100
68.000	56.703	0.100
68.100	63.240	0.100
68.200	45.107	0.100
68.300	47.558	0.100
68.400	64.003	0.100
68.500	68.746	0.100
68.600	60.054	0.100
68.700	57.339	0.100
68.800	51.608	0.100
68.900	55.553	0.100
69.000	49.768	0.100
69.100	52.483	0.100
69.200	61.086	0.100
69.300	60.606	0.100
69.400	51.653	0.100
69.500	57.157	0.100
69.600	55.319	0.100
69.700	42.026	0.100
69.800	52.898	0.100
69.900	50.312	0.100
70.000	63.589	0.100
70.100	77.858	0.100
70.200	50.443	0.100
70.300	51.552	0.100
70.400	55.785	0.100
70.500	64.188	0.100
70.600	63.236	0.100
70.700	57.140	0.100
70.800	51.077	0.100
70.900	53.967	0.100
71.000	53.689	0.100
71.100	38.699	0.100
71.200	56.196	0.100
71.300	57.116	0.100
71.400	45.841	0.100
71.500	47.949	0.100
71.600	56.532	0.100
71.700	53.918	0.100
71.800	58.980	0.100
71.900	58.860	0.100
72.000	39.243	0.100
72.100	54.691	0.100
72.200	52.726	0.100
72.300	48.553	0.100
72.400	63.651	0.100
72.500	38.795	0.100
72.600	51.539	0.100
72.700	52.553	0.100
72.800	64.250	0.100
72.900	63.756	0.100
73.000	54.822	0.100
73.100	50.705	0.100
73.200	71.401	0.100
73.300	49.646	0.100
73.400	47.523	0.100
73.500	33.446	0.100
73.600	46.296	0.100
73.700	58.917	0.100
73.800	45.940	0.100
73.900	68.383	0.100
74.000	61.569	0.100
74.100	49.468	0.100
74.200	47.016	0.100
74.300	49.800	0.100
74.400	44.185	0.100
74.500	50.613	0.100
74.600	48.658	0.100
74.700	66.978	0.100
74.800	59.829	0.100
74.900	48.617	0.100
75.000	59.818	0.100
75.100	56.663	0.100
75.200	49.889	0.100
75.300	50.263	0.100
75.400	45.119	0.100
75.500	51.938	0.100
75.600	55.947	0.100
75.700	54.434	0.100
75.800	53.923	0.100
75.900	47.683	0.100
76.000	71.578	0.100
76.100	48.716	0.100
76.200	48.992	0.100
76.300	53.024	0.100
76.400	49.701	0.100
76.500	46.256	0.100
76.600	63.488	0.100
76.700	57.268	0.100
76.800	34.048	0.100
76.900	43.394	0.100
77.000	54.915	0.100
77.100	51.212	0.100
77.200	47.076	0.100
77.300	66.006	0.100
77.400	70.095	0.100
77.500	51.870	0.100
77.600	53.445	0.100
77.700	55.619	0.100
77.800	44.208	0.100
77.900	58.719	0.100
78.000	56.936	0.100
78.100	50.200	0.100
78.200	64.464	0.100
78.300	63.015	0.100
78.400	62.156	0.100
78.500	51.082	0.100
78.600	54.553	0.100
78.700	59.295	0.100
78.800	57.235	0.100
78.900	41.277	0.100
79.000	55.913	0.100
79.100	61.568	0.100
79.200	55.184	0.100
79.300	47.856	0.100
79.400	50.585	0.100
79.500	42.139	0.100
79.600	60.584	0.100
79.700	53.099	0.100
79.800	55.754	0.100
79.900	35.224	0.100
80.000	46.338	0.100
80.100	49.147	0.100
80.200	62.485	0.100
80.300	58.458	0.100
80.400	49.569	0.100
80.500	52.402	0.100
80.600	63.463	0.100
80.700	45.081	0.100
80.800	57.275	0.100
80.900	54.012	0.100
81.000	56.825	0.100
81.100	53.603	0.100
81.200	50.875	0.100
81.300	57.562	0.100
81.400	36.120	0.100
81.500	56.880	0.100
81.600	61.336	0.100
81.700	53.855	0.100
81.800	50.980	0.100
81.900	42.257	0.100
82.000	55.062	0.100
82.100	47.544	0.100
82.200	49.258	0.100
82.300	49.575	0.100
82.400	60.518	0.100
82.500	59.975	0.100
82.600	46.379	0.100
82.700	56.703	0.100
82.800	48.595	0.100
82.900	53.376	0.100
83.000	57.270	0.100
83.100	59.477	0.100
83.200	41.100	0.100
83.300	36.099	0.100
83.400	49.957	0.100
83.500	46.971	0.100
83.600	69.435	0.100
83.700	56.371	0.100
83.800	56.329	0.100
83.900	46.916	0.100
84.000	57.036	0.100
84.100	62.387	0.100
84.200	61.558	0.100
84.300	53.973	0.100
84.400	48.904	0.100
84.500	37.436	0.100
84.600	56.232	0.100
84.700	58.237	0.100
84.800	56.913	0.100
84.900	48.911	0.100
85.000	48.798	0.100
85.100	46.718	0.100
85.200	59.986	0.100
85.300	63.767	0.100
85.400	41.360	0.100
85.500	58.656	0.100
85.600	52.493	0.100
85.700	46.398	0.100
85.800	51.824	0.100
85.900	59.059	0.100
86.000	60.950	0.100
86.100	56.708	0.100
86.200	50.391	0.100
86.300	62.381	0.100
86.400	51.562	0.100
86.500	51.976	0.100
86.600	55.405	0.100
86.700	43.520	0.100
86.800	39.134	0.100
86.900	50.600	0.100
87.000	55.190	0.100
87.100	41.559	0.100
87.200	48.428	0.100
87.300	53.964	0.100
87.400	50.842	0.100
87.500	66.441	0.100
87.600	64.443	0.100
87.700	46.595	0.100
87.800	48.983	0.100
87.900	43.581	0.100
88.000	65.151	0.100
88.100	54.277	0.100
88.200	52.655	0.100
88.300	46.111	0.100
88.400	42.608	0.100
88.500	48.532	0.100
88.600	68.442	0.100
88.700	58.027	0.100
88.800	52.624	0.100
88.900	57.409	0.100
89.000	54.199	0.100
89.100	49.675	0.100
89.200	60.241	0.100
89.300	51.167	0.100
89.400	53.817	0.100
89.500	42.700	0.100
89.600	54.286	0.100
89.700	49.332	0.100
89.800	48.384	0.100
89.900	50.336	0.100
90.000	53.456	0.100
90.100	52.299	0.100
90.200	58.867	0.100
90.300	52.101	0.100
90.400	50.990	0.100
90.500	48.175	0.100
90.600	47.882	0.100
90.700	52.647	0.100
90.800	52.859	0.100
90.900	36.983	0.100
91.000	50.537	0.100
91.100	51.061	0.100
91.200	45.520	0.100
91.300	36.279	0.100
91.400	36.031	0.100
91.500	36.850	0.100
91.600	38.463	0.100
91.700	35.260	0.100
91.800	32.704	0.100
91.900	29.465	0.100
92.000	32.244	0.100
92.100	27.758	0.100
92.200	27.163	0.100
92.300	14.470	0.100
