time /s	I /nA	E /V
0.100	-14.631	0.100
0.200	-7.653	0.100
0.300	-17.364	0.100
0.400	-24.146	0.100
0.500	-8.952	0.100
0.600	7.592	0.100
0.700	-4.657	0.100
0.800	3.444	0.100
0.900	-21.911	0.100
1.000	-7.309	0.100
1.100	-15.514	0.100
1.200	-10.510	0.100
1.300	-13.986	0.100
1.400	-3.491	0.100
1.500	-17.748	0.100
1.600	-9.324	0.100
1.700	-15.525	0.100
1.800	-25.160	0.100
1.900	-20.499	0.100
2.000	-16.335	0.100
2.100	1.579	0.100
2.200	-16.280	0.100
2.300	-2.161	0.100
2.400	-3.655	0.100
2.500	-16.828	0.100
2.600	-3.411	0.100
2.700	-18.108	0.100
2.800	-13.804	0.100
2.900	-9.550	0.100
3.000	-8.311	0.100
3.100	2.946	0.100
3.200	-0.267	0.100
3.300	-20.381	0.100
3.400	-10.312	0.100
3.500	-3.118	0.100
3.600	12.556	0.100
3.700	-5.034	0.100
3.800	-5.067	0.100
3.900	-8.298	0.100
4.000	-17.601	0.100
4.100	-9.830	0.100
4.200	-4.132	0.100
4.300	0.184	0.100
4.400	-9.901	0.100
4.500	-17.244	0.100
4.600	-18.875	0.100
4.700	-5.263	0.100
4.800	-2.621	0.100
4.900	-12.049	0.100
5.000	-20.722	0.100
5.100	-14.808	0.100
5.200	-9.514	0.100
5.300	0.589	0.100
5.400	-11.333	0.100
5.500	-13.308	0.100
5.600	2.228	0.100
5.700	-12.483	0.100
5.800	-22.328	0.100
5.900	-18.226	0.100
6.000	-26.037	0.100
6.100	-5.896	0.100
6.200	-11.444	0.100
6.300	-2.189	0.100
6.400	-5.414	0.100
6.500	-13.183	0.100
6.600	-0.765	0.100
6.700	-20.751	0.100
6.800	-17.620	0.100
6.900	-19.653	0.100
7.000	-6.479	0.100
7.100	-6.163	0.100
7.200	-16.139	0.100
7.300	-11.491	0.100
7.400	-1.127	0.100
7.500	-7.186	0.100
7.600	-18.600	0.100
7.700	2.321	0.100
7.800	-6.600	0.100
7.900	-4.749	0.100
8.000	-0.567	0.100
8.100	-5.624	0.100
8.200	-22.740	0.100
8.300	-13.359	0.100
8.400	-3.929	0.100
8.500	-17.257	0.100
8.600	-6.630	0.100
8.700	-6.292	0.100
8.800	-12.531	0.100
8.900	-6.332	0.100
9.000	-24.485	0.100
9.100	-13.208	0.100
9.200	-18.974	0.100
9.300	-9.675	0.100
9.400	-9.395	0.100
9.500	4.068	0.100
9.600	-2.997	0.100
9.700	-0.348	0.100
9.800	-4.642	0.100
9.900	-4.600	0.100
10.000	-3.159	0.100
10.100	-30.213	0.100
10.200	-7.813	0.100
10.300	-9.078	0.100
10.400	-14.452	0.100
10.500	-31.090	0.100
10.600	-18.513	0.100
10.700	1.745	0.100
10.800	-11.177	0.100
