time /s	I /nA	E /V
0.100	-19.688	0.100
0.200	-19.713	0.100
0.300	-14.674	0.100
0.400	-15.698	0.100
0.500	-14.177	0.100
0.600	-12.044	0.100
0.700	-26.986	0.100
0.800	-18.959	0.100
0.900	-16.068	0.100
1.000	-14.919	0.100
1.100	-8.441	0.100
1.200	-11.332	0.100
1.300	-12.145	0.100
1.400	-13.899	0.100
1.500	-10.684	0.100
1.600	-19.418	0.100
1.700	-24.977	0.100
1.800	-7.855	0.100
1.900	-11.389	0.100
2.000	-17.564	0.100
2.100	-25.129	0.100
2.200	-13.758	0.100
2.300	-21.460	0.100
2.400	-22.434	0.100
2.500	-7.143	0.100
2.600	-14.098	0.100
2.700	-7.258	0.100
2.800	-14.051	0.100
2.900	-18.925	0.100
3.000	-20.798	0.100
3.100	-19.742	0.100
3.200	-17.968	0.100
3.300	-16.931	0.100
3.400	-14.378	0.100
3.500	-29.684	0.100
3.600	-21.497	0.100
3.700	-14.575	0.100
3.800	-6.910	0.100
3.900	-14.806	0.100
4.000	-14.782	0.100
4.100	-18.889	0.100
4.200	-20.493	0.100
4.300	-22.332	0.100
4.400	-21.521	0.100
4.500	-11.754	0.100
4.600	-10.852	0.100
4.700	-19.803	0.100
4.800	-18.097	0.100
4.900	-10.093	0.100
5.000	-14.914	0.100
5.100	-19.875	0.100
5.200	-19.525	0.100
5.300	-13.772	0.100
5.400	-13.206	0.100
5.500	-21.602	0.100
5.600	-20.480	0.100
5.700	-11.512	0.100
5.800	-25.159	0.100
5.900	-11.242	0.100
6.000	-18.347	0.100
6.100	-12.767	0.100
6.200	-6.671	0.100
6.300	-18.275	0.100
6.400	-16.675	0.100
6.500	-7.685	0.100
6.600	-17.714	0.100
6.700	-9.690	0.100
6.800	-16.706	0.100
6.900	-24.214	0.100
7.000	-22.918	0.100
7.100	-24.302	0.100
7.200	-18.503	0.100
7.300	-12.897	0.100
7.400	-11.129	0.100
7.500	-25.592	0.100
7.600	-14.475	0.100
7.700	-13.791	0.100
7.800	-17.128	0.100
7.900	-18.667	0.100
8.000	-8.625	0.100
8.100	-12.960	0.100
8.200	-19.078	0.100
8.300	-20.643	0.100
8.400	1.091	0.100
8.500	-14.254	0.100
8.600	-27.425	0.100
8.700	-13.589	0.100
8.800	-16.587	0.100
8.900	-14.553	0.100
9.000	-21.274	0.100
9.100	-13.287	0.100
9.200	-22.013	0.100
9.300	-16.737	0.100
