time /s	I /nA	E /V
0.100	-58.742	0.100
0.200	-64.727	0.100
0.300	-59.021	0.100
0.400	-47.934	0.100
0.500	-68.405	0.100
0.600	-55.523	0.100
0.700	-64.584	0.100
0.800	-64.506	0.100
0.900	-59.213	0.100
1.000	-55.382	0.100
1.100	-55.724	0.100
1.200	-66.319	0.100
1.300	-60.684	0.100
1.400	-61.435	0.100
1.500	-62.925	0.100
1.600	-66.549	0.100
1.700	-55.069	0.100
1.800	-64.096	0.100
1.900	-64.642	0.100
2.000	-69.178	0.100
2.100	-54.277	0.100
2.200	-47.158	0.100
2.300	-60.884	0.100
2.400	-72.066	0.100
2.500	-63.821	0.100
2.600	-49.693	0.100
2.700	-57.888	0.100
2.800	-62.365	0.100
2.900	-65.231	0.100
3.000	-53.662	0.100
3.100	-56.055	0.100
3.200	-58.168	0.100
3.300	-64.426	0.100
3.400	-65.259	0.100
3.500	-62.328	0.100
3.600	-64.285	0.100
3.700	-56.492	0.100
3.800	-64.239	0.100
3.900	-55.727	0.100
4.000	-54.958	0.100
4.100	-57.603	0.100
4.200	-49.475	0.100
4.300	-74.064	0.100
4.400	-66.769	0.100
4.500	-64.157	0.100
4.600	-69.789	0.100
4.700	-56.806	0.100
4.800	-60.597	0.100
4.900	-59.811	0.100
5.000	-67.043	0.100
5.100	-52.538	0.100
5.200	-67.408	0.100
5.300	-55.423	0.100
5.400	-55.241	0.100
5.500	-68.482	0.100
5.600	-60.578	0.100
5.700	-61.231	0.100
5.800	-73.934	0.100
5.900	-46.956	0.100
6.000	-71.744	0.100
6.100	-58.463	0.100
6.200	-60.596	0.100
6.300	-57.725	0.100
6.400	-43.531	0.100
6.500	-54.459	0.100
6.600	-55.323	0.100
6.700	-62.308	0.100
6.800	-63.306	0.100
6.900	-67.747	0.100
7.000	-65.015	0.100
7.100	-43.342	0.100
7.200	-62.932	0.100
7.300	-55.500	0.100
7.400	-54.168	0.100
7.500	-52.032	0.100
7.600	-66.292	0.100
7.700	-65.118	0.100
7.800	-59.928	0.100
7.900	-55.162	0.100
8.000	-67.428	0.100
8.100	-67.833	0.100
8.200	-50.870	0.100
8.300	-68.130	0.100
8.400	-67.483	0.100
8.500	-60.204	0.100
8.600	-55.579	0.100
8.700	-60.008	0.100
8.800	-51.037	0.100
8.900	-56.092	0.100
9.000	-46.549	0.100
9.100	-54.088	0.100
9.200	-52.414	0.100
9.300	-56.350	0.100
9.400	-59.816	0.100
9.500	-59.817	0.100
9.600	-75.975	0.100
9.700	-60.184	0.100
9.800	-61.131	0.100
9.900	-41.799	0.100
10.000	-67.131	0.100
10.100	-65.233	0.100
10.200	-60.396	0.100
10.300	-54.639	0.100
10.400	-50.974	0.100
10.500	-67.027	0.100
10.600	-63.070	0.100
10.700	-47.629	0.100
10.800	-61.743	0.100
10.900	-58.463	0.100
11.000	-53.194	0.100
11.100	-61.703	0.100
11.200	-57.919	0.100
11.300	-62.113	0.100
11.400	-58.223	0.100
11.500	-54.038	0.100
11.600	-61.263	0.100
11.700	-69.121	0.100
11.800	-55.180	0.100
11.900	-64.047	0.100
12.000	-67.006	0.100
12.100	-56.330	0.100
12.200	-53.334	0.100
12.300	-66.224	0.100
12.400	-63.025	0.100
12.500	-54.626	0.100
12.600	-46.319	0.100
12.700	-56.083	0.100
12.800	-49.916	0.100
12.900	-59.000	0.100
13.000	-56.545	0.100
13.100	-56.741	0.100
13.200	-52.123	0.100
13.300	-47.988	0.100
13.400	-56.219	0.100
13.500	-51.312	0.100
13.600	-49.366	0.100
13.700	-63.308	0.100
13.800	-66.486	0.100
13.900	-55.062	0.100
14.000	-47.045	0.100
14.100	-70.043	0.100
14.200	-45.592	0.100
14.300	-62.724	0.100
14.400	-47.107	0.100
14.500	-49.347	0.100
14.600	-58.289	0.100
14.700	-63.575	0.100
14.800	-64.219	0.100
14.900	-47.800	0.100
15.000	-70.631	0.100
15.100	-48.444	0.100
15.200	-49.752	0.100
15.300	-62.012	0.100
15.400	-57.018	0.100
15.500	-66.043	0.100
15.600	-57.622	0.100
15.700	-42.436	0.100
15.800	-46.887	0.100
15.900	-56.330	0.100
16.000	-61.512	0.100
16.100	-66.950	0.100
16.200	-63.652	0.100
16.300	-58.751	0.100
16.400	-60.278	0.100
16.500	-51.865	0.100
16.600	-46.402	0.100
16.700	-53.466	0.100
16.800	-64.514	0.100
16.900	-57.846	0.100
17.000	-63.543	0.100
17.100	-53.645	0.100
17.200	-51.664	0.100
17.300	-51.927	0.100
17.400	-53.555	0.100
17.500	-50.906	0.100
17.600	-81.584	0.100
17.700	-71.151	0.100
17.800	-53.328	0.100
17.900	-48.059	0.100
18.000	-51.906	0.100
18.100	-34.155	0.100
18.200	-66.769	0.100
18.300	-58.303	0.100
18.400	-48.953	0.100
18.500	-54.491	0.100
18.600	-59.710	0.100
18.700	-50.661	0.100
18.800	-50.093	0.100
18.900	-54.962	0.100
19.000	-56.043	0.100
19.100	-52.322	0.100
19.200	-50.182	0.100
19.300	-59.851	0.100
19.400	-60.013	0.100
19.500	-55.590	0.100
19.600	-38.724	0.100
19.700	-46.996	0.100
19.800	-65.625	0.100
19.900	-59.745	0.100
20.000	-57.337	0.100
20.100	-52.189	0.100
20.200	-54.470	0.100
20.300	-67.325	0.100
20.400	-66.370	0.100
20.500	-58.138	0.100
20.600	-48.050	0.100
20.700	-48.846	0.100
20.800	-43.200	0.100
20.900	-54.193	0.100
21.000	-59.426	0.100
21.100	-57.042	0.100
21.200	-60.752	0.100
21.300	-61.725	0.100
21.400	-60.167	0.100
