time /s	I /nA	E /V
0.100	-8.128	0.100
0.200	-0.689	0.100
0.300	-16.457	0.100
0.400	-15.121	0.100
0.500	-12.454	0.100
0.600	-8.603	0.100
0.700	-14.887	0.100
0.800	-9.517	0.100
0.900	-6.302	0.100
1.000	-16.450	0.100
1.100	-12.276	0.100
1.200	-20.175	0.100
1.300	-7.904	0.100
1.400	-22.316	0.100
1.500	-2.381	0.100
1.600	-8.565	0.100
1.700	-21.048	0.100
1.800	-23.993	0.100
1.900	-20.783	0.100
2.000	-10.486	0.100
2.100	-5.764	0.100
2.200	-15.179	0.100
2.300	-18.278	0.100
2.400	-12.569	0.100
2.500	-14.426	0.100
2.600	-22.201	0.100
2.700	-16.033	0.100
2.800	-11.113	0.100
2.900	-20.627	0.100
3.000	-18.630	0.100
3.100	-6.495	0.100
3.200	-6.111	0.100
3.300	-16.225	0.100
3.400	-9.488	0.100
3.500	-10.696	0.100
3.600	-1.695	0.100
3.700	-16.542	0.100
3.800	-15.405	0.100
3.900	-21.538	0.100
4.000	-21.311	0.100
4.100	-23.509	0.100
4.200	-12.720	0.100
4.300	-20.526	0.100
4.400	-13.387	0.100
4.500	-6.754	0.100
4.600	-17.539	0.100
4.700	-9.624	0.100
4.800	-13.982	0.100
4.900	-23.420	0.100
5.000	-15.646	0.100
5.100	-10.936	0.100
5.200	-10.287	0.100
5.300	-19.848	0.100
5.400	-4.544	0.100
5.500	-14.026	0.100
5.600	-16.812	0.100
5.700	-18.054	0.100
5.800	-10.615	0.100
5.900	-29.158	0.100
6.000	-21.728	0.100
6.100	7.220	0.100
6.200	-18.308	0.100
6.300	4.052	0.100
6.400	-10.891	0.100
6.500	-15.408	0.100
6.600	-17.230	0.100
6.700	-29.021	0.100
6.800	-6.977	0.100
6.900	-9.549	0.100
7.000	-20.436	0.100
7.100	-8.553	0.100
7.200	-16.452	0.100
7.300	-7.985	0.100
7.400	-22.932	0.100
7.500	-13.775	0.100
7.600	-18.348	0.100
7.700	-11.460	0.100
7.800	-18.573	0.100
7.900	-34.045	0.100
8.000	-0.047	0.100
8.100	-15.960	0.100
8.200	-7.966	0.100
8.300	-14.643	0.100
8.400	0.902	0.100
8.500	-23.997	0.100
8.600	-12.533	0.100
8.700	-13.511	0.100
8.800	-4.783	0.100
8.900	-9.677	0.100
9.000	-7.447	0.100
9.100	-17.147	0.100
9.200	-15.914	0.100
9.300	-18.176	0.100
9.400	-12.392	0.100
9.500	-7.033	0.100
9.600	-18.198	0.100
9.700	-21.268	0.100
9.800	-16.251	0.100
9.900	-7.334	0.100
10.000	-22.339	0.100
10.100	-5.103	0.100
10.200	-5.856	0.100
10.300	-11.317	0.100
10.400	-12.169	0.100
10.500	-11.980	0.100
10.600	-22.318	0.100
10.700	-17.962	0.100
10.800	-12.059	0.100
10.900	-14.605	0.100
11.000	-24.587	0.100
11.100	-26.929	0.100
11.200	-19.934	0.100
11.300	-16.236	0.100
11.400	-12.006	0.100
11.500	-13.878	0.100
11.600	-7.534	0.100
11.700	-15.650	0.100
11.800	-5.650	0.100
11.900	-14.731	0.100
12.000	1.075	0.100
12.100	-19.029	0.100
12.200	-19.461	0.100
12.300	-14.288	0.100
12.400	-16.749	0.100
12.500	-7.920	0.100
12.600	-2.821	0.100
12.700	-11.359	0.100
12.800	-19.289	0.100
12.900	-18.665	0.100
13.000	-15.464	0.100
13.100	-10.711	0.100
13.200	-10.909	0.100
13.300	-18.279	0.100
13.400	-17.378	0.100
13.500	-19.725	0.100
13.600	-15.373	0.100
13.700	-5.616	0.100
13.800	-16.335	0.100
