time /s	I /nA	E /V
0.100	-53.374	0.100
0.200	-62.970	0.100
0.300	-71.620	0.100
0.400	-67.797	0.100
0.500	-58.767	0.100
0.600	-62.735	0.100
0.700	-61.395	0.100
0.800	-59.320	0.100
0.900	-72.896	0.100
1.000	-70.028	0.100
1.100	-48.459	0.100
1.200	-71.009	0.100
1.300	-50.733	0.100
1.400	-62.761	0.100
1.500	-48.791	0.100
1.600	-75.190	0.100
1.700	-69.700	0.100
1.800	-72.311	0.100
1.900	-63.144	0.100
2.000	-55.896	0.100
2.100	-52.445	0.100
2.200	-75.654	0.100
2.300	-63.559	0.100
2.400	-60.231	0.100
2.500	-69.086	0.100
2.600	-59.753	0.100
2.700	-54.619	0.100
2.800	-52.054	0.100
2.900	-72.539	0.100
3.000	-65.203	0.100
3.100	-58.419	0.100
3.200	-67.110	0.100
3.300	-78.535	0.100
3.400	-52.587	0.100
3.500	-67.974	0.100
3.600	-58.368	0.100
3.700	-58.345	0.100
3.800	-53.562	0.100
3.900	-66.193	0.100
4.000	-56.342	0.100
4.100	-54.940	0.100
4.200	-64.625	0.100
4.300	-53.993	0.100
4.400	-57.140	0.100
4.500	-65.605	0.100
4.600	-68.354	0.100
4.700	-61.039	0.100
4.800	-62.007	0.100
4.900	-65.366	0.100
5.000	-64.822	0.100
5.100	-69.362	0.100
5.200	-60.932	0.100
5.300	-51.906	0.100
5.400	-63.733	0.100
5.500	-66.519	0.100
5.600	-63.311	0.100
5.700	-51.343	0.100
5.800	-64.056	0.100
5.900	-56.404	0.100
6.000	-59.813	0.100
6.100	-75.205	0.100
6.200	-51.889	0.100
6.300	-63.864	0.100
6.400	-63.611	0.100
6.500	-58.870	0.100
6.600	-59.854	0.100
6.700	-59.859	0.100
6.800	-62.367	0.100
6.900	-62.061	0.100
7.000	-64.692	0.100
7.100	-71.099	0.100
7.200	-62.925	0.100
7.300	-71.508	0.100
7.400	-72.163	0.100
7.500	-58.927	0.100
7.600	-41.126	0.100
7.700	-61.733	0.100
7.800	-52.196	0.100
7.900	-45.002	0.100
8.000	-56.081	0.100
8.100	-58.777	0.100
8.200	-61.825	0.100
8.300	-64.091	0.100
8.400	-61.780	0.100
8.500	-58.984	0.100
8.600	-69.301	0.100
8.700	-67.876	0.100
8.800	-46.985	0.100
8.900	-71.208	0.100
9.000	-54.987	0.100
9.100	-57.183	0.100
9.200	-67.380	0.100
9.300	-46.613	0.100
9.400	-54.976	0.100
9.500	-66.876	0.100
9.600	-54.679	0.100
9.700	-62.352	0.100
9.800	-64.600	0.100
9.900	-61.657	0.100
10.000	-76.293	0.100
10.100	-56.873	0.100
10.200	-62.678	0.100
10.300	-63.396	0.100
10.400	-51.110	0.100
10.500	-56.742	0.100
10.600	-72.870	0.100
10.700	-49.682	0.100
10.800	-58.324	0.100
10.900	-46.982	0.100
11.000	-54.693	0.100
11.100	-68.958	0.100
11.200	-57.645	0.100
11.300	-49.931	0.100
11.400	-50.590	0.100
11.500	-70.518	0.100
11.600	-64.030	0.100
11.700	-49.773	0.100
11.800	-62.666	0.100
11.900	-70.491	0.100
12.000	-65.629	0.100
12.100	-56.709	0.100
12.200	-56.359	0.100
12.300	-55.284	0.100
12.400	-46.063	0.100
12.500	-59.276	0.100
12.600	-69.589	0.100
12.700	-68.102	0.100
12.800	-61.435	0.100
12.900	-61.230	0.100
13.000	-51.757	0.100
13.100	-61.339	0.100
13.200	-58.430	0.100
13.300	-51.393	0.100
13.400	-56.358	0.100
13.500	-65.935	0.100
13.600	-67.025	0.100
13.700	-55.553	0.100
13.800	-59.853	0.100
13.900	-58.220	0.100
14.000	-62.854	0.100
14.100	-51.649	0.100
14.200	-64.416	0.100
14.300	-76.645	0.100
14.400	-59.446	0.100
14.500	-52.685	0.100
14.600	-41.659	0.100
14.700	-50.296	0.100
14.800	-52.987	0.100
14.900	-59.709	0.100
15.000	-70.619	0.100
15.100	-54.911	0.100
15.200	-67.251	0.100
15.300	-56.390	0.100
15.400	-53.115	0.100
15.500	-57.955	0.100
15.600	-54.402	0.100
15.700	-59.652	0.100
15.800	-67.173	0.100
15.900	-47.844	0.100
16.000	-58.043	0.100
16.100	-65.656	0.100
16.200	-68.097	0.100
16.300	-57.213	0.100
16.400	-48.890	0.100
16.500	-51.030	0.100
16.600	-54.364	0.100
16.700	-53.935	0.100
16.800	-57.189	0.100
16.900	-62.932	0.100
17.000	-75.310	0.100
17.100	-55.541	0.100
17.200	-58.155	0.100
17.300	-48.669	0.100
17.400	-58.050	0.100
17.500	-65.161	0.100
17.600	-57.816	0.100
17.700	-60.823	0.100
17.800	-52.747	0.100
17.900	-47.161	0.100
18.000	-50.351	0.100
18.100	-64.795	0.100
18.200	-67.672	0.100
18.300	-51.732	0.100
18.400	-52.281	0.100
18.500	-56.482	0.100
18.600	-57.638	0.100
18.700	-65.546	0.100
18.800	-63.316	0.100
18.900	-55.009	0.100
19.000	-59.060	0.100
19.100	-53.278	0.100
19.200	-67.736	0.100
19.300	-53.132	0.100
19.400	-53.817	0.100
19.500	-68.559	0.100
19.600	-62.118	0.100
19.700	-52.731	0.100
19.800	-60.405	0.100
19.900	-60.372	0.100
20.000	-56.832	0.100
20.100	-53.044	0.100
20.200	-48.151	0.100
20.300	-63.644	0.100
20.400	-66.960	0.100
20.500	-64.187	0.100
20.600	-59.854	0.100
20.700	-59.727	0.100
20.800	-68.314	0.100
20.900	-64.639	0.100
21.000	-57.044	0.100
21.100	-53.605	0.100
21.200	-52.930	0.100
21.300	-51.612	0.100
21.400	-54.755	0.100
21.500	-51.164	0.100
21.600	-53.873	0.100
21.700	-59.386	0.100
21.800	-66.898	0.100
21.900	-59.076	0.100
22.000	-66.942	0.100
22.100	-58.078	0.100
22.200	-51.841	0.100
22.300	-56.083	0.100
22.400	-61.890	0.100
22.500	-58.351	0.100
22.600	-58.453	0.100
22.700	-62.281	0.100
22.800	-61.918	0.100
22.900	-44.999	0.100
23.000	-54.112	0.100
23.100	-49.949	0.100
23.200	-63.642	0.100
23.300	-60.057	0.100
23.400	-66.112	0.100
23.500	-56.154	0.100
23.600	-53.382	0.100
23.700	-59.104	0.100
