time /s	I /nA	E /V
0.100	-18.609	0.100
0.200	-25.743	0.100
0.300	-22.307	0.100
0.400	-22.892	0.100
0.500	-26.962	0.100
0.600	-26.552	0.100
0.700	-14.223	0.100
0.800	-24.658	0.100
0.900	-20.618	0.100
1.000	-24.530	0.100
1.100	-22.586	0.100
1.200	-30.611	0.100
1.300	-24.616	0.100
1.400	-32.799	0.100
1.500	-21.003	0.100
1.600	-21.204	0.100
1.700	-21.570	0.100
1.800	-16.939	0.100
1.900	-29.886	0.100
2.000	-22.224	0.100
2.100	-32.126	0.100
2.200	-26.420	0.100
2.300	-22.875	0.100
2.400	-29.358	0.100
2.500	-35.593	0.100
2.600	-31.342	0.100
2.700	-3.848	0.100
2.800	-28.211	0.100
2.900	-19.470	0.100
3.000	-23.221	0.100
3.100	-25.096	0.100
3.200	-15.307	0.100
3.300	-21.430	0.100
3.400	-20.282	0.100
3.500	-43.576	0.100
3.600	-24.893	0.100
3.700	-13.276	0.100
3.800	-42.317	0.100
3.900	-24.837	0.100
4.000	-18.976	0.100
4.100	-25.713	0.100
4.200	-21.576	0.100
4.300	-24.760	0.100
4.400	-24.450	0.100
4.500	-15.512	0.100
4.600	-25.686	0.100
4.700	-25.850	0.100
4.800	-23.112	0.100
4.900	-38.678	0.100
5.000	-37.154	0.100
5.100	-29.804	0.100
5.200	-25.814	0.100
5.300	-22.217	0.100
5.400	-22.362	0.100
5.500	-27.241	0.100
5.600	-16.509	0.100
5.700	-16.361	0.100
5.800	-16.080	0.100
5.900	-12.901	0.100
6.000	-25.646	0.100
6.100	-26.124	0.100
6.200	-37.889	0.100
6.300	-15.325	0.100
6.400	-12.541	0.100
6.500	-27.356	0.100
6.600	-27.493	0.100
6.700	-27.426	0.100
6.800	-34.652	0.100
6.900	-17.851	0.100
7.000	-23.502	0.100
7.100	-15.845	0.100
7.200	-21.252	0.100
7.300	-28.506	0.100
7.400	-20.864	0.100
7.500	-23.262	0.100
7.600	-33.344	0.100
7.700	-33.290	0.100
7.800	-31.442	0.100
7.900	-24.739	0.100
8.000	-26.222	0.100
8.100	-25.150	0.100
8.200	-28.025	0.100
8.300	-18.463	0.100
8.400	-19.754	0.100
8.500	-30.266	0.100
8.600	-33.331	0.100
8.700	-28.209	0.100
8.800	-27.754	0.100
8.900	-23.617	0.100
9.000	-31.135	0.100
9.100	-18.737	0.100
9.200	-23.233	0.100
9.300	-25.930	0.100
9.400	-26.012	0.100
9.500	-26.453	0.100
9.600	-32.785	0.100
9.700	-23.833	0.100
9.800	-21.453	0.100
9.900	-19.907	0.100
10.000	-35.570	0.100
10.100	-29.403	0.100
