time /s	I /nA	E /V
0.100	-2.267	0.101
0.200	-9.837	0.101
0.300	-7.830	0.101
0.400	-9.520	0.101
0.500	-0.647	0.101
0.600	-4.531	0.101
0.700	-4.012	0.101
0.800	-17.737	0.101
0.900	-7.185	0.101
1.000	-21.097	0.101
1.100	-11.008	0.101
1.200	-22.453	0.101
1.300	-12.286	0.101
1.400	-8.589	0.101
1.500	-13.700	0.101
1.600	-14.879	0.101
1.700	-14.400	0.101
1.800	-8.531	0.101
1.900	1.061	0.101
2.000	-6.254	0.101
2.100	-4.298	0.101
2.200	-18.405	0.101
2.300	-9.697	0.101
2.400	-21.630	0.101
2.500	1.340	0.101
2.600	-8.191	0.101
2.700	-19.441	0.101
2.800	-31.257	0.101
2.900	-22.820	0.101
3.000	-5.550	0.101
3.100	-16.839	0.101
3.200	-11.116	0.101
3.300	-9.146	0.101
3.400	-11.484	0.101
3.500	-2.608	0.101
3.600	-12.786	0.101
3.700	-22.612	0.101
3.800	-8.245	0.101
3.900	-10.480	0.101
4.000	-20.150	0.101
4.100	-5.583	0.101
4.200	-14.531	0.101
4.300	-19.939	0.101
4.400	-12.024	0.101
4.500	-17.981	0.101
4.600	-9.289	0.101
4.700	-10.751	0.101
4.800	-26.853	0.101
4.900	-6.204	0.101
5.000	-2.756	0.101
5.100	2.552	0.101
5.200	-12.729	0.101
5.300	-7.979	0.101
5.400	-17.654	0.101
5.500	-18.554	0.101
5.600	-25.272	0.101
5.700	-16.047	0.101
5.800	-12.392	0.101
5.900	-17.054	0.101
6.000	-11.849	0.101
6.100	-6.260	0.101
6.200	-12.264	0.101
6.300	-7.723	0.101
6.400	-10.276	0.101
6.500	-24.565	0.101
6.600	-23.513	0.101
6.700	-11.410	0.101
6.800	-11.423	0.101
6.900	-14.902	0.101
7.000	-14.017	0.101
7.100	-7.985	0.101
7.200	-11.699	0.101
7.300	-18.498	0.101
7.400	-12.209	0.101
7.500	-7.674	0.101
7.600	-14.096	0.101
7.700	-29.623	0.101
7.800	-20.007	0.101
7.900	-22.374	0.101
8.000	-10.838	0.101
8.100	-1.202	0.101
8.200	-10.681	0.101
8.300	-17.837	0.101
8.400	-7.046	0.101
8.500	-3.284	0.101
8.600	-14.001	0.101
8.700	-5.184	0.101
8.800	-15.220	0.101
8.900	-16.308	0.101
9.000	-13.298	0.101
9.100	-15.855	0.101
9.200	3.709	0.101
9.300	-18.618	0.101
9.400	-21.228	0.101
9.500	-21.231	0.101
9.600	-8.521	0.101
9.700	-6.124	0.101
9.800	-20.516	0.101
9.900	-4.547	0.101
10.000	-3.865	0.101
10.100	-21.994	0.101
10.200	-13.520	0.101
10.300	-16.308	0.101
10.400	-6.234	0.101
10.500	-17.284	0.101
10.600	-2.313	0.101
10.700	-14.600	0.101
10.800	-4.096	0.101
10.900	-18.891	0.101
11.000	-12.911	0.101
11.100	-18.974	0.101
11.200	-9.065	0.101
11.300	-5.816	0.101
11.400	-12.714	0.101
11.500	-24.256	0.101
11.600	-18.151	0.101
11.700	-10.937	0.101
11.800	-19.805	0.101
11.900	-16.295	0.101
12.000	-13.658	0.101
12.100	-15.226	0.101
12.200	-6.124	0.101
12.300	-5.713	0.101
12.400	-13.631	0.101
12.500	-13.112	0.101
12.600	-11.558	0.101
12.700	-5.961	0.101
12.800	-4.412	0.101
12.900	-7.394	0.101
13.000	-10.788	0.101
13.100	-14.642	0.101
13.200	-21.089	0.101
13.300	-6.968	0.101
13.400	-14.891	0.101
13.500	-15.731	0.101
13.600	-10.536	0.101
13.700	-6.810	0.101
13.800	-15.667	0.101
13.900	-13.531	0.101
14.000	-11.549	0.101
14.100	-28.199	0.101
14.200	-14.817	0.101
14.300	-11.272	0.101
14.400	-16.336	0.101
14.500	-11.602	0.101
14.600	-19.620	0.101
14.700	-4.351	0.101
14.800	-15.739	0.101
14.900	-8.643	0.101
15.000	-11.704	0.101
15.100	-7.067	0.101
15.200	-6.946	0.101
15.300	-6.234	0.101
15.400	-5.209	0.101
15.500	-12.268	0.101
15.600	-7.090	0.101
15.700	-26.561	0.101
15.800	-15.688	0.101
15.900	-9.270	0.101
16.000	-12.144	0.101
16.100	-24.169	0.101
16.200	-3.556	0.101
16.300	-8.710	0.101
16.400	-11.874	0.101
16.500	-25.781	0.101
16.600	-7.515	0.101
16.700	-7.017	0.101
16.800	-14.402	0.101
16.900	-22.534	0.101
17.000	-7.645	0.101
17.100	-0.795	0.101
17.200	-5.703	0.101
17.300	-11.439	0.101
17.400	-16.009	0.101
17.500	-11.025	0.101
17.600	-18.941	0.101
17.700	-22.302	0.101
17.800	2.839	0.101
17.900	-11.306	0.101
18.000	-11.424	0.101
18.100	-15.148	0.101
18.200	-16.016	0.101
18.300	-0.776	0.101
18.400	-16.941	0.101
18.500	-8.076	0.101
18.600	-3.673	0.101
18.700	-8.743	0.101
18.800	-11.452	0.101
18.900	-19.050	0.101
19.000	-2.069	0.101
19.100	-23.912	0.101
19.200	-8.726	0.101
19.300	-2.631	0.101
19.400	-14.572	0.101
19.500	-35.508	0.101
19.600	1.765	0.101
19.700	-9.397	0.101
19.800	-2.579	0.101
19.900	-23.590	0.101
20.000	-4.387	0.101
20.100	-5.350	0.101
20.200	-18.814	0.101
20.300	-17.723	0.101
20.400	-5.539	0.101
20.500	-12.439	0.101
20.600	-8.856	0.101
20.700	-6.850	0.101
20.800	-8.402	0.101
20.900	-14.037	0.101
21.000	-17.091	0.101
21.100	-12.822	0.101
21.200	-14.913	0.101
21.300	-6.450	0.101
21.400	-5.127	0.101
21.500	-13.064	0.101
21.600	-21.106	0.101
21.700	-8.667	0.101
21.800	-22.225	0.101
21.900	-18.677	0.101
22.000	-10.818	0.101
22.100	-4.826	0.101
22.200	-12.672	0.101
22.300	-2.469	0.101
22.400	-19.948	0.101
22.500	-10.979	0.101
22.600	-22.276	0.101
22.700	-16.364	0.101
22.800	-12.241	0.101
22.900	2.033	0.101
23.000	-12.794	0.101
23.100	-22.076	0.101
23.200	-13.425	0.101
23.300	1.268	0.101
23.400	-12.144	0.101
