time /s	I /nA	E /V
0.100	-24.874	0.101
0.200	-29.299	0.101
0.300	-22.994	0.101
0.400	-38.243	0.101
0.500	-24.225	0.101
0.600	-22.541	0.101
0.700	-26.630	0.101
0.800	-38.725	0.101
0.900	-23.382	0.101
1.000	-38.867	0.101
1.100	-28.420	0.101
1.200	-22.957	0.101
1.300	-23.067	0.101
1.400	-24.811	0.101
1.500	-31.638	0.101
1.600	-36.084	0.101
1.700	-22.191	0.101
1.800	-45.608	0.101
1.900	-30.651	0.101
2.000	-34.113	0.101
2.100	-24.555	0.101
2.200	-34.483	0.101
2.300	-34.549	0.101
2.400	-27.444	0.101
2.500	-15.557	0.101
2.600	-19.473	0.101
2.700	-40.194	0.101
2.800	-30.845	0.101
2.900	-29.749	0.101
3.000	-31.469	0.101
3.100	-32.435	0.101
3.200	-22.038	0.101
3.300	-18.511	0.101
3.400	-31.869	0.101
3.500	-33.888	0.101
3.600	-26.005	0.101
3.700	-30.242	0.101
3.800	-32.550	0.101
3.900	-25.719	0.101
4.000	-32.450	0.101
4.100	-24.338	0.101
4.200	-36.541	0.101
4.300	-12.172	0.101
4.400	-22.514	0.101
4.500	-36.801	0.101
4.600	-29.260	0.101
4.700	-23.987	0.101
4.800	-32.402	0.101
4.900	-35.030	0.101
5.000	-33.886	0.101
5.100	-12.068	0.101
5.200	-23.365	0.101
5.300	-27.908	0.101
5.400	-24.657	0.101
5.500	-30.849	0.101
5.600	-29.005	0.101
5.700	-25.756	0.101
5.800	-33.481	0.101
5.900	-26.618	0.101
6.000	-37.941	0.101
6.100	-33.025	0.101
6.200	-18.240	0.101
6.300	-20.705	0.101
6.400	-27.447	0.101
6.500	-27.293	0.101
6.600	-21.533	0.101
6.700	-26.572	0.101
6.800	-43.494	0.101
6.900	-31.648	0.101
7.000	-31.153	0.101
7.100	-34.054	0.101
7.200	-25.117	0.101
7.300	-14.019	0.101
7.400	-35.909	0.101
7.500	-30.735	0.101
7.600	-29.373	0.101
7.700	-30.254	0.101
7.800	-21.185	0.101
7.900	-40.997	0.101
8.000	-28.649	0.101
8.100	-23.351	0.101
8.200	-32.783	0.101
8.300	-24.114	0.101
8.400	-24.590	0.101
8.500	-43.070	0.101
8.600	-24.745	0.101
8.700	-27.563	0.101
8.800	-19.270	0.101
8.900	-31.760	0.101
9.000	-37.446	0.101
9.100	-32.593	0.101
9.200	-30.447	0.101
9.300	-29.682	0.101
9.400	-26.959	0.101
9.500	-18.308	0.101
9.600	-25.963	0.101
9.700	-30.646	0.101
9.800	-28.527	0.101
9.900	-31.644	0.101
10.000	-30.838	0.101
10.100	-21.376	0.101
10.200	-8.705	0.101
10.300	-20.044	0.101
10.400	-41.219	0.101
10.500	-24.075	0.101
10.600	-22.996	0.101
10.700	-36.169	0.101
10.800	-24.098	0.101
10.900	-20.066	0.101
11.000	-24.345	0.101
11.100	-29.803	0.101
11.200	-26.703	0.101
11.300	-30.522	0.101
11.400	-30.564	0.101
11.500	-10.693	0.101
11.600	-33.117	0.101
11.700	-33.451	0.101
11.800	-40.610	0.101
11.900	-26.540	0.101
12.000	-14.177	0.101
12.100	-36.449	0.101
12.200	-28.408	0.101
12.300	-38.565	0.101
12.400	-16.621	0.101
12.500	-26.320	0.101
12.600	-32.575	0.101
12.700	-34.586	0.101
12.800	-14.630	0.101
12.900	-29.907	0.101
13.000	-26.240	0.101
13.100	-40.332	0.101
13.200	-26.335	0.101
13.300	-30.491	0.101
13.400	-25.680	0.101
13.500	-39.099	0.101
13.600	-11.583	0.101
13.700	-30.639	0.101
