time /s	I /nA	E /V
0.100	-19.571	0.100
0.200	-18.004	0.100
0.300	-18.418	0.100
0.400	-14.099	0.100
0.500	-8.254	0.100
0.600	-12.909	0.100
0.700	-19.603	0.100
0.800	-23.097	0.100
0.900	-16.173	0.100
1.000	-25.474	0.100
1.100	-19.131	0.100
1.200	-18.092	0.100
1.300	-16.335	0.100
1.400	-8.470	0.100
1.500	-13.005	0.100
1.600	-24.861	0.100
1.700	-12.071	0.100
1.800	-11.421	0.100
1.900	-20.583	0.100
2.000	-13.710	0.100
2.100	-12.097	0.100
2.200	-14.667	0.100
2.300	-14.444	0.100
2.400	-14.153	0.100
2.500	-15.128	0.100
2.600	-20.102	0.100
2.700	-21.333	0.100
2.800	-21.156	0.100
2.900	-12.172	0.100
3.000	-9.397	0.100
3.100	-14.459	0.100
3.200	-13.881	0.100
3.300	-17.688	0.100
3.400	-17.084	0.100
3.500	-9.785	0.100
3.600	-10.048	0.100
3.700	-13.823	0.100
3.800	-19.335	0.100
3.900	-27.630	0.100
4.000	-26.011	0.100
4.100	-21.715	0.100
4.200	-10.327	0.100
4.300	-14.843	0.100
4.400	-14.470	0.100
4.500	-11.972	0.100
4.600	-22.764	0.100
4.700	-14.935	0.100
4.800	-15.373	0.100
4.900	-13.515	0.100
5.000	-19.195	0.100
5.100	-19.667	0.100
5.200	-8.938	0.100
5.300	-9.668	0.100
5.400	-4.618	0.100
5.500	-18.337	0.100
5.600	-19.004	0.100
5.700	-19.962	0.100
5.800	-26.011	0.100
5.900	-23.264	0.100
6.000	-13.050	0.100
6.100	-13.538	0.100
6.200	-11.952	0.100
6.300	-20.343	0.100
6.400	-26.467	0.100
6.500	-18.747	0.100
6.600	-12.110	0.100
6.700	-2.219	0.100
6.800	-8.293	0.100
6.900	-13.442	0.100
7.000	-23.769	0.100
7.100	-16.950	0.100
7.200	-17.825	0.100
7.300	-16.299	0.100
7.400	-15.440	0.100
7.500	-10.952	0.100
7.600	-14.207	0.100
7.700	-16.190	0.100
7.800	-16.141	0.100
7.900	-21.061	0.100
8.000	-20.685	0.100
8.100	-27.084	0.100
8.200	-16.923	0.100
8.300	-15.258	0.100
8.400	-13.173	0.100
8.500	-14.617	0.100
8.600	-16.708	0.100
8.700	-13.286	0.100
8.800	-8.386	0.100
8.900	-18.075	0.100
9.000	-16.244	0.100
9.100	-13.077	0.100
9.200	-12.524	0.100
9.300	-10.572	0.100
9.400	-18.911	0.100
9.500	-8.111	0.100
9.600	-9.867	0.100
9.700	-6.455	0.100
9.800	-14.690	0.100
9.900	-15.918	0.100
10.000	-11.122	0.100
10.100	-20.086	0.100
10.200	-16.627	0.100
10.300	-9.276	0.100
10.400	-26.779	0.100
10.500	-16.897	0.100
10.600	-14.821	0.100
10.700	-15.561	0.100
10.800	-12.154	0.100
10.900	-13.834	0.100
11.000	-6.701	0.100
11.100	-13.563	0.100
11.200	-12.723	0.100
11.300	-9.329	0.100
11.400	-19.648	0.100
11.500	-19.535	0.100
11.600	-14.067	0.100
11.700	-12.604	0.100
11.800	-23.177	0.100
11.900	-19.253	0.100
12.000	-13.900	0.100
12.100	-16.818	0.100
12.200	-7.605	0.100
12.300	-12.127	0.100
12.400	-14.504	0.100
12.500	-18.057	0.100
12.600	-14.623	0.100
12.700	-13.904	0.100
12.800	-31.996	0.100
12.900	-22.920	0.100
13.000	-9.755	0.100
13.100	-8.830	0.100
13.200	-14.624	0.100
13.300	-15.395	0.100
13.400	-15.366	0.100
13.500	-13.605	0.100
13.600	-16.727	0.100
13.700	-11.056	0.100
13.800	-21.168	0.100
13.900	-19.018	0.100
14.000	-13.827	0.100
14.100	-12.766	0.100
14.200	-23.832	0.100
14.300	-14.085	0.100
14.400	-4.538	0.100
14.500	-8.906	0.100
14.600	-12.259	0.100
14.700	-25.262	0.100
14.800	-18.211	0.100
14.900	-23.380	0.100
15.000	-12.928	0.100
15.100	-9.144	0.100
15.200	-16.303	0.100
15.300	-14.278	0.100
15.400	-10.912	0.100
15.500	-16.597	0.100
15.600	-15.558	0.100
15.700	-15.079	0.100
15.800	-10.909	0.100
15.900	-12.599	0.100
16.000	-20.806	0.100
16.100	-17.212	0.100
16.200	-23.968	0.100
16.300	-7.123	0.100
16.400	-18.634	0.100
16.500	-19.016	0.100
16.600	-16.436	0.100
16.700	-12.739	0.100
16.800	-21.069	0.100
16.900	-16.093	0.100
17.000	-17.516	0.100
17.100	-17.290	0.100
17.200	-16.665	0.100
17.300	-13.160	0.100
17.400	-19.208	0.100
17.500	-23.367	0.100
17.600	-22.284	0.100
17.700	-10.879	0.100
17.800	-17.700	0.100
17.900	-16.042	0.100
18.000	-14.845	0.100
18.100	-23.800	0.100
18.200	-25.460	0.100
18.300	-5.505	0.100
18.400	-5.916	0.100
18.500	-15.300	0.100
18.600	-12.301	0.100
18.700	-7.656	0.100
18.800	-19.609	0.100
18.900	-6.634	0.100
19.000	-17.393	0.100
19.100	-12.169	0.100
19.200	-12.942	0.100
19.300	-14.009	0.100
19.400	-25.260	0.100
19.500	-21.069	0.100
19.600	-14.274	0.100
19.700	-18.074	0.100
19.800	-10.508	0.100
19.900	-13.579	0.100
20.000	-12.593	0.100
20.100	-12.386	0.100
20.200	-14.034	0.100
20.300	-30.317	0.100
20.400	-20.519	0.100
20.500	-17.588	0.100
20.600	-14.394	0.100
20.700	-19.579	0.100
20.800	-18.332	0.100
20.900	-7.178	0.100
21.000	-14.222	0.100
21.100	-12.156	0.100
21.200	-16.090	0.100
21.300	-18.064	0.100
21.400	-15.634	0.100
21.500	-15.225	0.100
21.600	-12.239	0.100
21.700	-19.917	0.100
21.800	-11.069	0.100
21.900	-16.951	0.100
22.000	-5.363	0.100
22.100	-16.855	0.100
22.200	-9.201	0.100
22.300	-19.622	0.100
22.400	-15.999	0.100
22.500	-20.763	0.100
22.600	-11.614	0.100
22.700	-5.767	0.100
22.800	-15.981	0.100
22.900	-2.917	0.100
23.000	-11.764	0.100
23.100	-19.899	0.100
23.200	-14.339	0.100
23.300	-20.214	0.100
23.400	-9.300	0.100
23.500	-11.082	0.100
23.600	-17.274	0.100
23.700	-13.266	0.100
23.800	-20.211	0.100
23.900	-16.978	0.100
24.000	-18.840	0.100
24.100	-21.780	0.100
24.200	-16.216	0.100
24.300	-2.937	0.100
24.400	-23.698	0.100
24.500	-7.670	0.100
24.600	-6.886	0.100
24.700	-11.967	0.100
24.800	-9.225	0.100
24.900	-16.414	0.100
25.000	-21.765	0.100
25.100	-30.299	0.100
25.200	-15.911	0.100
25.300	-7.720	0.100
25.400	-11.681	0.100
25.500	-12.580	0.100
25.600	-11.581	0.100
25.700	-6.802	0.100
25.800	-11.826	0.100
25.900	-14.442	0.100
26.000	-14.577	0.100
26.100	-17.391	0.100
26.200	-20.416	0.100
26.300	-9.410	0.100
26.400	-9.961	0.100
26.500	-17.561	0.100
26.600	-21.930	0.100
26.700	-15.491	0.100
26.800	-14.532	0.100
26.900	-10.333	0.100
27.000	-18.967	0.100
27.100	-17.798	0.100
27.200	-17.456	0.100
27.300	-11.167	0.100
27.400	-18.048	0.100
27.500	-15.873	0.100
27.600	-11.479	0.100
27.700	-9.840	0.100
27.800	-12.160	0.100
27.900	-20.201	0.100
28.000	-22.194	0.100
28.100	-18.444	0.100
28.200	-14.595	0.100
28.300	-10.376	0.100
28.400	-9.135	0.100
28.500	-21.182	0.100
28.600	-18.378	0.100
28.700	-19.679	0.100
28.800	-16.537	0.100
28.900	-13.532	0.100
29.000	-10.558	0.100
29.100	-22.476	0.100
29.200	-16.912	0.100
29.300	-14.159	0.100
29.400	-12.629	0.100
29.500	-4.494	0.100
29.600	-14.126	0.100
29.700	-14.500	0.100
29.800	-8.818	0.100
29.900	-10.112	0.100
30.000	-9.359	0.100
30.100	-12.640	0.100
30.200	-1.535	0.100
30.300	-7.728	0.100
30.400	4.566	0.100
30.500	-3.650	0.100
30.600	0.866	0.100
30.700	-2.198	0.100
30.800	-5.733	0.100
30.900	-3.224	0.100
31.000	-4.617	0.100
31.100	8.893	0.100
31.200	10.309	0.100
31.300	-4.413	0.100
31.400	6.284	0.100
31.500	5.551	0.100
31.600	15.857	0.100
31.700	7.734	0.100
31.800	5.072	0.100
31.900	0.129	0.100
32.000	7.759	0.100
32.100	9.750	0.100
32.200	4.807	0.100
32.300	-0.736	0.100
32.400	1.744	0.100
32.500	9.229	0.100
32.600	18.900	0.100
32.700	5.519	0.100
32.800	12.758	0.100
32.900	2.730	0.100
33.000	3.739	0.100
33.100	6.656	0.100
33.200	4.301	0.100
33.300	13.703	0.100
33.400	-1.257	0.100
33.500	-2.147	0.100
33.600	7.562	0.100
33.700	6.234	0.100
33.800	20.668	0.100
33.900	0.317	0.100
34.000	8.414	0.100
34.100	8.705	0.100
34.200	14.946	0.100
34.300	13.563	0.100
34.400	9.050	0.100
34.500	12.417	0.100
34.600	5.873	0.100
34.700	3.586	0.100
34.800	7.459	0.100
34.900	3.112	0.100
35.000	8.693	0.100
35.100	-3.821	0.100
35.200	3.170	0.100
35.300	17.259	0.100
35.400	19.337	0.100
35.500	5.603	0.100
35.600	-3.132	0.100
35.700	3.271	0.100
35.800	1.675	0.100
35.900	-2.407	0.100
36.000	11.332	0.100
36.100	11.257	0.100
36.200	10.907	0.100
36.300	9.569	0.100
36.400	13.699	0.100
36.500	2.033	0.100
36.600	11.399	0.100
36.700	6.490	0.100
36.800	3.175	0.100
36.900	15.020	0.100
37.000	10.313	0.100
37.100	8.570	0.100
37.200	6.775	0.100
37.300	3.999	0.100
37.400	19.275	0.100
37.500	8.674	0.100
37.600	10.027	0.100
37.700	3.238	0.100
37.800	-2.644	0.100
37.900	3.631	0.100
38.000	5.831	0.100
38.100	10.197	0.100
38.200	8.932	0.100
38.300	9.754	0.100
38.400	12.090	0.100
38.500	1.128	0.100
38.600	10.341	0.100
38.700	17.571	0.100
38.800	16.843	0.100
38.900	15.078	0.100
39.000	11.664	0.100
39.100	4.646	0.100
39.200	17.767	0.100
39.300	8.250	0.100
39.400	7.404	0.100
39.500	19.555	0.100
39.600	12.079	0.100
39.700	13.256	0.100
39.800	2.826	0.100
39.900	12.054	0.100
40.000	18.734	0.100
40.100	20.652	0.100
40.200	17.025	0.100
40.300	7.094	0.100
40.400	27.780	0.100
40.500	16.792	0.100
40.600	21.190	0.100
40.700	16.878	0.100
40.800	13.962	0.100
40.900	19.326	0.100
41.000	11.259	0.100
41.100	3.836	0.100
41.200	4.209	0.100
41.300	11.983	0.100
41.400	24.748	0.100
41.500	18.333	0.100
41.600	17.697	0.100
41.700	20.827	0.100
41.800	10.958	0.100
41.900	15.246	0.100
42.000	15.980	0.100
42.100	14.956	0.100
42.200	13.295	0.100
42.300	21.076	0.100
42.400	19.051	0.100
42.500	15.680	0.100
42.600	10.394	0.100
42.700	22.907	0.100
42.800	21.794	0.100
42.900	14.780	0.100
43.000	16.204	0.100
43.100	18.821	0.100
43.200	19.111	0.100
43.300	26.304	0.100
43.400	24.300	0.100
43.500	19.300	0.100
43.600	22.726	0.100
43.700	25.011	0.100
43.800	17.891	0.100
43.900	21.789	0.100
44.000	18.768	0.100
44.100	23.361	0.100
44.200	26.737	0.100
44.300	16.099	0.100
44.400	28.824	0.100
44.500	29.405	0.100
44.600	19.624	0.100
44.700	26.786	0.100
44.800	21.953	0.100
44.900	20.298	0.100
45.000	19.791	0.100
45.100	16.561	0.100
45.200	17.110	0.100
45.300	22.202	0.100
45.400	20.522	0.100
45.500	18.472	0.100
45.600	24.067	0.100
45.700	18.247	0.100
45.800	17.000	0.100
45.900	22.305	0.100
46.000	21.710	0.100
46.100	26.014	0.100
46.200	27.157	0.100
46.300	21.867	0.100
46.400	29.323	0.100
46.500	31.914	0.100
46.600	31.396	0.100
46.700	24.845	0.100
46.800	32.163	0.100
46.900	19.052	0.100
47.000	24.599	0.100
47.100	26.197	0.100
47.200	20.323	0.100
47.300	17.562	0.100
