time /s	I /nA	E /V
0.100	-13.072	0.100
0.200	-12.750	0.100
0.300	-19.632	0.100
0.400	-5.791	0.100
0.500	-11.959	0.100
0.600	-10.349	0.100
0.700	0.145	0.100
0.800	-1.800	0.100
0.900	-2.680	0.100
1.000	1.244	0.100
1.100	-3.585	0.100
1.200	-18.022	0.100
1.300	-4.666	0.100
1.400	-8.132	0.100
1.500	-8.145	0.100
1.600	5.979	0.100
1.700	-3.488	0.100
1.800	-5.348	0.100
1.900	1.029	0.100
2.000	-3.155	0.100
2.100	-0.460	0.100
2.200	-0.580	0.100
2.300	-8.951	0.100
2.400	-10.145	0.100
2.500	-4.046	0.100
2.600	-6.059	0.100
2.700	-11.055	0.100
2.800	-3.328	0.100
2.900	-14.760	0.100
3.000	-9.263	0.100
3.100	-7.140	0.100
3.200	-8.314	0.100
3.300	-10.959	0.100
3.400	3.202	0.100
3.500	-13.276	0.100
3.600	-6.877	0.100
3.700	1.337	0.100
3.800	4.714	0.100
3.900	-11.763	0.100
4.000	-12.958	0.100
4.100	-3.650	0.100
4.200	-2.120	0.100
4.300	-12.365	0.100
4.400	-16.622	0.100
4.500	-10.663	0.100
4.600	0.827	0.100
4.700	-4.849	0.100
4.800	-12.151	0.100
4.900	0.803	0.100
5.000	-14.621	0.100
5.100	-9.831	0.100
5.200	7.876	0.100
5.300	-9.526	0.100
5.400	-6.708	0.100
5.500	-3.545	0.100
5.600	-14.596	0.100
5.700	-6.816	0.100
5.800	-4.455	0.100
5.900	-1.120	0.100
6.000	-20.831	0.100
6.100	2.963	0.100
6.200	-7.895	0.100
6.300	-1.204	0.100
6.400	-5.176	0.100
6.500	4.938	0.100
6.600	1.532	0.100
6.700	-11.919	0.100
6.800	3.784	0.100
6.900	-23.039	0.100
7.000	3.708	0.100
7.100	-14.096	0.100
7.200	-9.812	0.100
7.300	-13.830	0.100
7.400	4.574	0.100
7.500	-0.135	0.100
7.600	-16.352	0.100
7.700	-8.597	0.100
7.800	-10.509	0.100
7.900	4.129	0.100
8.000	4.445	0.100
