time /s	I /nA	E /V
0.100	-76.321	0.099
0.200	-41.735	0.099
0.300	-49.765	0.099
0.400	-43.395	0.100
0.500	-57.267	0.099
0.600	-62.833	0.099
0.700	-73.663	0.099
0.800	-54.714	0.099
0.900	-49.755	0.099
1.000	-53.871	0.099
1.100	-50.690	0.099
1.200	-37.697	0.099
1.300	-73.740	0.099
1.400	-62.254	0.099
1.500	-23.123	0.099
1.600	-41.651	0.099
1.700	-69.282	0.099
1.800	-40.294	0.099
1.900	-54.174	0.099
2.000	-52.792	0.099
2.100	-52.399	0.099
2.200	-47.975	0.099
2.300	-64.345	0.099
2.400	-58.894	0.099
2.500	-43.777	0.099
2.600	-51.774	0.099
2.700	-72.065	0.099
2.800	-62.341	0.099
2.900	-33.320	0.099
3.000	-48.885	0.099
3.100	-32.801	0.099
3.200	-63.907	0.099
3.300	-42.308	0.099
3.400	-51.570	0.099
3.500	-57.260	0.099
3.600	-76.610	0.099
3.700	-53.503	0.099
3.800	-53.230	0.099
3.900	-53.727	0.099
4.000	-46.542	0.099
4.100	-53.580	0.099
4.200	-26.242	0.099
4.300	-41.250	0.099
4.400	-92.374	0.099
4.500	-44.815	0.099
4.600	-32.799	0.099
4.700	-39.290	0.099
4.800	-60.509	0.099
4.900	-55.898	0.099
5.000	-36.759	0.099
5.100	-52.368	0.099
5.200	-60.777	0.099
5.300	-51.712	0.099
5.400	-36.922	0.099
5.500	-54.650	0.099
5.600	-41.114	0.099
5.700	-69.402	0.099
5.800	-30.853	0.099
5.900	-49.112	0.099
6.000	-46.379	0.099
6.100	-60.476	0.099
6.200	-34.878	0.099
6.300	-47.614	0.099
6.400	-68.374	0.099
6.500	-51.836	0.099
6.600	-37.310	0.099
6.700	-40.660	0.099
6.800	-49.384	0.099
6.900	-56.818	0.099
7.000	-42.129	0.099
7.100	-35.223	0.099
7.200	-42.191	0.099
7.300	-54.957	0.099
7.400	-35.966	0.099
7.500	-55.671	0.099
7.600	-39.754	0.099
7.700	-33.472	0.099
7.800	-29.757	0.099
7.900	-55.073	0.099
8.000	-55.987	0.099
8.100	-42.556	0.099
8.200	-59.850	0.099
8.300	-24.388	0.099
8.400	-34.229	0.099
8.500	-59.747	0.099
8.600	-62.538	0.099
8.700	-59.369	0.099
