time /s	I /nA	E /V
0.100	3.340	0.100
0.200	-2.772	0.100
0.300	-2.591	0.100
0.400	-10.777	0.100
0.500	10.033	0.100
0.600	-6.886	0.100
0.700	-7.046	0.100
0.800	-2.950	0.100
0.900	13.615	0.100
1.000	-29.305	0.100
1.100	-4.852	0.100
1.200	5.683	0.100
1.300	0.524	0.100
1.400	-8.704	0.100
1.500	-15.268	0.100
1.600	-2.303	0.100
1.700	-12.455	0.100
1.800	4.921	0.100
1.900	-0.600	0.100
2.000	0.695	0.100
2.100	-10.487	0.100
2.200	1.849	0.100
2.300	5.644	0.100
2.400	-13.211	0.100
2.500	6.207	0.100
2.600	-2.103	0.100
2.700	-12.022	0.100
2.800	-0.076	0.100
2.900	-7.046	0.100
3.000	8.899	0.100
3.100	-8.684	0.100
3.200	-4.785	0.100
3.300	-10.784	0.100
3.400	-1.964	0.100
3.500	2.562	0.100
3.600	-6.727	0.100
3.700	-6.069	0.100
3.800	-6.349	0.100
3.900	-14.652	0.100
4.000	0.136	0.100
4.100	-15.469	0.100
4.200	-4.978	0.100
4.300	-15.349	0.100
4.400	6.106	0.100
4.500	-17.964	0.100
4.600	0.804	0.100
4.700	6.607	0.100
4.800	-21.906	0.100
4.900	-4.304	0.100
5.000	-9.977	0.100
5.100	-15.319	0.100
5.200	-8.123	0.100
5.300	-7.477	0.100
5.400	-2.317	0.100
5.500	-5.472	0.100
5.600	-6.485	0.100
5.700	1.487	0.100
5.800	-9.835	0.100
5.900	-3.030	0.100
6.000	-4.937	0.100
6.100	-1.300	0.100
6.200	-7.436	0.100
6.300	-11.168	0.100
6.400	-0.026	0.100
6.500	-3.589	0.100
6.600	-17.173	0.100
6.700	-0.347	0.100
6.800	0.043	0.100
6.900	-5.836	0.100
7.000	-15.938	0.100
7.100	-2.103	0.100
7.200	-11.093	0.100
7.300	-9.658	0.100
7.400	-9.453	0.100
7.500	-1.380	0.100
7.600	-4.705	0.100
7.700	-8.002	0.100
7.800	7.002	0.100
7.900	-14.089	0.100
8.000	-1.412	0.100
8.100	-7.322	0.100
8.200	-27.096	0.100
8.300	-2.602	0.100
8.400	0.965	0.100
8.500	-10.159	0.100
8.600	-6.722	0.100
8.700	-5.592	0.100
8.800	-2.512	0.100
8.900	6.936	0.100
9.000	-20.785	0.100
9.100	1.180	0.100
9.200	-2.496	0.100
9.300	-10.559	0.100
9.400	3.789	0.100
9.500	-13.580	0.100
9.600	-2.755	0.100
9.700	-10.249	0.100
9.800	-6.487	0.100
9.900	-6.972	0.100
10.000	-20.470	0.100
10.100	4.333	0.100
10.200	5.448	0.100
10.300	-20.551	0.100
10.400	-1.150	0.100
10.500	0.697	0.100
10.600	-13.268	0.100
