time /s	I /nA	
0.100	14.824	
0.200	1.737	
0.300	-6.786	
0.400	-10.434	
0.500	-3.475	
0.600	5.907	
0.700	-13.041	
0.800	-11.663	
0.900	6.903	
1.000	-13.606	
1.100	0.273	
1.200	-6.534	
1.300	-16.911	
1.400	8.288	
1.500	-13.927	
1.600	-1.329	
1.700	-6.620	
1.800	-6.466	
1.900	4.370	
2.000	-11.569	
2.100	-7.639	
2.200	-0.648	
2.300	-0.405	
2.400	0.810	
2.500	-6.080	
2.600	-9.843	
2.700	-7.572	
2.800	-6.564	
2.900	-1.904	
3.000	-10.254	
3.100	0.911	
3.200	0.847	
3.300	-13.191	
3.400	8.968	
3.500	-0.017	
3.600	-8.868	
3.700	-2.996	
3.800	-6.779	
3.900	-13.567	
4.000	4.098	
4.100	-6.906	
4.200	-10.150	
4.300	-2.698	
4.400	-2.306	
4.500	-16.432	
4.600	-14.968	
4.700	-5.674	
4.800	6.495	
4.900	-5.441	
5.000	-6.814	
5.100	-5.224	
5.200	-0.919	
5.300	-2.770	
5.400	-4.907	
5.500	3.613	
5.600	2.026	
5.700	-10.236	
5.800	-4.520	
5.900	-22.494	
6.000	1.286	
6.100	2.160	
6.200	-0.721	
6.300	-12.140	
6.400	-12.279	
6.500	0.361	
6.600	-4.165	
6.700	-12.356	
6.800	-8.157	
6.900	2.875	
7.000	4.639	
7.100	-7.105	
7.200	-28.449	
7.300	0.694	
7.400	-8.182	
7.500	-4.136	
7.600	-3.189	
7.700	-8.085	
7.800	3.333	
7.900	-9.839	
8.000	-3.531	
8.100	-6.335	
8.200	-1.953	
8.300	-3.733	
8.400	-5.907	
8.500	-5.719	
8.600	-13.137	
8.700	-5.283	
8.800	-2.558	
8.900	-5.443	
9.000	-5.673	
9.100	-4.975	
9.200	-21.597	
9.300	-11.098	
9.400	-7.028	
9.500	1.865	
9.600	1.131	
9.700	-15.454	
9.800	-5.915	
9.900	7.246	
10.000	-18.344	
10.100	-18.583	
10.200	-1.610	
10.300	12.235	
10.400	-13.742	
10.500	-13.098	
10.600	-8.116	
10.700	-8.960	
10.800	-17.569	
10.900	-2.509	
11.000	2.836	
11.100	-5.028	
