time /s	I /nA	E /V
0.100	-17.320	0.100
0.200	-9.815	0.100
0.300	0.802	0.100
0.400	0.086	0.099
0.500	-23.170	0.100
0.600	-23.697	0.100
0.700	8.250	0.100
0.800	0.114	0.100
0.900	-23.766	0.099
1.000	-10.903	0.100
1.100	-15.223	0.100
1.200	-14.805	0.100
1.300	-12.819	0.100
1.400	-6.103	0.100
1.500	-16.568	0.100
1.600	-5.427	0.099
1.700	-8.684	0.100
1.800	-9.718	0.100
1.900	-26.144	0.099
2.000	-13.157	0.100
2.100	-9.560	0.100
2.200	-14.136	0.100
2.300	-16.310	0.099
2.400	-20.415	0.100
2.500	-17.286	0.100
2.600	-11.598	0.100
2.700	-4.211	0.100
2.800	-8.413	0.100
2.900	-7.489	0.100
3.000	-23.167	0.100
3.100	3.003	0.100
3.200	-10.044	0.099
3.300	-17.010	0.100
3.400	3.812	0.099
3.500	-9.925	0.099
3.600	-12.494	0.100
3.700	-4.298	0.100
3.800	-9.866	0.100
3.900	-5.937	0.100
4.000	-7.527	0.100
4.100	-2.213	0.099
4.200	-14.531	0.100
4.300	-2.907	0.100
4.400	-11.146	0.099
4.500	2.273	0.100
4.600	7.306	0.100
4.700	-35.349	0.100
4.800	-4.768	0.100
4.900	-1.344	0.100
5.000	-1.593	0.100
5.100	1.796	0.100
5.200	-4.282	0.100
5.300	-12.951	0.099
5.400	-17.346	0.100
5.500	-23.165	0.100
5.600	-21.920	0.100
5.700	1.050	0.100
5.800	-8.869	0.099
5.900	-26.395	0.100
6.000	-4.857	0.100
6.100	-5.628	0.100
6.200	-4.047	0.100
6.300	-1.957	0.100
6.400	-18.540	0.100
6.500	-27.243	0.100
6.600	-13.057	0.100
6.700	19.986	0.100
6.800	-0.781	0.100
6.900	-1.653	0.100
7.000	-5.840	0.100
7.100	-15.774	0.099
7.200	-17.448	0.100
7.300	-10.645	0.100
7.400	-8.760	0.100
7.500	-9.326	0.100
7.600	-0.001	0.100
7.700	-12.847	0.100
7.800	-14.460	0.100
7.900	-12.413	0.100
8.000	-1.159	0.100
8.100	4.244	0.100
8.200	-20.737	0.100
8.300	-16.209	0.100
8.400	6.889	0.100
8.500	-29.386	0.100
8.600	-13.808	0.100
8.700	15.358	0.100
8.800	-6.691	0.100
8.900	-32.493	0.099
9.000	8.213	0.100
9.100	-14.823	0.100
9.200	-15.831	0.099
9.300	-22.530	0.099
9.400	-15.767	0.099
9.500	3.917	0.100
9.600	-4.879	0.100
9.700	-30.412	0.100
9.800	-9.974	0.100
9.900	-17.866	0.100
10.000	-13.476	0.099
10.100	-29.596	0.099
10.200	2.629	0.100
10.300	-12.946	0.100
10.400	-28.821	0.100
10.500	-9.054	0.100
10.600	-14.834	0.099
10.700	4.553	0.100
10.800	-17.195	0.100
10.900	-3.912	0.100
11.000	-15.194	0.100
11.100	-5.568	0.100
11.200	-1.429	0.100
11.300	-7.718	0.099
11.400	-25.203	0.100
11.500	-2.392	0.100
11.600	-17.143	0.100
11.700	-12.343	0.100
11.800	0.474	0.100
11.900	-1.221	0.100
12.000	-8.323	0.099
12.100	-7.559	0.100
12.200	-18.173	0.100
12.300	3.019	0.100
12.400	3.842	0.100
12.500	-6.732	0.100
12.600	-5.508	0.100
12.700	-10.968	0.099
12.800	-17.529	0.100
12.900	-19.596	0.100
13.000	-11.644	0.099
13.100	-3.597	0.100
13.200	-17.886	0.099
13.300	-6.264	0.100
13.400	-0.186	0.100
13.500	-0.261	0.100
13.600	-10.460	0.099
13.700	-18.225	0.100
13.800	-14.273	0.100
13.900	-2.299	0.100
14.000	-21.956	0.100
14.100	-12.082	0.100
14.200	-5.210	0.100
14.300	-14.900	0.100
14.400	-17.187	0.100
14.500	-8.250	0.100
14.600	-4.741	0.100
14.700	-8.152	0.099
14.800	-1.867	0.100
14.900	-15.105	0.100
15.000	-11.931	0.100
15.100	-4.350	0.100
15.200	-20.940	0.100
15.300	-2.162	0.100
15.400	-21.490	0.099
15.500	-4.053	0.100
15.600	-16.585	0.100
15.700	-10.413	0.100
15.800	-15.509	0.099
15.900	9.365	0.100
16.000	-22.089	0.100
16.100	-9.801	0.100
16.200	-12.501	0.100
16.300	-11.716	0.099
16.400	-14.613	0.100
16.500	-24.786	0.099
16.600	-4.480	0.100
16.700	10.237	0.099
16.800	-7.089	0.100
16.900	-6.054	0.100
17.000	-12.210	0.100
17.100	-1.581	0.099
17.200	-2.539	0.100
17.300	-8.040	0.100
17.400	-18.873	0.100
17.500	0.737	0.100
17.600	-21.801	0.099
17.700	-7.686	0.100
17.800	-4.309	0.100
17.900	-1.590	0.100
18.000	6.222	0.100
18.100	1.051	0.100
18.200	-10.993	0.100
18.300	-15.189	0.100
18.400	-17.409	0.100
18.500	-1.059	0.100
18.600	-14.637	0.100
18.700	6.615	0.100
18.800	-31.302	0.100
18.900	-4.495	0.100
19.000	-1.124	0.100
19.100	-27.374	0.100
19.200	-11.993	0.100
19.300	-35.148	0.100
19.400	-20.234	0.100
19.500	19.322	0.100
19.600	-3.449	0.100
19.700	-9.913	0.100
19.800	-13.841	0.100
19.900	-27.868	0.100
20.000	5.273	0.100
20.100	-9.696	0.100
20.200	-22.248	0.100
20.300	-4.302	0.100
20.400	5.841	0.100
20.500	-20.817	0.100
20.600	-11.162	0.100
20.700	3.985	0.100
20.800	-9.218	0.100
20.900	-6.939	0.100
21.000	-12.709	0.100
21.100	-12.789	0.100
21.200	-7.640	0.100
21.300	-19.235	0.100
21.400	-30.432	0.100
21.500	4.082	0.100
21.600	-3.000	0.100
21.700	-9.317	0.100
21.800	-28.930	0.100
21.900	-8.564	0.100
22.000	-8.226	0.100
22.100	-19.122	0.100
22.200	-13.825	0.100
22.300	-6.371	0.100
22.400	-14.845	0.100
22.500	-7.017	0.100
22.600	-12.525	0.100
22.700	-16.399	0.100
22.800	-19.472	0.099
22.900	-1.314	0.100
23.000	-18.240	0.100
23.100	-9.022	0.100
23.200	-10.827	0.100
23.300	0.130	0.100
23.400	-17.038	0.100
