time /s	I /nA	E /V
0.100	-9.211	0.100
0.200	-31.022	0.100
0.300	-23.900	0.100
0.400	-28.046	0.100
0.500	-19.287	0.100
0.600	-25.826	0.100
0.700	-13.662	0.100
0.800	-22.360	0.100
0.900	-17.861	0.100
1.000	-18.899	0.100
1.100	-21.058	0.100
1.200	-27.413	0.100
1.300	-31.155	0.100
1.400	-4.034	0.100
1.500	-15.264	0.100
1.600	-19.970	0.100
1.700	-19.147	0.100
1.800	-33.063	0.100
1.900	-17.456	0.100
2.000	-32.387	0.100
2.100	-25.541	0.100
2.200	-6.997	0.100
2.300	-16.821	0.100
2.400	-22.924	0.100
2.500	-14.113	0.100
2.600	-16.479	0.100
2.700	-30.037	0.100
2.800	-25.559	0.100
2.900	-6.616	0.100
3.000	-30.719	0.100
3.100	-20.719	0.100
3.200	-5.307	0.100
3.300	-21.503	0.100
3.400	-18.539	0.100
3.500	-20.754	0.100
3.600	-14.503	0.100
3.700	-29.861	0.100
3.800	-20.200	0.100
3.900	-26.580	0.100
4.000	-13.844	0.100
4.100	-28.118	0.100
4.200	-27.986	0.100
4.300	-22.764	0.100
4.400	-22.827	0.100
4.500	-20.358	0.100
4.600	-15.172	0.100
4.700	-17.439	0.100
4.800	-11.972	0.100
4.900	-11.247	0.100
5.000	-17.662	0.100
5.100	-26.235	0.100
5.200	-21.326	0.100
5.300	-20.755	0.100
5.400	-38.822	0.100
5.500	-34.096	0.100
5.600	-24.172	0.100
5.700	-17.144	0.100
5.800	-20.084	0.100
5.900	-13.973	0.100
6.000	-19.545	0.100
6.100	-34.317	0.100
6.200	-11.872	0.100
6.300	-24.859	0.100
6.400	-12.837	0.100
6.500	-25.565	0.100
6.600	-20.578	0.100
6.700	-27.234	0.100
6.800	-30.830	0.100
6.900	-14.830	0.100
7.000	-18.825	0.100
7.100	-12.274	0.100
7.200	-35.563	0.100
7.300	-15.402	0.100
7.400	-14.550	0.100
7.500	-25.857	0.100
7.600	-31.740	0.100
7.700	-25.291	0.100
7.800	-20.063	0.100
7.900	-21.540	0.100
8.000	-14.564	0.100
8.100	-5.168	0.100
8.200	-26.163	0.100
8.300	-29.480	0.100
8.400	-20.111	0.100
8.500	-26.168	0.100
8.600	-29.053	0.100
8.700	-33.946	0.100
8.800	-11.214	0.100
8.900	-17.728	0.100
9.000	-24.973	0.100
9.100	-17.303	0.100
9.200	-21.622	0.100
9.300	-22.164	0.100
9.400	-21.175	0.100
9.500	-18.236	0.100
9.600	-25.346	0.100
9.700	-39.058	0.100
9.800	-20.090	0.100
9.900	-23.845	0.100
10.000	-22.614	0.100
10.100	-39.797	0.100
10.200	-27.363	0.100
10.300	-15.973	0.100
10.400	-8.998	0.100
10.500	-24.269	0.100
10.600	-40.265	0.100
10.700	-23.220	0.100
10.800	-19.324	0.100
10.900	-23.665	0.100
11.000	-18.031	0.100
11.100	-21.962	0.100
11.200	-15.318	0.100
11.300	-19.948	0.100
11.400	-27.601	0.100
11.500	-22.759	0.100
11.600	-11.526	0.100
11.700	-23.129	0.100
11.800	-16.386	0.100
11.900	-21.572	0.100
12.000	-12.232	0.100
12.100	-40.397	0.100
12.200	-9.963	0.100
12.300	-26.867	0.100
12.400	-29.973	0.100
12.500	-22.725	0.100
12.600	-29.277	0.100
12.700	-21.030	0.100
12.800	-18.689	0.100
12.900	-16.571	0.100
13.000	-21.048	0.100
13.100	-29.032	0.100
13.200	-16.369	0.100
13.300	-26.331	0.100
13.400	-30.846	0.100
13.500	-21.213	0.100
13.600	-13.874	0.100
13.700	-21.372	0.100
13.800	-23.864	0.100
13.900	-24.173	0.100
14.000	-14.051	0.100
14.100	-21.180	0.100
14.200	-8.319	0.100
14.300	-15.498	0.100
14.400	-36.491	0.100
14.500	-22.793	0.100
14.600	-28.742	0.100
14.700	-20.350	0.100
14.800	-14.964	0.100
14.900	-18.864	0.100
15.000	-29.231	0.100
15.100	-33.409	0.100
15.200	-27.324	0.100
15.300	-11.071	0.100
15.400	-13.762	0.100
15.500	-15.869	0.100
15.600	-18.475	0.100
15.700	-17.390	0.100
15.800	-20.935	0.100
15.900	-25.649	0.100
16.000	-17.759	0.100
16.100	-15.798	0.100
16.200	-22.687	0.100
16.300	-14.462	0.100
16.400	-18.411	0.100
16.500	-27.244	0.100
16.600	-13.590	0.100
16.700	-30.861	0.100
16.800	-15.878	0.100
16.900	-22.172	0.100
17.000	-5.631	0.100
17.100	-23.155	0.100
17.200	-13.151	0.100
17.300	-28.920	0.100
17.400	-31.969	0.100
17.500	-17.073	0.100
17.600	-0.341	0.100
17.700	-13.846	0.100
17.800	-21.373	0.100
17.900	-24.457	0.100
18.000	-22.647	0.100
18.100	-22.268	0.100
18.200	-25.056	0.100
18.300	-13.827	0.100
18.400	-26.038	0.100
18.500	-20.710	0.100
18.600	-22.063	0.100
18.700	-13.371	0.100
18.800	-22.550	0.100
18.900	-17.152	0.100
19.000	-30.668	0.100
19.100	-22.171	0.100
19.200	-26.506	0.100
19.300	-11.780	0.100
19.400	-14.186	0.100
19.500	-15.762	0.100
19.600	-12.656	0.100
19.700	-12.489	0.100
19.800	-20.571	0.100
19.900	-15.338	0.100
20.000	-12.670	0.100
20.100	-27.660	0.100
20.200	-21.899	0.100
20.300	-14.947	0.100
20.400	-12.545	0.100
20.500	-12.297	0.100
20.600	-5.881	0.100
20.700	-16.777	0.100
20.800	-26.901	0.100
20.900	-20.130	0.100
21.000	-23.668	0.100
21.100	-33.427	0.100
21.200	-9.699	0.100
21.300	-13.139	0.100
21.400	-23.744	0.100
21.500	-4.002	0.100
21.600	-24.798	0.100
21.700	-30.328	0.100
21.800	-29.210	0.100
21.900	-25.015	0.100
22.000	-6.214	0.100
22.100	-17.092	0.100
22.200	-27.308	0.100
22.300	-18.866	0.100
22.400	-14.271	0.100
22.500	-23.510	0.100
22.600	-27.589	0.100
22.700	-20.063	0.100
22.800	-17.274	0.100
22.900	-29.042	0.100
23.000	-20.079	0.100
23.100	-15.844	0.100
23.200	-19.812	0.100
23.300	-22.126	0.100
23.400	-30.745	0.100
23.500	-20.169	0.100
23.600	-21.664	0.100
23.700	-17.797	0.100
23.800	-11.109	0.100
23.900	-24.957	0.100
24.000	-24.139	0.100
24.100	-20.186	0.100
24.200	-31.212	0.100
24.300	-19.177	0.100
24.400	-13.876	0.100
24.500	-12.336	0.100
24.600	-28.466	0.100
24.700	-16.032	0.100
24.800	-13.151	0.100
24.900	-24.685	0.100
25.000	-13.665	0.100
25.100	-17.881	0.100
25.200	-20.439	0.100
25.300	-15.969	0.100
25.400	-20.698	0.100
25.500	-26.233	0.100
25.600	-31.972	0.100
25.700	-22.737	0.100
25.800	-21.930	0.100
25.900	-28.800	0.100
26.000	-20.530	0.100
26.100	-11.182	0.100
26.200	-16.355	0.100
26.300	-24.903	0.100
26.400	-35.677	0.100
26.500	-23.852	0.100
26.600	-21.492	0.100
26.700	-9.528	0.100
26.800	-22.785	0.100
26.900	-31.034	0.100
27.000	-20.036	0.100
27.100	-8.322	0.100
27.200	-22.560	0.100
27.300	-7.314	0.100
27.400	-22.051	0.100
27.500	-21.236	0.100
27.600	-11.752	0.100
27.700	-27.247	0.100
27.800	-23.687	0.100
27.900	-16.206	0.100
28.000	-20.991	0.100
28.100	-18.099	0.100
28.200	-4.022	0.100
28.300	-20.868	0.100
28.400	-26.776	0.100
28.500	-20.547	0.100
28.600	-7.709	0.100
28.700	-17.792	0.100
28.800	-29.182	0.100
28.900	-20.707	0.100
29.000	-14.320	0.100
29.100	-9.902	0.100
29.200	-24.737	0.100
29.300	-34.096	0.100
29.400	-17.382	0.100
29.500	-3.765	0.100
29.600	-17.928	0.100
29.700	5.733	0.100
29.800	3.511	0.100
29.900	2.788	0.100
30.000	29.318	0.100
30.100	34.915	0.100
30.200	35.708	0.100
30.300	40.858	0.100
30.400	61.630	0.100
30.500	48.607	0.100
30.600	45.282	0.100
30.700	58.119	0.100
30.800	51.597	0.100
30.900	37.033	0.100
31.000	39.570	0.100
31.100	60.109	0.100
31.200	66.398	0.100
31.300	43.428	0.100
31.400	47.262	0.100
31.500	52.278	0.100
31.600	28.706	0.100
31.700	43.636	0.100
31.800	67.154	0.100
31.900	37.729	0.100
32.000	39.661	0.100
32.100	35.377	0.100
32.200	50.041	0.100
32.300	40.982	0.100
32.400	35.469	0.100
32.500	43.759	0.100
32.600	35.159	0.100
32.700	24.351	0.100
32.800	35.886	0.100
32.900	30.758	0.100
33.000	50.497	0.100
33.100	37.644	0.100
33.200	24.497	0.100
33.300	38.137	0.100
33.400	36.401	0.100
33.500	25.099	0.100
33.600	11.939	0.100
33.700	41.366	0.100
33.800	37.723	0.100
33.900	41.661	0.100
34.000	35.927	0.100
34.100	34.579	0.100
34.200	33.269	0.100
34.300	21.099	0.100
34.400	25.568	0.100
34.500	41.137	0.100
34.600	41.384	0.100
