time /s	I /nA	
0.100	16.221	
0.200	-13.546	
0.300	-7.308	
0.400	-10.189	
0.500	-10.638	
0.600	-13.896	
0.700	-18.153	
0.800	-6.228	
0.900	-9.233	
1.000	-18.406	
1.100	-11.191	
1.200	-6.362	
1.300	-13.798	
1.400	-13.764	
1.500	-23.255	
1.600	-21.663	
1.700	-28.275	
1.800	-14.515	
1.900	-0.713	
2.000	-6.267	
2.100	-12.760	
2.200	-17.732	
2.300	-8.890	
2.400	-9.469	
2.500	-25.009	
2.600	-11.943	
2.700	2.894	
2.800	-1.492	
2.900	-15.455	
3.000	-3.495	
3.100	0.285	
3.200	-16.680	
3.300	-12.970	
3.400	-22.992	
3.500	-9.577	
3.600	-4.486	
3.700	-8.697	
3.800	-17.520	
3.900	-5.946	
4.000	-23.866	
4.100	-13.537	
4.200	-9.516	
4.300	-10.543	
4.400	-13.185	
4.500	-5.148	
4.600	-10.734	
4.700	-3.244	
4.800	-19.278	
4.900	-8.747	
5.000	-14.715	
5.100	-14.577	
5.200	-17.238	
5.300	-20.541	
5.400	-18.173	
5.500	-7.760	
5.600	2.551	
5.700	-27.682	
5.800	-5.618	
5.900	-21.047	
6.000	-8.298	
6.100	-4.615	
6.200	-6.235	
6.300	-17.326	
6.400	-11.653	
6.500	-11.129	
6.600	-8.036	
6.700	-10.665	
6.800	-0.933	
6.900	-21.615	
7.000	-7.969	
7.100	-25.225	
7.200	-11.396	
7.300	-19.841	
7.400	-20.523	
7.500	-21.839	
7.600	-19.407	
7.700	-4.436	
7.800	-25.885	
7.900	-1.615	
8.000	-11.548	
8.100	-16.488	
8.200	-10.416	
8.300	-21.486	
8.400	-0.858	
8.500	-20.215	
8.600	-11.040	
8.700	-6.579	
8.800	-32.978	
8.900	-1.477	
9.000	-11.047	
9.100	-7.122	
9.200	-11.291	
9.300	-6.408	
9.400	-32.215	
9.500	-25.800	
9.600	-15.427	
9.700	-18.178	
9.800	-10.393	
9.900	2.544	
10.000	-13.859	
10.100	-3.790	
10.200	-9.119	
10.300	-8.793	
10.400	-13.025	
10.500	-8.868	
10.600	-14.677	
10.700	-0.652	
10.800	-32.951	
10.900	-0.430	
11.000	-16.314	
11.100	-10.619	
11.200	-31.244	
11.300	-9.900	
11.400	-9.392	
11.500	-19.747	
11.600	-11.310	
11.700	-21.961	
11.800	0.772	
11.900	-24.149	
12.000	4.494	
12.100	-17.838	
12.200	-20.709	
12.300	-9.400	
12.400	-9.731	
12.500	-7.382	
12.600	-24.892	
12.700	-7.910	
12.800	-6.391	
12.900	-18.481	
13.000	-12.441	
13.100	-17.463	
13.200	2.265	
13.300	-29.677	
13.400	-8.352	
13.500	-4.930	
13.600	-19.686	
13.700	-14.607	
13.800	-0.325	
13.900	-9.985	
14.000	-25.704	
14.100	-1.519	
14.200	-24.019	
14.300	-9.677	
14.400	-15.713	
14.500	-14.762	
14.600	-8.592	
14.700	-29.253	
14.800	-4.897	
14.900	-29.468	
15.000	-21.505	
15.100	-8.349	
15.200	6.476	
15.300	-12.546	
15.400	-4.337	
15.500	-12.072	
15.600	-12.174	
15.700	-8.824	
15.800	-20.192	
15.900	-9.546	
16.000	-6.079	
16.100	-17.635	
16.200	-18.403	
16.300	-19.216	
16.400	-12.756	
16.500	-22.326	
16.600	-8.143	
16.700	-17.440	
16.800	-15.311	
16.900	-20.178	
17.000	-21.308	
17.100	-21.791	
17.200	-18.572	
17.300	6.656	
17.400	-20.215	
17.500	-8.177	
17.600	-30.164	
17.700	1.320	
17.800	-7.539	
17.900	-17.998	
18.000	-9.004	
18.100	-13.223	
18.200	-35.159	
18.300	-18.089	
18.400	5.470	
18.500	-7.169	
18.600	-11.172	
18.700	-8.263	
18.800	-10.025	
18.900	-14.472	
19.000	-17.702	
19.100	-18.814	
19.200	-24.711	
19.300	-14.046	
19.400	-15.091	
19.500	-15.749	
19.600	-13.628	
19.700	-12.387	
19.800	-16.200	
19.900	-4.441	
20.000	-17.313	
20.100	3.651	
20.200	-17.078	
20.300	-13.695	
20.400	-27.109	
20.500	-17.523	
20.600	-22.932	
20.700	0.211	
20.800	-5.520	
20.900	-10.276	
21.000	-5.554	
21.100	-7.302	
21.200	-0.738	
21.300	-12.084	
21.400	-17.667	
21.500	-23.806	
21.600	-16.540	
21.700	-0.984	
21.800	-4.137	
21.900	-24.701	
22.000	-12.124	
22.100	-0.788	
22.200	4.865	
22.300	-20.715	
22.400	-33.911	
22.500	-12.076	
22.600	12.066	
22.700	-7.190	
22.800	-7.163	
22.900	-8.959	
23.000	-17.907	
23.100	-8.689	
23.200	-18.705	
23.300	-10.184	
23.400	-18.100	
23.500	4.863	
23.600	-10.907	
23.700	-6.902	
23.800	-22.377	
23.900	-0.449	
24.000	-35.922	
24.100	-0.957	
24.200	-15.371	
24.300	-20.192	
24.400	-5.217	
24.500	-10.598	
24.600	-3.221	
24.700	-9.403	
24.800	-21.389	
24.900	-16.814	
25.000	-10.631	
25.100	-14.636	
25.200	-1.185	
25.300	-22.543	
25.400	-12.425	
25.500	-14.856	
25.600	-14.289	
25.700	3.163	
25.800	-12.158	
25.900	-4.035	
26.000	-16.955	
26.100	-23.551	
26.200	-2.349	
26.300	1.850	
26.400	-14.751	
26.500	-20.624	
26.600	-3.899	
26.700	-22.971	
26.800	-14.541	
26.900	-15.991	
27.000	-5.477	
27.100	-17.286	
27.200	-11.976	
27.300	-6.660	
27.400	-8.722	
27.500	-16.776	
27.600	0.864	
27.700	-26.999	
27.800	-21.995	
27.900	-5.336	
28.000	-18.961	
28.100	-7.288	
28.200	-11.459	
28.300	-10.252	
28.400	-6.776	
28.500	-26.156	
28.600	-10.694	
28.700	-12.536	
28.800	-18.245	
28.900	3.063	
29.000	-4.830	
29.100	-14.598	
29.200	-14.069	
29.300	-12.386	
29.400	-15.474	
29.500	-6.699	
29.600	-1.876	
29.700	-1.676	
29.800	-0.022	
29.900	-3.106	
30.000	9.292	
30.100	2.329	
30.200	8.147	
30.300	13.288	
30.400	11.644	
30.500	22.694	
30.600	6.632	
30.700	11.390	
30.800	17.598	
30.900	-0.702	
31.000	26.693	
31.100	35.281	
31.200	30.632	
31.300	19.978	
31.400	21.872	
31.500	18.092	
31.600	30.097	
31.700	34.722	
31.800	26.840	
31.900	24.951	
32.000	40.593	
32.100	38.242	
32.200	7.360	
32.300	43.509	
32.400	35.970	
32.500	23.044	
32.600	25.098	
32.700	35.708	
32.800	31.948	
32.900	28.611	
33.000	9.693	
33.100	43.224	
33.200	26.719	
33.300	23.113	
33.400	49.802	
33.500	22.641	
33.600	20.190	
33.700	34.566	
33.800	16.540	
33.900	21.681	
34.000	21.516	
34.100	22.634	
34.200	23.682	
34.300	30.322	
34.400	22.107	
34.500	30.470	
34.600	33.029	
34.700	36.059	
34.800	12.712	
34.900	28.764	
35.000	4.686	
35.100	25.672	
35.200	31.794	
35.300	30.675	
35.400	17.211	
35.500	16.947	
35.600	19.244	
35.700	12.351	
35.800	14.004	
35.900	24.669	
36.000	19.157	
36.100	12.036	
36.200	15.506	
36.300	14.515	
36.400	27.731	
36.500	11.173	
36.600	32.015	
36.700	27.702	
36.800	19.317	
36.900	12.967	
37.000	12.211	
37.100	12.847	
37.200	17.712	
37.300	20.396	
37.400	18.802	
37.500	33.094	
37.600	17.344	
37.700	16.849	
37.800	28.379	
37.900	10.408	
38.000	29.919	
38.100	9.051	
38.200	16.414	
38.300	15.927	
38.400	20.258	
38.500	19.065	
38.600	24.420	
38.700	33.947	
38.800	35.500	
38.900	22.549	
39.000	16.150	
39.100	22.641	
39.200	19.154	
39.300	29.805	
39.400	19.615	
39.500	23.201	
39.600	20.510	
39.700	15.012	
39.800	33.343	
39.900	35.385	
40.000	22.440	
40.100	27.960	
40.200	18.486	
40.300	22.767	
40.400	11.935	
40.500	28.620	
40.600	43.287	
40.700	26.135	
40.800	13.541	
40.900	36.145	
41.000	18.993	
41.100	17.958	
41.200	34.734	
41.300	28.338	
41.400	24.885	
41.500	26.696	
41.600	20.695	
41.700	16.261	
41.800	42.062	
41.900	39.113	
42.000	20.952	
42.100	23.462	
42.200	26.717	
42.300	29.328	
42.400	46.274	
42.500	26.707	
42.600	18.507	
42.700	33.665	
42.800	33.980	
42.900	30.175	
43.000	22.625	
43.100	36.618	
43.200	28.350	
43.300	35.469	
43.400	30.558	
43.500	26.138	
43.600	36.081	
43.700	10.783	
43.800	18.122	
43.900	27.771	
44.000	19.580	
44.100	44.050	
44.200	35.455	
44.300	35.841	
44.400	20.075	
44.500	31.978	
44.600	41.739	
44.700	33.161	
44.800	15.139	
44.900	33.830	
45.000	26.537	
45.100	26.517	
45.200	37.015	
45.300	18.557	
45.400	17.553	
45.500	31.087	
45.600	25.571	
45.700	23.825	
45.800	39.691	
45.900	33.945	
46.000	48.959	
46.100	25.239	
46.200	37.041	
46.300	34.775	
46.400	43.201	
46.500	29.820	
46.600	22.558	
46.700	35.625	
46.800	41.694	
46.900	29.178	
47.000	40.074	
47.100	28.853	
47.200	47.419	
47.300	35.460	
47.400	41.958	
47.500	28.454	
47.600	37.854	
47.700	46.040	
47.800	34.393	
47.900	35.170	
48.000	36.532	
48.100	38.323	
48.200	37.874	
48.300	38.115	
48.400	29.865	
48.500	21.120	
48.600	30.752	
48.700	49.830	
48.800	36.301	
48.900	34.890	
49.000	45.386	
49.100	23.648	
49.200	42.477	
49.300	29.766	
49.400	37.896	
49.500	27.939	
49.600	46.457	
49.700	31.591	
49.800	50.142	
49.900	39.093	
50.000	27.316	
50.100	47.208	
50.200	36.722	
50.300	47.355	
50.400	28.406	
50.500	41.018	
50.600	29.225	
50.700	44.680	
50.800	53.517	
50.900	44.004	
51.000	46.353	
51.100	45.910	
51.200	34.507	
51.300	40.007	
51.400	59.984	
51.500	32.820	
51.600	34.132	
51.700	27.494	
