time /s	I /nA	E /V
0.100	-24.999	0.100
0.200	-21.664	0.100
0.300	-18.266	0.100
0.400	-24.576	0.100
0.500	-21.496	0.100
0.600	-13.548	0.100
0.700	-23.414	0.100
0.800	-25.774	0.100
0.900	-22.842	0.100
1.000	-7.318	0.100
1.100	-28.487	0.100
1.200	-24.378	0.100
1.300	-29.824	0.100
1.400	-18.271	0.100
1.500	-19.578	0.100
1.600	-19.438	0.100
1.700	-31.466	0.100
1.800	-24.382	0.100
1.900	-24.756	0.100
2.000	-16.682	0.100
2.100	-23.436	0.100
2.200	-24.154	0.100
2.300	-11.456	0.100
2.400	-24.456	0.100
2.500	-23.349	0.100
2.600	-24.803	0.100
2.700	-8.250	0.100
2.800	-38.562	0.100
2.900	-13.912	0.100
3.000	-16.034	0.100
3.100	-21.551	0.100
3.200	-20.993	0.100
3.300	-13.494	0.100
3.400	-19.707	0.100
3.500	-29.192	0.100
3.600	-33.898	0.100
3.700	-18.538	0.100
3.800	-24.791	0.100
3.900	-19.288	0.100
4.000	-6.212	0.100
4.100	-21.104	0.100
4.200	-21.444	0.100
4.300	-25.646	0.100
4.400	-18.464	0.100
4.500	-17.144	0.100
4.600	-13.350	0.100
4.700	-33.057	0.100
4.800	-25.588	0.100
4.900	-21.887	0.100
5.000	-18.068	0.100
5.100	-17.113	0.100
5.200	-32.451	0.100
5.300	-16.193	0.100
5.400	-16.003	0.100
5.500	-23.073	0.100
5.600	-23.811	0.100
5.700	-20.425	0.100
5.800	-18.003	0.100
5.900	-26.676	0.100
6.000	-27.157	0.100
6.100	-24.770	0.100
6.200	-20.165	0.100
6.300	-25.962	0.100
6.400	-29.252	0.100
6.500	-37.038	0.100
6.600	-21.909	0.100
6.700	-2.709	0.100
6.800	-9.128	0.100
6.900	-25.165	0.100
7.000	-16.494	0.100
7.100	-21.453	0.100
7.200	-20.387	0.100
7.300	-18.374	0.100
7.400	-6.158	0.100
7.500	-18.230	0.100
7.600	-24.652	0.100
7.700	-27.798	0.100
7.800	-24.577	0.100
7.900	-14.260	0.100
8.000	-21.128	0.100
8.100	-27.118	0.100
