Time - A.ExtT.T (°C)	Temperature (°C) - A.ExtT.T (°C)
16:25:06	25.163
16:25:06	25.164
16:25:07	25.165
16:25:07	25.165
16:25:07	25.164
16:25:08	25.167
16:25:08	25.167
16:25:08	25.166
16:25:09	25.166
16:25:09	25.166
16:25:09	25.167
16:25:10	25.167
16:25:10	25.167
16:25:11	25.168
16:25:11	25.167
16:25:12	25.167
16:25:12	25.166
16:25:13	25.167
16:25:13	25.169
16:25:14	25.168
16:25:14	25.169
16:25:15	25.169
16:25:15	25.169
16:25:16	25.17
16:25:16	25.169
16:25:17	25.169
16:25:17	25.169
16:25:18	25.171
16:25:18	25.171
16:25:19	25.169
16:25:19	25.169
16:25:20	25.169
16:25:20	25.168
16:25:21	25.169
16:25:21	25.17
16:25:22	25.169
16:25:22	25.171
16:25:23	25.171
16:25:23	25.17
16:25:24	25.17
16:25:24	25.168
16:25:25	25.168
16:25:25	25.168
16:25:26	25.167
16:25:26	25.168
16:25:27	25.171
16:25:27	25.171
16:25:28	25.171
16:25:28	25.172
16:25:29	25.173
16:25:29	25.174
16:25:30	25.172
16:25:30	25.172
16:25:31	25.174
16:25:31	25.173
16:25:32	25.174
16:25:32	25.173
16:25:33	25.175
16:25:33	25.174
16:25:34	25.174
16:25:34	25.175
16:25:35	25.174
16:25:35	25.173
16:25:36	25.173
16:25:36	25.173
16:25:37	25.176
16:25:37	25.176
16:25:38	25.175
16:25:38	25.175
16:25:39	25.176
16:25:39	25.173
16:25:40	25.173
16:25:40	25.171
16:25:41	25.173
16:25:41	25.173
16:25:42	25.173
16:25:42	25.172
16:25:43	25.175
16:25:43	25.174
16:25:44	25.176
16:25:44	25.176
16:25:45	25.175
16:25:45	25.176
16:25:46	25.177
16:25:46	25.177
16:25:47	25.177
16:25:47	25.177
16:25:48	25.179
16:25:48	25.181
16:25:49	25.181
16:25:49	25.181
16:25:50	25.182
16:25:50	25.182
16:25:51	25.181
16:25:51	25.181
16:25:52	25.18
16:25:52	25.18
16:25:53	25.18
16:25:53	25.18
16:25:54	25.179
16:25:54	25.179
16:25:55	25.18
16:25:55	25.181
16:25:56	25.182
16:25:56	25.182
16:25:57	25.184
16:25:57	25.184
16:25:58	25.183
16:25:58	25.181
16:25:59	25.181
16:25:59	25.181
