Time - A.ExtT.T (°C)	Temperature (°C) - A.ExtT.T (°C)
12:29:26	25.138
12:29:27	25.138
12:29:27	25.134
12:29:28	25.134
12:29:28	25.132
12:29:28	25.132
12:29:29	25.132
12:29:29	25.133
12:29:29	25.136
12:29:30	25.138
12:29:30	25.138
12:29:30	25.141
12:29:31	25.141
12:29:31	25.141
12:29:31	25.14
12:29:32	25.137
12:29:32	25.137
12:29:33	25.133
12:29:33	25.133
12:29:34	25.131
12:29:34	25.131
12:29:35	25.138
12:29:35	25.138
12:29:36	25.136
12:29:36	25.136
12:29:37	25.132
12:29:37	25.132
12:29:38	25.13
12:29:38	25.13
12:29:39	25.135
12:29:39	25.135
12:29:40	25.138
12:29:40	25.138
12:29:41	25.134
12:29:41	25.132
12:29:42	25.129
12:29:42	25.129
12:29:43	25.132
12:29:43	25.132
12:29:44	25.137
12:29:44	25.137
12:29:45	25.136
12:29:45	25.134
12:29:46	25.13
12:29:46	25.129
12:29:47	25.132
12:29:47	25.134
12:29:48	25.139
12:29:48	25.14
12:29:49	25.141
12:29:49	25.139
12:29:50	25.135
12:29:50	25.135
12:29:51	25.132
12:29:51	25.132
12:29:52	25.135
12:29:52	25.135
12:29:53	25.139
12:29:53	25.139
12:29:54	25.135
12:29:54	25.135
12:29:55	25.13
12:29:55	25.13
12:29:56	25.133
12:29:56	25.133
12:29:57	25.138
12:29:57	25.138
12:29:58	25.138
12:29:58	25.138
12:29:59	25.134
12:29:59	25.133
12:30:00	25.134
12:30:00	25.134
12:30:01	25.139
12:30:01	25.14
12:30:02	25.141
12:30:02	25.14
12:30:03	25.135
12:30:03	25.134
12:30:04	25.132
12:30:04	25.132
12:30:05	25.137
12:30:05	25.14
12:30:06	25.144
12:30:06	25.145
12:30:07	25.143
12:30:07	25.142
12:30:08	25.137
12:30:08	25.136
12:30:09	25.138
12:30:09	25.138
12:30:10	25.144
12:30:10	25.144
12:30:11	25.146
12:30:11	25.146
12:30:12	25.141
12:30:12	25.141
12:30:13	25.139
12:30:13	25.139
12:30:14	25.147
12:30:14	25.147
12:30:15	25.152
12:30:15	25.152
12:30:16	25.146
12:30:16	25.146
12:30:17	25.14
12:30:17	25.14
12:30:18	25.143
12:30:18	25.143
12:30:19	25.148
12:30:19	25.149
12:30:20	25.149
12:30:20	25.148
12:30:21	25.143
12:30:21	25.141
12:30:22	25.142
12:30:22	25.143
12:30:23	25.147
12:30:23	25.148
12:30:24	25.15
12:30:24	25.149
12:30:25	25.145
12:30:25	25.144
12:30:26	25.144
12:30:26	25.145
12:30:27	25.148
12:30:27	25.149
12:30:28	25.153
12:30:28	25.153
12:30:29	25.15
12:30:29	25.15
12:30:30	25.143
12:30:30	25.143
12:30:31	25.149
12:30:31	25.149
12:30:32	25.154
12:30:32	25.154
12:30:33	25.155
12:30:33	25.155
12:30:34	25.147
12:30:34	25.147
12:30:35	25.147
12:30:35	25.147
12:30:36	25.154
12:30:36	25.154
12:30:37	25.157
12:30:37	25.157
12:30:38	25.151
12:30:38	25.151
12:30:39	25.146
12:30:39	25.146
12:30:40	25.148
12:30:40	25.149
12:30:41	25.155
12:30:41	25.156
12:30:42	25.154
12:30:42	25.153
12:30:43	25.148
12:30:43	25.147
12:30:44	25.148
12:30:44	25.149
12:30:45	25.155
12:30:45	25.156
12:30:46	25.158
12:30:46	25.157
12:30:47	25.153
12:30:47	25.153
12:30:48	25.148
12:30:48	25.148
12:30:49	25.153
12:30:49	25.153
12:30:50	25.157
12:30:50	25.157
12:30:51	25.155
12:30:51	25.155
12:30:52	25.149
12:30:52	25.149
12:30:53	25.151
12:30:53	25.151
12:30:54	25.155
12:30:54	25.155
12:30:55	25.154
12:30:55	25.154
12:30:56	25.15
12:30:56	25.15
12:30:57	25.15
12:30:57	25.15
12:30:58	25.155
12:30:58	25.157
12:30:59	25.158
12:30:59	25.158
12:31:00	25.151
12:31:00	25.15
12:31:01	25.146
12:31:01	25.145
12:31:02	25.148
12:31:02	25.148
12:31:03	25.154
12:31:03	25.154
12:31:04	25.15
12:31:04	25.149
12:31:05	25.144
12:31:05	25.143
12:31:06	25.144
12:31:06	25.145
12:31:07	25.15
12:31:07	25.15
12:31:08	25.151
12:31:08	25.151
12:31:09	25.145
12:31:09	25.145
12:31:10	25.138
12:31:10	25.138
12:31:11	25.141
12:31:11	25.141
12:31:12	25.145
12:31:12	25.145
12:31:13	25.143
12:31:13	25.143
12:31:14	25.138
12:31:14	25.138
12:31:15	25.14
12:31:15	25.14
12:31:16	25.146
12:31:16	25.146
12:31:17	25.148
12:31:17	25.147
12:31:18	25.141
12:31:18	25.14
12:31:19	25.139
12:31:19	25.14
12:31:20	25.142
12:31:20	25.143
12:31:21	25.144
12:31:21	25.143
12:31:22	25.14
12:31:22	25.138
12:31:23	25.136
12:31:23	25.137
12:31:24	25.14
12:31:24	25.143
12:31:25	25.148
12:31:25	25.149
12:31:26	25.147
12:31:26	25.147
12:31:27	25.138
12:31:27	25.138
12:31:28	25.135
12:31:28	25.135
12:31:29	25.14
12:31:29	25.14
12:31:30	25.141
12:31:30	25.141
12:31:31	25.137
12:31:31	25.137
12:31:32	25.134
12:31:32	25.134
12:31:33	25.138
12:31:33	25.138
12:31:34	25.143
12:31:34	25.143
12:31:35	25.139
12:31:35	25.139
12:31:36	25.135
12:31:36	25.134
12:31:37	25.136
12:31:37	25.137
12:31:38	25.142
12:31:38	25.144
12:31:39	25.143
12:31:39	25.143
12:31:40	25.135
12:31:40	25.134
12:31:41	25.135
12:31:41	25.135
12:31:42	25.14
12:31:42	25.141
12:31:43	25.144
12:31:43	25.144
12:31:44	25.141
12:31:44	25.14
12:31:45	25.137
12:31:45	25.136
12:31:46	25.139
12:31:46	25.139
12:31:47	25.144
12:31:47	25.144
12:31:48	25.141
12:31:48	25.141
12:31:49	25.135
12:31:49	25.135
12:31:50	25.135
12:31:50	25.135
12:31:51	25.138
12:31:51	25.138
12:31:52	25.141
12:31:52	25.141
12:31:53	25.136
12:31:53	25.136
12:31:54	25.135
12:31:54	25.135
12:31:55	25.136
12:31:55	25.136
12:31:56	25.138
12:31:56	25.138
12:31:57	25.134
12:31:57	25.132
12:31:58	25.129
12:31:58	25.129
12:31:59	25.132
12:31:59	25.134
12:32:00	25.139
12:32:00	25.14
12:32:01	25.14
12:32:01	25.139
12:32:02	25.132
12:32:02	25.131
12:32:03	25.131
12:32:03	25.132
12:32:04	25.137
12:32:04	25.138
12:32:05	25.14
12:32:05	25.14
12:32:06	25.134
12:32:06	25.134
12:32:07	25.131
12:32:07	25.131
12:32:08	25.133
12:32:08	25.133
12:32:09	25.14
12:32:09	25.14
12:32:10	25.139
12:32:10	25.139
12:32:11	25.133
12:32:11	25.133
12:32:12	25.132
12:32:12	25.132
12:32:13	25.137
12:32:13	25.137
12:32:14	25.139
12:32:14	25.138
12:32:15	25.133
12:32:15	25.131
12:32:16	25.13
12:32:16	25.13
12:32:17	25.133
12:32:17	25.134
12:32:18	25.138
12:32:18	25.139
12:32:19	25.135
12:32:19	25.134
12:32:20	25.13
12:32:20	25.13
12:32:21	25.132
12:32:21	25.133
12:32:22	25.137
12:32:22	25.137
12:32:23	25.135
12:32:23	25.135
12:32:24	25.128
12:32:24	25.127
12:32:25	25.129
12:32:25	25.129
12:32:26	25.138
12:32:26	25.138
12:32:27	25.14
12:32:27	25.14
12:32:28	25.133
12:32:28	25.133
12:32:29	25.129
12:32:29	25.129
12:32:30	25.131
12:32:30	25.131
12:32:31	25.138
12:32:31	25.138
12:32:32	25.136
12:32:32	25.136
12:32:33	25.132
12:32:33	25.132
12:32:34	25.132
12:32:34	25.134
12:32:35	25.14
12:32:35	25.141
12:32:36	25.142
12:32:36	25.142
12:32:37	25.138
12:32:37	25.137
12:32:38	25.135
12:32:38	25.135
12:32:39	25.139
12:32:39	25.14
12:32:40	25.144
12:32:40	25.144
12:32:41	25.141
12:32:41	25.139
12:32:42	25.135
12:32:42	25.135
12:32:43	25.137
12:32:43	25.138
12:32:44	25.142
12:32:44	25.142
12:32:45	25.141
12:32:45	25.141
12:32:46	25.136
12:32:46	25.136
12:32:47	25.135
12:32:47	25.135
12:32:48	25.144
12:32:48	25.144
12:32:49	25.147
12:32:49	25.147
12:32:50	25.143
12:32:50	25.143
12:32:51	25.137
12:32:51	25.137
12:32:52	25.143
12:32:52	25.143
12:32:53	25.148
12:32:53	25.149
12:32:54	25.147
12:32:54	25.146
12:32:55	25.144
12:32:55	25.143
12:32:56	25.14
12:32:56	25.141
12:32:57	25.146
12:32:57	25.148
12:32:58	25.148
12:32:58	25.146
12:32:59	25.143
12:32:59	25.142
12:33:00	25.14
12:33:00	25.14
12:33:01	25.146
12:33:01	25.147
12:33:02	25.15
12:33:02	25.15
12:33:03	25.147
12:33:03	25.147
12:33:04	25.143
12:33:04	25.143
12:33:05	25.147
12:33:05	25.147
12:33:06	25.152
12:33:06	25.152
12:33:07	25.15
12:33:07	25.15
12:33:08	25.143
12:33:08	25.143
12:33:09	25.144
12:33:09	25.144
12:33:10	25.148
12:33:10	25.148
12:33:11	25.152
12:33:11	25.152
12:33:12	25.147
12:33:12	25.146
12:33:13	25.143
12:33:13	25.143
12:33:14	25.145
12:33:14	25.146
12:33:15	25.151
12:33:15	25.151
12:33:16	25.15
12:33:16	25.149
12:33:17	25.148
12:33:17	25.147
12:33:18	25.148
12:33:18	25.149
12:33:19	25.153
12:33:19	25.153
12:33:20	25.154
12:33:20	25.153
12:33:21	25.146
12:33:21	25.145
12:33:22	25.142
12:33:22	25.142
12:33:23	25.147
12:33:23	25.147
12:33:24	25.152
12:33:24	25.152
12:33:25	25.15
12:33:25	25.15
12:33:26	25.144
12:33:26	25.144
12:33:27	25.148
12:33:27	25.148
12:33:28	25.155
12:33:28	25.155
12:33:29	25.154
12:33:29	25.154
12:33:30	25.147
12:33:30	25.147
12:33:31	25.145
12:33:31	25.144
12:33:32	25.148
12:33:32	25.149
12:33:33	25.152
12:33:33	25.151
12:33:34	25.145
12:33:34	25.143
12:33:35	25.137
12:33:35	25.137
12:33:36	25.139
12:33:36	25.139
12:33:37	25.145
12:33:37	25.147
12:33:38	25.147
12:33:38	25.146
12:33:39	25.14
12:33:39	25.139
12:33:40	25.141
12:33:40	25.143
12:33:41	25.148
12:33:41	25.148
12:33:42	25.15
12:33:42	25.15
12:33:43	25.143
12:33:43	25.141
12:33:44	25.138
12:33:44	25.138
12:33:45	25.14
12:33:45	25.14
12:33:46	25.146
12:33:46	25.146
12:33:47	25.141
12:33:47	25.141
12:33:48	25.136
12:33:48	25.136
12:33:49	25.138
12:33:49	25.138
12:33:50	25.143
12:33:50	25.144
12:33:51	25.145
12:33:51	25.144
12:33:52	25.14
12:33:52	25.139
12:33:53	25.137
12:33:53	25.138
12:33:54	25.143
12:33:54	25.145
12:33:55	25.145
12:33:55	25.145
12:33:56	25.14
12:33:56	25.139
12:33:57	25.133
12:33:57	25.134
12:33:58	25.137
12:33:58	25.138
12:33:59	25.138
12:33:59	25.14
12:34:00	25.138
12:34:00	25.138
12:34:01	25.134
12:34:01	25.133
12:34:02	25.135
12:34:02	25.135
12:34:03	25.142
12:34:03	25.142
12:34:04	25.143
12:34:04	25.143
12:34:05	25.138
12:34:05	25.138
12:34:06	25.137
12:34:06	25.137
12:34:07	25.141
12:34:07	25.141
12:34:08	25.143
12:34:08	25.143
12:34:09	25.139
12:34:09	25.139
12:34:10	25.135
12:34:10	25.136
12:34:11	25.137
12:34:11	25.138
12:34:12	25.144
12:34:12	25.145
12:34:13	25.144
12:34:13	25.142
12:34:14	25.137
12:34:14	25.136
12:34:15	25.136
12:34:15	25.137
12:34:16	25.14
12:34:16	25.143
12:34:17	25.145
12:34:17	25.144
12:34:18	25.138
12:34:18	25.136
12:34:19	25.134
12:34:19	25.135
12:34:20	25.137
12:34:20	25.138
12:34:21	25.142
12:34:21	25.142
12:34:22	25.138
12:34:22	25.138
12:34:23	25.132
12:34:23	25.132
12:34:24	25.134
12:34:24	25.134
12:34:25	25.14
12:34:25	25.14
12:34:26	25.138
12:34:26	25.138
12:34:27	25.133
12:34:27	25.133
12:34:28	25.132
12:34:28	25.132
12:34:29	25.136
12:34:29	25.138
12:34:30	25.138
12:34:30	25.137
12:34:31	25.133
12:34:31	25.132
12:34:32	25.128
12:34:32	25.128
12:34:33	25.132
12:34:33	25.133
12:34:34	25.138
12:34:34	25.137
12:34:35	25.135
12:34:35	25.133
12:34:36	25.127
12:34:36	25.127
12:34:37	25.128
12:34:37	25.127
12:34:38	25.133
12:34:38	25.135
12:34:39	25.135
12:34:39	25.134
12:34:40	25.129
12:34:40	25.129
12:34:41	25.128
12:34:41	25.128
12:34:42	25.135
12:34:42	25.135
12:34:43	25.139
12:34:43	25.139
12:34:44	25.133
12:34:44	25.133
12:34:45	25.128
12:34:45	25.128
12:34:46	25.131
12:34:46	25.131
12:34:47	25.136
12:34:47	25.136
12:34:48	25.134
12:34:48	25.133
12:34:49	25.13
12:34:49	25.13
12:34:50	25.131
12:34:50	25.132
12:34:51	25.138
12:34:51	25.14
12:34:52	25.14
12:34:52	25.139
