Time - A.ExtT.T (°C)	Temperature (°C) - A.ExtT.T (°C)
13:36:46	25.142
13:36:47	25.143
13:36:47	25.143
13:36:47	25.143
13:36:48	25.144
13:36:48	25.143
13:36:48	25.143
13:36:49	25.143
13:36:49	25.144
13:36:49	25.144
13:36:50	25.143
13:36:50	25.145
13:36:50	25.145
13:36:51	25.144
13:36:51	25.146
13:36:51	25.146
13:36:52	25.145
13:36:52	25.145
13:36:52	25.145
13:36:53	25.146
13:36:53	25.144
13:36:54	25.143
13:36:54	25.142
13:36:55	25.141
13:36:55	25.142
13:36:56	25.142
13:36:56	25.143
13:36:57	25.143
13:36:57	25.145
13:36:58	25.146
13:36:58	25.145
13:36:59	25.146
13:36:59	25.145
13:37:00	25.145
13:37:00	25.144
13:37:01	25.143
13:37:01	25.144
13:37:02	25.145
13:37:02	25.144
13:37:03	25.144
13:37:03	25.144
13:37:04	25.145
13:37:04	25.144
13:37:05	25.144
13:37:05	25.143
13:37:06	25.144
13:37:06	25.144
13:37:07	25.142
13:37:07	25.144
13:37:08	25.143
13:37:08	25.142
13:37:09	25.143
13:37:09	25.144
13:37:10	25.145
13:37:10	25.141
13:37:11	25.141
13:37:11	25.14
13:37:12	25.14
13:37:12	25.139
13:37:13	25.138
13:37:13	25.139
13:37:14	25.14
13:37:14	25.141
13:37:15	25.141
13:37:15	25.143
13:37:16	25.143
13:37:16	25.144
13:37:17	25.145
13:37:17	25.145
13:37:18	25.145
13:37:18	25.145
13:37:19	25.144
13:37:19	25.145
13:37:20	25.145
13:37:20	25.147
13:37:21	25.15
13:37:21	25.152
13:37:22	25.152
13:37:22	25.151
13:37:23	25.151
13:37:23	25.153
13:37:24	25.152
13:37:24	25.15
13:37:25	25.151
13:37:25	25.15
13:37:26	25.152
13:37:26	25.151
13:37:27	25.15
13:37:27	25.152
13:37:28	25.152
13:37:28	25.155
13:37:29	25.155
13:37:29	25.158
13:37:30	25.158
13:37:30	25.159
13:37:31	25.16
13:37:31	25.157
13:37:32	25.158
13:37:32	25.156
13:37:33	25.156
13:37:33	25.157
13:37:34	25.156
13:37:34	25.156
13:37:35	25.156
13:37:35	25.155
13:37:36	25.156
13:37:36	25.156
13:37:37	25.157
13:37:37	25.159
13:37:38	25.159
13:37:38	25.161
13:37:39	25.162
13:37:39	25.161
13:37:40	25.162
13:37:40	25.164
13:37:41	25.164
13:37:41	25.166
13:37:42	25.166
13:37:42	25.166
13:37:43	25.166
13:37:43	25.165
13:37:44	25.163
13:37:44	25.165
13:37:45	25.164
13:37:45	25.163
13:37:46	25.163
13:37:46	25.165
13:37:47	25.166
13:37:47	25.166
13:37:48	25.165
13:37:48	25.166
13:37:49	25.165
13:37:49	25.166
13:37:50	25.166
13:37:50	25.169
13:37:51	25.167
13:37:51	25.169
13:37:52	25.168
13:37:52	25.169
13:37:53	25.168
13:37:53	25.168
13:37:54	25.168
13:37:54	25.168
13:37:55	25.168
13:37:55	25.17
13:37:56	25.169
13:37:56	25.168
13:37:57	25.167
13:37:57	25.167
13:37:58	25.168
13:37:58	25.169
13:37:59	25.169
13:37:59	25.17
13:38:00	25.17
13:38:00	25.171
13:38:01	25.17
13:38:01	25.172
13:38:02	25.171
13:38:02	25.171
13:38:03	25.17
13:38:03	25.168
