time /s	I /nA	
0.100	-44.133	
0.200	-47.511	
0.300	-85.101	
0.400	-101.051	
0.500	-92.953	
0.600	-84.304	
0.700	-94.836	
0.800	-85.723	
0.900	-78.873	
1.000	-105.753	
1.100	-101.268	
1.200	-118.863	
1.300	-86.103	
1.400	-88.537	
1.500	-62.630	
1.600	-90.565	
1.700	-91.128	
1.800	-100.497	
1.900	-83.519	
2.000	-78.255	
2.100	-90.785	
2.200	-84.148	
2.300	-106.641	
2.400	-61.393	
2.500	-83.315	
2.600	-63.066	
2.700	-109.915	
2.800	-76.825	
2.900	-87.787	
3.000	-79.426	
3.100	-68.696	
3.200	-81.443	
3.300	-105.804	
3.400	-80.487	
3.500	-96.106	
3.600	-74.835	
3.700	-104.987	
3.800	-72.535	
3.900	-64.968	
4.000	-81.259	
4.100	-72.723	
4.200	-80.772	
4.300	-101.941	
4.400	-90.698	
4.500	-59.649	
4.600	-96.892	
4.700	-96.587	
4.800	-85.529	
4.900	-101.184	
5.000	-75.570	
5.100	-94.077	
5.200	-82.345	
5.300	-73.201	
5.400	-65.538	
5.500	-69.570	
5.600	-86.538	
5.700	-66.084	
5.800	-91.878	
5.900	-85.219	
6.000	-79.376	
6.100	-96.004	
6.200	-71.347	
6.300	-81.244	
6.400	-102.897	
6.500	-69.077	
6.600	-69.365	
6.700	-74.653	
6.800	-99.150	
6.900	-82.049	
7.000	-77.534	
7.100	-78.316	
7.200	-74.402	
7.300	-65.555	
7.400	-93.500	
7.500	-92.841	
7.600	-96.144	
7.700	-51.658	
7.800	-68.922	
7.900	-66.940	
8.000	-74.027	
8.100	-97.292	
8.200	-88.516	
8.300	-88.636	
8.400	-77.985	
8.500	-66.022	
8.600	-77.993	
8.700	-99.533	
8.800	-90.226	
8.900	-90.411	
9.000	-64.855	
9.100	-59.946	
9.200	-70.277	
9.300	-98.055	
9.400	-81.750	
9.500	-56.796	
9.600	-80.495	
9.700	-90.975	
9.800	-59.539	
9.900	-70.134	
10.000	-89.653	
10.100	-78.766	
10.200	-68.171	
10.300	-75.347	
10.400	-93.760	
10.500	-110.022	
10.600	-89.763	
10.700	-65.957	
10.800	-51.932	
10.900	-82.509	
11.000	-80.600	
11.100	-81.052	
11.200	-86.316	
11.300	-86.693	
11.400	-67.261	
11.500	-55.434	
11.600	-92.879	
11.700	-72.076	
11.800	-62.308	
11.900	-69.120	
12.000	-100.091	
12.100	-80.774	
12.200	-99.213	
12.300	-73.991	
12.400	-66.171	
12.500	-66.748	
12.600	-63.737	
12.700	-78.506	
12.800	-79.355	
12.900	-77.917	
13.000	-79.354	
13.100	-60.151	
13.200	-74.489	
13.300	-70.223	
13.400	-78.227	
13.500	-88.861	
13.600	-89.801	
13.700	-49.911	
13.800	-70.910	
13.900	-79.341	
14.000	-53.667	
14.100	-55.095	
14.200	-67.230	
14.300	-69.483	
14.400	-73.966	
14.500	-82.503	
14.600	-48.655	
14.700	-81.652	
14.800	-72.876	
14.900	-77.892	
15.000	-76.518	
15.100	-82.818	
15.200	-78.891	
15.300	-61.975	
15.400	-87.205	
15.500	-70.477	
15.600	-55.722	
15.700	-87.275	
15.800	-74.009	
15.900	-101.728	
16.000	-74.278	
16.100	-65.278	
16.200	-79.815	
16.300	-74.147	
16.400	-60.838	
16.500	-70.137	
16.600	-57.509	
16.700	-74.188	
16.800	-83.292	
16.900	-87.425	
17.000	-57.698	
17.100	-82.978	
17.200	-66.966	
17.300	-48.825	
17.400	-70.789	
17.500	-73.850	
17.600	-84.987	
17.700	-60.442	
17.800	-53.319	
17.900	-67.876	
18.000	-57.468	
18.100	-81.911	
18.200	-77.186	
18.300	-56.760	
18.400	-67.423	
18.500	-72.180	
18.600	-79.314	
18.700	-80.621	
18.800	-61.978	
18.900	-54.575	
19.000	-61.262	
19.100	-72.408	
19.200	-61.516	
19.300	-103.431	
19.400	-72.953	
19.500	-77.797	
19.600	-57.168	
19.700	-78.887	
19.800	-70.956	
19.900	-92.617	
20.000	-84.565	
20.100	-58.903	
20.200	-87.456	
20.300	-84.553	
20.400	-71.917	
20.500	-77.181	
20.600	-59.511	
20.700	-55.902	
20.800	-66.772	
20.900	-65.785	
21.000	-72.079	
21.100	-77.433	
21.200	-76.986	
21.300	-66.413	
21.400	-71.786	
21.500	-75.965	
21.600	-45.455	
21.700	-71.746	
21.800	-54.694	
21.900	-84.167	
22.000	-71.030	
22.100	-74.752	
22.200	-70.756	
22.300	-48.516	
22.400	-81.385	
22.500	-52.179	
22.600	-68.020	
22.700	-84.415	
22.800	-82.640	
