time /s	I /nA	
0.100	42.856	
0.200	4.367	
0.300	7.651	
0.400	5.508	
0.500	-6.727	
0.600	-9.103	
0.700	4.202	
0.800	12.322	
0.900	5.166	
1.000	0.406	
1.100	-2.326	
1.200	-12.805	
1.300	14.308	
1.400	4.864	
1.500	10.761	
1.600	-15.895	
1.700	9.668	
1.800	0.096	
1.900	11.079	
2.000	-15.802	
2.100	-6.093	
2.200	5.430	
2.300	-5.496	
2.400	-6.736	
2.500	5.786	
2.600	18.769	
2.700	5.215	
2.800	11.306	
2.900	5.993	
3.000	-7.300	
3.100	-10.277	
3.200	-7.069	
3.300	7.717	
3.400	-5.963	
3.500	-3.808	
3.600	-9.580	
3.700	-7.206	
3.800	2.745	
3.900	4.445	
4.000	-5.400	
4.100	-13.205	
4.200	4.698	
4.300	6.831	
4.400	-14.816	
4.500	-9.301	
4.600	9.969	
4.700	7.831	
4.800	3.905	
4.900	-16.611	
5.000	6.152	
5.100	11.865	
5.200	3.010	
5.300	-10.415	
5.400	-6.304	
5.500	-1.877	
5.600	3.871	
5.700	8.366	
5.800	-11.012	
5.900	-16.394	
6.000	4.024	
6.100	-2.555	
6.200	2.128	
6.300	-1.299	
6.400	-3.952	
6.500	7.898	
6.600	-13.942	
6.700	-6.377	
6.800	-7.484	
6.900	-9.614	
7.000	-6.867	
7.100	-5.112	
7.200	-16.238	
7.300	29.065	
7.400	-2.435	
7.500	-9.547	
7.600	4.665	
7.700	-14.986	
7.800	-23.396	
7.900	-9.798	
8.000	7.772	
8.100	-6.410	
8.200	-2.785	
8.300	-7.130	
8.400	6.011	
8.500	-13.758	
8.600	-0.743	
8.700	24.819	
8.800	1.336	
8.900	3.767	
9.000	-7.238	
9.100	-0.977	
9.200	13.824	
9.300	-18.969	
9.400	-14.047	
9.500	8.597	
9.600	-16.428	
9.700	13.290	
9.800	-7.303	
9.900	9.283	
10.000	-0.005	
10.100	-1.742	
10.200	-2.345	
10.300	16.236	
10.400	1.966	
10.500	-4.154	
10.600	-21.975	
10.700	-11.878	
10.800	-3.819	
10.900	-4.892	
11.000	3.330	
11.100	-3.998	
11.200	-17.055	
11.300	-12.108	
11.400	4.190	
11.500	4.630	
11.600	-7.071	
11.700	-4.214	
11.800	14.463	
11.900	-22.830	
12.000	9.549	
12.100	9.877	
12.200	6.897	
12.300	-14.633	
12.400	-18.010	
12.500	-4.577	
12.600	-17.492	
12.700	-7.415	
12.800	-10.540	
12.900	-10.440	
13.000	-14.411	
13.100	16.398	
13.200	10.464	
13.300	7.963	
13.400	5.303	
13.500	-7.357	
13.600	-1.147	
13.700	-9.616	
13.800	-7.723	
13.900	-8.720	
14.000	-15.382	
14.100	-2.178	
14.200	-1.940	
14.300	-7.323	
14.400	12.028	
14.500	-19.845	
14.600	-10.263	
14.700	-2.631	
14.800	-8.261	
14.900	-9.094	
15.000	9.376	
15.100	-12.458	
15.200	-4.306	
15.300	0.724	
15.400	-12.015	
15.500	1.236	
15.600	2.452	
15.700	5.395	
15.800	-0.820	
15.900	-28.492	
16.000	0.914	
16.100	5.200	
16.200	6.574	
16.300	-29.071	
16.400	-18.250	
16.500	-21.913	
16.600	2.803	
16.700	-3.461	
16.800	-7.153	
16.900	-22.178	
17.000	-10.096	
17.100	3.635	
17.200	5.055	
17.300	-1.205	
17.400	2.065	
17.500	-3.933	
17.600	9.629	
17.700	-8.360	
17.800	13.702	
17.900	-8.769	
18.000	3.395	
18.100	-22.411	
18.200	17.410	
18.300	-10.662	
18.400	1.473	
18.500	-4.071	
18.600	4.616	
18.700	2.901	
18.800	-9.300	
18.900	-2.838	
19.000	5.958	
19.100	2.602	
19.200	2.491	
19.300	-11.352	
19.400	-22.226	
19.500	7.123	
19.600	7.032	
19.700	16.140	
19.800	-11.488	
19.900	0.773	
20.000	-11.731	
20.100	-8.058	
20.200	-19.535	
20.300	7.691	
20.400	-1.602	
20.500	-11.857	
20.600	4.908	
20.700	5.760	
20.800	7.045	
20.900	-1.880	
21.000	8.664	
21.100	-11.639	
21.200	-11.710	
21.300	-6.956	
21.400	-7.302	
21.500	7.408	
21.600	6.050	
21.700	-23.748	
21.800	-10.501	
21.900	-2.050	
22.000	9.900	
22.100	-8.153	
22.200	-2.530	
22.300	-5.385	
22.400	-7.182	
22.500	5.402	
22.600	-0.962	
22.700	-25.846	
22.800	-15.967	
22.900	-0.165	
23.000	4.041	
23.100	5.619	
23.200	0.462	
23.300	0.267	
23.400	7.060	
23.500	-15.316	
23.600	-5.496	
23.700	-0.208	
23.800	10.325	
23.900	-0.899	
24.000	-17.275	
24.100	-5.805	
24.200	4.111	
24.300	23.571	
24.400	3.464	
24.500	3.237	
24.600	-5.972	
24.700	-12.474	
24.800	-7.857	
24.900	10.953	
25.000	4.316	
25.100	-6.237	
25.200	-1.360	
25.300	-3.734	
25.400	-0.399	
25.500	-11.927	
25.600	1.152	
25.700	10.128	
25.800	-15.357	
25.900	-2.864	
26.000	-0.490	
26.100	17.612	
26.200	8.468	
26.300	-6.476	
26.400	0.811	
26.500	-0.056	
26.600	-3.722	
26.700	3.345	
26.800	-1.561	
26.900	6.088	
27.000	0.262	
27.100	-12.115	
27.200	-9.805	
27.300	4.756	
27.400	11.811	
27.500	-8.574	
27.600	-5.669	
27.700	-9.392	
27.800	6.198	
27.900	-1.903	
28.000	-22.428	
28.100	-4.220	
28.200	4.949	
28.300	13.650	
28.400	-19.383	
28.500	-15.175	
28.600	4.924	
28.700	-10.425	
28.800	-3.559	
28.900	-0.395	
29.000	1.301	
29.100	32.050	
29.200	-11.879	
29.300	-5.529	
29.400	2.825	
29.500	1.497	
29.600	4.214	
29.700	-4.970	
29.800	-10.196	
29.900	-4.253	
30.000	-17.911	
30.100	6.062	
30.200	15.222	
30.300	-4.524	
30.400	3.398	
30.500	11.979	
30.600	-10.489	
30.700	6.261	
30.800	30.002	
30.900	-0.973	
31.000	-8.477	
31.100	14.244	
31.200	-2.513	
31.300	6.621	
31.400	17.521	
31.500	10.734	
31.600	14.884	
31.700	13.562	
31.800	-3.804	
31.900	12.120	
32.000	37.990	
32.100	2.349	
32.200	1.401	
32.300	19.006	
32.400	25.251	
32.500	38.498	
32.600	24.988	
32.700	9.352	
32.800	19.495	
32.900	14.978	
33.000	4.152	
33.100	-1.477	
33.200	-5.618	
33.300	28.953	
33.400	3.584	
33.500	27.342	
33.600	3.803	
33.700	33.044	
33.800	20.237	
33.900	12.369	
34.000	7.958	
34.100	35.050	
34.200	25.838	
34.300	9.958	
34.400	23.483	
34.500	0.466	
34.600	34.203	
34.700	12.560	
34.800	14.172	
34.900	21.730	
35.000	15.172	
35.100	42.765	
35.200	7.392	
35.300	30.489	
35.400	14.529	
35.500	24.851	
35.600	17.922	
35.700	19.856	
35.800	17.798	
35.900	14.437	
36.000	14.418	
36.100	41.731	
36.200	28.781	
36.300	20.194	
36.400	24.863	
36.500	26.909	
36.600	27.397	
36.700	6.567	
36.800	28.918	
36.900	23.595	
37.000	29.701	
37.100	37.351	
37.200	27.767	
37.300	32.708	
37.400	-2.710	
37.500	13.927	
37.600	8.009	
37.700	40.958	
37.800	35.382	
37.900	20.324	
38.000	12.608	
38.100	20.694	
38.200	21.424	
38.300	22.048	
38.400	35.387	
38.500	22.168	
38.600	14.658	
38.700	10.725	
38.800	7.885	
38.900	43.160	
39.000	27.758	
39.100	34.696	
39.200	11.837	
39.300	1.200	
39.400	27.827	
39.500	20.036	
39.600	25.205	
39.700	26.681	
39.800	23.877	
39.900	19.759	
40.000	20.798	
40.100	40.558	
40.200	24.246	
40.300	25.134	
40.400	27.662	
40.500	5.643	
40.600	5.049	
40.700	25.064	
40.800	38.851	
40.900	8.700	
41.000	20.800	
41.100	12.110	
41.200	34.213	
41.300	28.825	
41.400	20.372	
41.500	4.376	
41.600	5.525	
41.700	23.838	
41.800	17.064	
41.900	21.457	
42.000	24.183	
42.100	3.073	
42.200	29.637	
42.300	29.310	
42.400	41.466	
42.500	29.668	
42.600	7.404	
42.700	32.580	
42.800	30.296	
42.900	-1.022	
43.000	24.067	
