time /s	I /nA	
0.100	62.047	
0.200	25.726	
0.300	21.620	
0.400	43.108	
0.500	28.534	
0.600	21.609	
0.700	37.282	
0.800	24.164	
0.900	27.889	
1.000	21.435	
1.100	38.999	
1.200	28.411	
1.300	35.147	
1.400	17.790	
1.500	27.123	
1.600	14.767	
1.700	19.511	
1.800	27.703	
1.900	19.682	
2.000	17.013	
2.100	25.096	
2.200	17.481	
2.300	20.243	
2.400	20.719	
2.500	23.009	
2.600	33.890	
2.700	20.459	
2.800	10.728	
2.900	34.535	
3.000	13.770	
3.100	28.966	
3.200	25.810	
3.300	23.674	
3.400	24.495	
3.500	29.849	
3.600	29.469	
3.700	22.991	
3.800	33.593	
3.900	23.297	
4.000	12.261	
4.100	15.098	
4.200	27.558	
4.300	23.740	
4.400	37.376	
4.500	31.193	
4.600	25.686	
4.700	22.513	
4.800	31.286	
4.900	-1.939	
5.000	20.145	
5.100	9.945	
5.200	28.580	
5.300	27.297	
5.400	22.998	
5.500	6.280	
5.600	30.665	
5.700	22.106	
5.800	25.849	
5.900	20.597	
6.000	26.778	
6.100	10.050	
6.200	5.092	
6.300	24.400	
6.400	23.994	
6.500	29.512	
6.600	28.259	
6.700	15.657	
6.800	18.528	
6.900	10.230	
7.000	30.079	
7.100	24.269	
7.200	26.223	
7.300	33.833	
7.400	23.656	
7.500	21.673	
7.600	26.675	
7.700	33.271	
7.800	23.717	
7.900	9.765	
8.000	25.747	
8.100	20.561	
8.200	29.480	
8.300	23.774	
8.400	16.546	
8.500	32.131	
8.600	18.383	
8.700	17.444	
8.800	16.246	
8.900	34.753	
9.000	13.048	
9.100	16.644	
9.200	27.229	
9.300	23.722	
9.400	7.294	
9.500	23.952	
9.600	20.478	
9.700	23.084	
9.800	17.341	
9.900	21.262	
10.000	18.191	
10.100	22.673	
10.200	18.473	
10.300	12.284	
10.400	13.062	
10.500	20.631	
10.600	32.048	
10.700	26.348	
10.800	18.113	
10.900	11.441	
11.000	30.588	
11.100	23.714	
11.200	18.257	
11.300	8.086	
11.400	22.404	
11.500	22.088	
11.600	25.205	
11.700	0.712	
11.800	29.325	
11.900	10.325	
12.000	24.489	
12.100	24.343	
12.200	32.435	
12.300	6.095	
12.400	16.641	
12.500	31.943	
12.600	19.315	
12.700	25.674	
12.800	7.961	
12.900	21.553	
13.000	21.610	
13.100	30.251	
13.200	19.611	
13.300	27.602	
13.400	24.064	
13.500	11.447	
13.600	28.219	
13.700	8.260	
13.800	20.649	
13.900	17.365	
14.000	35.923	
14.100	22.222	
