Time - A.ExtT.T (°C)	Temperature (°C) - A.ExtT.T (°C)
11:56:56	31.941
11:56:57	31.941
11:56:58	31.939
11:56:59	31.94
11:57:00	31.939
11:57:01	31.94
11:57:02	31.942
11:57:03	31.944
11:57:04	31.945
11:57:05	31.946
11:57:06	31.947
11:57:07	31.948
11:57:08	31.948
11:57:09	31.947
11:57:10	31.946
11:57:11	31.948
11:57:12	31.949
11:57:13	31.949
11:57:14	31.948
11:57:15	31.947
11:57:16	31.948
11:57:17	31.946
11:57:18	31.946
11:57:19	31.948
11:57:20	31.948
11:57:21	31.952
11:57:22	31.952
11:57:23	31.953
11:57:24	31.953
11:57:25	31.95
11:57:26	31.949
11:57:27	31.949
11:57:28	31.95
11:57:29	31.952
11:57:30	31.952
11:57:31	31.952
11:57:32	31.952
11:57:33	31.952
11:57:34	31.954
11:57:35	31.955
11:57:36	31.956
11:57:37	31.957
11:57:38	31.957
11:57:39	31.958
11:57:40	31.955
11:57:41	31.955
11:57:42	31.955
11:57:43	31.955
11:57:44	31.956
11:57:45	31.956
11:57:46	31.958
11:57:47	31.959
11:57:48	31.959
11:57:49	31.961
11:57:50	31.962
11:57:51	31.963
11:57:52	31.963
11:57:53	31.963
11:57:54	31.962
11:57:55	31.961
11:57:56	31.96
11:57:57	31.961
11:57:58	31.96
11:57:59	31.96
11:58:00	31.96
11:58:01	31.963
11:58:02	31.963
11:58:03	31.959
11:58:04	31.959
11:58:05	31.961
11:58:06	31.962
11:58:07	31.963
11:58:08	31.962
11:58:09	31.964
11:58:10	31.963
11:58:11	31.965
11:58:12	31.965
11:58:13	31.965
11:58:14	31.966
11:58:15	31.967
11:58:16	31.967
11:58:17	31.967
11:58:18	31.964
11:58:19	31.965
11:58:20	31.969
11:58:21	31.969
11:58:22	31.97
11:58:23	31.969
11:58:24	31.969
11:58:25	31.97
11:58:26	31.968
11:58:27	31.966
11:58:28	31.966
11:58:29	31.966
11:58:30	31.97
11:58:31	31.969
11:58:32	31.971
11:58:33	31.971
11:58:34	31.973
11:58:35	31.971
11:58:36	31.972
11:58:37	31.972
11:58:38	31.971
11:58:39	31.97
11:58:40	31.969
11:58:41	31.97
11:58:42	31.968
11:58:43	31.972
11:58:44	31.972
11:58:45	31.972
11:58:46	31.971
11:58:47	31.97
11:58:48	31.971
11:58:49	31.973
11:58:50	31.972
11:58:51	31.971
11:58:52	31.972
11:58:53	31.973
11:58:54	31.973
11:58:55	31.971
11:58:56	31.97
11:58:57	31.972
11:58:58	31.972
11:58:59	31.971
11:59:00	31.97
11:59:01	31.97
11:59:02	31.974
11:59:03	31.973
11:59:04	31.974
11:59:05	31.971
11:59:06	31.974
11:59:07	31.973
11:59:08	31.973
11:59:09	31.971
11:59:10	31.971
11:59:11	31.972
11:59:12	31.971
11:59:13	31.971
11:59:14	31.972
11:59:15	31.972
11:59:16	31.974
11:59:17	31.972
11:59:18	31.973
11:59:19	31.974
11:59:20	31.974
11:59:21	31.974
11:59:22	31.974
11:59:23	31.975
11:59:24	31.976
11:59:25	31.976
11:59:26	31.976
11:59:27	31.974
11:59:28	31.976
11:59:29	31.974
