Time - A.ExtT.T (°C)	Temperature (°C) - A.ExtT.T (°C)
12:53:32	37.811
12:53:33	37.809
12:53:34	37.808
12:53:35	37.81
12:53:36	37.811
12:53:37	37.811
12:53:38	37.811
12:53:39	37.812
12:53:40	37.812
12:53:41	37.811
12:53:42	37.811
12:53:43	37.811
12:53:44	37.812
12:53:45	37.81
12:53:46	37.811
12:53:47	37.81
12:53:48	37.81
12:53:49	37.81
12:53:50	37.811
12:53:51	37.812
12:53:52	37.811
12:53:53	37.811
12:53:54	37.809
12:53:55	37.81
12:53:56	37.811
12:53:57	37.813
12:53:58	37.812
12:53:59	37.814
12:54:00	37.813
12:54:01	37.813
12:54:02	37.813
12:54:03	37.814
12:54:04	37.815
12:54:05	37.815
12:54:06	37.814
12:54:07	37.813
12:54:08	37.813
12:54:09	37.811
12:54:10	37.813
12:54:11	37.813
12:54:12	37.815
12:54:13	37.813
12:54:14	37.81
12:54:15	37.81
12:54:16	37.81
12:54:17	37.812
12:54:18	37.814
12:54:19	37.815
12:54:20	37.815
12:54:21	37.813
12:54:22	37.814
12:54:23	37.816
12:54:24	37.814
12:54:25	37.816
12:54:26	37.816
12:54:27	37.816
12:54:28	37.814
12:54:29	37.813
12:54:30	37.814
12:54:31	37.814
12:54:32	37.815
12:54:33	37.814
12:54:34	37.814
12:54:35	37.814
12:54:36	37.816
12:54:37	37.815
12:54:38	37.816
12:54:39	37.816
12:54:40	37.816
12:54:41	37.815
12:54:42	37.815
12:54:43	37.815
12:54:44	37.814
12:54:45	37.813
12:54:46	37.812
12:54:47	37.814
12:54:48	37.813
12:54:49	37.814
12:54:50	37.814
12:54:51	37.811
12:54:52	37.812
12:54:53	37.81
12:54:54	37.81
12:54:55	37.813
12:54:56	37.813
12:54:57	37.814
12:54:58	37.815
12:54:59	37.811
12:55:00	37.813
12:55:01	37.811
12:55:02	37.811
12:55:03	37.811
12:55:04	37.812
12:55:05	37.812
12:55:06	37.811
12:55:07	37.81
12:55:08	37.812
12:55:09	37.812
12:55:10	37.814
12:55:11	37.815
12:55:12	37.816
12:55:13	37.82
12:55:14	37.817
12:55:15	37.817
12:55:16	37.815
12:55:17	37.814
12:55:18	37.815
12:55:19	37.813
12:55:20	37.815
12:55:21	37.815
12:55:22	37.816
12:55:23	37.816
12:55:24	37.815
12:55:25	37.815
12:55:26	37.816
12:55:27	37.815
12:55:28	37.818
12:55:29	37.815
12:55:30	37.815
12:55:31	37.814
12:55:32	37.814
12:55:33	37.815
12:55:34	37.817
12:55:35	37.816
12:55:36	37.816
12:55:37	37.816
12:55:38	37.817
12:55:39	37.816
12:55:40	37.816
12:55:41	37.816
12:55:42	37.815
12:55:43	37.816
12:55:44	37.815
12:55:45	37.816
12:55:46	37.816
12:55:47	37.815
12:55:48	37.816
12:55:49	37.816
12:55:50	37.815
12:55:51	37.816
12:55:52	37.817
12:55:53	37.819
12:55:54	37.818
12:55:55	37.818
12:55:56	37.817
12:55:57	37.816
12:55:58	37.818
12:55:59	37.819
12:56:00	37.817
12:56:01	37.815
12:56:02	37.815
12:56:03	37.817
12:56:04	37.818
12:56:05	37.818
12:56:06	37.817
12:56:07	37.82
12:56:08	37.821
12:56:09	37.822
12:56:10	37.817
12:56:11	37.818
12:56:12	37.818
12:56:13	37.817
12:56:14	37.82
12:56:15	37.819
12:56:16	37.819
12:56:17	37.818
12:56:18	37.818
12:56:19	37.819
12:56:20	37.821
12:56:21	37.818
12:56:22	37.82
12:56:23	37.82
12:56:24	37.821
12:56:25	37.82
12:56:26	37.819
12:56:27	37.818
12:56:28	37.819
12:56:29	37.817
12:56:30	37.819
12:56:31	37.817
12:56:32	37.816
12:56:33	37.812
12:56:34	37.813
12:56:35	37.815
12:56:36	37.818
12:56:37	37.819
12:56:38	37.816
12:56:39	37.816
12:56:40	37.817
12:56:41	37.818
12:56:42	37.817
12:56:43	37.815
12:56:44	37.817
12:56:45	37.819
12:56:46	37.817
12:56:47	37.817
12:56:48	37.816
12:56:49	37.819
12:56:50	37.818
12:56:51	37.818
12:56:52	37.819
12:56:53	37.82
12:56:54	37.82
12:56:55	37.822
12:56:56	37.819
12:56:57	37.819
12:56:58	37.818
12:56:59	37.819
12:57:00	37.82
12:57:01	37.818
12:57:02	37.818
12:57:03	37.819
12:57:04	37.82
12:57:05	37.822
12:57:06	37.82
12:57:07	37.821
12:57:08	37.821
12:57:09	37.819
12:57:10	37.818
12:57:11	37.818
12:57:12	37.82
12:57:13	37.82
12:57:14	37.821
12:57:15	37.82
