Time - A.ExtT.T (°C)	Temperature (°C) - A.ExtT.T (°C)
14:07:44	31.885
14:07:45	31.885
14:07:46	31.886
14:07:47	31.886
14:07:48	31.887
14:07:49	31.886
14:07:50	31.885
14:07:51	31.886
14:07:52	31.889
14:07:53	31.89
14:07:54	31.891
14:07:55	31.893
14:07:56	31.893
14:07:57	31.893
14:07:58	31.892
14:07:59	31.893
14:08:00	31.895
14:08:01	31.894
14:08:02	31.897
14:08:03	31.897
14:08:04	31.895
14:08:05	31.893
14:08:06	31.895
14:08:07	31.896
14:08:08	31.897
14:08:09	31.898
14:08:10	31.9
14:08:11	31.901
14:08:12	31.901
14:08:13	31.899
14:08:14	31.9
14:08:15	31.901
14:08:16	31.902
14:08:17	31.901
14:08:18	31.899
14:08:19	31.9
14:08:20	31.9
14:08:21	31.9
14:08:22	31.9
14:08:23	31.901
14:08:24	31.903
14:08:25	31.904
14:08:26	31.902
14:08:27	31.9
14:08:28	31.902
14:08:29	31.905
14:08:30	31.908
14:08:31	31.907
14:08:32	31.905
14:08:33	31.901
14:08:34	31.902
14:08:35	31.902
14:08:36	31.906
14:08:37	31.908
14:08:38	31.909
14:08:39	31.907
14:08:40	31.904
14:08:41	31.902
14:08:42	31.902
14:08:43	31.904
14:08:44	31.904
14:08:45	31.906
14:08:46	31.906
14:08:47	31.906
14:08:48	31.905
14:08:49	31.906
14:08:50	31.91
14:08:51	31.911
14:08:52	31.913
14:08:53	31.913
14:08:54	31.914
14:08:55	31.914
14:08:56	31.914
14:08:57	31.913
14:08:58	31.913
14:08:59	31.912
14:09:00	31.912
14:09:01	31.911
14:09:02	31.912
14:09:03	31.914
14:09:04	31.915
14:09:05	31.915
14:09:06	31.917
14:09:07	31.918
14:09:08	31.917
14:09:09	31.915
14:09:10	31.914
14:09:11	31.917
14:09:12	31.919
14:09:13	31.921
14:09:14	31.919
14:09:15	31.917
14:09:16	31.916
14:09:17	31.918
14:09:18	31.918
14:09:19	31.916
14:09:20	31.914
14:09:21	31.915
14:09:22	31.916
14:09:23	31.919
14:09:24	31.922
14:09:25	31.921
14:09:26	31.922
14:09:27	31.918
14:09:28	31.918
14:09:29	31.916
14:09:30	31.917
14:09:31	31.918
14:09:32	31.921
14:09:33	31.921
14:09:34	31.918
14:09:35	31.917
14:09:36	31.918
14:09:37	31.919
14:09:38	31.922
14:09:39	31.924
14:09:40	31.923
14:09:41	31.921
14:09:42	31.918
14:09:43	31.921
14:09:44	31.924
14:09:45	31.927
14:09:46	31.924
14:09:47	31.923
14:09:48	31.922
14:09:49	31.922
14:09:50	31.925
14:09:51	31.926
14:09:52	31.927
14:09:53	31.928
14:09:54	31.925
14:09:55	31.925
14:09:56	31.926
14:09:57	31.927
14:09:58	31.928
14:09:59	31.927
14:10:00	31.925
14:10:01	31.925
14:10:02	31.924
14:10:03	31.925
14:10:04	31.926
14:10:05	31.926
14:10:06	31.927
14:10:07	31.926
14:10:08	31.927
14:10:09	31.927
14:10:10	31.928
14:10:11	31.926
14:10:12	31.927
14:10:13	31.923
14:10:14	31.926
14:10:15	31.927
14:10:16	31.929
14:10:17	31.931
14:10:18	31.928
14:10:19	31.927
14:10:20	31.925
14:10:21	31.924
14:10:22	31.928
14:10:23	31.928
14:10:24	31.927
14:10:25	31.926
14:10:26	31.924
14:10:27	31.924
14:10:28	31.925
14:10:29	31.927
14:10:30	31.927
14:10:31	31.928
14:10:32	31.926
14:10:33	31.921
14:10:34	31.917
14:10:35	31.914
14:10:36	31.913
14:10:37	31.913
14:10:38	31.911
14:10:39	31.912
14:10:40	31.911
14:10:41	31.911
14:10:42	31.915
14:10:43	31.916
14:10:44	31.918
14:10:45	31.915
14:10:46	31.913
14:10:47	31.914
14:10:48	31.912
14:10:49	31.915
14:10:50	31.916
14:10:51	31.921
14:10:52	31.92
14:10:53	31.915
14:10:54	31.916
14:10:55	31.92
14:10:56	31.92
14:10:57	31.919
14:10:58	31.917
14:10:59	31.917
14:11:00	31.915
14:11:01	31.918
14:11:02	31.92
14:11:03	31.923
14:11:04	31.92
14:11:05	31.917
14:11:06	31.918
14:11:07	31.917
14:11:08	31.918
14:11:09	31.918
14:11:10	31.918
14:11:11	31.919
14:11:12	31.916
14:11:13	31.916
14:11:14	31.917
14:11:15	31.917
14:11:16	31.918
14:11:17	31.917
14:11:18	31.915
14:11:19	31.914
14:11:20	31.916
14:11:21	31.918
14:11:22	31.918
14:11:23	31.919
14:11:24	31.916
14:11:25	31.913
14:11:26	31.915
14:11:27	31.916
14:11:28	31.919
14:11:29	31.92
14:11:30	31.92
14:11:31	31.918
14:11:32	31.916
14:11:33	31.914
14:11:34	31.916
14:11:35	31.917
14:11:36	31.919
14:11:37	31.917
14:11:38	31.917
14:11:39	31.913
14:11:40	31.913
14:11:41	31.914
14:11:42	31.916
14:11:43	31.919
14:11:44	31.917
14:11:45	31.915
14:11:46	31.915
14:11:47	31.916
14:11:48	31.918
14:11:49	31.92
14:11:50	31.918
14:11:51	31.916
14:11:52	31.917
14:11:53	31.918
14:11:54	31.922
14:11:55	31.923
14:11:56	31.923
14:11:57	31.92
14:11:58	31.918
14:11:59	31.917
14:12:00	31.921
14:12:01	31.918
14:12:02	31.92
14:12:03	31.918
14:12:04	31.918
14:12:05	31.917
14:12:06	31.916
14:12:07	31.919
14:12:08	31.923
14:12:09	31.922
14:12:10	31.922
14:12:11	31.92
14:12:12	31.918
14:12:13	31.919
14:12:14	31.921
14:12:15	31.925
14:12:16	31.926
14:12:17	31.924
14:12:18	31.923
14:12:19	31.923
14:12:20	31.925
14:12:21	31.924
14:12:22	31.922
14:12:23	31.922
14:12:24	31.922
14:12:25	31.922
14:12:26	31.921
14:12:27	31.922
14:12:28	31.925
14:12:29	31.925
14:12:30	31.926
14:12:31	31.923
14:12:32	31.925
14:12:33	31.925
14:12:34	31.926
14:12:35	31.926
14:12:36	31.924
14:12:37	31.923
14:12:38	31.921
14:12:39	31.924
14:12:40	31.925
14:12:41	31.927
14:12:42	31.926
14:12:43	31.925
14:12:44	31.924
14:12:45	31.922
14:12:46	31.921
14:12:47	31.922
14:12:48	31.923
14:12:49	31.922
14:12:50	31.924
14:12:51	31.925
14:12:52	31.927
14:12:53	31.926
14:12:54	31.927
14:12:55	31.927
14:12:56	31.924
14:12:57	31.924
14:12:58	31.924
14:12:59	31.927
14:13:00	31.925
14:13:01	31.926
14:13:02	31.925
14:13:03	31.925
14:13:04	31.924
14:13:05	31.925
14:13:06	31.926
14:13:07	31.927
14:13:08	31.928
14:13:09	31.927
14:13:10	31.926
14:13:11	31.923
14:13:12	31.924
14:13:13	31.926
14:13:14	31.928
14:13:15	31.929
14:13:16	31.929
14:13:17	31.927
14:13:18	31.925
14:13:19	31.926
14:13:20	31.927
14:13:21	31.929
14:13:22	31.929
14:13:23	31.927
14:13:24	31.925
14:13:25	31.925
14:13:26	31.927
14:13:27	31.928
14:13:28	31.926
14:13:29	31.927
14:13:30	31.926
14:13:31	31.928
14:13:32	31.928
14:13:33	31.93
14:13:34	31.93
14:13:35	31.931
14:13:36	31.927
14:13:37	31.929
14:13:38	31.929
14:13:39	31.933
14:13:40	31.933
14:13:41	31.931
14:13:42	31.93
14:13:43	31.929
14:13:44	31.927
14:13:45	31.926
14:13:46	31.926
14:13:47	31.926
14:13:48	31.929
14:13:49	31.929
14:13:50	31.928
14:13:51	31.93
14:13:52	31.928
14:13:53	31.931
14:13:54	31.93
14:13:55	31.932
14:13:56	31.931
14:13:57	31.93
14:13:58	31.928
14:13:59	31.931
14:14:00	31.929
14:14:01	31.929
14:14:02	31.925
14:14:03	31.923
14:14:04	31.924
14:14:05	31.927
14:14:06	31.929
14:14:07	31.928
14:14:08	31.927
14:14:09	31.926
14:14:10	31.927
14:14:11	31.93
14:14:12	31.931
14:14:13	31.932
14:14:14	31.93
14:14:15	31.931
14:14:16	31.929
14:14:17	31.931
14:14:18	31.928
14:14:19	31.929
14:14:20	31.926
14:14:21	31.929
14:14:22	31.929
14:14:23	31.929
14:14:24	31.931
14:14:25	31.931
14:14:26	31.931
14:14:27	31.931
14:14:28	31.929
14:14:29	31.929
14:14:30	31.929
14:14:31	31.932
14:14:32	31.933
14:14:33	31.932
14:14:34	31.93
14:14:35	31.928
14:14:36	31.929
14:14:37	31.93
14:14:38	31.933
14:14:39	31.933
14:14:40	31.933
14:14:41	31.932
14:14:42	31.931
14:14:43	31.934
14:14:44	31.936
14:14:45	31.935
14:14:46	31.935
14:14:47	31.933
14:14:48	31.932
14:14:49	31.931
14:14:50	31.931
14:14:51	31.932
14:14:52	31.934
14:14:53	31.932
14:14:54	31.931
14:14:55	31.93
14:14:56	31.931
14:14:57	31.932
14:14:58	31.933
14:14:59	31.935
14:15:00	31.934
14:15:01	31.931
14:15:02	31.928
14:15:03	31.929
14:15:04	31.933
14:15:05	31.935
14:15:06	31.934
14:15:07	31.932
14:15:08	31.928
14:15:09	31.928
14:15:10	31.929
14:15:11	31.933
14:15:12	31.935
14:15:13	31.934
14:15:14	31.933
14:15:15	31.931
14:15:16	31.928
14:15:17	31.932
14:15:18	31.933
14:15:19	31.937
14:15:20	31.936
14:15:21	31.934
14:15:22	31.932
14:15:23	31.933
14:15:24	31.932
14:15:25	31.933
14:15:26	31.932
14:15:27	31.931
14:15:28	31.93
14:15:29	31.929
14:15:30	31.931
14:15:31	31.933
14:15:32	31.934
14:15:33	31.933
14:15:34	31.931
14:15:35	31.931
14:15:36	31.93
14:15:37	31.933
14:15:38	31.935
14:15:39	31.937
14:15:40	31.93
14:15:41	31.929
14:15:42	31.93
14:15:43	31.931
14:15:44	31.932
14:15:45	31.932
14:15:46	31.933
14:15:47	31.934
14:15:48	31.931
14:15:49	31.932
14:15:50	31.931
14:15:51	31.934
14:15:52	31.933
14:15:53	31.933
14:15:54	31.929
14:15:55	31.928
14:15:56	31.928
14:15:57	31.931
14:15:58	31.933
14:15:59	31.931
14:16:00	31.927
14:16:01	31.927
14:16:02	31.928
14:16:03	31.931
14:16:04	31.933
14:16:05	31.933
14:16:06	31.931
14:16:07	31.93
14:16:08	31.929
14:16:09	31.931
14:16:10	31.933
14:16:11	31.933
14:16:12	31.932
14:16:13	31.929
14:16:14	31.93
14:16:15	31.931
14:16:16	31.933
14:16:17	31.933
14:16:18	31.933
14:16:19	31.932
14:16:20	31.931
14:16:21	31.931
14:16:22	31.931
14:16:23	31.934
14:16:24	31.934
14:16:25	31.935
14:16:26	31.933
14:16:27	31.933
14:16:28	31.932
14:16:29	31.932
14:16:30	31.932
14:16:31	31.931
14:16:32	31.929
14:16:33	31.928
14:16:34	31.929
14:16:35	31.929
14:16:36	31.932
14:16:37	31.933
14:16:38	31.934
14:16:39	31.933
14:16:40	31.934
14:16:41	31.934
14:16:42	31.934
14:16:43	31.933
14:16:44	31.933
14:16:45	31.93
14:16:46	31.931
14:16:47	31.929
14:16:48	31.93
14:16:49	31.933
14:16:50	31.936
14:16:51	31.937
14:16:52	31.935
14:16:53	31.934
14:16:54	31.933
14:16:55	31.933
14:16:56	31.936
14:16:57	31.937
14:16:58	31.936
14:16:59	31.933
14:17:00	31.931
14:17:01	31.934
14:17:02	31.934
14:17:03	31.935
14:17:04	31.935
14:17:05	31.935
14:17:06	31.932
14:17:07	31.933
14:17:08	31.932
14:17:09	31.934
14:17:10	31.935
14:17:11	31.937
14:17:12	31.935
14:17:13	31.937
14:17:14	31.934
14:17:15	31.934
14:17:16	31.936
14:17:17	31.937
14:17:18	31.936
14:17:19	31.935
14:17:20	31.931
14:17:21	31.933
14:17:22	31.934
14:17:23	31.936
14:17:24	31.935
14:17:25	31.934
14:17:26	31.933
14:17:27	31.932
14:17:28	31.932
14:17:29	31.936
14:17:30	31.935
14:17:31	31.937
14:17:32	31.935
14:17:33	31.933
14:17:34	31.934
14:17:35	31.933
14:17:36	31.934
14:17:37	31.933
14:17:38	31.932
14:17:39	31.931
14:17:40	31.932
14:17:41	31.933
14:17:42	31.934
14:17:43	31.936
14:17:44	31.936
14:17:45	31.936
14:17:46	31.935
14:17:47	31.934
14:17:48	31.935
14:17:49	31.936
14:17:50	31.938
14:17:51	31.937
14:17:52	31.937
14:17:53	31.936
14:17:54	31.935
14:17:55	31.935
14:17:56	31.933
14:17:57	31.934
14:17:58	31.934
14:17:59	31.933
14:18:00	31.932
14:18:01	31.936
14:18:02	31.936
14:18:03	31.935
14:18:04	31.931
14:18:05	31.93
14:18:06	31.93
14:18:07	31.931
14:18:08	31.934
14:18:09	31.933
14:18:10	31.935
14:18:11	31.932
14:18:12	31.931
14:18:13	31.929
14:18:14	31.928
14:18:15	31.932
14:18:16	31.932
14:18:17	31.932
14:18:18	31.931
14:18:19	31.931
14:18:20	31.931
14:18:21	31.932
14:18:22	31.933
14:18:23	31.934
14:18:24	31.935
14:18:25	31.931
14:18:26	31.93
14:18:27	31.927
14:18:28	31.928
14:18:29	31.93
14:18:30	31.932
14:18:31	31.933
14:18:32	31.932
14:18:33	31.931
14:18:34	31.931
14:18:35	31.933
14:18:36	31.933
14:18:37	31.933
14:18:38	31.93
14:18:39	31.931
14:18:40	31.934
14:18:41	31.937
14:18:42	31.936
14:18:43	31.936
14:18:44	31.933
14:18:45	31.933
14:18:46	31.933
14:18:47	31.934
14:18:48	31.936
14:18:49	31.936
14:18:50	31.936
14:18:51	31.935
14:18:52	31.934
14:18:53	31.934
14:18:54	31.937
14:18:55	31.937
14:18:56	31.936
14:18:57	31.934
14:18:58	31.932
14:18:59	31.932
14:19:00	31.932
14:19:01	31.932
14:19:02	31.936
14:19:03	31.937
14:19:04	31.935
14:19:05	31.932
14:19:06	31.931
14:19:07	31.932
14:19:08	31.934
14:19:09	31.936
14:19:10	31.935
14:19:11	31.935
14:19:12	31.935
14:19:13	31.937
14:19:14	31.938
14:19:15	31.937
14:19:16	31.934
14:19:17	31.935
14:19:18	31.934
14:19:19	31.935
14:19:20	31.937
14:19:21	31.94
14:19:22	31.942
14:19:23	31.938
14:19:24	31.938
14:19:25	31.936
14:19:26	31.937
14:19:27	31.941
14:19:28	31.942
14:19:29	31.942
14:19:30	31.938
14:19:31	31.935
14:19:32	31.935
14:19:33	31.936
14:19:34	31.936
14:19:35	31.938
14:19:36	31.94
14:19:37	31.937
14:19:38	31.936
14:19:39	31.935
14:19:40	31.937
14:19:41	31.938
14:19:42	31.938
14:19:43	31.937
14:19:44	31.935
14:19:45	31.935
14:19:46	31.932
14:19:47	31.934
14:19:48	31.935
14:19:49	31.938
14:19:50	31.937
14:19:51	31.938
14:19:52	31.939
14:19:53	31.94
14:19:54	31.941
14:19:55	31.939
14:19:56	31.936
14:19:57	31.934
14:19:58	31.932
14:19:59	31.934
14:20:00	31.935
14:20:01	31.938
14:20:02	31.939
14:20:03	31.937
14:20:04	31.936
14:20:05	31.935
14:20:06	31.936
14:20:07	31.936
14:20:08	31.935
14:20:09	31.935
14:20:10	31.934
14:20:11	31.936
14:20:12	31.935
14:20:13	31.937
14:20:14	31.937
14:20:15	31.938
14:20:16	31.935
14:20:17	31.935
14:20:18	31.935
14:20:19	31.937
14:20:20	31.936
14:20:21	31.938
14:20:22	31.939
14:20:23	31.941
14:20:24	31.939
14:20:25	31.938
14:20:26	31.934
14:20:27	31.933
14:20:28	31.935
14:20:29	31.936
14:20:30	31.937
14:20:31	31.933
14:20:32	31.932
14:20:33	31.934
14:20:34	31.938
14:20:35	31.939
14:20:36	31.936
14:20:37	31.934
14:20:38	31.933
14:20:39	31.934
14:20:40	31.934
14:20:41	31.934
14:20:42	31.933
14:20:43	31.932
14:20:44	31.931
14:20:45	31.932
14:20:46	31.931
14:20:47	31.935
14:20:48	31.932
14:20:49	31.931
14:20:50	31.931
14:20:51	31.931
14:20:52	31.932
14:20:53	31.932
14:20:54	31.934
14:20:55	31.936
14:20:56	31.932
14:20:57	31.929
14:20:58	31.929
14:20:59	31.931
14:21:00	31.933
14:21:01	31.935
14:21:02	31.933
14:21:03	31.932
14:21:04	31.931
14:21:05	31.931
14:21:06	31.935
14:21:07	31.936
14:21:08	31.937
14:21:09	31.937
14:21:10	31.938
14:21:11	31.936
14:21:12	31.935
14:21:13	31.935
14:21:14	31.937
14:21:15	31.937
14:21:16	31.934
14:21:17	31.932
14:21:18	31.93
14:21:19	31.931
14:21:20	31.932
14:21:21	31.933
14:21:22	31.935
14:21:23	31.935
14:21:24	31.937
14:21:25	31.941
14:21:26	31.941
14:21:27	31.94
14:21:28	31.935
14:21:29	31.933
14:21:30	31.932
14:21:31	31.935
14:21:32	31.938
