time /s	I /nA	E /V
0.100	34.131	0.100
0.200	11.243	0.100
0.300	16.065	0.100
0.400	37.345	0.100
0.500	21.793	0.100
0.600	21.821	0.100
0.700	15.086	0.100
0.800	17.868	0.100
0.900	4.852	0.100
1.000	19.473	0.100
1.100	20.904	0.100
1.200	17.686	0.100
1.300	21.399	0.100
1.400	35.843	0.100
1.500	8.220	0.100
1.600	26.760	0.100
1.700	35.543	0.100
1.800	22.529	0.100
1.900	12.090	0.100
2.000	15.447	0.100
2.100	6.804	0.100
2.200	30.099	0.100
2.300	10.910	0.100
2.400	33.138	0.100
2.500	-2.802	0.100
2.600	18.131	0.100
2.700	7.538	0.100
2.800	12.089	0.100
2.900	19.617	0.100
3.000	10.021	0.100
3.100	19.654	0.100
3.200	25.114	0.100
3.300	19.723	0.100
3.400	39.150	0.100
3.500	18.240	0.100
3.600	14.708	0.100
3.700	16.568	0.100
3.800	20.952	0.100
3.900	19.820	0.100
4.000	9.158	0.100
4.100	25.005	0.100
4.200	10.481	0.100
4.300	9.382	0.100
4.400	26.428	0.100
4.500	20.428	0.100
4.600	2.010	0.100
4.700	5.174	0.100
4.800	28.494	0.100
4.900	17.739	0.100
5.000	19.990	0.100
5.100	11.756	0.100
5.200	17.224	0.100
5.300	29.253	0.100
5.400	14.716	0.100
5.500	6.015	0.100
5.600	26.421	0.100
5.700	-8.256	0.100
5.800	16.500	0.100
5.900	18.704	0.100
6.000	18.559	0.100
6.100	23.942	0.100
6.200	17.557	0.100
6.300	6.997	0.100
6.400	7.144	0.100
6.500	25.734	0.100
6.600	30.180	0.100
6.700	6.136	0.100
6.800	27.961	0.100
6.900	14.949	0.100
7.000	34.500	0.100
7.100	11.526	0.100
7.200	6.102	0.100
7.300	20.935	0.100
7.400	16.826	0.100
7.500	23.079	0.100
7.600	6.503	0.100
7.700	3.873	0.100
7.800	22.153	0.100
7.900	12.120	0.100
8.000	12.110	0.100
8.100	10.363	0.100
8.200	15.787	0.100
8.300	19.464	0.100
8.400	14.027	0.100
8.500	12.906	0.100
8.600	9.187	0.100
8.700	-1.933	0.100
8.800	23.132	0.100
8.900	27.055	0.100
9.000	-1.460	0.100
9.100	19.314	0.100
9.200	18.387	0.100
9.300	25.372	0.100
9.400	6.725	0.100
9.500	-18.672	0.100
9.600	10.340	0.100
9.700	13.657	0.100
9.800	12.438	0.100
9.900	23.147	0.100
10.000	13.039	0.100
10.100	13.823	0.100
10.200	18.151	0.100
10.300	18.988	0.100
10.400	20.671	0.100
10.500	10.377	0.100
10.600	17.341	0.100
10.700	18.582	0.100
10.800	18.291	0.100
10.900	27.951	0.100
11.000	5.231	0.100
11.100	24.430	0.100
11.200	19.720	0.100
11.300	7.205	0.100
11.400	8.937	0.100
11.500	11.954	0.100
11.600	19.930	0.100
11.700	13.950	0.100
11.800	7.599	0.100
11.900	3.693	0.100
12.000	27.907	0.100
12.100	18.016	0.100
12.200	17.838	0.100
12.300	16.829	0.100
12.400	34.106	0.100
12.500	7.173	0.100
12.600	23.543	0.100
12.700	10.640	0.100
12.800	16.372	0.100
12.900	15.960	0.100
13.000	21.218	0.100
13.100	11.108	0.100
13.200	20.437	0.100
13.300	13.706	0.100
13.400	-5.817	0.100
13.500	26.766	0.100
13.600	13.154	0.100
13.700	31.054	0.100
13.800	4.800	0.100
13.900	24.158	0.100
14.000	19.208	0.100
14.100	27.077	0.100
14.200	4.770	0.100
14.300	12.925	0.100
14.400	16.856	0.100
14.500	7.955	0.100
14.600	16.675	0.100
14.700	7.670	0.100
14.800	3.550	0.100
14.900	7.283	0.100
15.000	12.493	0.100
15.100	16.060	0.100
15.200	1.811	0.100
15.300	15.540	0.100
15.400	28.781	0.100
15.500	10.519	0.100
15.600	4.443	0.100
15.700	25.831	0.100
15.800	11.754	0.100
15.900	8.252	0.100
16.000	19.515	0.100
16.100	26.048	0.100
16.200	9.142	0.100
16.300	11.645	0.100
16.400	13.938	0.100
16.500	19.389	0.100
16.600	8.033	0.100
16.700	11.767	0.100
16.800	3.315	0.100
