time /s	I /nA	E /V
0.100	-10.497	0.100
0.200	-14.270	0.100
0.300	-4.975	0.100
0.400	12.384	0.100
0.500	-10.640	0.100
0.600	-0.064	0.100
0.700	21.592	0.100
0.800	0.861	0.100
0.900	-7.388	0.100
1.000	6.608	0.100
1.100	-5.360	0.100
1.200	6.980	0.100
1.300	3.689	0.100
1.400	-5.092	0.100
1.500	-9.619	0.100
1.600	14.019	0.100
1.700	-3.202	0.100
1.800	15.673	0.100
1.900	-9.698	0.100
2.000	-9.660	0.100
2.100	20.128	0.100
2.200	-7.666	0.100
2.300	5.673	0.100
2.400	10.932	0.100
2.500	-8.697	0.100
2.600	-2.493	0.100
2.700	11.308	0.100
2.800	1.984	0.100
2.900	-12.944	0.100
3.000	13.055	0.100
3.100	4.356	0.100
3.200	3.267	0.100
3.300	3.235	0.100
3.400	-22.181	0.100
3.500	-4.761	0.100
3.600	-11.027	0.100
3.700	6.378	0.100
3.800	23.022	0.100
3.900	0.162	0.100
4.000	-2.129	0.100
4.100	-1.646	0.100
4.200	-8.400	0.100
4.300	10.317	0.100
4.400	-3.381	0.100
4.500	-5.515	0.100
4.600	-0.295	0.100
4.700	-25.580	0.100
4.800	9.752	0.100
4.900	-4.607	0.100
5.000	12.224	0.100
5.100	4.589	0.100
5.200	0.766	0.100
5.300	9.486	0.100
5.400	12.324	0.100
5.500	-26.176	0.100
5.600	1.854	0.100
5.700	-11.803	0.100
5.800	-16.560	0.100
5.900	-12.870	0.100
6.000	14.288	0.100
6.100	12.154	0.100
6.200	-2.237	0.100
6.300	-6.340	0.100
6.400	9.192	0.100
6.500	-4.284	0.100
6.600	9.338	0.100
6.700	9.540	0.100
6.800	10.314	0.100
6.900	-27.695	0.100
7.000	0.865	0.100
7.100	5.936	0.100
7.200	4.553	0.100
7.300	4.492	0.100
7.400	-15.398	0.100
7.500	7.422	0.100
7.600	2.265	0.100
7.700	-3.133	0.100
7.800	-12.948	0.100
7.900	5.236	0.100
8.000	0.677	0.100
8.100	15.063	0.100
8.200	1.429	0.100
8.300	-19.124	0.100
8.400	-13.104	0.100
8.500	-8.901	0.100
8.600	-20.063	0.100
8.700	5.780	0.100
8.800	3.709	0.100
