time /s	I /nA	E /V
0.100	21.853	0.100
0.200	40.959	0.100
0.300	41.166	0.100
0.400	11.386	0.100
0.500	35.257	0.100
0.600	17.852	0.100
0.700	48.250	0.100
0.800	46.077	0.100
0.900	20.598	0.100
1.000	31.136	0.100
1.100	24.628	0.100
1.200	46.504	0.100
1.300	41.281	0.100
1.400	27.938	0.100
1.500	15.721	0.100
1.600	37.870	0.100
1.700	45.803	0.100
1.800	29.566	0.100
1.900	41.434	0.100
2.000	28.537	0.100
2.100	28.897	0.100
2.200	41.119	0.100
2.300	28.487	0.100
2.400	20.416	0.100
2.500	37.367	0.100
2.600	39.345	0.100
2.700	40.471	0.100
2.800	46.288	0.100
2.900	33.423	0.100
3.000	45.910	0.100
3.100	26.704	0.100
3.200	21.509	0.100
3.300	24.222	0.100
3.400	39.754	0.100
3.500	33.629	0.100
3.600	27.069	0.100
3.700	42.347	0.100
3.800	31.966	0.100
3.900	26.780	0.100
4.000	29.533	0.100
4.100	30.734	0.100
4.200	48.531	0.100
4.300	48.334	0.100
4.400	35.633	0.100
4.500	21.215	0.100
4.600	37.037	0.100
4.700	20.549	0.100
4.800	46.471	0.100
4.900	29.342	0.100
5.000	37.274	0.100
5.100	31.349	0.100
5.200	38.453	0.100
5.300	38.512	0.100
5.400	38.339	0.100
5.500	28.593	0.100
5.600	36.813	0.100
5.700	42.919	0.100
5.800	26.139	0.100
5.900	27.586	0.100
6.000	35.946	0.100
6.100	20.787	0.100
6.200	18.701	0.100
6.300	44.165	0.100
6.400	52.867	0.100
6.500	28.392	0.100
6.600	30.532	0.100
6.700	34.362	0.100
6.800	37.700	0.100
6.900	35.895	0.100
7.000	37.125	0.100
7.100	31.143	0.100
7.200	27.636	0.100
7.300	44.795	0.100
7.400	26.266	0.100
7.500	30.333	0.100
7.600	28.507	0.100
7.700	41.367	0.100
7.800	30.257	0.100
7.900	19.354	0.100
8.000	28.384	0.100
8.100	43.378	0.100
8.200	25.242	0.100
8.300	23.824	0.100
8.400	28.635	0.100
8.500	38.055	0.100
8.600	18.865	0.100
8.700	22.239	0.100
8.800	39.693	0.100
8.900	32.746	0.100
9.000	37.532	0.100
9.100	18.367	0.100
9.200	35.466	0.100
9.300	40.538	0.100
9.400	26.834	0.100
9.500	31.240	0.100
9.600	30.319	0.100
9.700	33.218	0.100
9.800	30.830	0.100
9.900	18.322	0.100
10.000	39.838	0.100
10.100	38.044	0.100
10.200	43.136	0.100
10.300	21.983	0.100
10.400	32.823	0.100
10.500	20.761	0.100
10.600	17.632	0.100
10.700	32.485	0.100
10.800	36.875	0.100
10.900	38.542	0.100
11.000	22.819	0.100
11.100	34.254	0.100
11.200	32.719	0.100
11.300	23.194	0.100
11.400	48.912	0.100
11.500	33.149	0.100
11.600	31.900	0.100
11.700	7.370	0.100
11.800	30.509	0.100
11.900	41.939	0.100
12.000	29.985	0.100
12.100	29.615	0.100
12.200	36.920	0.100
12.300	35.677	0.100
12.400	35.084	0.100
12.500	25.478	0.100
12.600	44.392	0.100
12.700	34.787	0.100
12.800	32.766	0.100
12.900	19.673	0.100
13.000	22.543	0.100
13.100	40.525	0.100
13.200	30.676	0.100
13.300	33.349	0.100
13.400	30.153	0.100
13.500	31.860	0.100
13.600	22.436	0.100
13.700	32.204	0.100
13.800	36.973	0.100
13.900	30.635	0.100
14.000	39.849	0.100
14.100	44.793	0.100
14.200	30.288	0.100
14.300	50.930	0.100
14.400	26.131	0.100
14.500	35.789	0.100
14.600	43.638	0.100
14.700	18.327	0.100
14.800	25.582	0.100
14.900	24.854	0.100
15.000	25.994	0.100
15.100	15.447	0.100
15.200	28.378	0.100
15.300	32.096	0.100
15.400	41.966	0.100
15.500	41.861	0.100
15.600	21.230	0.100
15.700	38.252	0.100
15.800	23.310	0.100
15.900	33.387	0.100
16.000	39.885	0.100
16.100	26.954	0.100
16.200	31.066	0.100
16.300	36.481	0.100
16.400	18.508	0.100
16.500	32.671	0.100
16.600	25.419	0.100
16.700	27.898	0.100
16.800	26.023	0.100
16.900	39.007	0.100
17.000	37.342	0.100
17.100	35.424	0.100
17.200	34.651	0.100
17.300	28.326	0.100
17.400	34.959	0.100
17.500	29.160	0.100
17.600	25.809	0.100
17.700	28.201	0.100
17.800	17.999	0.100
17.900	36.576	0.100
18.000	26.884	0.100
18.100	61.120	0.100
18.200	10.794	0.100
18.300	13.263	0.100
18.400	22.179	0.100
18.500	41.055	0.100
18.600	37.990	0.100
18.700	39.524	0.100
18.800	42.828	0.100
18.900	29.848	0.100
19.000	8.959	0.100
19.100	21.844	0.100
19.200	46.779	0.100
19.300	34.113	0.100
19.400	33.558	0.100
19.500	60.065	0.100
19.600	8.833	0.100
19.700	22.020	0.100
19.800	33.409	0.100
19.900	34.807	0.100
20.000	39.652	0.100
20.100	24.295	0.100
20.200	32.117	0.100
20.300	33.684	0.100
20.400	39.959	0.100
20.500	34.633	0.100
20.600	18.615	0.100
20.700	38.788	0.100
20.800	22.210	0.100
20.900	35.253	0.100
21.000	32.676	0.100
21.100	33.212	0.100
21.200	40.220	0.100
21.300	36.737	0.100
21.400	48.252	0.100
21.500	39.429	0.100
21.600	32.060	0.100
21.700	27.106	0.100
21.800	9.180	0.100
21.900	31.096	0.100
22.000	25.187	0.100
22.100	45.356	0.100
22.200	32.474	0.100
22.300	31.104	0.100
22.400	34.712	0.100
22.500	25.198	0.100
22.600	35.570	0.100
22.700	25.520	0.100
22.800	14.513	0.100
22.900	31.789	0.100
23.000	40.209	0.100
23.100	36.429	0.100
23.200	26.684	0.100
23.300	20.170	0.100
23.400	33.736	0.100
23.500	22.253	0.100
23.600	29.659	0.100
23.700	25.341	0.100
23.800	22.703	0.100
23.900	32.377	0.100
24.000	24.945	0.100
24.100	51.981	0.100
24.200	26.648	0.100
24.300	36.508	0.100
24.400	37.302	0.100
24.500	33.779	0.100
24.600	24.207	0.100
24.700	42.216	0.100
24.800	27.529	0.100
24.900	30.004	0.100
25.000	41.879	0.100
25.100	24.653	0.100
25.200	24.730	0.100
25.300	25.454	0.100
25.400	16.124	0.100
25.500	32.208	0.100
25.600	38.548	0.100
25.700	44.767	0.100
25.800	24.252	0.100
25.900	51.963	0.100
26.000	33.923	0.100
26.100	21.560	0.100
26.200	35.833	0.100
26.300	23.272	0.100
26.400	20.587	0.100
26.500	25.462	0.100
26.600	30.922	0.100
26.700	34.206	0.100
26.800	37.807	0.100
26.900	37.213	0.100
27.000	38.929	0.100
27.100	30.038	0.100
27.200	8.802	0.100
27.300	20.751	0.100
27.400	24.004	0.100
27.500	40.160	0.100
27.600	21.808	0.100
27.700	22.683	0.100
27.800	58.819	0.100
27.900	35.680	0.100
28.000	15.989	0.100
28.100	30.481	0.100
28.200	21.123	0.100
28.300	25.614	0.100
28.400	26.568	0.100
28.500	46.212	0.100
28.600	22.933	0.100
28.700	23.522	0.100
28.800	21.960	0.100
28.900	24.238	0.100
29.000	18.556	0.100
29.100	31.701	0.100
29.200	44.364	0.100
29.300	29.185	0.100
29.400	26.400	0.100
29.500	39.831	0.100
29.600	28.440	0.100
29.700	14.079	0.100
29.800	24.822	0.100
29.900	46.864	0.100
30.000	39.820	0.100
30.100	27.146	0.100
30.200	34.532	0.100
30.300	39.513	0.100
30.400	30.108	0.100
30.500	37.288	0.100
30.600	13.056	0.100
30.700	37.082	0.100
30.800	38.208	0.100
30.900	42.889	0.100
31.000	42.784	0.100
31.100	42.924	0.100
31.200	39.059	0.100
31.300	40.929	0.100
31.400	46.458	0.100
31.500	43.370	0.100
31.600	48.422	0.100
31.700	53.992	0.100
31.800	41.613	0.100
31.900	54.676	0.100
32.000	48.174	0.100
32.100	45.497	0.100
32.200	47.810	0.100
32.300	37.311	0.100
32.400	38.412	0.100
32.500	59.054	0.100
32.600	47.237	0.100
32.700	57.980	0.100
32.800	59.358	0.100
32.900	56.696	0.100
33.000	63.112	0.100
33.100	46.899	0.100
33.200	67.383	0.100
33.300	56.851	0.100
33.400	63.483	0.100
33.500	67.502	0.100
33.600	58.593	0.100
33.700	52.006	0.100
33.800	43.860	0.100
33.900	48.575	0.100
34.000	61.385	0.100
34.100	61.997	0.100
34.200	60.660	0.100
34.300	46.231	0.100
34.400	56.367	0.100
34.500	72.300	0.100
34.600	44.664	0.100
34.700	68.086	0.100
34.800	74.162	0.100
34.900	70.749	0.100
35.000	74.362	0.100
35.100	56.326	0.100
35.200	51.260	0.100
35.300	47.890	0.100
35.400	66.340	0.100
35.500	64.639	0.100
35.600	68.843	0.100
35.700	63.968	0.100
35.800	63.724	0.100
35.900	71.158	0.100
36.000	62.380	0.100
36.100	74.158	0.100
36.200	57.790	0.100
36.300	64.543	0.100
36.400	46.152	0.100
36.500	46.042	0.100
36.600	58.075	0.100
36.700	74.088	0.100
36.800	59.776	0.100
36.900	74.987	0.100
37.000	67.876	0.100
37.100	54.937	0.100
37.200	58.679	0.100
37.300	70.397	0.100
37.400	60.058	0.100
37.500	67.092	0.100
37.600	59.443	0.100
37.700	61.340	0.100
37.800	75.395	0.100
37.900	52.669	0.100
38.000	51.392	0.100
38.100	72.808	0.100
38.200	68.553	0.100
38.300	69.525	0.100
38.400	61.461	0.100
38.500	76.639	0.100
38.600	57.074	0.100
38.700	64.328	0.100
38.800	76.082	0.100
38.900	80.961	0.100
39.000	58.336	0.100
39.100	83.006	0.100
39.200	57.686	0.100
39.300	54.595	0.100
39.400	60.631	0.100
39.500	55.257	0.100
39.600	55.662	0.100
39.700	61.200	0.100
39.800	74.913	0.100
39.900	72.824	0.100
40.000	80.960	0.100
40.100	65.611	0.100
40.200	63.343	0.100
40.300	55.788	0.100
40.400	68.264	0.100
40.500	70.185	0.100
40.600	60.273	0.100
40.700	63.252	0.100
40.800	59.049	0.100
40.900	59.134	0.100
41.000	74.120	0.100
41.100	61.971	0.100
41.200	65.875	0.100
41.300	57.236	0.100
41.400	46.239	0.100
41.500	72.198	0.100
41.600	71.610	0.100
41.700	59.720	0.100
41.800	69.891	0.100
41.900	72.647	0.100
42.000	66.972	0.100
42.100	51.004	0.100
42.200	68.594	0.100
42.300	65.784	0.100
42.400	76.041	0.100
42.500	73.541	0.100
42.600	62.064	0.100
42.700	62.891	0.100
42.800	53.205	0.100
42.900	72.608	0.100
43.000	64.044	0.100
43.100	65.798	0.100
43.200	31.725	0.100
43.300	57.821	0.100
43.400	51.124	0.100
43.500	60.215	0.100
43.600	67.215	0.100
43.700	65.741	0.100
43.800	69.771	0.100
43.900	59.184	0.100
44.000	76.492	0.100
44.100	61.252	0.100
44.200	73.894	0.100
44.300	70.466	0.100
44.400	65.678	0.100
44.500	69.774	0.100
44.600	51.661	0.100
44.700	64.801	0.100
44.800	59.627	0.100
44.900	71.191	0.100
45.000	62.649	0.100
45.100	50.182	0.100
45.200	70.994	0.100
45.300	56.797	0.100
45.400	73.330	0.100
45.500	66.483	0.100
45.600	60.219	0.100
45.700	60.247	0.100
45.800	68.920	0.100
45.900	65.941	0.100
