Time - A.ExtT.T (°C)	Temperature (°C) - A.ExtT.T (°C)
15:42:09	24.895
15:42:09	24.895
15:42:10	24.896
15:42:10	24.896
15:42:10	24.898
15:42:11	24.899
15:42:11	24.899
15:42:11	24.9
15:42:12	24.901
15:42:12	24.901
15:42:12	24.902
15:42:13	24.907
15:42:13	24.908
15:42:14	24.911
15:42:14	24.913
15:42:15	24.915
15:42:15	24.919
15:42:16	24.921
15:42:16	24.923
15:42:17	24.925
15:42:17	24.925
15:42:18	24.928
15:42:18	24.929
15:42:19	24.931
15:42:19	24.932
15:42:20	24.934
15:42:20	24.937
15:42:21	24.938
15:42:21	24.938
15:42:22	24.942
15:42:22	24.943
15:42:23	24.947
15:42:23	24.947
15:42:24	24.951
15:42:24	24.951
15:42:25	24.954
15:42:25	24.953
15:42:26	24.953
15:42:26	24.954
15:42:27	24.954
15:42:27	24.953
15:42:28	24.957
15:42:28	24.957
15:42:29	24.961
15:42:29	24.962
15:42:30	24.965
15:42:30	24.966
15:42:31	24.969
15:42:31	24.97
15:42:32	24.97
15:42:32	24.971
15:42:33	24.972
15:42:33	24.973
15:42:34	24.973
15:42:34	24.974
15:42:35	24.976
15:42:35	24.979
15:42:36	24.978
15:42:36	24.978
15:42:37	24.98
15:42:37	24.982
15:42:38	24.983
15:42:38	24.983
15:42:39	24.985
15:42:39	24.987
15:42:40	24.989
15:42:40	24.988
15:42:41	24.99
15:42:41	24.991
15:42:42	24.992
15:42:42	24.994
15:42:43	24.995
15:42:43	24.995
15:42:44	24.999
15:42:44	25
15:42:45	25.001
15:42:45	25.002
15:42:46	25.002
15:42:46	25.001
15:42:47	25.002
15:42:47	25.001
15:42:48	25.002
15:42:48	25.003
15:42:49	25.004
15:42:49	25.003
15:42:50	25.006
15:42:50	25.007
15:42:51	25.012
15:42:51	25.011
15:42:52	25.011
15:42:52	25.013
15:42:53	25.015
15:42:53	25.014
15:42:54	25.013
15:42:54	25.014
15:42:55	25.014
15:42:55	25.016
15:42:56	25.018
15:42:56	25.019
15:42:57	25.022
15:42:57	25.021
15:42:58	25.024
15:42:58	25.025
15:42:59	25.023
15:42:59	25.024
15:43:00	25.024
15:43:00	25.022
15:43:01	25.024
15:43:01	25.024
15:43:02	25.025
15:43:02	25.026
15:43:03	25.029
15:43:03	25.029
15:43:04	25.033
15:43:04	25.031
15:43:05	25.033
15:43:05	25.033
15:43:06	25.033
15:43:06	25.032
15:43:07	25.032
15:43:07	25.032
15:43:08	25.032
15:43:08	25.032
15:43:09	25.033
15:43:09	25.034
15:43:10	25.035
15:43:10	25.035
15:43:11	25.038
15:43:11	25.038
15:43:12	25.04
15:43:12	25.04
15:43:13	25.039
15:43:13	25.04
15:43:14	25.041
15:43:14	25.04
15:43:15	25.042
15:43:15	25.042
15:43:16	25.042
15:43:16	25.042
15:43:17	25.044
15:43:17	25.045
15:43:18	25.044
15:43:18	25.045
15:43:19	25.046
15:43:19	25.047
15:43:20	25.047
15:43:20	25.048
15:43:21	25.048
15:43:21	25.048
15:43:22	25.049
15:43:22	25.05
15:43:23	25.05
15:43:23	25.05
15:43:24	25.05
15:43:24	25.05
15:43:25	25.052
15:43:25	25.051
15:43:26	25.055
15:43:26	25.054
15:43:27	25.056
15:43:27	25.055
15:43:28	25.055
15:43:29	25.056
15:43:29	25.056
15:43:30	25.055
15:43:30	25.057
15:43:31	25.058
15:43:31	25.059
15:43:32	25.058
15:43:32	25.058
15:43:33	25.059
15:43:33	25.059
15:43:34	25.059
15:43:34	25.058
15:43:35	25.06
15:43:35	25.061
15:43:36	25.06
15:43:36	25.06
15:43:37	25.058
15:43:37	25.06
15:43:38	25.061
15:43:38	25.062
15:43:39	25.062
15:43:39	25.064
15:43:40	25.065
15:43:40	25.066
15:43:41	25.066
15:43:41	25.066
15:43:42	25.066
15:43:42	25.065
15:43:43	25.064
15:43:43	25.065
15:43:44	25.065
15:43:44	25.064
15:43:45	25.065
15:43:45	25.067
15:43:46	25.068
15:43:46	25.067
15:43:47	25.068
15:43:47	25.068
15:43:48	25.068
15:43:48	25.069
15:43:49	25.069
15:43:49	25.07
15:43:50	25.071
15:43:50	25.071
15:43:51	25.071
15:43:51	25.071
15:43:52	25.072
15:43:52	25.072
15:43:53	25.072
15:43:53	25.072
15:43:54	25.073
15:43:54	25.073
15:43:55	25.073
15:43:55	25.072
15:43:56	25.071
15:43:56	25.071
15:43:57	25.071
15:43:57	25.072
15:43:58	25.072
15:43:58	25.072
15:43:59	25.073
15:43:59	25.074
15:44:00	25.074
15:44:00	25.074
15:44:01	25.074
15:44:01	25.073
15:44:02	25.073
15:44:02	25.072
15:44:03	25.072
15:44:03	25.073
15:44:04	25.074
15:44:04	25.077
15:44:05	25.077
15:44:05	25.078
15:44:06	25.078
15:44:06	25.081
15:44:07	25.08
15:44:07	25.077
15:44:08	25.078
15:44:08	25.077
15:44:09	25.077
15:44:09	25.076
15:44:10	25.076
15:44:10	25.077
15:44:11	25.076
15:44:11	25.077
15:44:12	25.078
15:44:12	25.078
15:44:13	25.078
15:44:13	25.078
15:44:14	25.079
15:44:14	25.076
15:44:15	25.077
15:44:15	25.077
15:44:16	25.077
15:44:16	25.076
15:44:17	25.076
15:44:17	25.077
15:44:18	25.077
15:44:18	25.077
15:44:19	25.076
15:44:19	25.078
15:44:20	25.078
15:44:20	25.078
15:44:21	25.079
15:44:21	25.079
15:44:22	25.079
15:44:22	25.081
15:44:23	25.083
15:44:23	25.085
15:44:24	25.085
15:44:24	25.087
15:44:25	25.087
15:44:25	25.084
15:44:26	25.084
15:44:26	25.083
15:44:27	25.083
15:44:27	25.082
15:44:28	25.082
15:44:28	25.084
15:44:29	25.085
15:44:29	25.084
15:44:30	25.083
15:44:30	25.083
15:44:31	25.083
15:44:31	25.083
15:44:32	25.083
15:44:32	25.084
15:44:33	25.085
15:44:33	25.086
15:44:34	25.087
15:44:34	25.087
15:44:35	25.087
15:44:35	25.089
15:44:36	25.09
15:44:36	25.09
15:44:37	25.088
15:44:37	25.088
15:44:38	25.088
15:44:38	25.088
15:44:39	25.087
15:44:39	25.087
15:44:40	25.087
15:44:40	25.088
15:44:41	25.088
15:44:41	25.088
15:44:42	25.087
15:44:42	25.09
15:44:43	25.089
15:44:43	25.088
15:44:44	25.089
15:44:44	25.089
15:44:45	25.09
15:44:45	25.09
15:44:46	25.089
15:44:46	25.089
15:44:47	25.089
15:44:47	25.089
15:44:48	25.091
15:44:48	25.09
15:44:49	25.09
15:44:49	25.092
15:44:50	25.092
15:44:50	25.093
15:44:51	25.093
15:44:51	25.093
15:44:52	25.094
15:44:52	25.094
15:44:53	25.095
15:44:53	25.094
15:44:54	25.093
15:44:54	25.091
15:44:55	25.092
15:44:55	25.091
15:44:56	25.091
15:44:56	25.092
15:44:57	25.091
15:44:57	25.093
15:44:58	25.094
15:44:58	25.093
15:44:59	25.093
15:44:59	25.093
15:45:00	25.094
15:45:00	25.094
15:45:01	25.092
15:45:01	25.092
15:45:02	25.094
15:45:02	25.091
15:45:03	25.09
15:45:03	25.092
15:45:04	25.093
15:45:04	25.094
15:45:05	25.094
15:45:05	25.096
15:45:06	25.097
15:45:06	25.094
15:45:07	25.094
15:45:07	25.094
15:45:08	25.095
15:45:08	25.094
15:45:09	25.094
15:45:09	25.096
15:45:10	25.097
15:45:10	25.097
15:45:11	25.099
15:45:11	25.099
15:45:12	25.099
15:45:12	25.097
15:45:13	25.096
15:45:13	25.096
15:45:14	25.096
15:45:14	25.095
15:45:15	25.096
15:45:15	25.096
15:45:16	25.098
15:45:16	25.098
15:45:17	25.097
15:45:17	25.098
15:45:18	25.098
15:45:18	25.098
15:45:19	25.098
15:45:19	25.096
15:45:20	25.097
15:45:20	25.097
15:45:21	25.097
15:45:21	25.096
15:45:22	25.096
15:45:22	25.097
15:45:23	25.098
15:45:23	25.096
15:45:24	25.096
15:45:24	25.096
15:45:25	25.096
15:45:25	25.095
15:45:26	25.095
15:45:26	25.095
15:45:27	25.096
15:45:27	25.096
15:45:28	25.096
15:45:28	25.095
15:45:29	25.095
15:45:29	25.095
15:45:30	25.094
15:45:30	25.095
15:45:31	25.096
15:45:31	25.097
15:45:32	25.096
15:45:32	25.097
15:45:33	25.096
15:45:33	25.096
15:45:34	25.094
15:45:34	25.094
15:45:35	25.094
15:45:35	25.097
15:45:36	25.097
15:45:36	25.099
15:45:37	25.099
15:45:37	25.101
15:45:38	25.1
15:45:38	25.1
15:45:39	25.099
15:45:39	25.1
15:45:40	25.101
15:45:40	25.098
15:45:41	25.098
15:45:41	25.097
15:45:42	25.097
15:45:42	25.096
15:45:43	25.096
15:45:43	25.095
15:45:44	25.095
15:45:44	25.094
15:45:45	25.094
15:45:45	25.095
15:45:46	25.095
15:45:46	25.096
15:45:47	25.097
15:45:47	25.098
15:45:48	25.099
15:45:48	25.099
15:45:49	25.098
15:45:49	25.099
15:45:50	25.099
15:45:50	25.098
15:45:51	25.098
15:45:51	25.098
15:45:52	25.097
15:45:52	25.097
15:45:53	25.097
15:45:53	25.096
15:45:54	25.097
15:45:54	25.097
15:45:55	25.097
15:45:55	25.097
15:45:56	25.097
15:45:56	25.097
15:45:57	25.097
15:45:57	25.098
15:45:58	25.1
15:45:58	25.101
15:45:59	25.1
15:45:59	25.1
15:46:00	25.101
15:46:00	25.099
15:46:01	25.099
15:46:01	25.1
15:46:02	25.101
15:46:02	25.104
15:46:03	25.105
15:46:03	25.104
15:46:04	25.105
15:46:04	25.106
15:46:05	25.105
15:46:05	25.106
15:46:06	25.105
15:46:06	25.105
15:46:07	25.106
15:46:07	25.104
15:46:08	25.103
15:46:08	25.102
15:46:09	25.102
15:46:09	25.103
15:46:10	25.103
15:46:10	25.105
15:46:11	25.106
15:46:11	25.106
15:46:12	25.107
15:46:12	25.107
15:46:13	25.107
15:46:13	25.108
15:46:14	25.108
15:46:14	25.11
15:46:15	25.11
15:46:15	25.11
15:46:16	25.111
15:46:16	25.111
15:46:17	25.111
15:46:17	25.111
15:46:18	25.112
15:46:18	25.112
15:46:19	25.112
15:46:19	25.109
15:46:20	25.111
15:46:20	25.111
15:46:21	25.111
15:46:21	25.111
15:46:22	25.112
15:46:22	25.113
15:46:23	25.113
15:46:23	25.111
15:46:24	25.111
15:46:24	25.111
15:46:25	25.112
15:46:25	25.113
15:46:26	25.112
15:46:26	25.112
