time /s	I /nA	E /V
0.100	-9.410	0.100
0.200	-8.378	0.100
0.300	-4.298	0.100
0.400	-6.423	0.100
0.500	-8.701	0.100
0.600	-10.076	0.100
0.700	-3.371	0.100
0.800	-3.060	0.100
0.900	-7.793	0.100
1.000	0.632	0.100
1.100	-4.591	0.100
1.200	-11.193	0.100
1.300	-10.146	0.100
1.400	0.395	0.100
1.500	-1.250	0.100
1.600	-5.532	0.100
1.700	-3.796	0.100
1.800	-11.344	0.100
1.900	-12.352	0.100
2.000	-22.155	0.100
2.100	2.041	0.100
2.200	-3.261	0.100
2.300	-9.277	0.100
2.400	-2.876	0.100
2.500	-9.725	0.100
2.600	-12.345	0.100
2.700	2.646	0.100
2.800	-6.157	0.100
2.900	-10.940	0.100
3.000	-10.337	0.100
3.100	-6.616	0.100
3.200	-13.422	0.100
3.300	-2.345	0.100
3.400	-4.720	0.100
3.500	-8.955	0.100
3.600	-8.468	0.100
3.700	-9.216	0.100
3.800	-5.625	0.100
3.900	-5.928	0.100
4.000	-6.720	0.100
4.100	-4.747	0.100
4.200	-8.230	0.100
4.300	-2.762	0.100
4.400	-8.436	0.100
4.500	-4.559	0.100
4.600	7.713	0.100
4.700	-5.115	0.100
4.800	-4.827	0.100
4.900	-1.146	0.100
5.000	-10.877	0.100
5.100	-9.838	0.100
5.200	-8.531	0.100
5.300	-15.332	0.100
5.400	-15.140	0.100
5.500	-13.499	0.100
5.600	0.809	0.100
5.700	-6.500	0.100
5.800	-6.315	0.100
5.900	-5.800	0.100
6.000	-8.084	0.100
6.100	0.960	0.100
6.200	-5.657	0.100
6.300	-3.363	0.100
6.400	-12.145	0.100
6.500	-6.946	0.100
6.600	-6.782	0.100
6.700	-1.302	0.100
6.800	-10.102	0.100
6.900	-7.997	0.100
7.000	-7.309	0.100
7.100	-7.318	0.100
7.200	-3.361	0.100
7.300	-9.591	0.100
7.400	-5.293	0.100
7.500	-10.121	0.100
7.600	-7.263	0.100
7.700	-10.117	0.100
7.800	-7.464	0.100
7.900	-2.625	0.100
8.000	-11.796	0.100
8.100	-9.129	0.100
8.200	-10.371	0.100
8.300	-7.631	0.100
8.400	-5.031	0.100
8.500	1.585	0.100
8.600	-9.986	0.100
8.700	-0.716	0.100
8.800	-2.935	0.100
8.900	-7.356	0.100
9.000	-6.439	0.100
9.100	-7.406	0.100
9.200	-7.319	0.100
9.300	-2.705	0.100
9.400	-6.092	0.100
9.500	-8.739	0.100
9.600	-8.472	0.100
9.700	-8.325	0.100
9.800	-4.277	0.100
9.900	-7.080	0.100
10.000	-4.449	0.100
10.100	0.142	0.100
10.200	-5.496	0.100
10.300	-3.097	0.100
10.400	-5.488	0.100
10.500	-8.079	0.100
10.600	-7.704	0.100
10.700	-7.622	0.100
10.800	-6.551	0.100
10.900	-8.170	0.100
11.000	-8.090	0.100
11.100	-6.482	0.100
11.200	-2.867	0.100
11.300	-13.997	0.100
11.400	-13.766	0.100
11.500	-7.936	0.100
11.600	-6.690	0.100
11.700	-14.255	0.100
11.800	-14.867	0.100
11.900	-3.146	0.100
12.000	-7.493	0.100
12.100	4.138	0.100
12.200	0.876	0.100
12.300	-0.704	0.100
12.400	-7.927	0.100
12.500	-13.706	0.100
12.600	-14.226	0.100
12.700	-5.625	0.100
12.800	-5.648	0.100
12.900	-2.434	0.100
13.000	-10.475	0.100
13.100	-9.245	0.100
13.200	4.668	0.100
13.300	-5.156	0.100
13.400	-4.644	0.100
13.500	-1.780	0.100
13.600	-6.180	0.100
13.700	-6.252	0.100
13.800	-12.986	0.100
13.900	-12.935	0.100
14.000	-3.514	0.100
14.100	-2.345	0.100
14.200	-6.335	0.100
14.300	-9.106	0.100
14.400	-7.025	0.100
14.500	-7.282	0.100
14.600	-5.368	0.100
14.700	-8.973	0.100
14.800	-14.085	0.100
14.900	-10.738	0.100
15.000	-4.266	0.100
15.100	1.917	0.100
15.200	3.957	0.100
15.300	-8.817	0.100
15.400	-13.193	0.100
15.500	-3.514	0.100
15.600	-8.780	0.100
15.700	-11.601	0.100
15.800	-3.035	0.100
15.900	-3.150	0.100
16.000	-16.114	0.100
16.100	-7.424	0.100
16.200	-2.389	0.100
16.300	-8.649	0.100
16.400	-0.020	0.100
16.500	-0.841	0.100
16.600	-4.226	0.100
16.700	-3.556	0.100
16.800	-0.947	0.100
16.900	-0.652	0.100
17.000	-0.900	0.100
17.100	-8.209	0.100
17.200	-9.462	0.100
17.300	-15.036	0.100
17.400	-7.801	0.100
17.500	-3.521	0.100
17.600	3.528	0.100
17.700	-1.963	0.100
17.800	1.292	0.100
17.900	-7.172	0.100
18.000	-4.189	0.100
18.100	-5.211	0.100
18.200	-8.667	0.100
18.300	-3.578	0.100
18.400	-3.618	0.100
18.500	-7.837	0.100
18.600	-8.628	0.100
18.700	-10.099	0.100
18.800	-8.138	0.100
18.900	-1.968	0.100
19.000	-4.895	0.100
19.100	5.844	0.100
19.200	-2.181	0.100
19.300	4.711	0.100
19.400	-15.905	0.100
19.500	-2.008	0.100
19.600	-17.195	0.100
19.700	-13.399	0.100
19.800	-4.425	0.100
19.900	-1.530	0.100
20.000	-6.071	0.100
20.100	-8.352	0.100
20.200	-3.173	0.100
20.300	4.237	0.100
20.400	-7.202	0.100
20.500	-5.166	0.100
20.600	-1.041	0.100
20.700	-10.892	0.100
20.800	-1.365	0.100
20.900	-10.556	0.100
21.000	-9.661	0.100
21.100	-2.646	0.100
21.200	-13.377	0.100
21.300	1.620	0.100
21.400	-8.791	0.100
21.500	11.469	0.100
21.600	0.202	0.100
21.700	-8.455	0.100
21.800	-15.374	0.100
21.900	-14.850	0.100
22.000	-6.171	0.100
22.100	7.637	0.100
22.200	-10.022	0.100
22.300	-3.908	0.100
22.400	-2.040	0.100
22.500	-15.292	0.100
22.600	-0.351	0.100
22.700	-6.282	0.100
22.800	-4.320	0.100
22.900	-11.024	0.100
23.000	-5.891	0.100
23.100	-8.256	0.100
23.200	-2.347	0.100
23.300	-13.248	0.100
23.400	-4.971	0.100
23.500	-4.364	0.100
23.600	-9.985	0.100
23.700	-6.536	0.100
23.800	-10.317	0.100
23.900	0.273	0.100
24.000	-1.013	0.100
24.100	-0.866	0.100
24.200	2.454	0.100
24.300	-7.724	0.100
24.400	-8.637	0.100
24.500	-8.969	0.100
24.600	-8.018	0.100
24.700	-6.908	0.100
24.800	-10.273	0.100
24.900	-14.301	0.100
25.000	-9.727	0.100
25.100	-6.452	0.100
25.200	-0.891	0.100
25.300	-2.661	0.100
25.400	-6.118	0.100
25.500	-5.432	0.100
25.600	-4.932	0.100
25.700	-5.280	0.100
25.800	-11.104	0.100
25.900	-14.072	0.100
26.000	6.556	0.100
26.100	2.916	0.100
26.200	7.294	0.100
26.300	-8.119	0.100
26.400	-5.358	0.100
26.500	-18.580	0.100
26.600	-5.808	0.100
26.700	-8.865	0.100
26.800	-9.420	0.100
26.900	-4.226	0.100
27.000	-6.490	0.100
27.100	-7.647	0.100
27.200	0.503	0.100
27.300	-3.397	0.100
27.400	-4.047	0.100
27.500	-7.666	0.100
27.600	-9.310	0.100
27.700	-6.678	0.100
27.800	-6.336	0.100
27.900	-14.861	0.100
28.000	0.700	0.100
28.100	-4.988	0.100
28.200	-1.201	0.100
28.300	-2.822	0.100
28.400	-1.014	0.100
28.500	-2.524	0.100
28.600	0.889	0.100
28.700	-8.230	0.100
28.800	-9.314	0.100
28.900	-6.076	0.100
29.000	-6.594	0.100
29.100	-3.519	0.100
29.200	-12.693	0.100
29.300	-17.652	0.100
29.400	-0.453	0.100
29.500	-4.126	0.100
29.600	6.666	0.100
29.700	-4.103	0.100
29.800	3.868	0.100
29.900	-13.175	0.100
30.000	-11.958	0.100
30.100	2.424	0.100
30.200	5.772	0.100
30.300	4.667	0.100
30.400	12.219	0.100
30.500	7.506	0.100
30.600	1.071	0.100
30.700	10.129	0.100
30.800	1.484	0.100
30.900	3.700	0.100
31.000	15.184	0.100
31.100	2.222	0.100
31.200	4.316	0.100
31.300	9.808	0.100
31.400	8.473	0.100
31.500	-1.655	0.100
31.600	7.457	0.100
31.700	5.475	0.100
31.800	0.914	0.100
31.900	0.832	0.100
32.000	1.288	0.100
32.100	3.647	0.100
32.200	-0.583	0.100
32.300	7.331	0.100
32.400	-5.571	0.100
32.500	-1.723	0.100
32.600	1.226	0.100
32.700	1.663	0.100
32.800	3.564	0.100
32.900	7.539	0.100
33.000	4.060	0.100
33.100	1.222	0.100
33.200	9.491	0.100
33.300	5.277	0.100
33.400	-9.899	0.100
33.500	9.483	0.100
33.600	3.970	0.100
33.700	7.222	0.100
33.800	5.114	0.100
33.900	3.372	0.100
34.000	8.645	0.100
34.100	-1.097	0.100
34.200	6.599	0.100
34.300	12.239	0.100
34.400	4.454	0.100
34.500	-1.925	0.100
34.600	0.964	0.100
34.700	4.876	0.100
34.800	3.788	0.100
34.900	1.814	0.100
35.000	11.120	0.100
35.100	9.201	0.100
35.200	7.868	0.100
35.300	18.011	0.100
35.400	7.493	0.100
35.500	2.434	0.100
35.600	9.459	0.100
35.700	18.716	0.100
35.800	14.184	0.100
35.900	9.272	0.100
36.000	3.607	0.100
36.100	-0.553	0.100
36.200	17.363	0.100
36.300	2.491	0.100
36.400	9.065	0.100
36.500	9.998	0.100
36.600	6.204	0.100
36.700	4.138	0.100
36.800	4.674	0.100
36.900	3.451	0.100
37.000	11.197	0.100
37.100	10.122	0.100
37.200	11.896	0.100
37.300	10.163	0.100
37.400	6.248	0.100
37.500	5.985	0.100
37.600	13.627	0.100
37.700	5.740	0.100
37.800	14.750	0.100
37.900	11.347	0.100
38.000	6.702	0.100
38.100	3.042	0.100
38.200	2.067	0.100
38.300	10.502	0.100
38.400	15.972	0.100
38.500	5.389	0.100
38.600	12.782	0.100
38.700	0.665	0.100
38.800	15.254	0.100
38.900	5.226	0.100
39.000	0.193	0.100
39.100	0.791	0.100
39.200	16.833	0.100
39.300	7.975	0.100
39.400	7.528	0.100
39.500	12.533	0.100
39.600	14.738	0.100
39.700	-3.777	0.100
39.800	4.396	0.100
39.900	4.806	0.100
40.000	8.488	0.100
40.100	9.745	0.100
40.200	14.099	0.100
40.300	1.449	0.100
40.400	-3.390	0.100
40.500	9.400	0.100
40.600	9.277	0.100
40.700	2.304	0.100
40.800	4.728	0.100
40.900	2.197	0.100
41.000	-4.118	0.100
41.100	4.337	0.100
41.200	12.443	0.100
41.300	2.992	0.100
41.400	-2.477	0.100
41.500	-1.862	0.100
41.600	8.243	0.100
41.700	5.262	0.100
41.800	-0.370	0.100
41.900	-2.727	0.100
42.000	9.795	0.100
42.100	6.570	0.100
42.200	5.382	0.100
42.300	3.548	0.100
42.400	3.579	0.100
42.500	-0.864	0.100
42.600	3.152	0.100
42.700	6.507	0.100
42.800	2.586	0.100
42.900	6.247	0.100
43.000	4.264	0.100
43.100	3.874	0.100
43.200	0.253	0.100
43.300	-0.394	0.100
43.400	-2.757	0.100
43.500	0.210	0.100
43.600	-1.902	0.100
43.700	3.017	0.100
43.800	1.843	0.100
43.900	9.698	0.100
44.000	3.896	0.100
44.100	9.785	0.100
44.200	-8.136	0.100
44.300	5.750	0.100
44.400	0.921	0.100
44.500	1.965	0.100
44.600	-7.191	0.100
44.700	5.127	0.100
44.800	7.079	0.100
44.900	5.149	0.100
45.000	0.497	0.100
45.100	4.346	0.100
45.200	3.695	0.100
45.300	0.600	0.100
45.400	-2.416	0.100
45.500	4.381	0.100
45.600	-0.522	0.100
45.700	1.299	0.100
45.800	-8.010	0.100
45.900	-7.204	0.100
46.000	1.414	0.100
46.100	11.854	0.100
46.200	8.745	0.100
46.300	2.540	0.100
46.400	-3.808	0.100
46.500	-3.528	0.100
46.600	-9.899	0.100
46.700	4.853	0.100
46.800	3.067	0.100
46.900	2.201	0.100
47.000	0.591	0.100
47.100	-4.460	0.100
47.200	-5.848	0.100
47.300	-5.002	0.100
47.400	7.266	0.100
47.500	-0.208	0.100
47.600	-9.699	0.100
47.700	4.578	0.100
47.800	3.677	0.100
47.900	-1.827	0.100
48.000	-0.007	0.100
48.100	-1.805	0.100
48.200	3.832	0.100
48.300	3.564	0.100
48.400	-6.210	0.100
48.500	-1.770	0.100
48.600	-4.185	0.100
48.700	-2.336	0.100
48.800	-2.054	0.100
48.900	-4.166	0.100
49.000	2.031	0.100
49.100	4.004	0.100
49.200	-6.322	0.100
49.300	4.337	0.100
49.400	-1.219	0.100
49.500	-0.172	0.100
49.600	-4.466	0.100
49.700	-5.309	0.100
49.800	2.107	0.100
49.900	2.822	0.100
50.000	3.785	0.100
50.100	3.518	0.100
50.200	-7.057	0.100
50.300	4.280	0.100
50.400	7.424	0.100
50.500	-0.220	0.100
50.600	-1.570	0.100
50.700	0.584	0.100
50.800	-8.878	0.100
50.900	-2.869	0.100
51.000	5.998	0.100
51.100	1.943	0.100
51.200	0.193	0.100
51.300	3.791	0.100
51.400	-5.051	0.100
51.500	-1.800	0.100
