time /s	I /nA	E /V
0.100	-25.175	0.100
0.200	-18.817	0.100
0.300	-15.040	0.100
0.400	-15.993	0.100
0.500	-13.174	0.100
0.600	-21.655	0.100
0.700	-19.830	0.100
0.800	-14.880	0.100
0.900	-15.211	0.100
1.000	-12.906	0.100
1.100	-12.186	0.100
1.200	-14.071	0.100
1.300	-15.138	0.100
1.400	-15.047	0.100
1.500	-19.890	0.100
1.600	-15.210	0.100
1.700	-13.037	0.100
1.800	-10.720	0.100
1.900	-14.203	0.100
2.000	-15.594	0.100
2.100	-14.342	0.100
2.200	-7.506	0.100
2.300	-15.137	0.100
2.400	-10.700	0.100
2.500	-6.662	0.100
2.600	-27.505	0.100
2.700	-18.197	0.100
2.800	-12.498	0.100
2.900	-20.197	0.100
3.000	-19.798	0.100
3.100	-15.508	0.100
3.200	-22.168	0.100
3.300	-24.091	0.100
3.400	-7.188	0.100
3.500	-12.773	0.100
3.600	-23.234	0.100
3.700	-10.733	0.100
3.800	-11.130	0.100
3.900	-15.357	0.100
4.000	-9.798	0.100
4.100	-12.107	0.100
4.200	-16.847	0.100
4.300	-11.195	0.100
4.400	-9.343	0.100
4.500	-13.903	0.100
4.600	-10.963	0.100
4.700	-21.499	0.100
4.800	-21.736	0.100
4.900	-16.683	0.100
5.000	-11.827	0.100
5.100	-16.658	0.100
5.200	-16.644	0.100
5.300	-25.677	0.100
5.400	-15.003	0.100
5.500	-9.485	0.100
5.600	-10.542	0.100
5.700	-19.861	0.100
5.800	-7.896	0.100
5.900	-13.382	0.100
6.000	-25.414	0.100
6.100	-4.821	0.100
6.200	-9.892	0.100
6.300	-16.183	0.100
6.400	-16.825	0.100
6.500	-14.670	0.100
6.600	-17.577	0.100
6.700	-2.066	0.100
6.800	-12.367	0.100
6.900	-4.640	0.100
7.000	-14.863	0.100
7.100	-16.425	0.100
7.200	-14.414	0.100
7.300	-15.487	0.100
7.400	-13.350	0.100
7.500	-23.327	0.100
7.600	-11.414	0.100
7.700	-16.730	0.100
7.800	-17.984	0.100
7.900	-9.896	0.100
8.000	-7.916	0.100
8.100	-21.686	0.100
8.200	-12.612	0.100
8.300	-7.576	0.100
8.400	-16.503	0.100
8.500	-10.873	0.100
8.600	-21.953	0.100
8.700	-8.717	0.100
8.800	-9.100	0.100
8.900	-30.787	0.100
9.000	-23.308	0.100
9.100	-12.799	0.100
9.200	-13.424	0.100
9.300	-10.556	0.100
9.400	-11.115	0.100
9.500	-9.468	0.100
9.600	-27.592	0.100
9.700	-13.323	0.100
9.800	-15.300	0.100
9.900	-15.142	0.100
10.000	-13.938	0.100
10.100	-21.438	0.100
10.200	-19.428	0.100
10.300	-3.735	0.100
10.400	-13.574	0.100
10.500	-15.303	0.100
10.600	-9.347	0.100
10.700	-13.737	0.100
10.800	-9.280	0.100
10.900	-6.445	0.100
11.000	-23.482	0.100
11.100	-13.523	0.100
11.200	-17.826	0.100
11.300	-23.286	0.100
11.400	-17.880	0.100
11.500	-11.427	0.100
11.600	-15.020	0.100
11.700	-13.187	0.100
11.800	-9.683	0.100
11.900	-13.125	0.100
12.000	-21.704	0.100
12.100	-16.865	0.100
12.200	-12.119	0.100
12.300	-15.717	0.100
12.400	-10.609	0.100
12.500	-9.379	0.100
12.600	-13.027	0.100
12.700	-17.821	0.100
12.800	-14.620	0.100
12.900	-19.875	0.100
13.000	-12.162	0.100
13.100	-8.087	0.100
13.200	-9.135	0.100
13.300	-22.316	0.100
13.400	-22.933	0.100
13.500	-5.371	0.100
13.600	-17.721	0.100
13.700	-10.294	0.100
13.800	-26.078	0.100
13.900	-2.851	0.100
14.000	-18.739	0.100
14.100	-12.581	0.100
14.200	-5.939	0.100
14.300	-13.137	0.100
14.400	-17.688	0.100
14.500	-14.373	0.100
14.600	-4.424	0.100
14.700	-26.069	0.100
14.800	-10.480	0.100
14.900	-9.948	0.100
15.000	-15.252	0.100
15.100	-7.203	0.100
15.200	-7.923	0.100
15.300	-20.041	0.100
15.400	-11.445	0.100
15.500	-11.965	0.100
15.600	-19.104	0.100
15.700	-12.599	0.100
15.800	-13.243	0.100
15.900	-19.802	0.100
16.000	-11.548	0.100
16.100	-13.320	0.100
16.200	-23.826	0.100
16.300	-11.990	0.100
16.400	-10.424	0.100
16.500	-12.100	0.100
16.600	-16.641	0.100
16.700	-15.887	0.100
16.800	-14.384	0.100
16.900	-13.749	0.100
17.000	-17.934	0.100
17.100	-5.879	0.100
17.200	-9.549	0.100
17.300	-10.843	0.100
17.400	-5.425	0.100
17.500	-11.522	0.100
17.600	-11.990	0.100
17.700	-20.635	0.100
17.800	-20.774	0.100
17.900	-7.500	0.100
18.000	-4.603	0.100
18.100	-7.671	0.100
