time /s	I /nA	E /V
0.100	-20.903	0.100
0.200	-5.357	0.100
0.300	-5.455	0.100
0.400	-14.632	0.100
0.500	-17.670	0.100
0.600	-18.412	0.100
0.700	-18.475	0.100
0.800	-8.816	0.100
0.900	-26.061	0.100
1.000	-7.167	0.100
1.100	-14.271	0.100
1.200	-14.766	0.100
1.300	-16.759	0.100
1.400	-15.222	0.100
1.500	-23.632	0.100
1.600	-18.899	0.100
1.700	-21.019	0.100
1.800	-15.442	0.100
1.900	-19.544	0.100
2.000	-12.210	0.100
2.100	-7.457	0.100
2.200	-12.713	0.100
2.300	-15.707	0.100
2.400	-7.840	0.100
2.500	2.613	0.100
2.600	-2.749	0.100
2.700	-12.338	0.100
2.800	-11.269	0.100
2.900	-17.197	0.100
3.000	-11.709	0.100
3.100	-29.359	0.100
3.200	-25.437	0.100
3.300	-15.663	0.100
3.400	-37.730	0.100
3.500	-14.216	0.100
3.600	-16.344	0.100
3.700	-5.669	0.100
3.800	-19.919	0.100
3.900	-19.977	0.100
4.000	0.922	0.100
4.100	-21.329	0.100
4.200	-17.201	0.100
4.300	-13.078	0.100
4.400	-11.188	0.100
4.500	-7.723	0.100
4.600	-15.737	0.100
4.700	-12.759	0.100
4.800	-17.843	0.100
4.900	-16.779	0.100
5.000	-16.260	0.100
5.100	-23.473	0.100
5.200	-21.276	0.100
5.300	-10.009	0.100
5.400	-6.107	0.100
5.500	-12.498	0.100
5.600	-15.173	0.100
5.700	-15.593	0.100
5.800	-11.026	0.100
5.900	-12.410	0.100
6.000	-6.948	0.100
6.100	-4.922	0.100
6.200	-7.293	0.100
6.300	-9.906	0.100
6.400	-14.975	0.100
6.500	-15.891	0.100
6.600	-10.678	0.100
6.700	-20.589	0.100
6.800	-6.440	0.100
6.900	-12.653	0.100
7.000	-18.823	0.100
7.100	-12.265	0.100
7.200	-9.548	0.100
7.300	-11.498	0.100
7.400	-11.419	0.100
7.500	-24.663	0.100
7.600	-21.510	0.100
7.700	-8.275	0.100
7.800	-1.414	0.100
7.900	-15.083	0.100
8.000	-12.555	0.100
8.100	-8.847	0.100
8.200	-14.116	0.100
8.300	-12.323	0.100
8.400	-20.106	0.100
8.500	-14.135	0.100
8.600	-18.339	0.100
8.700	-9.150	0.100
8.800	-8.704	0.100
8.900	-20.673	0.100
9.000	-18.352	0.100
9.100	-18.908	0.100
9.200	-19.312	0.100
9.300	-12.757	0.100
9.400	-6.745	0.100
