time /s	I /nA	E /V
0.100	-30.495	0.100
0.200	-40.579	0.100
0.300	-42.325	0.100
0.400	-23.702	0.100
0.500	-34.951	0.100
0.600	-33.855	0.100
0.700	-44.459	0.100
0.800	-32.316	0.100
0.900	-31.309	0.100
1.000	-34.654	0.100
1.100	-45.072	0.100
1.200	-35.654	0.100
1.300	-46.814	0.100
1.400	-44.938	0.100
1.500	-36.833	0.100
1.600	-33.336	0.100
1.700	-44.400	0.100
1.800	-49.939	0.100
1.900	-34.437	0.100
2.000	-34.520	0.100
2.100	-32.201	0.100
2.200	-35.605	0.100
2.300	-28.387	0.100
2.400	-51.583	0.100
2.500	-32.824	0.100
2.600	-46.832	0.100
2.700	-38.000	0.100
2.800	-32.215	0.100
2.900	-40.368	0.100
3.000	-55.932	0.100
3.100	-40.963	0.100
3.200	-52.044	0.100
3.300	-37.453	0.100
3.400	-30.033	0.100
3.500	-59.941	0.100
3.600	-35.991	0.100
3.700	-23.573	0.100
3.800	-43.096	0.100
3.900	-36.878	0.100
4.000	-23.849	0.100
4.100	-21.466	0.100
4.200	-34.342	0.100
4.300	-29.746	0.100
4.400	-33.399	0.100
4.500	-40.287	0.100
4.600	-48.670	0.100
4.700	-51.008	0.100
4.800	-40.081	0.100
4.900	-30.876	0.100
5.000	-18.809	0.100
5.100	-30.264	0.100
5.200	-34.557	0.100
5.300	-34.197	0.100
5.400	-34.565	0.100
5.500	-41.794	0.100
5.600	-33.780	0.100
5.700	-37.891	0.100
5.800	-35.672	0.100
5.900	-43.313	0.100
6.000	-49.212	0.100
6.100	-40.637	0.100
6.200	-30.557	0.100
6.300	-25.867	0.100
6.400	-35.438	0.100
6.500	-32.255	0.100
6.600	-43.029	0.100
6.700	-31.667	0.100
6.800	-31.330	0.100
6.900	-35.952	0.100
7.000	-49.368	0.100
7.100	-36.609	0.100
7.200	-32.063	0.100
7.300	-31.432	0.100
7.400	-36.133	0.100
7.500	-26.268	0.100
7.600	-41.926	0.100
7.700	-31.344	0.100
7.800	-31.676	0.100
7.900	-34.153	0.100
8.000	-31.781	0.100
8.100	-44.564	0.100
8.200	-50.399	0.100
8.300	-27.844	0.100
8.400	-34.393	0.100
8.500	-36.178	0.100
8.600	-34.529	0.100
8.700	-46.200	0.100
8.800	-33.637	0.100
8.900	-34.594	0.100
9.000	-38.553	0.100
9.100	-32.842	0.100
9.200	-32.925	0.100
9.300	-44.541	0.100
9.400	-35.717	0.100
9.500	-45.015	0.100
9.600	-27.739	0.100
9.700	-30.435	0.100
9.800	-34.946	0.100
9.900	-48.356	0.100
10.000	-36.263	0.100
10.100	-32.696	0.100
10.200	-43.326	0.100
10.300	-41.694	0.100
10.400	-40.818	0.100
10.500	-42.540	0.100
10.600	-31.314	0.100
10.700	-24.364	0.100
10.800	-34.123	0.100
10.900	-40.462	0.100
11.000	-39.113	0.100
11.100	-35.355	0.100
11.200	-25.939	0.100
11.300	-30.789	0.100
11.400	-35.460	0.100
11.500	-36.715	0.100
11.600	-39.917	0.100
11.700	-36.694	0.100
11.800	-29.116	0.100
11.900	-41.516	0.100
12.000	-31.980	0.100
12.100	-39.684	0.100
12.200	-49.594	0.100
12.300	-30.027	0.100
12.400	-29.261	0.100
12.500	-34.454	0.100
12.600	-33.524	0.100
12.700	-36.464	0.100
12.800	-19.325	0.100
12.900	-25.185	0.100
13.000	-33.113	0.100
13.100	-24.460	0.100
13.200	-31.228	0.100
13.300	-26.861	0.100
13.400	-30.304	0.100
13.500	-36.741	0.100
13.600	-34.852	0.100
13.700	-19.928	0.100
13.800	-36.743	0.100
13.900	-40.172	0.100
14.000	-27.367	0.100
14.100	-28.802	0.100
14.200	-31.651	0.100
14.300	-28.531	0.100
14.400	-29.561	0.100
14.500	-29.962	0.100
14.600	-29.960	0.100
14.700	-39.314	0.100
14.800	-42.700	0.100
14.900	-36.228	0.100
15.000	-26.811	0.100
15.100	-22.539	0.100
15.200	-35.125	0.100
15.300	-32.658	0.100
15.400	-35.906	0.100
15.500	-32.564	0.100
15.600	-37.100	0.100
15.700	-35.243	0.100
15.800	-34.771	0.100
15.900	-36.943	0.100
16.000	-27.090	0.100
16.100	-34.244	0.100
