time /s	I /nA	E /V
0.100	-10.998	0.101
0.200	-3.834	0.101
0.300	-0.109	0.101
0.400	-17.620	0.101
0.500	-0.582	0.101
0.600	-8.300	0.101
0.700	-14.071	0.101
0.800	-1.611	0.101
0.900	-11.366	0.101
1.000	2.935	0.101
1.100	-1.597	0.101
1.200	-12.506	0.101
1.300	-17.951	0.101
1.400	-8.297	0.101
1.500	-8.940	0.101
1.600	-14.500	0.101
1.700	4.217	0.101
1.800	12.119	0.101
1.900	-5.687	0.101
2.000	-5.216	0.101
2.100	-8.415	0.101
2.200	-4.885	0.101
2.300	-4.207	0.101
2.400	-9.299	0.101
2.500	-11.920	0.101
2.600	-2.588	0.101
2.700	-9.977	0.101
2.800	-3.952	0.101
2.900	6.791	0.101
3.000	-10.893	0.101
3.100	-11.794	0.101
3.200	-2.396	0.101
3.300	-0.179	0.101
3.400	-13.872	0.101
3.500	-2.950	0.101
3.600	-9.778	0.101
3.700	6.018	0.101
3.800	-3.377	0.101
3.900	6.840	0.101
4.000	-9.546	0.101
4.100	0.839	0.101
4.200	-10.659	0.101
4.300	-0.561	0.101
4.400	4.361	0.101
4.500	-10.414	0.101
4.600	-9.854	0.101
4.700	-6.702	0.101
4.800	2.881	0.101
4.900	-13.945	0.101
5.000	-3.162	0.101
5.100	3.167	0.101
5.200	-5.057	0.101
5.300	-1.647	0.101
5.400	-5.811	0.101
5.500	-9.054	0.101
5.600	-12.767	0.101
5.700	-5.024	0.101
5.800	-15.979	0.101
5.900	-15.954	0.101
6.000	-5.368	0.101
6.100	-6.670	0.101
6.200	-8.672	0.101
6.300	-18.173	0.101
6.400	1.313	0.101
6.500	-14.740	0.101
6.600	-16.306	0.101
6.700	-3.376	0.101
6.800	3.917	0.101
6.900	-6.982	0.101
7.000	2.549	0.101
7.100	-6.054	0.101
7.200	-12.361	0.101
7.300	-2.948	0.101
7.400	-7.135	0.101
7.500	-5.087	0.101
7.600	-4.471	0.101
7.700	-1.803	0.101
7.800	-1.284	0.101
7.900	-8.786	0.101
8.000	-1.013	0.101
8.100	-0.221	0.101
8.200	-1.653	0.101
8.300	-4.596	0.101
8.400	-15.260	0.101
8.500	-13.619	0.101
8.600	-0.506	0.101
8.700	-13.220	0.101
8.800	-11.490	0.101
8.900	-5.052	0.101
9.000	-9.092	0.101
9.100	-2.422	0.101
9.200	-7.264	0.101
9.300	-8.528	0.101
9.400	-16.464	0.101
9.500	3.769	0.101
9.600	3.897	0.101
9.700	0.350	0.101
9.800	-8.570	0.101
9.900	-6.146	0.101
10.000	6.560	0.101
10.100	-11.032	0.101
10.200	-3.066	0.101
10.300	-9.845	0.101
10.400	-0.044	0.101
10.500	-4.711	0.101
10.600	-29.052	0.101
10.700	-6.749	0.101
10.800	-8.518	0.101
10.900	-6.329	0.101
11.000	-1.253	0.101
11.100	-9.591	0.101
11.200	-9.338	0.101
11.300	3.629	0.101
11.400	-7.739	0.101
11.500	4.334	0.101
11.600	-9.025	0.101
11.700	-4.155	0.101
11.800	-17.560	0.101
11.900	3.048	0.101
12.000	-5.893	0.101
12.100	-5.489	0.101
12.200	-2.801	0.101
12.300	-9.237	0.101
12.400	-8.454	0.101
12.500	-19.709	0.101
12.600	-8.425	0.101
12.700	-13.868	0.101
12.800	-4.485	0.101
12.900	-19.185	0.101
13.000	-6.456	0.101
13.100	-9.045	0.101
13.200	0.435	0.101
13.300	-12.844	0.101
13.400	-10.750	0.101
13.500	-19.998	0.101
13.600	-1.282	0.101
13.700	1.736	0.101
13.800	-4.982	0.101
13.900	-9.629	0.101
14.000	-1.864	0.101
14.100	-6.730	0.101
14.200	-12.201	0.101
14.300	-2.482	0.101
14.400	-2.895	0.101
14.500	4.524	0.101
14.600	-8.106	0.101
14.700	0.352	0.101
14.800	-0.642	0.101
14.900	-4.448	0.101
15.000	-0.982	0.101
15.100	3.302	0.101
15.200	-17.771	0.101
15.300	-3.177	0.101
15.400	-15.054	0.101
15.500	-6.205	0.101
15.600	1.992	0.101
15.700	3.880	0.101
15.800	5.706	0.101
15.900	-34.339	0.101
16.000	-1.574	0.101
16.100	10.005	0.101
16.200	-9.405	0.101
16.300	-5.578	0.101
16.400	1.475	0.101
16.500	-2.860	0.101
16.600	-4.824	0.101
