time /s	I /nA	E /V
0.100	18.144	0.101
0.200	-44.571	0.100
0.300	-4.282	0.100
0.400	-9.899	0.100
0.500	11.059	0.100
0.600	3.690	0.100
0.700	-65.529	0.100
0.800	-18.308	0.100
0.900	15.355	0.100
1.000	11.057	0.100
1.100	2.429	0.100
1.200	-16.846	0.101
1.300	-1.838	0.100
1.400	-2.481	0.100
1.500	0.073	0.100
1.600	-41.163	0.100
1.700	17.869	0.100
1.800	-1.386	0.100
1.900	-22.150	0.100
2.000	3.568	0.100
2.100	-4.483	0.100
2.200	25.879	0.100
2.300	-32.170	0.100
2.400	-15.936	0.100
2.500	-4.323	0.100
2.600	-14.474	0.100
2.700	4.297	0.100
2.800	-29.973	0.101
2.900	-6.578	0.100
3.000	-17.963	0.100
3.100	-1.362	0.100
3.200	-29.351	0.100
3.300	7.882	0.100
3.400	-9.746	0.100
3.500	-8.810	0.100
3.600	8.068	0.100
3.700	-3.790	0.100
3.800	-22.922	0.100
3.900	-13.478	0.100
4.000	-6.381	0.100
4.100	37.509	0.100
4.200	-2.451	0.100
4.300	9.270	0.100
4.400	18.074	0.101
4.500	1.755	0.100
4.600	28.410	0.100
4.700	3.136	0.100
4.800	-11.694	0.101
4.900	-21.671	0.100
5.000	25.020	0.100
5.100	-41.715	0.100
5.200	-34.606	0.100
5.300	-1.302	0.100
5.400	-9.670	0.100
5.500	-9.364	0.100
5.600	-5.059	0.100
5.700	8.912	0.100
5.800	-17.115	0.100
5.900	-5.264	0.100
6.000	9.769	0.100
6.100	3.782	0.101
6.200	-14.391	0.100
6.300	12.004	0.100
6.400	-27.611	0.100
6.500	-4.903	0.101
6.600	-17.764	0.100
6.700	3.284	0.100
6.800	-2.466	0.101
6.900	27.820	0.100
7.000	-2.616	0.100
7.100	-7.993	0.100
7.200	-18.729	0.100
7.300	-11.289	0.100
7.400	-12.815	0.100
7.500	30.228	0.100
7.600	-11.165	0.100
7.700	-27.445	0.100
7.800	-2.552	0.100
7.900	-11.198	0.100
8.000	-11.813	0.100
8.100	-3.076	0.100
8.200	-24.445	0.100
8.300	10.485	0.100
8.400	-35.699	0.100
8.500	8.365	0.101
8.600	-28.604	0.100
8.700	9.448	0.100
8.800	7.327	0.100
8.900	-33.080	0.100
9.000	3.683	0.100
9.100	-2.469	0.100
9.200	3.415	0.100
9.300	5.450	0.100
9.400	-10.643	0.100
9.500	-27.576	0.100
9.600	-13.162	0.100
9.700	-9.468	0.100
9.800	11.023	0.100
9.900	-5.353	0.100
10.000	-13.462	0.100
10.100	-23.104	0.100
10.200	23.341	0.100
10.300	-8.144	0.100
10.400	-6.719	0.100
10.500	-2.345	0.100
10.600	19.990	0.100
10.700	1.981	0.100
10.800	-10.859	0.100
10.900	-21.024	0.100
11.000	1.764	0.100
11.100	-9.467	0.100
11.200	-34.965	0.100
11.300	10.471	0.100
11.400	-23.682	0.100
11.500	0.164	0.100
11.600	9.465	0.100
11.700	21.382	0.100
11.800	13.826	0.100
11.900	-49.752	0.100
12.000	5.085	0.100
12.100	7.461	0.100
12.200	1.717	0.100
12.300	-3.669	0.100
12.400	-17.776	0.100
12.500	-25.112	0.100
12.600	6.849	0.100
12.700	-15.748	0.100
12.800	-10.170	0.100
12.900	1.700	0.100
13.000	7.887	0.100
13.100	-15.514	0.100
13.200	16.353	0.100
13.300	11.261	0.100
13.400	20.072	0.100
13.500	-11.834	0.101
13.600	-5.106	0.100
13.700	9.619	0.100
13.800	7.314	0.100
13.900	-3.114	0.100
14.000	-4.995	0.100
14.100	-37.585	0.100
14.200	-13.225	0.100
14.300	31.238	0.100
14.400	-24.511	0.100
14.500	0.081	0.101
14.600	-18.950	0.100
14.700	-5.316	0.100
14.800	0.394	0.100
14.900	-0.940	0.100
15.000	-0.418	0.100
15.100	-20.480	0.100
15.200	-7.379	0.100
15.300	-31.163	0.100
15.400	-6.320	0.100
15.500	-15.051	0.100
15.600	-7.942	0.100
15.700	13.503	0.100
15.800	-28.281	0.100
15.900	-4.052	0.100
16.000	1.881	0.100
16.100	-16.126	0.100
16.200	-9.408	0.100
16.300	0.555	0.100
16.400	7.870	0.100
16.500	-22.119	0.100
16.600	-6.613	0.100
16.700	16.864	0.100
16.800	-18.264	0.101
16.900	-32.360	0.100
17.000	-22.623	0.100
17.100	25.577	0.100
17.200	-48.557	0.100
17.300	-21.228	0.100
17.400	-4.050	0.100
17.500	18.629	0.101
17.600	-5.923	0.100
17.700	4.169	0.100
17.800	-32.447	0.100
17.900	6.033	0.100
18.000	-7.169	0.100
18.100	-35.878	0.100
18.200	19.944	0.100
