time /s	I /nA	E /V
0.100	-49.076	0.100
0.200	-38.529	0.100
0.300	-24.907	0.100
0.400	-33.058	0.100
0.500	-26.500	0.100
0.600	-34.616	0.100
0.700	-40.588	0.100
0.800	-46.099	0.100
0.900	-32.108	0.100
1.000	-43.258	0.100
1.100	-32.555	0.100
1.200	-17.577	0.100
1.300	-36.259	0.100
1.400	-50.315	0.100
1.500	-33.000	0.100
1.600	-35.925	0.100
1.700	-42.273	0.100
1.800	-27.600	0.100
1.900	-26.024	0.100
2.000	-35.798	0.100
2.100	-29.904	0.100
2.200	-44.367	0.100
2.300	-33.813	0.100
2.400	-34.649	0.100
2.500	-44.252	0.100
2.600	-39.923	0.100
2.700	-43.532	0.100
2.800	-41.186	0.100
2.900	-33.813	0.100
3.000	-27.243	0.100
3.100	-28.413	0.100
3.200	-25.307	0.100
3.300	-53.468	0.100
3.400	-38.093	0.100
3.500	-32.027	0.100
3.600	-48.287	0.100
3.700	-48.275	0.100
3.800	-29.484	0.100
3.900	-30.264	0.100
4.000	-18.138	0.100
4.100	-24.718	0.100
4.200	-29.489	0.100
4.300	-34.094	0.100
4.400	-49.683	0.100
4.500	-26.546	0.100
4.600	-38.051	0.100
4.700	-36.934	0.100
4.800	-32.782	0.100
4.900	-44.794	0.100
5.000	-39.450	0.100
5.100	-26.989	0.100
5.200	-37.572	0.100
5.300	-29.109	0.100
5.400	-29.155	0.100
5.500	-37.914	0.100
5.600	-34.047	0.100
5.700	-29.452	0.100
5.800	-46.953	0.100
5.900	-32.920	0.100
6.000	-28.120	0.100
6.100	-39.527	0.100
6.200	-36.038	0.100
6.300	-47.817	0.100
6.400	-26.636	0.100
6.500	-24.813	0.100
6.600	-46.441	0.100
6.700	-28.830	0.100
6.800	-30.041	0.100
6.900	-24.646	0.100
7.000	-52.231	0.100
7.100	-28.490	0.100
7.200	-42.744	0.100
7.300	-31.296	0.100
7.400	-34.984	0.100
7.500	-33.737	0.100
7.600	-37.375	0.100
7.700	-40.590	0.100
7.800	-29.430	0.100
7.900	-27.729	0.100
8.000	-31.146	0.100
8.100	-34.317	0.100
8.200	-40.504	0.100
8.300	-46.588	0.100
8.400	-45.157	0.100
8.500	-54.583	0.100
8.600	-26.471	0.100
8.700	-25.203	0.100
8.800	-39.967	0.100
8.900	-37.386	0.100
9.000	-34.967	0.100
9.100	-35.464	0.100
9.200	-25.460	0.100
9.300	-40.664	0.100
9.400	-40.669	0.100
9.500	-15.198	0.100
9.600	-35.049	0.100
9.700	-37.457	0.100
9.800	-43.171	0.100
9.900	-40.643	0.100
10.000	-33.409	0.100
10.100	-35.850	0.100
10.200	-36.234	0.100
10.300	-43.202	0.100
10.400	-30.359	0.100
10.500	-38.112	0.100
10.600	-46.083	0.100
10.700	-28.913	0.100
10.800	-46.067	0.100
10.900	-46.356	0.100
11.000	-38.166	0.100
11.100	-35.685	0.100
11.200	-11.620	0.100
11.300	-34.317	0.100
11.400	-30.003	0.100
11.500	-42.250	0.100
11.600	-27.623	0.100
11.700	-26.478	0.100
11.800	-32.960	0.100
11.900	-38.899	0.100
12.000	-40.986	0.100
12.100	-26.433	0.100
12.200	-31.547	0.100
12.300	-34.300	0.100
12.400	-27.103	0.100
12.500	-39.063	0.100
12.600	-35.589	0.100
12.700	-42.593	0.100
12.800	-22.280	0.100
