time /s	I /nA	E /V
0.100	-57.232	0.099
0.200	-6.683	0.099
0.300	-23.680	0.099
0.400	-35.303	0.099
0.500	-33.952	0.099
0.600	-14.063	0.099
0.700	-30.566	0.099
0.800	-38.769	0.099
0.900	-24.753	0.099
1.000	-35.750	0.099
1.100	-26.839	0.099
1.200	-20.353	0.099
1.300	-25.100	0.099
1.400	-30.373	0.099
1.500	-28.721	0.099
1.600	-23.972	0.099
1.700	-19.444	0.099
1.800	-33.632	0.099
1.900	-33.684	0.099
2.000	-50.332	0.099
2.100	-36.548	0.099
2.200	-26.005	0.099
2.300	-21.132	0.099
2.400	-32.446	0.099
2.500	-19.393	0.099
2.600	-55.269	0.099
2.700	-8.300	0.099
2.800	-37.279	0.099
2.900	-24.151	0.099
3.000	-3.199	0.099
3.100	-33.005	0.099
3.200	-43.475	0.099
3.300	-14.271	0.099
3.400	-13.237	0.099
3.500	-33.020	0.099
3.600	-56.570	0.099
3.700	-40.414	0.099
3.800	-31.334	0.099
3.900	-31.118	0.099
4.000	-23.229	0.099
4.100	-31.118	0.099
4.200	-32.155	0.099
4.300	-21.470	0.099
4.400	-28.105	0.099
4.500	-32.046	0.099
4.600	-38.768	0.099
4.700	-38.814	0.099
4.800	-40.752	0.099
4.900	-14.775	0.099
5.000	-31.016	0.099
5.100	-23.507	0.099
5.200	-25.063	0.099
5.300	-21.746	0.099
5.400	-16.699	0.099
5.500	-41.486	0.099
5.600	-30.985	0.099
5.700	-32.444	0.099
5.800	-20.716	0.099
5.900	-33.932	0.099
6.000	-45.997	0.099
6.100	-22.156	0.099
6.200	-16.800	0.099
6.300	-27.457	0.099
6.400	-36.769	0.099
6.500	-13.117	0.099
6.600	-20.729	0.099
6.700	-37.947	0.099
6.800	-49.655	0.099
6.900	-21.151	0.099
7.000	-19.573	0.099
7.100	-32.207	0.099
7.200	-21.148	0.099
7.300	-25.301	0.099
7.400	-37.689	0.099
7.500	-19.957	0.099
7.600	-26.577	0.099
7.700	-35.136	0.099
7.800	-27.209	0.099
7.900	-10.879	0.099
8.000	-31.184	0.099
8.100	-43.324	0.099
8.200	-24.485	0.099
8.300	-21.639	0.099
8.400	-28.792	0.099
8.500	-10.717	0.099
8.600	-24.485	0.099
8.700	-38.119	0.099
8.800	-32.844	0.099
8.900	-36.150	0.099
9.000	-38.504	0.099
9.100	-30.546	0.099
9.200	-32.864	0.099
9.300	-16.921	0.099
9.400	-22.412	0.099
9.500	-30.916	0.099
9.600	-21.837	0.099
9.700	-17.056	0.099
9.800	-23.580	0.099
9.900	-38.948	0.099
10.000	-5.351	0.099
10.100	-30.479	0.099
10.200	-34.434	0.099
10.300	-36.360	0.099
10.400	-34.439	0.099
10.500	-29.370	0.099
10.600	-24.545	0.099
10.700	-12.799	0.099
10.800	-44.315	0.099
10.900	-35.246	0.099
11.000	-27.920	0.099
11.100	-13.848	0.099
11.200	-12.693	0.099
11.300	-7.703	0.099
11.400	-32.130	0.099
11.500	-24.374	0.099
11.600	-36.253	0.099
11.700	-34.604	0.099
11.800	-26.167	0.099
11.900	-18.300	0.099
12.000	-25.124	0.099
12.100	-29.092	0.099
12.200	-17.877	0.099
12.300	-35.403	0.099
12.400	-28.621	0.099
12.500	-25.611	0.099
12.600	-42.145	0.099
12.700	-18.929	0.099
12.800	-14.583	0.099
12.900	-25.691	0.099
13.000	-23.148	0.099
13.100	-16.923	0.099
13.200	-17.339	0.099
13.300	-47.844	0.099
13.400	-21.010	0.099
13.500	-45.640	0.099
13.600	-26.910	0.099
13.700	-8.917	0.099
13.800	-24.436	0.099
13.900	-20.781	0.099
14.000	-4.433	0.099
14.100	-1.169	0.099
14.200	-8.074	0.099
14.300	10.988	0.099
14.400	7.043	0.100
14.500	0.865	0.100
14.600	-19.634	0.100
14.700	-8.139	0.100
14.800	-11.067	0.100
14.900	-0.327	0.100
15.000	-23.650	0.100
15.100	-35.149	0.100
15.200	-18.325	0.100
15.300	-18.392	0.100
15.400	-16.484	0.100
15.500	-34.155	0.100
15.600	-15.240	0.100
15.700	-33.460	0.100
15.800	-14.778	0.100
15.900	-37.519	0.100
16.000	-20.179	0.100
16.100	-18.306	0.100
16.200	-5.776	0.100
16.300	-9.082	0.100
16.400	-25.098	0.100
16.500	-13.889	0.100
16.600	-35.941	0.100
16.700	-34.216	0.100
16.800	-19.989	0.100
16.900	-44.371	0.100
17.000	-8.760	0.100
17.100	-22.268	0.100
17.200	-22.029	0.100
17.300	-29.624	0.100
17.400	-37.149	0.100
17.500	-8.817	0.100
17.600	-9.722	0.100
17.700	-16.040	0.100
17.800	-21.258	0.100
17.900	-43.091	0.100
18.000	-11.882	0.100
18.100	-13.187	0.100
18.200	-22.197	0.100
18.300	-17.839	0.100
18.400	-26.369	0.100
18.500	-28.535	0.100
18.600	-38.102	0.100
18.700	-28.758	0.100
18.800	-13.471	0.100
18.900	-2.692	0.100
19.000	-3.502	0.100
19.100	-22.646	0.100
19.200	-47.042	0.100
19.300	-31.140	0.100
19.400	-16.216	0.100
19.500	-37.628	0.100
19.600	-25.385	0.100
19.700	-11.775	0.100
19.800	-19.000	0.100
19.900	-23.242	0.100
20.000	-22.118	0.100
20.100	-15.541	0.100
20.200	-25.615	0.100
20.300	-43.969	0.100
20.400	-45.181	0.100
20.500	-24.938	0.100
20.600	-5.419	0.100
20.700	-15.793	0.100
20.800	-15.803	0.100
20.900	-17.362	0.100
21.000	-28.737	0.100
21.100	-27.177	0.100
21.200	-8.920	0.100
21.300	-12.603	0.100
21.400	-2.723	0.100
21.500	-25.020	0.100
21.600	-35.802	0.100
21.700	-20.520	0.100
21.800	-21.714	0.100
21.900	-20.569	0.100
22.000	-22.286	0.100
22.100	-23.870	0.100
22.200	-26.932	0.100
22.300	-28.061	0.100
22.400	-33.248	0.100
22.500	-20.516	0.100
22.600	-19.945	0.100
22.700	-23.121	0.100
22.800	-26.059	0.100
22.900	-21.464	0.100
23.000	-26.438	0.100
23.100	-23.941	0.100
23.200	-5.802	0.100
23.300	-14.005	0.100
23.400	-37.325	0.100
23.500	-24.294	0.100
23.600	-19.934	0.100
23.700	-13.251	0.100
23.800	-15.027	0.100
23.900	-14.354	0.100
24.000	-6.990	0.100
24.100	-31.035	0.100
24.200	-35.749	0.100
24.300	-21.202	0.100
24.400	-22.655	0.100
24.500	-21.041	0.100
24.600	3.159	0.100
24.700	-30.429	0.100
24.800	-46.875	0.100
24.900	-1.397	0.100
25.000	-19.598	0.100
25.100	-0.862	0.100
25.200	-26.110	0.100
25.300	-29.606	0.100
