time /s	I /nA	E /V
0.100	-47.769	0.100
0.200	-63.572	0.100
0.300	-50.744	0.100
0.400	-46.332	0.100
0.500	-57.094	0.100
0.600	-40.638	0.100
0.700	-52.706	0.100
0.800	-56.558	0.100
0.900	-52.109	0.100
1.000	-55.193	0.100
1.100	-57.481	0.100
1.200	-44.524	0.100
1.300	-34.637	0.100
1.400	-53.259	0.100
1.500	-42.053	0.100
1.600	-53.422	0.100
1.700	-42.140	0.100
1.800	-46.267	0.100
1.900	-60.096	0.100
2.000	-54.526	0.100
2.100	-55.644	0.100
2.200	-54.557	0.100
2.300	-23.125	0.100
2.400	-29.018	0.100
2.500	-39.809	0.100
2.600	-62.827	0.100
2.700	-56.559	0.100
2.800	-44.502	0.100
2.900	-58.400	0.100
3.000	-45.351	0.100
3.100	-46.576	0.100
3.200	-55.675	0.100
3.300	-53.479	0.100
3.400	-45.611	0.100
3.500	-31.727	0.100
3.600	-47.137	0.100
3.700	-65.150	0.100
3.800	-37.560	0.100
3.900	-52.179	0.100
4.000	-35.763	0.100
4.100	-50.194	0.100
4.200	-45.833	0.100
4.300	-38.132	0.100
4.400	-45.468	0.100
4.500	-43.363	0.100
4.600	-63.177	0.100
4.700	-54.400	0.100
4.800	-52.849	0.100
4.900	-47.542	0.100
5.000	-43.508	0.100
5.100	-63.761	0.100
5.200	-40.196	0.100
5.300	-57.468	0.100
5.400	-42.701	0.100
5.500	-37.241	0.100
5.600	-45.655	0.100
5.700	-43.888	0.100
5.800	-59.518	0.100
5.900	-45.102	0.100
6.000	-40.382	0.100
6.100	-44.679	0.100
6.200	-45.311	0.100
6.300	-53.126	0.100
6.400	-48.973	0.100
6.500	-47.766	0.100
6.600	-47.368	0.100
6.700	-44.397	0.100
6.800	-49.936	0.100
6.900	-41.567	0.100
7.000	-65.637	0.100
7.100	-46.643	0.100
7.200	-54.847	0.100
7.300	-60.930	0.100
7.400	-45.724	0.100
7.500	-49.338	0.100
7.600	-44.748	0.100
7.700	-37.150	0.100
7.800	-41.782	0.100
7.900	-52.535	0.100
8.000	-44.957	0.100
8.100	-49.132	0.100
8.200	-35.229	0.100
8.300	-54.411	0.100
8.400	-37.967	0.100
8.500	-33.416	0.100
8.600	-42.957	0.100
8.700	-68.412	0.100
8.800	-56.200	0.100
8.900	-48.555	0.100
9.000	-39.310	0.100
9.100	-45.675	0.100
9.200	-20.020	0.100
9.300	-47.287	0.100
9.400	-47.456	0.100
9.500	-54.848	0.100
9.600	-25.485	0.100
9.700	-35.946	0.100
9.800	-44.108	0.100
9.900	-59.797	0.100
10.000	-42.903	0.100
10.100	-30.634	0.100
10.200	-52.060	0.100
10.300	-48.415	0.100
10.400	-45.764	0.100
10.500	-56.664	0.100
10.600	-40.199	0.100
10.700	-40.808	0.100
10.800	-36.734	0.100
10.900	-38.795	0.100
11.000	-38.858	0.100
11.100	-54.002	0.100
11.200	-47.129	0.100
11.300	-31.781	0.100
11.400	-32.908	0.100
11.500	-41.245	0.100
11.600	-43.304	0.100
11.700	-40.595	0.100
11.800	-42.000	0.100
11.900	-35.040	0.100
