time /s	I /nA	E /V
0.100	0.217	0.100
0.200	10.648	0.100
0.300	-16.371	0.100
0.400	-0.652	0.100
0.500	-18.384	0.100
0.600	-20.315	0.100
0.700	-13.322	0.100
0.800	-1.008	0.100
0.900	-17.746	0.100
1.000	-12.877	0.100
1.100	-20.192	0.100
1.200	2.349	0.100
1.300	-20.203	0.100
1.400	-13.914	0.100
1.500	-31.763	0.100
1.600	-8.008	0.100
1.700	-19.219	0.100
1.800	-17.676	0.100
1.900	-10.447	0.100
2.000	-19.919	0.100
2.100	-11.766	0.100
2.200	-7.340	0.100
2.300	-13.628	0.100
2.400	-14.687	0.100
2.500	-19.377	0.100
2.600	-14.450	0.100
2.700	-17.981	0.100
2.800	-5.461	0.100
2.900	-15.116	0.100
3.000	-25.436	0.100
3.100	-7.212	0.100
3.200	-20.051	0.100
3.300	-13.066	0.100
3.400	20.231	0.100
3.500	-13.451	0.100
3.600	-32.858	0.100
3.700	-16.631	0.100
3.800	-4.495	0.100
3.900	-8.321	0.100
4.000	-18.251	0.100
4.100	-20.180	0.100
4.200	-5.515	0.100
4.300	-19.196	0.100
4.400	-8.264	0.100
4.500	-31.999	0.100
4.600	-9.007	0.100
4.700	-9.307	0.100
4.800	-8.028	0.100
4.900	-21.425	0.100
5.000	-20.715	0.100
5.100	-1.011	0.100
5.200	-14.882	0.100
5.300	1.667	0.100
5.400	-14.520	0.100
5.500	-8.003	0.100
5.600	-19.941	0.100
5.700	-3.314	0.100
5.800	-10.634	0.100
5.900	-11.524	0.100
6.000	-15.587	0.100
6.100	23.851	0.100
6.200	-8.455	0.100
6.300	-29.707	0.100
6.400	-17.179	0.100
6.500	-21.405	0.100
6.600	-9.250	0.100
6.700	-7.830	0.100
6.800	-16.214	0.100
6.900	-21.372	0.100
7.000	-0.798	0.100
7.100	-8.764	0.100
7.200	-20.579	0.100
7.300	12.089	0.100
7.400	-36.385	0.100
7.500	-34.604	0.100
7.600	-9.118	0.100
7.700	-20.386	0.100
7.800	-9.075	0.100
7.900	-29.698	0.100
8.000	-24.958	0.100
8.100	-11.439	0.100
8.200	-21.160	0.100
8.300	-5.885	0.100
8.400	-9.724	0.100
8.500	-0.921	0.100
8.600	-6.737	0.100
8.700	-12.473	0.100
8.800	-13.129	0.100
8.900	-2.043	0.100
9.000	-1.927	0.100
9.100	-25.894	0.100
9.200	-16.121	0.100
9.300	-21.255	0.100
