time /s	I /nA	E /V
0.100	-8.848	0.100
0.200	-11.129	0.099
0.300	-28.195	0.099
0.400	-8.784	0.100
0.500	-11.329	0.099
0.600	-7.046	0.099
0.700	1.239	0.099
0.800	-13.868	0.100
0.900	-5.290	0.100
1.000	1.337	0.100
1.100	-45.310	0.099
1.200	-12.905	0.099
1.300	-18.154	0.099
1.400	-2.670	0.099
1.500	-4.660	0.100
1.600	-23.672	0.099
1.700	3.718	0.099
1.800	4.542	0.099
1.900	-15.006	0.099
2.000	-10.133	0.100
2.100	-16.024	0.099
2.200	-18.586	0.099
2.300	6.378	0.100
2.400	-22.202	0.100
2.500	4.552	0.100
2.600	-5.535	0.100
2.700	-1.571	0.099
2.800	-12.082	0.100
2.900	-15.899	0.099
3.000	-22.591	0.099
3.100	-7.503	0.099
3.200	-15.208	0.099
3.300	-23.326	0.099
3.400	-17.255	0.099
3.500	0.634	0.100
3.600	4.000	0.100
3.700	-14.533	0.099
3.800	-6.488	0.100
3.900	-12.492	0.099
4.000	-2.183	0.099
4.100	-17.497	0.100
4.200	-3.378	0.099
4.300	-15.995	0.100
4.400	-1.040	0.100
4.500	-16.478	0.099
4.600	-5.495	0.099
4.700	-3.837	0.099
4.800	-1.997	0.100
4.900	-15.020	0.100
5.000	-7.876	0.100
5.100	-7.829	0.100
5.200	-16.516	0.099
5.300	7.946	0.099
5.400	-17.390	0.100
5.500	-7.190	0.100
5.600	-13.740	0.100
5.700	0.643	0.100
5.800	4.929	0.099
5.900	-29.407	0.100
6.000	-16.970	0.099
6.100	-6.589	0.100
6.200	-6.720	0.100
6.300	-11.064	0.100
6.400	-25.989	0.099
6.500	-2.816	0.099
6.600	-8.472	0.100
6.700	5.569	0.100
6.800	-26.022	0.099
6.900	-24.951	0.100
7.000	4.169	0.100
7.100	5.018	0.100
7.200	-9.427	0.100
7.300	-3.513	0.100
7.400	-9.104	0.100
7.500	-1.798	0.100
7.600	-16.053	0.100
7.700	6.506	0.100
7.800	-10.516	0.099
7.900	4.924	0.100
8.000	-7.026	0.100
8.100	-13.421	0.099
8.200	-17.100	0.099
8.300	-6.044	0.100
8.400	-28.902	0.099
8.500	10.005	0.099
8.600	-4.766	0.100
8.700	-19.132	0.100
8.800	-7.290	0.099
8.900	-2.141	0.099
9.000	-13.373	0.099
9.100	-5.941	0.100
9.200	-10.063	0.100
9.300	19.582	0.099
9.400	4.694	0.099
9.500	-14.522	0.100
9.600	-4.872	0.099
9.700	-8.700	0.100
9.800	-10.066	0.100
9.900	-19.246	0.100
10.000	8.819	0.100
10.100	-5.249	0.099
10.200	-1.824	0.099
10.300	-10.827	0.100
10.400	-21.006	0.100
10.500	5.552	0.100
10.600	-13.302	0.100
10.700	-9.680	0.099
10.800	-23.570	0.099
10.900	-13.732	0.099
11.000	-11.379	0.100
11.100	-11.014	0.100
11.200	-13.144	0.099
11.300	-5.824	0.099
11.400	-4.548	0.100
11.500	2.376	0.100
11.600	-23.441	0.100
11.700	-7.210	0.100
11.800	-16.071	0.099
11.900	-0.969	0.100
12.000	-6.321	0.100
12.100	-14.246	0.100
12.200	-13.371	0.099
12.300	8.351	0.100
12.400	-4.053	0.100
12.500	-11.622	0.100
12.600	-12.917	0.100
12.700	-8.218	0.100
12.800	-21.173	0.100
12.900	4.262	0.100
13.000	-2.235	0.099
13.100	-14.067	0.100
13.200	-3.334	0.100
13.300	-16.245	0.100
13.400	-9.017	0.100
13.500	-7.581	0.100
13.600	-15.521	0.099
13.700	-21.155	0.100
13.800	-6.299	0.100
13.900	7.187	0.100
14.000	-9.296	0.099
14.100	-8.647	0.099
14.200	-17.157	0.100
14.300	4.309	0.100
14.400	-17.205	0.100
14.500	-6.276	0.100
14.600	-8.289	0.100
14.700	-9.641	0.099
14.800	-4.974	0.100
14.900	-2.437	0.099
15.000	-5.219	0.100
15.100	-13.658	0.100
15.200	-10.557	0.100
15.300	-15.862	0.100
15.400	-17.828	0.099
15.500	-2.453	0.100
15.600	14.571	0.100
15.700	5.499	0.100
15.800	-23.392	0.100
15.900	-6.436	0.100
16.000	-10.284	0.099
16.100	-14.202	0.100
16.200	-4.892	0.100
16.300	1.353	0.100
16.400	-7.569	0.100
16.500	-6.543	0.099
16.600	-6.169	0.100
16.700	-14.439	0.099
16.800	6.105	0.099
16.900	-1.223	0.100
17.000	-7.949	0.100
17.100	-14.973	0.099
17.200	1.668	0.100
17.300	-7.311	0.100
17.400	-16.373	0.100
17.500	-2.968	0.099
17.600	-14.025	0.100
17.700	2.297	0.100
17.800	10.200	0.099
17.900	-24.296	0.100
18.000	-19.086	0.100
18.100	-11.390	0.100
18.200	-7.337	0.100
18.300	4.738	0.099
18.400	5.014	0.100
18.500	-5.685	0.100
18.600	-3.034	0.099
18.700	-20.243	0.100
18.800	-19.129	0.100
18.900	-10.301	0.099
19.000	-7.379	0.100
19.100	-9.513	0.100
19.200	-1.244	0.100
19.300	-19.946	0.099
19.400	-16.111	0.100
19.500	1.420	0.100
19.600	-4.994	0.099
19.700	-6.949	0.100
19.800	-3.899	0.100
19.900	-18.278	0.100
20.000	-18.622	0.100
20.100	-1.524	0.100
20.200	-7.127	0.100
20.300	0.569	0.100
20.400	-11.658	0.100
20.500	1.863	0.100
20.600	-8.035	0.100
20.700	-13.104	0.100
20.800	-4.834	0.100
20.900	1.479	0.099
21.000	-6.990	0.100
21.100	-2.031	0.099
21.200	-14.899	0.100
21.300	-10.493	0.100
21.400	-8.478	0.099
21.500	-2.965	0.100
