time /s	I /nA	E /V
0.100	19.072	0.099
0.200	-4.661	0.099
0.300	-7.294	0.099
0.400	-11.105	0.099
0.500	-10.806	0.099
0.600	2.348	0.099
0.700	-17.232	0.099
0.800	-6.757	0.099
0.900	2.858	0.099
1.000	2.833	0.099
1.100	-14.111	0.099
1.200	4.401	0.099
1.300	0.240	0.099
1.400	-8.527	0.099
1.500	-12.946	0.099
1.600	-23.591	0.099
1.700	3.635	0.099
1.800	-1.873	0.099
1.900	-0.757	0.099
2.000	-3.484	0.099
2.100	-1.623	0.099
2.200	-1.230	0.099
2.300	-9.692	0.099
2.400	-12.658	0.099
2.500	-31.782	0.099
2.600	0.520	0.099
2.700	2.398	0.099
2.800	-6.815	0.099
2.900	-9.679	0.099
3.000	-14.059	0.099
3.100	-9.630	0.099
3.200	-4.425	0.099
3.300	4.413	0.099
3.400	1.631	0.099
3.500	-16.280	0.099
3.600	-17.000	0.099
3.700	-9.199	0.099
3.800	-7.911	0.099
3.900	-6.186	0.099
4.000	-11.179	0.099
4.100	-12.191	0.099
4.200	-3.890	0.099
4.300	-9.100	0.099
4.400	9.399	0.099
4.500	-9.472	0.099
4.600	-22.154	0.099
4.700	1.782	0.099
4.800	-6.065	0.099
4.900	-2.788	0.099
5.000	-20.482	0.099
5.100	11.515	0.099
5.200	-30.638	0.099
5.300	-21.479	0.099
5.400	0.451	0.099
5.500	0.345	0.099
5.600	-15.307	0.099
5.700	-9.096	0.099
5.800	6.030	0.099
5.900	-12.631	0.099
6.000	-7.233	0.099
6.100	-1.361	0.099
6.200	3.241	0.099
6.300	-6.759	0.099
6.400	-16.498	0.099
6.500	-17.306	0.099
6.600	4.454	0.099
6.700	-8.157	0.099
6.800	-1.213	0.099
6.900	1.096	0.099
7.000	-11.083	0.099
7.100	10.200	0.099
7.200	-12.969	0.099
7.300	6.919	0.099
7.400	-16.157	0.099
7.500	-15.991	0.099
7.600	12.563	0.099
7.700	-8.739	0.099
7.800	-1.588	0.099
7.900	-11.210	0.099
8.000	13.361	0.099
8.100	5.640	0.099
8.200	-19.779	0.099
8.300	-22.655	0.099
8.400	4.613	0.099
8.500	-8.221	0.099
8.600	-3.929	0.099
8.700	2.643	0.099
8.800	-2.201	0.099
8.900	2.984	0.099
9.000	-8.478	0.099
9.100	-1.569	0.099
9.200	5.468	0.099
9.300	-0.958	0.099
9.400	6.174	0.099
9.500	-24.895	0.099
9.600	-1.290	0.099
9.700	-8.928	0.099
9.800	-10.342	0.099
9.900	-8.829	0.099
10.000	-19.252	0.099
10.100	3.093	0.099
10.200	-8.658	0.099
10.300	-9.913	0.099
10.400	8.510	0.099
10.500	-16.944	0.099
10.600	15.277	0.099
10.700	-24.570	0.099
10.800	-6.841	0.099
10.900	3.334	0.099
11.000	-20.493	0.099
11.100	-1.437	0.099
11.200	-7.576	0.099
11.300	-4.559	0.099
11.400	0.736	0.099
11.500	-8.209	0.099
11.600	-18.175	0.099
11.700	10.988	0.099
11.800	-2.322	0.099
11.900	-9.792	0.099
12.000	-31.476	0.099
12.100	-0.107	0.099
12.200	12.657	0.099
12.300	-7.283	0.099
12.400	6.344	0.099
12.500	-17.235	0.099
12.600	-11.793	0.099
12.700	-9.113	0.099
12.800	-5.028	0.099
12.900	-6.784	0.099
13.000	1.369	0.099
13.100	-2.634	0.099
13.200	-3.750	0.099
13.300	-13.885	0.099
13.400	-7.839	0.099
13.500	-7.459	0.099
13.600	-7.079	0.099
13.700	-5.164	0.099
13.800	-11.488	0.099
13.900	4.733	0.099
14.000	-7.648	0.099
14.100	-5.665	0.099
14.200	-14.297	0.099
14.300	-22.402	0.099
14.400	17.178	0.099
14.500	-0.867	0.099
14.600	-5.277	0.099
14.700	-15.910	0.099
14.800	-3.880	0.099
14.900	-12.112	0.099
15.000	-3.014	0.099
15.100	-4.576	0.099
15.200	14.912	0.099
15.300	-6.023	0.099
15.400	-5.171	0.099
15.500	-20.922	0.099
15.600	-7.327	0.099
15.700	-27.826	0.099
15.800	-0.182	0.099
15.900	-2.215	0.099
16.000	5.746	0.099
16.100	-6.126	0.099
16.200	12.951	0.099
16.300	-11.390	0.099
16.400	10.022	0.099
16.500	-19.590	0.099
16.600	-17.169	0.099
16.700	-3.066	0.099
16.800	1.995	0.099
16.900	-12.105	0.099
17.000	-13.191	0.099
17.100	3.137	0.099
17.200	-5.354	0.099
17.300	-2.233	0.099
17.400	-0.499	0.099
17.500	-16.676	0.099
17.600	1.674	0.099
17.700	-8.024	0.099
17.800	6.146	0.099
17.900	-9.759	0.099
18.000	-9.705	0.099
18.100	-2.003	0.099
18.200	-7.101	0.099
18.300	-3.940	0.099
18.400	-1.077	0.099
18.500	-1.172	0.099
18.600	-4.914	0.099
18.700	-3.401	0.099
18.800	-8.383	0.099
18.900	2.188	0.099
19.000	-15.835	0.099
19.100	1.487	0.099
