time /s	I /nA	E /V
0.100	-206.675	-0.100
0.200	-196.097	-0.100
0.300	-213.968	-0.100
0.400	-183.642	-0.100
0.500	-214.709	-0.100
0.600	-200.725	-0.100
0.700	-163.286	-0.100
0.800	-206.356	-0.100
0.900	-176.239	-0.100
1.000	-186.887	-0.100
1.100	-175.156	-0.100
1.200	-185.279	-0.100
1.300	-178.008	-0.100
1.400	-185.831	-0.100
1.500	-147.498	-0.100
1.600	-189.272	-0.100
1.700	-190.475	-0.100
1.800	-131.664	-0.100
1.900	-149.868	-0.100
2.000	-155.391	-0.100
2.100	-170.671	-0.100
2.200	-134.387	-0.100
2.300	-146.518	-0.100
2.400	-140.125	-0.100
2.500	-133.902	-0.100
2.600	-163.178	-0.100
2.700	-136.210	-0.100
2.800	-165.587	-0.100
2.900	-166.578	-0.100
3.000	-183.376	-0.100
3.100	-114.108	-0.100
3.200	-180.902	-0.100
3.300	-151.191	-0.100
3.400	-155.758	-0.100
3.500	-177.664	-0.100
3.600	-130.559	-0.100
3.700	-139.795	-0.100
3.800	-140.240	-0.100
3.900	-163.040	-0.100
4.000	-156.566	-0.100
4.100	-130.131	-0.100
4.200	-133.684	-0.100
4.300	-148.675	-0.100
4.400	-154.300	-0.100
4.500	-163.170	-0.100
4.600	-170.447	-0.100
4.700	-129.526	-0.100
4.800	-125.534	-0.100
4.900	-163.679	-0.100
5.000	-146.039	-0.100
5.100	-142.116	-0.100
5.200	-137.094	-0.100
5.300	-144.506	-0.100
5.400	-161.207	-0.100
5.500	-142.437	-0.100
5.600	-142.847	-0.100
5.700	-150.677	-0.100
5.800	-179.356	-0.100
5.900	-152.303	-0.100
6.000	-113.588	-0.100
6.100	-157.886	-0.100
6.200	-133.640	-0.100
6.300	-130.871	-0.100
6.400	-128.629	-0.100
6.500	-127.739	-0.100
6.600	-138.476	-0.100
6.700	-144.467	-0.100
6.800	-141.704	-0.100
6.900	-121.733	-0.100
7.000	-146.189	-0.100
7.100	-152.028	-0.100
7.200	-99.418	-0.100
7.300	-136.238	-0.100
7.400	-145.024	-0.100
7.500	-155.697	-0.100
7.600	-134.650	-0.100
7.700	-138.728	-0.100
7.800	-147.258	-0.100
7.900	-132.304	-0.100
8.000	-139.193	-0.100
8.100	-143.587	-0.100
8.200	-144.151	-0.100
8.300	-147.814	-0.100
8.400	-117.614	-0.100
8.500	-145.722	-0.100
8.600	-111.681	-0.100
8.700	-119.525	-0.100
8.800	-131.089	-0.100
8.900	-126.136	-0.100
9.000	-129.053	-0.100
9.100	-161.123	-0.100
9.200	-153.060	-0.100
9.300	-102.423	-0.100
9.400	-100.133	-0.100
9.500	-121.175	-0.100
9.600	-134.180	-0.100
9.700	-139.330	-0.100
9.800	-109.586	-0.100
9.900	-153.290	-0.100
10.000	-136.437	-0.100
10.100	-126.035	-0.100
10.200	-124.361	-0.100
10.300	-140.609	-0.100
10.400	-127.045	-0.100
10.500	-83.302	-0.100
10.600	-115.411	-0.100
10.700	-118.147	-0.100
10.800	-158.127	-0.100
10.900	-127.320	-0.100
11.000	-141.655	-0.100
11.100	-122.639	-0.100
11.200	-115.531	-0.100
11.300	-120.192	-0.100
11.400	-126.769	-0.100
11.500	-119.415	-0.100
11.600	-124.153	-0.100
11.700	-129.132	-0.100
11.800	-136.260	-0.100
11.900	-153.855	-0.100
12.000	-121.807	-0.100
12.100	-130.307	-0.100
12.200	-150.616	-0.100
12.300	-169.555	-0.100
12.400	-114.230	-0.100
12.500	-120.856	-0.100
12.600	-130.515	-0.100
12.700	-139.375	-0.100
12.800	-130.531	-0.100
12.900	-141.570	-0.100
13.000	-143.872	-0.100
13.100	-145.996	-0.100
13.200	-132.749	-0.100
13.300	-152.808	-0.100
13.400	-146.253	-0.100
13.500	-124.583	-0.100
13.600	-150.818	-0.100
13.700	-102.795	-0.100
13.800	-160.070	-0.100
13.900	-154.299	-0.100
14.000	-171.260	-0.100
14.100	-158.992	-0.100
14.200	-165.680	-0.100
