time /s	I /nA	E /V
0.100	-170.483	-0.100
0.200	-164.471	-0.100
0.300	-147.911	-0.100
0.400	-166.132	-0.100
0.500	-167.418	-0.100
0.600	-162.673	-0.100
0.700	-149.952	-0.100
0.800	-161.585	-0.100
0.900	-155.240	-0.100
1.000	-156.085	-0.100
1.100	-137.030	-0.100
1.200	-134.660	-0.100
1.300	-151.874	-0.100
1.400	-135.227	-0.100
1.500	-133.807	-0.100
1.600	-126.908	-0.100
1.700	-125.364	-0.100
1.800	-117.835	-0.100
1.900	-134.500	-0.100
2.000	-128.848	-0.100
2.100	-134.407	-0.100
2.200	-139.584	-0.100
2.300	-125.276	-0.100
2.400	-114.123	-0.100
2.500	-109.205	-0.100
2.600	-124.628	-0.100
2.700	-114.381	-0.100
2.800	-114.881	-0.100
2.900	-110.762	-0.100
3.000	-119.911	-0.100
3.100	-122.894	-0.100
3.200	-113.523	-0.100
3.300	-110.583	-0.100
3.400	-109.800	-0.100
3.500	-109.504	-0.100
3.600	-121.983	-0.100
3.700	-112.700	-0.100
3.800	-123.933	-0.100
3.900	-116.171	-0.100
4.000	-120.147	-0.100
4.100	-123.131	-0.100
4.200	-96.724	-0.100
4.300	-131.316	-0.100
4.400	-109.858	-0.100
4.500	-107.787	-0.100
4.600	-103.381	-0.100
4.700	-115.978	-0.100
4.800	-128.192	-0.100
4.900	-129.707	-0.100
5.000	-117.520	-0.100
5.100	-94.662	-0.100
5.200	-95.778	-0.100
5.300	-104.632	-0.100
5.400	-108.466	-0.100
5.500	-94.431	-0.100
5.600	-113.156	-0.100
5.700	-111.339	-0.100
5.800	-102.349	-0.100
5.900	-101.956	-0.100
6.000	-113.137	-0.100
6.100	-118.626	-0.100
6.200	-93.158	-0.100
6.300	-105.911	-0.100
6.400	-108.450	-0.100
6.500	-107.903	-0.100
6.600	-110.571	-0.100
6.700	-95.789	-0.100
6.800	-114.530	-0.100
6.900	-108.004	-0.100
7.000	-111.328	-0.100
7.100	-107.458	-0.100
7.200	-99.265	-0.100
7.300	-102.737	-0.100
7.400	-92.425	-0.100
7.500	-113.868	-0.100
7.600	-97.004	-0.100
7.700	-84.211	-0.100
7.800	-100.134	-0.100
7.900	-116.784	-0.100
8.000	-105.043	-0.100
8.100	-102.205	-0.100
8.200	-98.736	-0.100
8.300	-109.581	-0.100
8.400	-103.864	-0.100
8.500	-118.623	-0.100
8.600	-77.078	-0.100
8.700	-97.364	-0.100
8.800	-83.307	-0.100
8.900	-96.749	-0.100
9.000	-82.861	-0.100
9.100	-93.692	-0.100
9.200	-85.190	-0.100
9.300	-112.959	-0.100
9.400	-109.881	-0.100
9.500	-109.479	-0.100
9.600	-132.835	-0.100
9.700	-92.139	-0.100
9.800	-92.398	-0.100
9.900	-97.528	-0.100
10.000	-95.358	-0.100
10.100	-106.007	-0.100
10.200	-108.771	-0.100
10.300	-101.420	-0.100
10.400	-94.836	-0.100
10.500	-92.683	-0.100
10.600	-93.518	-0.100
10.700	-109.847	-0.100
10.800	-84.241	-0.100
10.900	-101.681	-0.100
11.000	-108.288	-0.100
11.100	-97.778	-0.100
11.200	-92.876	-0.100
11.300	-105.678	-0.100
11.400	-118.737	-0.100
11.500	-91.485	-0.100
11.600	-91.323	-0.100
11.700	-102.605	-0.100
11.800	-105.775	-0.100
11.900	-111.122	-0.100
12.000	-85.434	-0.100
12.100	-88.091	-0.100
12.200	-124.128	-0.100
12.300	-99.698	-0.100
12.400	-122.517	-0.100
12.500	-117.449	-0.100
12.600	-106.579	-0.100
12.700	-111.277	-0.100
12.800	-106.445	-0.100
12.900	-98.398	-0.100
13.000	-91.574	-0.100
13.100	-91.707	-0.100
13.200	-102.451	-0.100
13.300	-107.257	-0.100
13.400	-99.211	-0.100
13.500	-102.025	-0.100
13.600	-106.293	-0.100
13.700	-109.723	-0.100
13.800	-111.174	-0.100
13.900	-101.827	-0.100
14.000	-96.944	-0.100
14.100	-118.266	-0.100
14.200	-95.534	-0.100
14.300	-107.326	-0.100
14.400	-105.805	-0.100
14.500	-83.192	-0.100
14.600	-112.994	-0.100
14.700	-135.912	-0.100
14.800	-107.974	-0.100
14.900	-117.920	-0.100
15.000	-114.730	-0.100
15.100	-115.563	-0.100
15.200	-108.734	-0.100
15.300	-112.348	-0.100
15.400	-89.731	-0.100
15.500	-87.808	-0.100
15.600	-107.260	-0.100
15.700	-128.544	-0.100
15.800	-92.507	-0.100
15.900	-87.786	-0.100
16.000	-106.295	-0.100
16.100	-118.374	-0.100
16.200	-98.454	-0.100
16.300	-116.801	-0.100
16.400	-105.434	-0.100
16.500	-111.576	-0.100
16.600	-124.532	-0.100
16.700	-105.841	-0.100
16.800	-92.178	-0.100
16.900	-110.822	-0.100
17.000	-105.610	-0.100
17.100	-111.230	-0.100
17.200	-124.818	-0.100
17.300	-111.348	-0.100
17.400	-100.314	-0.100
17.500	-111.147	-0.100
17.600	-131.633	-0.100
17.700	-97.988	-0.100
17.800	-124.715	-0.100
17.900	-106.535	-0.100
18.000	-129.850	-0.100
18.100	-133.835	-0.100
18.200	-127.798	-0.100
18.300	-108.201	-0.100
18.400	-127.585	-0.100
18.500	-118.846	-0.100
18.600	-126.702	-0.100
