time /s	I /nA	E /V
0.100	-159.047	-0.100
0.200	-158.563	-0.100
0.300	-128.354	-0.100
0.400	-155.543	-0.100
0.500	-150.852	-0.100
0.600	-171.383	-0.100
0.700	-134.806	-0.100
0.800	-126.242	-0.100
0.900	-129.487	-0.100
1.000	-141.336	-0.100
1.100	-139.640	-0.100
1.200	-133.112	-0.100
1.300	-126.746	-0.100
1.400	-111.791	-0.100
1.500	-119.772	-0.100
1.600	-112.056	-0.100
1.700	-138.457	-0.100
1.800	-114.993	-0.100
1.900	-141.891	-0.100
2.000	-144.512	-0.100
2.100	-132.328	-0.100
2.200	-109.887	-0.100
2.300	-105.585	-0.100
2.400	-115.579	-0.100
2.500	-115.393	-0.100
2.600	-115.439	-0.100
2.700	-119.214	-0.100
2.800	-128.665	-0.100
2.900	-116.776	-0.100
3.000	-105.938	-0.100
3.100	-115.111	-0.100
3.200	-113.786	-0.100
3.300	-109.417	-0.100
3.400	-120.330	-0.100
3.500	-121.799	-0.100
3.600	-110.762	-0.100
3.700	-120.820	-0.100
3.800	-106.944	-0.100
3.900	-90.023	-0.100
4.000	-107.093	-0.100
4.100	-126.435	-0.100
4.200	-125.038	-0.100
4.300	-105.347	-0.100
4.400	-117.345	-0.100
4.500	-127.998	-0.100
4.600	-107.064	-0.100
4.700	-102.363	-0.100
4.800	-91.574	-0.100
4.900	-134.201	-0.100
5.000	-116.892	-0.100
5.100	-100.712	-0.100
5.200	-95.993	-0.100
5.300	-106.021	-0.100
5.400	-103.564	-0.100
5.500	-118.819	-0.100
5.600	-98.624	-0.100
5.700	-104.453	-0.100
5.800	-109.585	-0.100
5.900	-117.547	-0.100
6.000	-113.669	-0.100
6.100	-114.119	-0.100
6.200	-113.798	-0.100
6.300	-95.881	-0.100
6.400	-99.401	-0.100
6.500	-102.462	-0.100
6.600	-96.694	-0.100
6.700	-102.271	-0.100
6.800	-118.042	-0.100
6.900	-109.819	-0.100
7.000	-117.540	-0.100
7.100	-111.306	-0.100
7.200	-92.096	-0.100
7.300	-92.341	-0.100
7.400	-126.050	-0.100
7.500	-97.561	-0.100
7.600	-116.163	-0.100
7.700	-93.615	-0.100
7.800	-111.017	-0.100
7.900	-99.225	-0.100
8.000	-111.264	-0.100
8.100	-118.367	-0.100
8.200	-84.515	-0.100
8.300	-105.948	-0.100
8.400	-106.416	-0.100
8.500	-109.593	-0.100
8.600	-115.264	-0.100
8.700	-114.448	-0.100
8.800	-77.949	-0.100
8.900	-97.766	-0.100
9.000	-109.725	-0.100
9.100	-111.888	-0.100
9.200	-98.361	-0.100
9.300	-93.937	-0.100
9.400	-109.369	-0.100
9.500	-112.134	-0.100
9.600	-122.814	-0.100
9.700	-111.512	-0.100
9.800	-123.666	-0.100
9.900	-90.311	-0.100
10.000	-90.939	-0.100
10.100	-98.641	-0.100
10.200	-124.004	-0.100
10.300	-113.352	-0.100
10.400	-133.039	-0.100
10.500	-124.049	-0.100
10.600	-108.239	-0.100
10.700	-114.561	-0.100
10.800	-104.805	-0.100
10.900	-82.241	-0.100
11.000	-100.227	-0.100
11.100	-111.666	-0.100
11.200	-116.109	-0.100
11.300	-102.238	-0.100
11.400	-126.227	-0.100
11.500	-135.493	-0.100
11.600	-91.932	-0.100
11.700	-110.655	-0.100
11.800	-124.538	-0.100
11.900	-111.046	-0.100
12.000	-111.539	-0.100
12.100	-103.582	-0.100
12.200	-116.196	-0.100
12.300	-103.125	-0.100
12.400	-113.572	-0.100
12.500	-85.585	-0.100
12.600	-122.291	-0.100
12.700	-113.551	-0.100
12.800	-102.948	-0.100
12.900	-111.263	-0.100
13.000	-122.586	-0.100
13.100	-120.143	-0.100
13.200	-118.392	-0.100
13.300	-97.925	-0.100
13.400	-97.892	-0.100
13.500	-114.335	-0.100
13.600	-114.891	-0.100
13.700	-108.297	-0.100
13.800	-114.348	-0.100
13.900	-113.208	-0.100
14.000	-110.557	-0.100
14.100	-114.201	-0.100
14.200	-130.085	-0.100
14.300	-87.249	-0.100
14.400	-125.525	-0.100
14.500	-114.332	-0.100
14.600	-100.671	-0.100
14.700	-109.383	-0.100
14.800	-120.938	-0.100
14.900	-117.710	-0.100
15.000	-114.762	-0.100
15.100	-117.400	-0.100
15.200	-92.275	-0.100
15.300	-115.208	-0.100
15.400	-116.929	-0.100
15.500	-117.911	-0.100
15.600	-134.279	-0.100
15.700	-114.686	-0.100
15.800	-106.679	-0.100
15.900	-116.241	-0.100
16.000	-121.847	-0.100
