time /s	I /nA	E /V
0.100	38.009	0.400
0.200	73.527	0.400
0.300	55.304	0.400
0.400	51.586	0.400
0.500	79.387	0.400
0.600	61.846	0.400
0.700	52.002	0.400
0.800	70.537	0.400
0.900	51.407	0.400
1.000	55.451	0.400
1.100	54.186	0.400
1.200	57.880	0.400
1.300	63.064	0.400
1.400	56.619	0.400
1.500	55.637	0.400
1.600	51.108	0.400
1.700	45.501	0.400
1.800	53.119	0.400
1.900	47.093	0.400
2.000	58.346	0.400
2.100	60.078	0.400
2.200	57.631	0.400
2.300	52.252	0.400
2.400	59.389	0.400
2.500	57.955	0.400
2.600	58.489	0.400
2.700	63.045	0.400
2.800	57.113	0.400
2.900	51.106	0.400
3.000	56.086	0.400
3.100	67.965	0.400
3.200	61.519	0.400
3.300	54.182	0.400
3.400	68.837	0.400
3.500	53.319	0.400
3.600	27.155	0.400
3.700	71.055	0.400
3.800	72.212	0.400
3.900	53.560	0.400
4.000	61.167	0.400
4.100	49.287	0.400
4.200	50.497	0.400
4.300	57.355	0.400
4.400	46.277	0.400
4.500	51.937	0.400
4.600	60.009	0.400
4.700	60.620	0.400
4.800	59.832	0.400
4.900	61.021	0.400
5.000	59.981	0.400
5.100	54.403	0.400
5.200	62.156	0.400
5.300	58.797	0.400
5.400	74.804	0.400
5.500	52.021	0.400
5.600	59.695	0.400
5.700	63.362	0.400
5.800	45.417	0.400
5.900	58.913	0.400
6.000	53.474	0.400
6.100	60.431	0.400
6.200	54.415	0.400
6.300	66.442	0.400
6.400	53.037	0.400
6.500	53.624	0.400
6.600	48.155	0.400
6.700	60.628	0.400
6.800	63.333	0.400
6.900	52.020	0.400
7.000	56.998	0.400
7.100	63.834	0.400
7.200	47.512	0.400
7.300	57.503	0.400
7.400	51.685	0.400
7.500	56.271	0.400
7.600	66.753	0.400
7.700	51.552	0.400
7.800	54.631	0.400
7.900	52.618	0.400
8.000	51.516	0.400
8.100	55.784	0.400
8.200	61.241	0.400
8.300	47.532	0.400
8.400	52.385	0.400
8.500	64.437	0.400
8.600	57.952	0.400
8.700	48.610	0.400
8.800	41.453	0.400
8.900	72.541	0.400
9.000	58.815	0.400
9.100	77.095	0.400
9.200	39.687	0.400
9.300	65.682	0.400
9.400	46.735	0.400
9.500	63.407	0.400
9.600	64.187	0.400
9.700	55.753	0.400
9.800	60.090	0.400
9.900	66.095	0.400
10.000	64.808	0.400
10.100	46.834	0.400
10.200	59.403	0.400
10.300	58.333	0.400
10.400	51.996	0.400
10.500	49.066	0.400
10.600	63.798	0.400
10.700	54.571	0.400
10.800	54.141	0.400
10.900	52.177	0.400
11.000	48.307	0.400
11.100	58.361	0.400
11.200	44.186	0.400
11.300	61.758	0.400
11.400	53.628	0.400
11.500	59.924	0.400
11.600	75.906	0.400
11.700	66.151	0.400
11.800	58.969	0.400
11.900	53.881	0.400
12.000	45.060	0.400
12.100	49.660	0.400
12.200	43.219	0.400
12.300	65.792	0.400
12.400	48.068	0.400
12.500	56.735	0.400
12.600	50.940	0.400
12.700	55.482	0.400
12.800	42.434	0.400
12.900	50.352	0.400
13.000	65.104	0.400
13.100	45.607	0.400
13.200	68.659	0.400
13.300	49.200	0.400
13.400	51.267	0.400
13.500	49.217	0.400
13.600	53.871	0.400
13.700	62.561	0.400
13.800	47.388	0.400
13.900	59.231	0.400
14.000	50.874	0.400
14.100	62.247	0.400
14.200	49.139	0.400
14.300	54.537	0.400
14.400	54.817	0.400
14.500	65.621	0.400
14.600	46.911	0.400
14.700	47.518	0.400
14.800	51.687	0.400
14.900	50.616	0.400
15.000	54.189	0.400
15.100	68.200	0.400
15.200	58.794	0.400
15.300	60.753	0.400
15.400	64.310	0.400
15.500	51.652	0.400
15.600	58.439	0.400
15.700	58.512	0.400
15.800	65.016	0.400
15.900	48.232	0.400
16.000	70.247	0.400
16.100	54.783	0.400
16.200	67.452	0.400
16.300	46.419	0.400
16.400	52.779	0.400
16.500	57.630	0.400
16.600	51.366	0.400
16.700	46.980	0.400
16.800	53.646	0.400
16.900	65.193	0.400
17.000	58.235	0.400
17.100	31.608	0.400
17.200	68.335	0.400
17.300	53.405	0.400
17.400	51.611	0.400
17.500	61.694	0.400
17.600	54.806	0.400
17.700	48.061	0.400
17.800	44.410	0.400
17.900	55.914	0.400
18.000	54.184	0.400
18.100	46.135	0.400
18.200	51.933	0.400
18.300	58.575	0.400
18.400	51.982	0.400
18.500	48.003	0.400
18.600	57.016	0.400
18.700	48.120	0.400
18.800	66.175	0.400
18.900	41.170	0.400
19.000	67.845	0.400
19.100	58.238	0.400
19.200	48.161	0.400
19.300	56.297	0.400
19.400	58.582	0.400
19.500	50.361	0.400
19.600	49.567	0.400
19.700	44.545	0.400
19.800	61.832	0.400
19.900	37.971	0.400
20.000	59.093	0.400
20.100	53.659	0.400
20.200	45.363	0.400
20.300	52.722	0.400
20.400	59.630	0.400
20.500	54.713	0.400
20.600	65.887	0.400
20.700	50.605	0.400
20.800	44.915	0.400
20.900	48.151	0.400
21.000	65.521	0.400
21.100	59.495	0.400
21.200	47.031	0.400
21.300	58.822	0.400
21.400	50.377	0.400
21.500	32.930	0.400
21.600	61.835	0.400
21.700	55.470	0.400
21.800	57.311	0.400
21.900	59.090	0.400
22.000	53.992	0.400
22.100	64.049	0.400
22.200	51.597	0.400
22.300	42.250	0.400
22.400	54.759	0.400
22.500	51.526	0.400
22.600	51.931	0.400
22.700	45.173	0.400
22.800	47.319	0.400
22.900	55.763	0.400
23.000	56.385	0.400
23.100	42.671	0.400
23.200	68.651	0.400
23.300	54.797	0.400
23.400	58.524	0.400
23.500	43.984	0.400
23.600	59.174	0.400
23.700	51.868	0.400
23.800	52.145	0.400
23.900	60.207	0.400
24.000	55.700	0.400
24.100	51.247	0.400
24.200	54.187	0.400
24.300	57.620	0.400
24.400	53.438	0.400
24.500	39.914	0.400
24.600	60.584	0.400
24.700	46.122	0.400
24.800	39.720	0.400
24.900	44.084	0.400
25.000	59.000	0.400
25.100	50.398	0.400
25.200	62.980	0.400
25.300	57.321	0.400
25.400	56.973	0.400
25.500	37.491	0.400
25.600	64.445	0.400
25.700	53.076	0.400
