time /s	I /nA	E /V
0.100	45.239	0.400
0.200	52.766	0.400
0.300	57.449	0.400
0.400	45.057	0.400
0.500	42.406	0.400
0.600	59.488	0.400
0.700	41.483	0.400
0.800	43.537	0.400
0.900	37.285	0.400
1.000	36.130	0.400
1.100	58.982	0.400
1.200	53.533	0.400
1.300	45.304	0.400
1.400	54.471	0.400
1.500	55.724	0.400
1.600	53.700	0.400
1.700	43.179	0.400
1.800	44.273	0.400
1.900	46.641	0.400
2.000	55.133	0.400
2.100	53.706	0.400
2.200	54.253	0.400
2.300	47.018	0.400
2.400	50.361	0.400
2.500	32.962	0.400
2.600	45.004	0.400
2.700	58.827	0.400
2.800	40.568	0.400
2.900	31.952	0.400
3.000	68.806	0.400
3.100	46.315	0.400
3.200	49.457	0.400
3.300	43.013	0.400
3.400	53.570	0.400
3.500	40.959	0.400
3.600	51.406	0.400
3.700	48.014	0.400
3.800	43.982	0.400
3.900	38.680	0.400
4.000	37.980	0.400
4.100	61.760	0.400
4.200	47.195	0.400
4.300	54.023	0.400
4.400	51.931	0.400
4.500	54.165	0.400
4.600	30.406	0.400
4.700	47.592	0.400
4.800	48.248	0.400
4.900	49.159	0.400
5.000	54.712	0.400
5.100	48.917	0.400
5.200	44.219	0.400
5.300	58.549	0.400
5.400	49.856	0.400
5.500	43.801	0.400
5.600	48.805	0.400
5.700	48.630	0.400
5.800	46.430	0.400
5.900	47.280	0.400
6.000	57.201	0.400
6.100	45.720	0.400
6.200	35.982	0.400
6.300	38.832	0.400
6.400	56.057	0.400
6.500	42.734	0.400
6.600	55.854	0.400
6.700	44.193	0.400
6.800	53.164	0.400
6.900	56.076	0.400
7.000	65.851	0.400
7.100	36.747	0.400
7.200	48.495	0.400
7.300	52.279	0.400
7.400	40.118	0.400
7.500	44.342	0.400
7.600	47.597	0.400
7.700	39.701	0.400
7.800	46.730	0.400
7.900	53.663	0.400
8.000	58.750	0.400
8.100	50.454	0.400
8.200	41.192	0.400
8.300	49.928	0.400
8.400	49.498	0.400
8.500	36.616	0.400
8.600	43.892	0.400
8.700	41.376	0.400
8.800	55.182	0.400
8.900	27.083	0.400
9.000	39.832	0.400
9.100	62.905	0.400
9.200	42.983	0.400
9.300	46.157	0.400
9.400	42.451	0.400
9.500	48.896	0.400
9.600	57.912	0.400
9.700	42.036	0.400
9.800	48.664	0.400
9.900	49.403	0.400
10.000	51.146	0.400
10.100	49.408	0.400
10.200	50.661	0.400
10.300	41.757	0.400
10.400	50.821	0.400
10.500	40.173	0.400
10.600	46.683	0.400
10.700	49.253	0.400
10.800	42.937	0.400
10.900	58.726	0.400
11.000	49.855	0.400
11.100	31.090	0.400
11.200	40.147	0.400
11.300	40.771	0.400
11.400	43.463	0.400
11.500	55.733	0.400
11.600	49.537	0.400
11.700	49.365	0.400
11.800	41.348	0.400
11.900	50.825	0.400
12.000	59.618	0.400
12.100	53.988	0.400
12.200	38.415	0.400
12.300	46.792	0.400
12.400	55.131	0.400
12.500	36.689	0.400
12.600	46.542	0.400
