time /s	I /nA	
0.100	105.294	
0.200	93.810	
0.300	86.785	
0.400	85.486	
0.500	90.243	
0.600	109.441	
0.700	91.955	
0.800	98.081	
0.900	95.474	
1.000	80.881	
1.100	101.810	
1.200	67.124	
1.300	102.459	
1.400	83.206	
1.500	83.135	
1.600	94.263	
1.700	93.493	
1.800	92.046	
1.900	84.562	
2.000	95.292	
2.100	91.967	
2.200	80.460	
2.300	83.240	
2.400	97.252	
2.500	85.975	
2.600	87.655	
2.700	78.034	
2.800	86.318	
2.900	85.435	
3.000	78.654	
3.100	82.277	
3.200	94.621	
3.300	94.898	
3.400	94.210	
3.500	86.873	
3.600	75.868	
3.700	76.635	
3.800	75.323	
3.900	95.648	
4.000	86.526	
4.100	75.631	
4.200	94.780	
4.300	75.127	
4.400	91.335	
4.500	83.318	
4.600	88.432	
4.700	82.043	
4.800	90.728	
4.900	86.697	
5.000	91.370	
5.100	93.476	
5.200	76.597	
5.300	80.097	
5.400	93.726	
5.500	80.944	
5.600	82.020	
5.700	86.498	
5.800	89.304	
5.900	74.293	
6.000	100.276	
6.100	92.606	
6.200	93.266	
6.300	81.486	
6.400	87.165	
6.500	90.235	
6.600	88.086	
6.700	91.463	
6.800	95.320	
6.900	70.706	
7.000	96.896	
7.100	77.398	
7.200	85.123	
7.300	77.147	
7.400	85.978	
7.500	91.650	
7.600	81.354	
7.700	84.537	
7.800	76.877	
7.900	91.638	
8.000	83.223	
8.100	77.550	
8.200	92.296	
8.300	85.022	
8.400	78.234	
8.500	75.164	
8.600	80.334	
8.700	83.701	
8.800	86.404	
8.900	82.852	
9.000	76.815	
9.100	94.901	
9.200	67.230	
9.300	82.899	
9.400	72.101	
9.500	86.687	
9.600	89.566	
9.700	94.068	
9.800	81.064	
9.900	76.803	
10.000	81.060	
10.100	81.931	
10.200	80.359	
10.300	81.880	
10.400	87.161	
10.500	81.350	
10.600	91.759	
10.700	76.073	
10.800	90.348	
10.900	63.166	
11.000	101.569	
11.100	78.314	
11.200	79.256	
11.300	96.628	
11.400	67.221	
11.500	80.128	
11.600	89.676	
11.700	86.291	
11.800	78.785	
11.900	77.844	
12.000	75.371	
12.100	95.939	
12.200	98.718	
12.300	69.773	
12.400	75.765	
12.500	78.791	
12.600	76.061	
12.700	84.621	
12.800	87.447	
12.900	81.266	
13.000	69.687	
13.100	86.876	
13.200	74.007	
13.300	77.732	
13.400	65.213	
13.500	83.002	
13.600	81.505	
13.700	84.481	
13.800	71.546	
13.900	65.835	
14.000	95.092	
14.100	85.068	
14.200	87.592	
14.300	77.963	
14.400	83.652	
14.500	75.997	
14.600	81.215	
14.700	90.651	
14.800	65.934	
14.900	86.393	
15.000	67.126	
15.100	80.777	
15.200	73.207	
15.300	76.586	
15.400	93.096	
15.500	80.531	
15.600	86.846	
15.700	73.536	
15.800	88.960	
15.900	64.890	
16.000	77.579	
16.100	84.380	
16.200	79.328	
16.300	82.742	
16.400	73.102	
16.500	84.691	
16.600	74.593	
16.700	67.867	
16.800	85.884	
16.900	62.483	
17.000	82.378	
17.100	77.131	
17.200	83.794	
17.300	85.961	
17.400	83.398	
17.500	77.497	
17.600	75.341	
17.700	69.582	
17.800	76.034	
17.900	63.135	
18.000	81.438	
18.100	68.419	
18.200	75.175	
18.300	77.578	
18.400	79.188	
18.500	83.414	
18.600	71.853	
18.700	58.657	
18.800	91.599	
18.900	75.712	
19.000	89.155	
19.100	73.685	
19.200	94.955	
