time /s	I /nA	E /V
0.100	-26.383	0.100
0.200	-32.662	0.100
0.300	-15.582	0.100
0.400	-31.702	0.100
0.500	-34.336	0.100
0.600	-9.520	0.100
0.700	-16.454	0.100
0.800	-21.494	0.100
0.900	-29.815	0.100
1.000	-17.468	0.100
1.100	-12.948	0.100
1.200	-25.284	0.100
1.300	-13.920	0.100
1.400	-23.590	0.100
1.500	-23.771	0.100
1.600	-26.399	0.100
1.700	-33.989	0.100
1.800	-15.537	0.100
1.900	-31.982	0.100
2.000	-28.952	0.100
2.100	-12.366	0.100
2.200	-12.872	0.100
2.300	-21.365	0.100
2.400	-26.263	0.100
2.500	-28.385	0.100
2.600	-19.838	0.100
2.700	0.794	0.100
2.800	-19.286	0.100
2.900	-34.312	0.100
3.000	-10.228	0.100
3.100	-19.180	0.100
3.200	-30.139	0.100
3.300	-19.703	0.100
3.400	-20.257	0.100
3.500	-18.174	0.100
3.600	-13.984	0.100
3.700	-2.559	0.100
3.800	-12.277	0.100
3.900	-24.733	0.100
4.000	-24.614	0.100
4.100	-15.734	0.100
4.200	-27.343	0.100
4.300	-15.190	0.100
4.400	-33.328	0.100
4.500	-23.209	0.100
4.600	4.064	0.100
4.700	-24.378	0.100
4.800	-16.543	0.100
4.900	-19.024	0.100
5.000	-20.626	0.100
5.100	-20.559	0.100
5.200	-13.050	0.100
5.300	-16.968	0.100
5.400	-20.894	0.100
5.500	-29.899	0.100
5.600	-12.661	0.100
5.700	-30.017	0.100
5.800	-38.828	0.100
5.900	-15.127	0.100
6.000	-9.451	0.100
6.100	-22.143	0.100
6.200	-16.417	0.100
6.300	-25.069	0.100
6.400	-32.211	0.100
6.500	-13.737	0.100
6.600	-14.625	0.100
6.700	-18.801	0.100
6.800	-11.036	0.100
6.900	-22.930	0.100
7.000	-20.047	0.100
7.100	-15.664	0.100
7.200	-14.797	0.100
7.300	-25.448	0.100
7.400	-16.905	0.100
7.500	-37.328	0.100
7.600	-4.896	0.100
7.700	-13.687	0.100
7.800	-15.255	0.100
7.900	-22.681	0.100
8.000	-22.376	0.100
8.100	-12.805	0.100
8.200	-19.416	0.100
8.300	-45.539	0.100
