time /s	I /nA	E /V
0.100	-22.193	0.100
0.200	-14.675	0.100
0.300	-15.645	0.100
0.400	-22.389	0.100
0.500	-21.018	0.100
0.600	-17.875	0.100
0.700	-24.254	0.100
0.800	-27.049	0.100
0.900	-20.581	0.100
1.000	-20.027	0.100
1.100	-21.720	0.100
1.200	-20.593	0.100
1.300	-29.003	0.100
1.400	-26.841	0.100
1.500	-24.213	0.100
1.600	-19.434	0.100
1.700	-20.657	0.100
1.800	-23.616	0.100
1.900	-21.884	0.100
2.000	-25.525	0.100
2.100	-25.087	0.100
2.200	-15.244	0.100
2.300	-21.944	0.100
2.400	-17.312	0.100
2.500	-23.758	0.100
2.600	-33.309	0.100
2.700	-24.433	0.100
2.800	-27.879	0.100
2.900	-26.457	0.100
3.000	-27.108	0.100
3.100	-16.074	0.100
3.200	-16.062	0.100
3.300	-28.839	0.100
3.400	-26.015	0.100
3.500	-21.069	0.100
3.600	-16.765	0.100
3.700	-22.368	0.100
3.800	-19.239	0.100
3.900	-26.220	0.100
4.000	-21.307	0.100
4.100	-21.857	0.100
4.200	-23.001	0.100
4.300	-29.704	0.100
4.400	-18.154	0.100
4.500	-23.528	0.100
4.600	-22.414	0.100
4.700	-21.543	0.100
4.800	-23.464	0.100
4.900	-24.094	0.100
5.000	-19.480	0.100
5.100	-17.918	0.100
5.200	-20.055	0.100
5.300	-23.922	0.100
5.400	-22.573	0.100
5.500	-9.519	0.100
5.600	-20.468	0.100
5.700	-23.228	0.100
5.800	-25.877	0.100
5.900	-25.933	0.100
6.000	-17.375	0.100
6.100	-21.710	0.100
6.200	-24.226	0.100
6.300	-16.496	0.100
6.400	-23.850	0.100
6.500	-20.964	0.100
6.600	-20.788	0.100
6.700	-16.095	0.100
6.800	-21.886	0.100
6.900	-24.777	0.100
7.000	-25.372	0.100
7.100	-17.672	0.100
7.200	-23.243	0.100
7.300	-23.420	0.100
7.400	-26.519	0.100
7.500	-23.542	0.100
7.600	-19.907	0.100
7.700	-18.475	0.100
7.800	-16.673	0.100
7.900	-16.917	0.100
8.000	-23.180	0.100
8.100	-22.927	0.100
8.200	-14.706	0.100
8.300	-18.999	0.100
8.400	-27.390	0.100
8.500	-22.387	0.100
8.600	-20.777	0.100
8.700	-24.744	0.100
8.800	-17.483	0.100
8.900	-24.376	0.100
9.000	-21.398	0.100
9.100	-19.138	0.100
9.200	-23.252	0.100
9.300	-26.050	0.100
9.400	-14.650	0.100
9.500	-29.962	0.100
9.600	-24.895	0.100
9.700	-24.786	0.100
9.800	-19.676	0.100
9.900	-32.473	0.100
10.000	-28.463	0.100
10.100	-24.299	0.100
10.200	-20.168	0.100
10.300	-24.098	0.100
10.400	-26.701	0.100
10.500	-21.462	0.100
10.600	-18.796	0.100
10.700	-15.562	0.100
10.800	-25.470	0.100
10.900	-22.759	0.100
11.000	-14.587	0.100
11.100	-20.311	0.100
11.200	-16.605	0.100
11.300	-19.540	0.100
11.400	-22.402	0.100
11.500	-17.863	0.100
11.600	-18.758	0.100
11.700	-20.206	0.100
11.800	-25.416	0.100
