time /s	I /nA	E /V
0.100	-22.111	0.100
0.200	-7.617	0.100
0.300	-7.775	0.100
0.400	-8.878	0.100
0.500	-10.998	0.100
0.600	-9.362	0.100
0.700	-13.931	0.100
0.800	-12.496	0.100
0.900	-12.185	0.100
1.000	-22.677	0.100
1.100	-24.238	0.100
1.200	-1.743	0.100
1.300	-7.596	0.100
1.400	-2.652	0.100
1.500	-17.278	0.100
1.600	-10.474	0.100
1.700	-14.781	0.100
1.800	-8.882	0.100
1.900	-20.148	0.100
2.000	5.531	0.100
2.100	-1.327	0.100
2.200	-24.405	0.100
2.300	-14.411	0.100
2.400	-11.879	0.100
2.500	-6.903	0.100
2.600	-13.732	0.100
2.700	-18.921	0.100
2.800	-12.642	0.100
2.900	-11.849	0.100
3.000	-16.648	0.100
3.100	-8.022	0.100
3.200	-15.749	0.100
3.300	-22.064	0.100
3.400	-0.753	0.100
3.500	-19.253	0.100
3.600	-7.206	0.100
3.700	-12.440	0.100
3.800	-13.739	0.100
3.900	-8.765	0.100
4.000	-9.497	0.100
4.100	-16.862	0.100
4.200	-5.079	0.100
4.300	-3.786	0.100
4.400	-15.005	0.100
4.500	-13.983	0.100
4.600	-14.902	0.100
4.700	-27.590	0.100
4.800	-1.889	0.100
4.900	-20.001	0.100
5.000	-11.042	0.100
5.100	-3.088	0.100
5.200	-6.113	0.100
5.300	-15.344	0.100
5.400	-11.227	0.100
5.500	-36.324	0.100
5.600	-9.081	0.100
5.700	-5.470	0.100
5.800	-29.840	0.100
5.900	-12.477	0.100
6.000	-17.362	0.100
6.100	-9.253	0.100
6.200	-14.270	0.100
6.300	-10.690	0.100
6.400	-16.482	0.100
6.500	-15.992	0.100
6.600	-16.927	0.100
6.700	-16.019	0.100
6.800	-11.347	0.100
6.900	-9.611	0.100
7.000	-16.956	0.100
7.100	-20.124	0.100
7.200	-17.806	0.100
7.300	-16.640	0.100
7.400	-29.431	0.100
7.500	-12.605	0.100
7.600	-15.581	0.100
7.700	-32.787	0.100
7.800	-10.565	0.100
7.900	-7.352	0.100
8.000	-10.326	0.100
8.100	-16.383	0.100
8.200	-12.077	0.100
8.300	-19.340	0.100
8.400	-22.793	0.100
8.500	-25.477	0.100
8.600	-4.390	0.100
8.700	-5.780	0.100
8.800	-24.577	0.100
8.900	-15.875	0.100
9.000	-24.808	0.100
9.100	-2.219	0.100
9.200	-13.615	0.100
9.300	-19.571	0.100
9.400	-16.488	0.100
9.500	-5.242	0.100
9.600	-16.693	0.100
9.700	-13.151	0.100
9.800	-18.582	0.100
9.900	-6.924	0.100
10.000	-23.964	0.100
10.100	-7.132	0.100
10.200	-16.398	0.100
10.300	-17.949	0.100
10.400	-31.005	0.100
10.500	-20.887	0.100
10.600	-15.195	0.100
10.700	-21.923	0.100
10.800	-17.354	0.100
10.900	-11.342	0.100
11.000	-11.330	0.100
11.100	-27.394	0.100
11.200	-14.541	0.100
11.300	-18.238	0.100
11.400	-21.037	0.100
11.500	-10.062	0.100
11.600	-12.556	0.100
11.700	-7.748	0.100
11.800	-9.030	0.100
11.900	-1.786	0.100
12.000	-10.336	0.100
12.100	-15.385	0.100
12.200	-19.036	0.100
12.300	-27.265	0.100
12.400	-23.770	0.100
12.500	-15.398	0.100
12.600	-14.843	0.100
12.700	-7.913	0.100
12.800	-2.749	0.100
12.900	-8.407	0.100
13.000	-4.225	0.100
13.100	-10.511	0.100
13.200	-27.029	0.100
13.300	-7.925	0.100
13.400	-16.216	0.100
13.500	-10.156	0.100
13.600	-14.335	0.100
13.700	-11.917	0.100
13.800	-18.386	0.100
13.900	-22.254	0.100
14.000	-8.911	0.100
14.100	1.182	0.100
14.200	-25.922	0.100
14.300	-21.981	0.100
14.400	-21.259	0.100
14.500	5.052	0.100
14.600	-13.432	0.100
14.700	-23.093	0.100
14.800	-23.934	0.100
14.900	-22.155	0.100
15.000	-7.758	0.100
15.100	-11.446	0.100
15.200	-12.528	0.100
15.300	-23.021	0.100
15.400	-24.477	0.100
15.500	-21.982	0.100
15.600	4.563	0.100
15.700	-19.442	0.100
15.800	-29.296	0.100
15.900	-18.690	0.100
16.000	-10.510	0.100
16.100	-20.640	0.100
16.200	6.507	0.100
16.300	-19.464	0.100
16.400	-30.296	0.100
16.500	-16.410	0.100
16.600	-21.755	0.100
16.700	-14.277	0.100
16.800	-27.337	0.100
16.900	-13.522	0.100
17.000	-20.997	0.100
17.100	-12.942	0.100
17.200	5.338	0.100
17.300	-16.058	0.100
17.400	-21.079	0.100
17.500	-13.796	0.100
17.600	-9.215	0.100
17.700	-12.210	0.100
17.800	-19.724	0.100
17.900	-28.061	0.100
18.000	1.283	0.100
18.100	-7.218	0.100
18.200	-14.781	0.100
18.300	-18.203	0.100
18.400	-23.726	0.100
18.500	-16.028	0.100
18.600	-11.360	0.100
18.700	-13.519	0.100
18.800	-11.248	0.100
18.900	-18.956	0.100
19.000	-26.220	0.100
19.100	-23.691	0.100
19.200	-3.442	0.100
19.300	-2.448	0.100
19.400	-15.402	0.100
19.500	-17.958	0.100
19.600	-22.313	0.100
19.700	-17.917	0.100
19.800	-19.815	0.100
19.900	-20.867	0.100
20.000	-24.304	0.100
20.100	-11.999	0.100
20.200	-11.045	0.100
20.300	-20.637	0.100
20.400	-11.226	0.100
20.500	-16.107	0.100
20.600	-15.514	0.100
20.700	-7.543	0.100
20.800	-13.154	0.100
20.900	-25.979	0.100
21.000	-14.678	0.100
21.100	-18.444	0.100
21.200	-22.115	0.100
21.300	-15.198	0.100
21.400	-27.120	0.100
21.500	-24.636	0.100
21.600	-7.582	0.100
21.700	-34.705	0.100
21.800	-11.573	0.100
21.900	-13.070	0.100
22.000	-13.657	0.100
22.100	-11.988	0.100
22.200	0.119	0.100
22.300	-27.788	0.100
22.400	-12.036	0.100
22.500	-3.496	0.100
22.600	-13.555	0.100
22.700	-24.878	0.100
22.800	-15.587	0.100
22.900	-26.104	0.100
23.000	-6.534	0.100
23.100	-15.512	0.100
23.200	-16.428	0.100
23.300	-19.858	0.100
23.400	-24.821	0.100
23.500	-25.139	0.100
23.600	-11.922	0.100
23.700	-25.477	0.100
23.800	-25.837	0.100
23.900	-14.812	0.100
24.000	-8.969	0.100
24.100	-36.043	0.100
24.200	-20.021	0.100
24.300	-1.922	0.100
24.400	0.995	0.100
24.500	-23.824	0.100
24.600	-17.613	0.100
24.700	-25.035	0.100
24.800	-16.445	0.100
24.900	-16.043	0.100
25.000	-22.594	0.100
25.100	-14.418	0.100
25.200	-18.450	0.100
25.300	-10.406	0.100
25.400	-17.575	0.100
25.500	-21.003	0.100
25.600	-18.608	0.100
25.700	-10.854	0.100
25.800	-23.500	0.100
25.900	-17.468	0.100
26.000	-22.463	0.100
26.100	-24.690	0.100
26.200	-17.482	0.100
26.300	-17.715	0.100
26.400	-7.942	0.100
26.500	-10.492	0.100
26.600	-21.800	0.100
26.700	-11.256	0.100
26.800	-28.376	0.100
26.900	-11.673	0.100
27.000	-30.648	0.100
27.100	-1.679	0.100
27.200	-13.714	0.100
27.300	-15.456	0.100
27.400	-17.584	0.100
27.500	-22.337	0.100
27.600	-15.968	0.100
27.700	-11.876	0.100
27.800	-16.821	0.100
27.900	-26.324	0.100
28.000	-11.691	0.100
28.100	-34.894	0.100
28.200	-18.145	0.100
28.300	-12.731	0.100
28.400	-6.918	0.100
28.500	-13.199	0.100
28.600	-12.772	0.100
28.700	-9.680	0.100
28.800	-19.717	0.100
28.900	-12.701	0.100
29.000	-18.617	0.100
29.100	-24.775	0.100
29.200	-7.607	0.100
29.300	-29.077	0.100
29.400	-16.652	0.100
29.500	-27.179	0.100
29.600	-14.556	0.100
29.700	-9.555	0.100
29.800	-11.515	0.100
29.900	-32.320	0.100
30.000	-15.177	0.100
30.100	-17.051	0.100
30.200	-0.779	0.100
30.300	-26.224	0.100
30.400	-7.044	0.100
30.500	-11.519	0.100
30.600	-19.318	0.100
30.700	-3.616	0.100
30.800	-16.533	0.100
30.900	-2.018	0.100
31.000	-2.514	0.100
31.100	-3.303	0.100
31.200	-7.764	0.100
31.300	-0.061	0.100
