time /s	I /nA	E /V
0.100	-59.720	0.100
0.200	-60.521	0.100
0.300	-66.287	0.100
0.400	-68.613	0.100
0.500	-70.873	0.100
0.600	-58.407	0.100
0.700	-80.289	0.100
0.800	-61.191	0.100
0.900	-60.300	0.100
1.000	-59.599	0.100
1.100	-52.759	0.100
1.200	-64.058	0.100
1.300	-65.341	0.100
1.400	-57.246	0.100
1.500	-49.481	0.100
1.600	-75.468	0.100
1.700	-67.196	0.100
1.800	-47.619	0.100
1.900	-60.431	0.100
2.000	-57.669	0.100
2.100	-53.700	0.100
2.200	-60.243	0.100
2.300	-64.032	0.100
2.400	-61.464	0.100
2.500	-57.614	0.100
2.600	-64.384	0.100
2.700	-55.926	0.100
2.800	-50.994	0.100
2.900	-64.932	0.100
3.000	-66.418	0.100
3.100	-59.681	0.100
3.200	-61.661	0.100
3.300	-55.833	0.100
3.400	-59.782	0.100
3.500	-57.572	0.100
3.600	-63.954	0.100
3.700	-54.521	0.100
3.800	-64.609	0.100
3.900	-55.397	0.100
4.000	-61.395	0.100
4.100	-54.293	0.100
4.200	-57.574	0.100
4.300	-50.857	0.100
4.400	-45.768	0.100
4.500	-54.495	0.100
4.600	-60.923	0.100
4.700	-56.931	0.100
4.800	-53.826	0.100
4.900	-52.753	0.100
5.000	-49.881	0.100
5.100	-58.581	0.100
5.200	-57.607	0.100
5.300	-48.636	0.100
5.400	-59.632	0.100
5.500	-48.306	0.100
5.600	-58.327	0.100
5.700	-51.888	0.100
5.800	-56.914	0.100
5.900	-52.873	0.100
6.000	-40.477	0.100
6.100	-57.321	0.100
6.200	-47.031	0.100
6.300	-56.791	0.100
6.400	-48.394	0.100
6.500	-41.800	0.100
6.600	-55.901	0.100
6.700	-42.861	0.100
6.800	-57.933	0.100
6.900	-48.815	0.100
7.000	-61.536	0.100
7.100	-51.069	0.100
7.200	-63.261	0.100
7.300	-50.048	0.100
7.400	-63.624	0.100
7.500	-51.309	0.100
7.600	-48.813	0.100
7.700	-47.504	0.100
7.800	-38.643	0.100
7.900	-52.208	0.100
8.000	-49.099	0.100
8.100	-54.840	0.100
8.200	-51.376	0.100
8.300	-49.290	0.100
8.400	-41.773	0.100
8.500	-48.995	0.100
8.600	-53.542	0.100
8.700	-47.540	0.100
8.800	-49.964	0.100
8.900	-61.247	0.100
9.000	-47.779	0.100
9.100	-59.808	0.100
9.200	-65.401	0.100
9.300	-54.157	0.100
9.400	-45.122	0.100
9.500	-49.696	0.100
9.600	-52.857	0.100
9.700	-51.678	0.100
9.800	-48.204	0.100
9.900	-61.354	0.100
10.000	-44.306	0.100
10.100	-43.868	0.100
10.200	-45.886	0.100
10.300	-40.387	0.100
10.400	-44.716	0.100
10.500	-37.848	0.100
10.600	-64.215	0.100
10.700	-42.173	0.100
10.800	-49.876	0.100
10.900	-45.896	0.100
11.000	-53.127	0.100
11.100	-44.076	0.100
11.200	-41.369	0.100
11.300	-47.605	0.100
11.400	-54.056	0.100
11.500	-56.767	0.100
11.600	-57.398	0.100
11.700	-46.237	0.100
11.800	-55.074	0.100
11.900	-46.283	0.100
12.000	-41.072	0.100
12.100	-52.082	0.100
12.200	-64.309	0.100
12.300	-51.337	0.100
12.400	-41.205	0.100
12.500	-49.880	0.100
12.600	-54.283	0.100
12.700	-53.162	0.100
12.800	-41.773	0.100
12.900	-50.865	0.100
13.000	-39.588	0.100
13.100	-56.751	0.100
13.200	-53.373	0.100
13.300	-52.153	0.100
13.400	-48.946	0.100
13.500	-43.437	0.100
13.600	-55.038	0.100
13.700	-58.359	0.100
13.800	-51.460	0.100
13.900	-67.718	0.100
14.000	-52.363	0.100
14.100	-47.787	0.100
14.200	-39.423	0.100
14.300	-51.715	0.100
14.400	-49.306	0.100
14.500	-57.224	0.100
14.600	-46.980	0.100
14.700	-40.455	0.100
14.800	-41.514	0.100
14.900	-49.704	0.100
15.000	-44.491	0.100
15.100	-50.734	0.100
15.200	-42.979	0.100
15.300	-41.021	0.100
15.400	-42.800	0.100
15.500	-39.326	0.100
15.600	-56.134	0.100
15.700	-57.781	0.100
15.800	-63.810	0.100
15.900	-45.685	0.100
16.000	-55.781	0.100
16.100	-62.210	0.100
16.200	-63.077	0.100
16.300	-55.958	0.100
16.400	-54.056	0.100
16.500	-36.671	0.100
16.600	-44.071	0.100
16.700	-57.149	0.100
16.800	-39.841	0.100
16.900	-36.540	0.100
17.000	-48.870	0.100
17.100	-49.338	0.100
17.200	-53.970	0.100
17.300	-56.168	0.100
17.400	-53.470	0.100
17.500	-44.307	0.100
17.600	-47.970	0.100
17.700	-44.787	0.100
17.800	-50.073	0.100
17.900	-35.393	0.100
18.000	-47.651	0.100
18.100	-55.915	0.100
